,close,date,high,low,market_cap,open,volume
0,0.030324,"Jun 08, 2018",0.032932,0.028446,"8,404,160",0.032865,"24,421"
1,0.032278,"Jun 07, 2018",0.033820,0.030632,"8,388,840",0.032805,"27,891"
2,0.032795,"Jun 06, 2018",0.036556,0.031618,"9,288,180",0.036322,"28,213"
3,0.035968,"Jun 05, 2018",0.036748,0.032020,"9,175,220",0.035882,"53,175"
4,0.036707,"Jun 04, 2018",0.039305,0.033834,"9,832,310",0.038453,"28,505"
5,0.038697,"Jun 03, 2018",0.040146,0.038364,"10,149,100",0.039691,"27,687"
6,0.039699,"Jun 02, 2018",0.040251,0.036790,"10,229,300",0.040005,"23,061"
7,0.039869,"Jun 01, 2018",0.039869,0.035740,"9,799,060",0.038322,"21,340"
8,0.038203,"May 31, 2018",0.040715,0.035978,"9,834,800",0.038462,"45,044"
9,0.038494,"May 30, 2018",0.041432,0.037462,"10,594,300",0.041432,"12,691"
10,0.039630,"May 29, 2018",0.044358,0.033878,"8,662,100",0.033878,"84,261"
11,0.035451,"May 28, 2018",0.040852,0.033861,"10,164,600",0.039755,"79,401"
12,0.039051,"May 27, 2018",0.041313,0.035735,"10,505,000",0.041086,"41,239"
13,0.040651,"May 26, 2018",0.043208,0.039835,"10,267,600",0.040158,"35,757"
14,0.040296,"May 25, 2018",0.046271,0.039247,"11,663,200",0.045616,"34,800"
15,0.045978,"May 24, 2018",0.047808,0.040502,"10,542,300",0.041232,"55,073"
16,0.040886,"May 23, 2018",0.049840,0.040550,"12,743,200",0.049840,"34,401"
17,0.050583,"May 22, 2018",0.055560,0.049420,"13,799,300",0.053973,"38,086"
18,0.055223,"May 21, 2018",0.057446,0.053597,"14,463,400",0.056570,"44,630"
19,0.056295,"May 20, 2018",0.060889,0.055313,"14,611,200",0.057148,"59,393"
20,0.057721,"May 19, 2018",0.060130,0.056550,"14,833,200",0.058016,"24,554"
21,0.058081,"May 18, 2018",0.058105,0.054827,"14,192,000",0.055508,"20,597"
22,0.055494,"May 17, 2018",0.059678,0.054740,"14,800,700",0.057889,"53,415"
23,0.057850,"May 16, 2018",0.061337,0.057004,"15,272,900",0.059736,"40,731"
24,0.060106,"May 15, 2018",0.064484,0.059056,"15,654,800",0.061232,"66,774"
25,0.062139,"May 14, 2018",0.066258,0.059791,"15,997,200",0.062571,"57,759"
26,0.062584,"May 13, 2018",0.065729,0.059823,"15,723,200",0.061500,"56,972"
27,0.061086,"May 12, 2018",0.064167,0.057001,"14,844,700",0.058064,"73,401"
28,0.058416,"May 11, 2018",0.061699,0.056068,"15,666,400",0.061278,"81,968"
29,0.061200,"May 10, 2018",0.067719,0.060597,"17,006,500",0.066520,"89,238"
30,0.066507,"May 09, 2018",0.069343,0.062142,"17,585,800",0.068785,"132,117"
31,0.068475,"May 08, 2018",0.071605,0.057494,"17,561,700",0.068695,"156,757"
32,0.068502,"May 07, 2018",0.072919,0.065651,"18,585,900",0.072701,"85,194"
33,0.072844,"May 06, 2018",0.082944,0.065106,"20,905,200",0.081776,"297,898"
34,0.081989,"May 05, 2018",0.096843,0.077483,"23,851,500",0.093305,"124,452"
35,0.093477,"May 04, 2018",0.098508,0.086940,"24,438,900",0.095603,"124,659"
36,0.095404,"May 03, 2018",0.097770,0.090211,"23,773,900",0.093002,"142,293"
37,0.092711,"May 02, 2018",0.098701,0.092401,"24,760,700",0.096862,"131,552"
38,0.096394,"May 01, 2018",0.102161,0.086742,"22,387,100",0.087577,"361,453"
39,0.087887,"Apr 30, 2018",0.114329,0.087259,"23,693,600",0.092688,"778,170"
40,0.092890,"Apr 29, 2018",0.103586,0.082644,"22,335,400",0.087374,"585,987"
41,0.087830,"Apr 28, 2018",0.115237,0.065138,"18,837,600",0.073691,"1,211,620"
42,0.074224,"Apr 27, 2018",0.074224,0.055148,"12,996,600",0.057644,"418,118"
43,0.057040,"Apr 26, 2018",0.058802,0.049358,"11,635,600",0.051607,"78,276"
44,0.052527,"Apr 25, 2018",0.060597,0.049297,"13,638,600",0.060491,"130,832"
45,0.059783,"Apr 24, 2018",0.059783,0.051661,"12,049,900",0.053445,"124,383"
46,0.054139,"Apr 23, 2018",0.057837,0.045707,"12,631,900",0.056026,"136,885"
47,0.057964,"Apr 22, 2018",0.059908,0.054776,"13,462,900",0.059712,"92,542"
48,0.059609,"Apr 21, 2018",0.061485,0.056145,"13,220,400",0.058636,"59,897"
49,0.058644,"Apr 20, 2018",0.062994,0.056672,"16,108,500",0.061064,"110,994"
50,0.061064,"Apr 19, 2018",0.062811,0.057899,"16,208,000",0.061492,"70,478"
51,0.060005,"Apr 18, 2018",0.061069,0.056716,"15,773,700",0.059933,"63,210"
52,0.058860,"Apr 17, 2018",0.061172,0.055724,"14,899,200",0.056684,"118,873"
53,0.056676,"Apr 16, 2018",0.061248,0.055731,"15,758,900",0.060121,"67,132"
54,0.060363,"Apr 15, 2018",0.061467,0.056797,"15,037,700",0.057551,"65,561"
55,0.057914,"Apr 14, 2018",0.061268,0.054995,"14,965,300",0.057401,"46,721"
56,0.057091,"Apr 13, 2018",0.063715,0.056439,"12,632,100",0.057925,"94,682"
57,0.057847,"Apr 12, 2018",0.060308,0.050739,"8,235,450",0.057135,"143,758"
58,0.057325,"Apr 11, 2018",0.057396,0.047874,-,0.049695,"127,688"
59,0.049283,"Apr 10, 2018",0.062614,0.047841,-,0.059999,"196,804"
