,close,date,high,low,market_cap,open,volume
0,0.034895,"Jun 08, 2018",0.035376,0.033030,"14,542,400",0.034897,"40,373"
1,0.034854,"Jun 07, 2018",0.036570,0.032373,"13,988,800",0.033623,"101,758"
2,0.033612,"Jun 06, 2018",0.035323,0.032166,"14,429,100",0.034765,"62,466"
3,0.034800,"Jun 05, 2018",0.036573,0.032000,"15,157,400",0.036524,"84,361"
4,0.036316,"Jun 04, 2018",0.036839,0.033303,"15,104,700",0.036397,"97,013"
5,0.036416,"Jun 03, 2018",0.038290,0.034491,"14,436,100",0.034786,"80,982"
6,0.034796,"Jun 02, 2018",0.034991,0.032955,"13,731,800",0.033089,"52,927"
7,0.033101,"Jun 01, 2018",0.037314,0.030736,"15,208,200",0.036646,"246,121"
8,0.036595,"May 31, 2018",0.038365,0.033950,"15,390,200",0.037085,"123,003"
9,0.037109,"May 30, 2018",0.040138,0.036317,"15,567,200",0.037511,"89,669"
10,0.037487,"May 29, 2018",0.038960,0.030712,"12,745,300",0.030712,"95,747"
11,0.030821,"May 28, 2018",0.033900,0.030478,"13,621,000",0.032822,"48,372"
12,0.032518,"May 27, 2018",0.035701,0.032376,"14,718,100",0.035465,"48,045"
13,0.035423,"May 26, 2018",0.036797,0.033532,"14,451,700",0.034823,"60,201"
14,0.034559,"May 25, 2018",0.036542,0.033356,"14,432,400",0.034777,"66,948"
15,0.034724,"May 24, 2018",0.037035,0.032947,"14,257,000",0.034354,"108,889"
16,0.034465,"May 23, 2018",0.037673,0.032733,"15,634,500",0.037673,"155,592"
17,0.037723,"May 22, 2018",0.042174,0.037527,"17,424,300",0.041986,"84,478"
18,0.042017,"May 21, 2018",0.045288,0.041332,"18,278,800",0.044045,"91,452"
19,0.043991,"May 20, 2018",0.045693,0.042264,"17,786,400",0.042859,"128,681"
20,0.043010,"May 19, 2018",0.048089,0.042462,"19,917,300",0.047994,"159,505"
21,0.047998,"May 18, 2018",0.048399,0.042540,"18,467,500",0.044500,"98,477"
22,0.044503,"May 17, 2018",0.048202,0.043102,"19,456,600",0.046883,"131,288"
23,0.045845,"May 16, 2018",0.046695,0.040911,"17,966,700",0.043293,"128,943"
24,0.043301,"May 15, 2018",0.047022,0.043183,"19,323,600",0.046563,"209,038"
25,0.046636,"May 14, 2018",0.049825,0.044963,"20,677,400",0.049825,"157,651"
26,0.049837,"May 13, 2018",0.051737,0.042493,"19,348,800",0.046623,"196,905"
27,0.046684,"May 12, 2018",0.049970,0.039026,"17,024,700",0.041023,"149,485"
28,0.041118,"May 11, 2018",0.045394,0.038009,"18,838,500",0.045394,"221,745"
29,0.045396,"May 10, 2018",0.050058,0.045000,"19,229,000",0.046335,"245,632"
30,0.046325,"May 09, 2018",0.051389,0.044995,"19,532,000",0.047065,"305,690"
31,0.049436,"May 08, 2018",0.056911,0.049436,"23,290,300",0.056121,"165,406"
32,0.055894,"May 07, 2018",0.058802,0.052934,"24,375,800",0.058737,"98,645"
33,0.058207,"May 06, 2018",0.063109,0.053596,"25,958,000",0.062549,"115,480"
34,0.063598,"May 05, 2018",0.063817,0.055505,"23,800,400",0.057350,"261,779"
35,0.057330,"May 04, 2018",0.061915,0.053431,"25,694,800",0.061915,"185,588"
36,0.062027,"May 03, 2018",0.064027,0.051796,"23,373,800",0.056322,"332,307"
37,0.056304,"May 02, 2018",0.061594,0.053686,"23,709,800",0.057132,"283,394"
38,0.057523,"May 01, 2018",0.066396,0.057327,"27,226,000",0.065605,"262,478"
39,0.065528,"Apr 30, 2018",0.071854,0.062724,"28,097,100",0.067704,"246,977"
40,0.069471,"Apr 29, 2018",0.076050,0.064464,"29,792,600",0.071789,"232,319"
