,close,date,high,low,market_cap,open,volume
0,0.060842,"Jun 08, 2018",0.062814,0.059173,"13,063,200",0.062205,"61,503"
1,0.062302,"Jun 07, 2018",0.064008,0.061596,"13,038,900",0.062090,"79,198"
2,0.062574,"Jun 06, 2018",0.064285,0.060086,"12,904,900",0.061452,"178,996"
3,0.061667,"Jun 05, 2018",0.063257,0.059036,"12,945,700",0.061646,"89,573"
4,0.061244,"Jun 04, 2018",0.063892,0.059391,"13,381,000",0.063719,"126,505"
5,0.063010,"Jun 03, 2018",0.065263,0.062776,"13,675,300",0.065120,"85,664"
6,0.065103,"Jun 02, 2018",0.066424,0.063308,"13,715,800",0.065313,"94,580"
7,0.065094,"Jun 01, 2018",0.065822,0.062088,"13,449,900",0.064047,"104,564"
8,0.063328,"May 31, 2018",0.066215,0.059347,"12,462,800",0.059347,"305,491"
9,0.059467,"May 30, 2018",0.063511,0.058516,"12,893,400",0.061397,"173,342"
10,0.061358,"May 29, 2018",0.063608,0.055910,"12,490,900",0.059480,"291,499"
11,0.059263,"May 28, 2018",0.060941,0.054558,"12,795,600",0.060931,"208,670"
12,0.060123,"May 27, 2018",0.062422,0.058912,"12,937,400",0.061607,"82,291"
13,0.061580,"May 26, 2018",0.064669,0.060230,"13,580,500",0.064669,"159,935"
14,0.064157,"May 25, 2018",0.069550,0.060389,"12,681,700",0.060389,"1,478,770"
15,0.062312,"May 24, 2018",0.062635,0.057006,"12,340,900",0.058766,"147,524"
16,0.058916,"May 23, 2018",0.098385,0.058507,"14,004,400",0.066688,"145,383"
17,0.066757,"May 22, 2018",0.073318,0.064764,"14,907,200",0.070987,"121,298"
18,0.071092,"May 21, 2018",0.075191,0.069296,"15,779,000",0.075138,"158,205"
19,0.075052,"May 20, 2018",0.081160,0.069499,"14,890,100",0.070905,"198,146"
20,0.071289,"May 19, 2018",0.072784,0.068405,"14,692,100",0.069962,"94,662"
21,0.069972,"May 18, 2018",0.070705,0.065328,"14,380,500",0.068479,"144,790"
22,0.067704,"May 17, 2018",0.076882,0.066971,"15,460,900",0.073623,"250,587"
23,0.072996,"May 16, 2018",0.077553,0.067007,"16,286,200",0.077553,"438,242"
24,0.077684,"May 15, 2018",0.080369,0.074110,"16,334,600",0.077784,"459,929"
25,0.076712,"May 14, 2018",0.078963,0.070024,"16,131,600",0.076817,"319,620"
26,0.078458,"May 13, 2018",0.078603,0.068631,"14,908,400",0.070993,"368,539"
27,0.071449,"May 12, 2018",0.077278,0.065587,"14,648,000",0.069752,"624,777"
28,0.069957,"May 11, 2018",0.082151,0.065930,"17,251,700",0.082151,"928,722"
29,0.082218,"May 10, 2018",0.090725,0.082218,"18,911,600",0.090055,"446,032"
30,0.090081,"May 09, 2018",0.091847,0.084938,"18,912,600",0.090060,"302,291"
31,0.090300,"May 08, 2018",0.095754,0.087127,"19,286,000",0.091838,"340,859"
32,0.090814,"May 07, 2018",0.095285,0.087556,"19,943,700",0.094970,"399,966"
33,0.094900,"May 06, 2018",0.101649,0.092087,"21,112,700",0.100537,"651,755"
34,0.100663,"May 05, 2018",0.104528,0.099464,"21,695,000",0.103310,"569,765"
35,0.103358,"May 04, 2018",0.106462,0.098827,"21,673,100",0.103205,"870,952"
36,0.103148,"May 03, 2018",0.108125,0.099209,"21,332,600",0.101584,"1,919,850"
37,0.100478,"May 02, 2018",0.103525,0.094760,"20,382,200",0.097058,"1,257,360"
38,0.097207,"May 01, 2018",0.098625,0.091213,"20,711,300",0.098625,"778,969"
39,0.098498,"Apr 30, 2018",0.105447,0.095300,"21,069,600",0.100332,"1,126,570"
40,0.099960,"Apr 29, 2018",0.104806,0.093679,"21,278,700",0.101327,"1,561,030"
41,0.101054,"Apr 28, 2018",0.107472,0.094344,"19,863,400",0.094588,"1,070,320"
42,0.094820,"Apr 27, 2018",0.105362,0.094820,"20,985,700",0.099932,"1,019,980"
43,0.099796,"Apr 26, 2018",0.101748,0.085741,"18,950,600",0.090241,"1,655,050"
44,0.090174,"Apr 25, 2018",0.116259,0.087020,"23,012,500",0.109584,"1,812,950"
45,0.109157,"Apr 24, 2018",0.112403,0.106521,"23,223,000",0.110586,"2,008,010"
46,0.111014,"Apr 23, 2018",0.118886,0.104199,"22,531,900",0.107295,"4,740,750"
47,0.106543,"Apr 22, 2018",0.109911,0.099056,"21,726,000",0.103457,"1,173,360"
48,0.104616,"Apr 21, 2018",0.106003,0.091121,"22,260,600",0.106003,"1,514,460"
49,0.105614,"Apr 20, 2018",0.108816,0.100087,"22,038,500",0.104945,"1,758,840"
50,0.105802,"Apr 19, 2018",0.106714,0.095499,"20,537,200",0.097796,"2,287,640"
51,0.097505,"Apr 18, 2018",0.099030,0.091081,"19,203,200",0.091444,"2,100,580"
52,0.091809,"Apr 17, 2018",0.097116,0.091250,"20,205,400",0.096216,"1,667,710"
53,0.097309,"Apr 16, 2018",0.104074,0.091421,"21,855,600",0.104074,"2,041,980"
54,0.103872,"Apr 15, 2018",0.108269,0.095360,"20,648,000",0.098324,"4,304,550"
55,0.100816,"Apr 14, 2018",0.105302,0.076206,"16,142,200",0.076868,"11,318,400"
56,0.077009,"Apr 13, 2018",0.114546,0.074640,"16,595,500",0.079026,"998,264"
57,0.078381,"Apr 12, 2018",0.078381,0.067488,"15,214,800",0.072451,"963,326"
58,0.072028,"Apr 11, 2018",0.074675,0.065245,"14,430,700",0.068718,"1,366,920"
59,0.069282,"Apr 10, 2018",0.070790,0.063691,"13,864,500",0.066022,"1,614,650"
