,close,date,high,low,market_cap,open,volume
0,0.119040,"Jun 08, 2018",0.121773,0.116479,"41,475,100",0.121004,"259,831"
1,0.120916,"Jun 07, 2018",0.126636,0.117211,"41,549,900",0.121222,"180,076"
2,0.121238,"Jun 06, 2018",0.121863,0.116969,"41,298,000",0.120487,"55,563"
3,0.120678,"Jun 05, 2018",0.122467,0.115914,"41,143,600",0.120037,"318,559"
4,0.120015,"Jun 04, 2018",0.137443,0.118168,"42,865,300",0.125060,"57,323"
5,0.125174,"Jun 03, 2018",0.143523,0.124388,"48,089,300",0.140301,"302,122"
6,0.140464,"Jun 02, 2018",0.141447,0.126849,"44,383,700",0.129490,"62,113"
7,0.129522,"Jun 01, 2018",0.135395,0.124036,"45,257,100",0.132371,"417,964"
8,0.132097,"May 31, 2018",0.139589,0.130755,"42,243,900",0.133709,"262,498"
9,0.133832,"May 30, 2018",0.141903,0.129853,"43,452,000",0.137533,"558,676"
10,0.137448,"May 29, 2018",0.137617,0.123253,"38,940,400",0.123253,"535,196"
11,0.124558,"May 28, 2018",0.137235,0.123351,"43,286,300",0.137015,"137,193"
12,0.136255,"May 27, 2018",0.144011,0.133120,"43,735,600",0.138438,"22,501"
13,0.138192,"May 26, 2018",0.153323,0.135772,"43,831,500",0.140746,"133,490"
14,0.140642,"May 25, 2018",0.155846,0.137807,"48,534,100",0.155846,"116,419"
15,0.155680,"May 24, 2018",0.156458,0.132254,"44,192,100",0.141910,"312,840"
16,0.142532,"May 23, 2018",0.165682,0.138940,"47,932,700",0.153928,"484,998"
17,0.154180,"May 22, 2018",0.173640,0.153159,"52,550,200",0.168773,"233,584"
18,0.169080,"May 21, 2018",0.191744,0.167126,"53,447,900",0.171707,"595,503"
19,0.173842,"May 20, 2018",0.182398,0.169554,"56,183,800",0.180496,"37,653"
20,0.180347,"May 19, 2018",0.185289,0.161787,"54,038,300",0.173604,"108,771"
21,0.173596,"May 18, 2018",0.179834,0.167387,"55,175,300",0.177256,"277,378"
22,0.177383,"May 17, 2018",0.189236,0.176185,"57,086,300",0.183829,"575,581"
23,0.183676,"May 16, 2018",0.185191,0.171133,"54,205,600",0.174552,"250,358"
24,0.174557,"May 15, 2018",0.195212,0.173395,"58,908,800",0.189697,"459,839"
25,0.189948,"May 14, 2018",0.194302,0.178930,"57,858,400",0.189572,"391,095"
26,0.189660,"May 13, 2018",0.192148,0.168595,"52,274,700",0.171277,"190,199"
27,0.171539,"May 12, 2018",0.180272,0.162182,"51,783,500",0.169668,"262,528"
28,0.169990,"May 11, 2018",0.196342,0.164570,"59,582,500",0.195222,"349,598"
29,0.195024,"May 10, 2018",0.198457,0.184533,"56,749,300",0.185955,"700,429"
30,0.185738,"May 09, 2018",0.189140,0.174648,"55,936,100",0.183293,"92,474"
31,0.183531,"May 08, 2018",0.192367,0.177954,"57,133,800",0.188557,"274,068"
32,0.187715,"May 07, 2018",0.191046,0.178566,"57,752,200",0.190644,"580,575"
33,0.190553,"May 06, 2018",0.203383,0.179294,"60,133,700",0.198505,"342,624"
34,0.198485,"May 05, 2018",0.204010,0.175006,"55,217,200",0.182275,"320,686"
35,0.182226,"May 04, 2018",0.192789,0.172710,"55,334,100",0.182662,"39,688"
36,0.183002,"May 03, 2018",0.219788,0.143312,"44,408,300",0.146596,"654,922"
