,close,date,high,low,market_cap,open,volume
0,0.063714,"Jun 08, 2018",0.072635,0.059785,"741,798",0.072600,"15,479"
1,0.072545,"Jun 07, 2018",0.073383,0.069267,"736,963",0.072127,"10,674"
2,0.072137,"Jun 06, 2018",0.079350,0.070811,"810,140",0.079288,"15,506"
3,0.078776,"Jun 05, 2018",0.078918,0.069006,"795,686",0.077874,"18,199"
4,0.078062,"Jun 04, 2018",0.083977,0.068284,"755,372",0.073928,"22,836"
5,0.074202,"Jun 03, 2018",0.076408,0.073325,"773,079",0.075661,"19,477"
6,0.075717,"Jun 02, 2018",0.079705,0.072417,"794,900",0.077797,"18,341"
7,0.078207,"Jun 01, 2018",0.078566,0.073943,"790,727",0.077389,"23,714"
8,0.077332,"May 31, 2018",0.084133,0.065559,"836,554",0.081874,"16,559"
9,0.081889,"May 30, 2018",0.081923,0.069545,"726,093",0.071063,738
10,0.071015,"May 29, 2018",0.097408,0.061615,"693,882",0.067910,"13,402"
11,0.067933,"May 28, 2018",0.070926,0.059332,"715,249",0.070002,"18,459"
12,0.070867,"May 27, 2018",0.081372,0.066057,"710,497",0.069537,"14,078"
13,0.080430,"May 26, 2018",0.099223,0.069455,"785,936",0.076920,"26,438"
14,0.077021,"May 25, 2018",0.077021,0.061160,"710,914",0.069577,"25,515"
15,0.069824,"May 24, 2018",0.083209,0.053696,"646,922",0.063314,"24,958"
16,0.063475,"May 23, 2018",0.076842,0.044539,"480,842",0.047060,"16,767"
17,0.047109,"May 22, 2018",0.049528,0.046586,"503,628",0.049290,"15,727"
18,0.049299,"May 21, 2018",0.050797,0.049123,"516,917",0.050591,"18,734"
19,0.050528,"May 20, 2018",0.050896,0.048326,"499,593",0.048895,"17,296"
20,0.048777,"May 19, 2018",0.049869,0.048493,"503,437",0.049272,"15,067"
21,0.049197,"May 18, 2018",0.049622,0.047390,"494,445",0.048391,"15,864"
22,0.048349,"May 17, 2018",0.051575,0.043772,"520,550",0.050946,"18,805"
23,0.050935,"May 16, 2018",0.051722,0.049542,"528,043",0.051680,27
24,0.051709,"May 15, 2018",0.053218,0.049267,"539,030",0.052755,"12,034"
25,0.052846,"May 14, 2018",0.054758,0.050891,"555,657",0.054382,"10,095"
26,0.054651,"May 13, 2018",0.055020,0.052489,"543,165",0.053160,"18,084"
27,0.053178,"May 12, 2018",0.054215,0.051940,"547,266",0.053561,"12,652"
28,0.053719,"May 11, 2018",0.059557,0.052561,"604,873",0.059199,"22,417"
29,0.059128,"May 10, 2018",0.062716,0.059128,"633,803",0.062031,"14,931"
30,0.062048,"May 09, 2018",0.062477,0.060286,"633,504",0.062001,"14,925"
31,0.062096,"May 08, 2018",0.064448,0.059119,"652,512",0.063862,"16,669"
32,0.063727,"May 07, 2018",0.064665,0.055755,"631,300",0.061786,"22,537"
33,0.061072,"May 06, 2018",0.062083,0.056142,"599,514",0.058675,"23,857"
34,0.058635,"May 05, 2018",0.060249,0.054551,"558,244",0.054636,"8,260"
35,0.054659,"May 04, 2018",0.055875,0.051543,"536,746",0.052532,"6,660"
36,0.052552,"May 03, 2018",0.052803,0.048407,"498,307",0.048770,"10,466"
37,0.048860,"May 02, 2018",0.049162,0.046730,"486,321",0.047596,"21,829"
38,0.047668,"May 01, 2018",0.047683,0.045928,"487,205",0.047683,"24,679"
39,0.047641,"Apr 30, 2018",0.048680,0.044638,"483,360",0.047307,"23,184"
40,0.047329,"Apr 29, 2018",0.048007,0.046364,"481,271",0.047102,201
41,0.047121,"Apr 28, 2018",0.047556,0.043937,"453,097",0.044345,"22,463"
42,0.044496,"Apr 27, 2018",0.046841,0.043749,"475,913",0.046578,"18,649"
43,0.046514,"Apr 26, 2018",0.046710,0.039729,"417,008",0.040813,"21,317"
44,0.040488,"Apr 25, 2018",0.045195,0.030782,"361,902",0.035420,"24,935"
45,0.034794,"Apr 24, 2018",0.035494,0.030912,"343,070",0.033577,"18,497"
46,0.033462,"Apr 23, 2018",0.036191,0.031766,"368,980",0.036112,"14,354"
47,0.036186,"Apr 22, 2018",0.040845,0.035954,"411,796",0.040303,"16,526"
48,0.040302,"Apr 21, 2018",0.046851,0.030469,"472,491",0.046243,"21,898"
49,0.046227,"Apr 20, 2018",0.046479,0.042412,"448,713",0.043916,"22,531"
50,0.043723,"Apr 19, 2018",0.044319,0.040548,"431,339",0.042216,"20,563"
51,0.042184,"Apr 18, 2018",0.045673,0.041110,"441,326",0.043193,"21,842"
52,0.043153,"Apr 17, 2018",0.046299,0.042683,"458,950",0.044918,"19,764"
53,0.044895,"Apr 16, 2018",0.049616,0.044400,"491,149",0.048069,"21,481"
54,0.048089,"Apr 15, 2018",0.048787,0.044396,"469,264",0.045927,"22,728"
