,close,date,high,low,market_cap,open,volume
0,0.000076,"Jun 08, 2018",0.000077,0.000076,"153,009",0.000076,56
1,0.000077,"Jun 07, 2018",0.000077,0.000077,"153,187",0.000077,1
2,0.000076,"Jun 06, 2018",0.000077,0.000075,"150,125",0.000075,1
3,0.000074,"Jun 05, 2018",0.000075,0.000074,"150,097",0.000075,1
4,0.000075,"Jun 04, 2018",0.000075,0.000075,"150,606",0.000075,1
5,0.000077,"Jun 02, 2018",0.000077,0.000075,"150,384",0.000075,1
6,0.000075,"Jun 01, 2018",0.000076,0.000074,"151,043",0.000075,1
7,0.000082,"May 19, 2018",0.000083,0.000082,"164,835",0.000082,8
8,0.000082,"May 18, 2018",0.000083,0.000080,"159,946",0.000080,8
9,0.000083,"May 16, 2018",0.000085,0.000081,"169,781",0.000085,1
10,0.000085,"May 15, 2018",0.000088,0.000084,"173,549",0.000087,1
11,0.000087,"May 14, 2018",0.000089,0.000083,"168,314",0.000084,12
12,0.000089,"May 11, 2018",0.000090,0.000089,"180,821",0.000090,223
13,0.000090,"May 10, 2018",0.000094,0.000090,"186,341",0.000093,226
14,0.000093,"May 09, 2018",0.000093,0.000090,"184,042",0.000092,203
15,0.000092,"May 08, 2018",0.000189,0.000091,"374,803",0.000187,95
16,0.000187,"May 07, 2018",0.000188,0.000092,"192,339",0.000096,65
17,0.000096,"May 06, 2018",0.000099,0.000094,"196,641",0.000098,"2,235"
18,0.000098,"May 05, 2018",0.000199,0.000097,"387,837",0.000194,10
19,0.000194,"May 04, 2018",0.000195,0.000096,"390,039",0.000195,13
20,0.000195,"May 03, 2018",0.000196,0.000092,"184,447",0.000092,19
21,0.000092,"May 02, 2018",0.000093,0.000091,"183,287",0.000092,61
22,0.000092,"Apr 30, 2018",0.000094,0.000092,"188,095",0.000094,3
23,0.000094,"Apr 29, 2018",0.000190,0.000092,"379,623",0.000190,114
24,0.000187,"Apr 28, 2018",0.000189,0.000178,"356,747",0.000178,6
25,0.000179,"Apr 27, 2018",0.000187,0.000179,"372,012",0.000186,5
26,0.000186,"Apr 26, 2018",0.000186,0.000086,"177,320",0.000089,25
27,0.000088,"Apr 25, 2018",0.000097,0.000088,"194,027",0.000097,49
28,0.000098,"Apr 24, 2018",0.000098,0.000095,"189,752",0.000095,55
29,0.000089,"Apr 23, 2018",0.000089,0.000088,"175,683",0.000088,9
30,0.000088,"Apr 22, 2018",0.000090,0.000088,"178,627",0.000089,9
31,0.000089,"Apr 21, 2018",0.000090,0.000087,"176,898",0.000088,15
32,0.000088,"Apr 20, 2018",0.000089,0.000082,"165,433",0.000083,38
33,0.000083,"Apr 19, 2018",0.000165,0.000081,"163,342",0.000082,138
34,0.000082,"Apr 18, 2018",0.000163,0.000080,"315,952",0.000158,100
35,0.000158,"Apr 17, 2018",0.000158,0.000079,"157,463",0.000079,45
36,0.000162,"Apr 15, 2018",0.000163,0.000160,"320,159",0.000160,2
37,0.000160,"Apr 14, 2018",0.000163,0.000157,"314,786",0.000157,2
38,0.000157,"Apr 13, 2018",0.000164,0.000078,"158,420",0.000079,2
39,0.000079,"Apr 12, 2018",0.000079,0.000079,"157,691",0.000079,1
40,0.000138,"Apr 11, 2018",0.000139,0.000136,"273,332",0.000137,5
41,0.000136,"Apr 10, 2018",0.000137,0.000133,"270,509",0.000135,5
42,0.000135,"Apr 09, 2018",0.000143,0.000132,"281,104",0.000141,5
43,0.000140,"Apr 08, 2018",0.000142,0.000069,"138,133",0.000069,14
44,0.000069,"Apr 07, 2018",0.000070,0.000066,"132,472",0.000066,23
45,0.000066,"Apr 06, 2018",0.000068,0.000065,"135,574",0.000068,1
46,0.000068,"Apr 05, 2018",0.000068,0.000068,"135,882",0.000068,1
47,0.000068,"Apr 04, 2018",0.000074,0.000067,"148,378",0.000074,2
48,0.000074,"Apr 03, 2018",0.000075,0.000070,"141,032",0.000070,2
49,0.000070,"Apr 02, 2018",0.000142,0.000068,"136,550",0.000068,11
50,0.000068,"Apr 01, 2018",0.000141,0.000065,"277,286",0.000139,61
51,0.000139,"Mar 31, 2018",0.000144,0.000068,"136,790",0.000068,1
52,0.000068,"Mar 30, 2018",0.000144,0.000066,"283,448",0.000142,24
53,0.000142,"Mar 29, 2018",0.000146,0.000073,"158,879",0.000079,3
54,0.000079,"Mar 28, 2018",0.000160,0.000079,"311,578",0.000156,4
55,0.000156,"Mar 27, 2018",0.000164,0.000078,"326,874",0.000163,17
56,0.000164,"Mar 26, 2018",0.000170,0.000157,"337,711",0.000169,2
57,0.000169,"Mar 25, 2018",0.000174,0.000084,"170,120",0.000085,177
58,0.000086,"Mar 24, 2018",0.000090,0.000086,"178,298",0.000089,86
59,0.000088,"Mar 23, 2018",0.000174,0.000083,"174,086",0.000087,16
60,0.000087,"Mar 22, 2018",0.000181,0.000085,"355,943",0.000178,29
61,0.000178,"Mar 21, 2018",0.000183,0.000089,"178,148",0.000089,20
62,0.000089,"Mar 20, 2018",0.000090,0.000083,"172,524",0.000086,11
63,0.000085,"Mar 19, 2018",0.000171,0.000082,"327,724",0.000164,106
64,0.000164,"Mar 18, 2018",0.000165,0.000074,"315,570",0.000158,86
65,0.000158,"Mar 17, 2018",0.000166,0.000155,"332,170",0.000166,17
66,0.000166,"Mar 16, 2018",0.000172,0.000080,"165,268",0.000083,267
67,0.000083,"Mar 15, 2018",0.000165,0.000077,"328,395",0.000164,97
68,0.000164,"Mar 14, 2018",0.000187,0.000083,"366,098",0.000183,117
69,0.000183,"Mar 13, 2018",0.000190,0.000091,"363,674",0.000182,251
70,0.000183,"Mar 12, 2018",0.000186,0.000176,"370,772",0.000185,2
71,0.000171,"Mar 11, 2018",0.000176,0.000171,"351,131",0.000176,1
72,0.000176,"Mar 10, 2018",0.000190,0.000175,"370,513",0.000185,1
73,0.000185,"Mar 09, 2018",0.000188,0.000084,"371,863",0.000186,164
74,0.000187,"Mar 08, 2018",0.000202,0.000097,"395,758",0.000198,107
75,0.000198,"Mar 07, 2018",0.000218,0.000189,"428,903",0.000214,229
76,0.000215,"Mar 06, 2018",0.000216,0.000106,"225,619",0.000113,3
77,0.000116,"Mar 05, 2018",0.000117,0.000114,"230,031",0.000115,29
78,0.000115,"Mar 04, 2018",0.000230,0.000114,"457,749",0.000229,31
79,0.000229,"Mar 03, 2018",0.000230,0.000113,"440,926",0.000220,243
80,0.000221,"Mar 02, 2018",0.000223,0.000108,"436,295",0.000218,253
81,0.000219,"Mar 01, 2018",0.000221,0.000102,"206,570",0.000103,20
82,0.000103,"Feb 28, 2018",0.000110,0.000103,"213,361",0.000107,3
83,0.000107,"Feb 27, 2018",0.000217,0.000105,"412,607",0.000206,57
84,0.000206,"Feb 26, 2018",0.000208,0.000094,"191,796",0.000096,128
85,0.000096,"Feb 25, 2018",0.000192,0.000094,"193,987",0.000097,469
86,0.000097,"Feb 24, 2018",0.000210,0.000094,"406,005",0.000203,100
87,0.000203,"Feb 23, 2018",0.000204,0.000097,"393,930",0.000197,40
