,close,date,high,low,market_cap,open,volume
0,0.004731,"Jun 08, 2018",0.004744,0.003682,"195,596",0.004686,213
1,0.004683,"Jun 07, 2018",0.005246,0.003139,"131,025",0.003139,628
2,0.003136,"Jun 06, 2018",0.004280,0.003075,"178,193",0.004269,222
3,0.004271,"Jun 05, 2018",0.004743,0.003181,"176,852",0.004237,294
4,0.004235,"Jun 04, 2018",0.004830,0.003287,"167,310",0.004009,654
5,0.004007,"Jun 03, 2018",0.006247,0.003317,"180,018",0.004313,"1,182"
6,0.004312,"Jun 02, 2018",0.007663,0.004311,"313,705",0.007516,"5,860"
7,0.007519,"Jun 01, 2018",0.008680,0.006365,"353,421",0.008468,"1,326"
8,0.008462,"May 31, 2018",0.010632,0.007329,"306,524",0.007344,"7,594"
9,0.006693,"May 30, 2018",0.006962,0.005514,"233,798",0.005602,"3,064"
10,0.005809,"May 29, 2018",0.006226,0.004153,"204,140",0.004891,"3,427"
11,0.004893,"May 28, 2018",0.005245,0.003766,"195,960",0.004695,"3,820"
12,0.004402,"May 27, 2018",0.005325,0.004010,"172,478",0.004132,"3,301"
13,0.004131,"May 26, 2018",0.004979,0.002808,"121,558",0.002912,"2,282"
14,0.002916,"May 25, 2018",0.003255,0.002628,"125,753",0.003013,"1,471"
15,0.003007,"May 24, 2018",0.003469,0.002187,"143,591",0.003440,"6,250"
16,0.003449,"May 23, 2018",0.003596,0.001720,"71,790",0.001720,"14,971"
17,0.001722,"May 22, 2018",0.004775,0.001712,"120,733",0.002893,"10,247"
18,0.002893,"May 21, 2018",0.004609,0.001673,"103,529",0.002480,"8,001"
19,0.002477,"May 20, 2018",0.014199,0.001571,"130,505",0.003127,"5,572"
20,0.003124,"May 19, 2018",0.018783,0.003123,"258,935",0.006204,"1,710"
21,0.006205,"May 18, 2018",0.007888,0.005099,"224,408",0.005377,55
22,0.005372,"May 17, 2018",0.008105,0.005341,"334,501",0.008014,89
23,0.008010,"May 16, 2018",0.008010,0.005476,"238,451",0.005713,9
24,0.005716,"May 15, 2018",0.006525,0.005683,"267,877",0.006418,12
25,0.006429,"May 14, 2018",0.007968,0.006216,"294,948",0.007067,380
26,0.007068,"May 13, 2018",0.011337,0.006862,"470,051",0.011262,61
27,0.011266,"May 12, 2018",0.011371,0.005217,"217,763",0.005217,1
28,0.005233,"May 11, 2018",0.007703,0.005198,"300,058",0.007189,138
29,0.007181,"May 10, 2018",0.010648,0.006933,"442,696",0.010607,530
30,0.010610,"May 09, 2018",0.010657,0.010252,"437,694",0.010487,46
31,0.010503,"May 08, 2018",0.010777,0.010342,"445,683",0.010678,7
32,0.010656,"May 07, 2018",0.010965,0.010531,"457,426",0.010960,25
33,0.010952,"May 06, 2018",0.011806,0.010805,"488,167",0.011696,757
