,close,date,high,low,market_cap,open,volume
0,0.069448,"Jun 08, 2018",0.077244,0.067739,"15,120,800",0.076650,"757,339"
1,0.076370,"Jun 07, 2018",0.081072,0.074427,"15,731,700",0.079747,"647,252"
2,0.079479,"Jun 06, 2018",0.084304,0.077342,"16,477,100",0.083526,"711,293"
3,0.083639,"Jun 05, 2018",0.087106,0.075459,"16,769,900",0.085010,"851,110"
4,0.085015,"Jun 04, 2018",0.094938,0.082323,"18,529,400",0.093929,"993,048"
5,0.091848,"Jun 03, 2018",0.103771,0.089968,"20,028,100",0.101526,"1,342,450"
6,0.102059,"Jun 02, 2018",0.106702,0.095670,"20,388,800",0.103355,"775,662"
7,0.103372,"Jun 01, 2018",0.105940,0.097843,"20,471,200",0.103773,"787,955"
8,0.103727,"May 31, 2018",0.106956,0.100123,"20,294,200",0.102876,"2,637,730"
9,0.102753,"May 30, 2018",0.108797,0.098636,"20,560,000",0.104223,"3,604,840"
10,0.103918,"May 29, 2018",0.108804,0.091173,"17,985,700",0.091173,"3,770,990"
11,0.091886,"May 28, 2018",0.108344,0.086637,"19,478,000",0.098738,"1,853,930"
12,0.099249,"May 27, 2018",0.104723,0.097944,"20,376,100",0.103291,"66,514"
13,0.103248,"May 26, 2018",0.112983,0.101092,"20,545,300",0.104148,"186,020"
14,0.104141,"May 25, 2018",0.110582,0.100427,"21,434,300",0.108655,"192,272"
15,0.108504,"May 24, 2018",0.112127,0.100946,"20,699,500",0.104930,"537,258"
16,0.105666,"May 23, 2018",0.128510,0.101986,"25,000,100",0.126731,"788,635"
17,0.127101,"May 22, 2018",0.142287,0.126824,"28,068,800",0.142287,"1,213,290"
18,0.142487,"May 21, 2018",0.153034,0.137591,"29,231,400",0.148180,"1,334,830"
19,0.148643,"May 20, 2018",0.149932,0.140584,"29,137,200",0.147703,"1,364,870"
20,0.148117,"May 19, 2018",0.160101,0.143701,"30,762,100",0.155939,"1,552,070"
21,0.155231,"May 18, 2018",0.162795,0.145708,"32,114,500",0.162795,"1,829,640"
22,0.162879,"May 17, 2018",0.183570,0.160620,"34,982,100",0.177331,"2,328,320"
23,0.177649,"May 16, 2018",0.189473,0.148680,"31,040,900",0.157353,"4,369,500"
24,0.157754,"May 15, 2018",0.168626,0.137236,"27,201,900",0.137892,"2,203,590"
25,0.136416,"May 14, 2018",0.156903,0.135534,"30,108,800",0.152628,"1,772,780"
26,0.152185,"May 13, 2018",0.152844,0.139499,"28,286,900",0.143392,"1,926,930"
27,0.143553,"May 12, 2018",0.149494,0.119546,"27,633,500",0.140080,"2,438,200"
28,0.140100,"May 11, 2018",0.169277,0.130635,"32,520,300",0.164852,"2,619,830"
29,0.164434,"May 10, 2018",0.182588,0.164332,"35,537,400",0.180146,"2,655,260"
30,0.180501,"May 09, 2018",0.182874,0.172363,"35,818,100",0.181549,"2,078,830"
31,0.180980,"May 08, 2018",0.193955,0.173381,"35,701,700",0.181286,"2,303,040"
32,0.180444,"May 07, 2018",0.196786,0.169169,"38,370,300",0.194837,"2,468,690"
33,0.195342,"May 06, 2018",0.219920,0.183545,"41,969,300",0.213130,"2,440,770"
34,0.213751,"May 05, 2018",0.222328,0.190634,"37,537,800",0.191473,"3,079,350"
35,0.192921,"May 04, 2018",0.205644,0.183852,"36,647,300",0.186939,"2,476,560"
36,0.187148,"May 03, 2018",0.200549,0.172478,"34,155,200",0.174210,"2,837,340"
37,0.175565,"May 02, 2018",0.176390,0.167027,"33,168,700",0.169159,"2,281,080"
38,0.170942,"May 01, 2018",0.171962,0.158779,"32,827,100",0.171331,"2,479,570"
39,0.170006,"Apr 30, 2018",0.195157,0.168346,"29,489,400",0.185085,"3,980,800"
40,0.186455,"Apr 29, 2018",0.218234,0.166319,"26,799,200",0.168315,"6,467,990"
41,0.169013,"Apr 28, 2018",0.177985,0.165245,"26,858,100",0.168739,"2,643,000"
