,close,date,high,low,market_cap,open,volume
0,0.115448,"Jun 08, 2018",0.117458,0.114459,"5,307,270",0.116160,"1,536"
1,0.116072,"Jun 07, 2018",0.117151,0.115680,"5,289,160",0.115770,"1,129"
2,0.115664,"Jun 06, 2018",0.120523,0.113417,"5,276,610",0.115502,"2,996"
3,0.115533,"Jun 05, 2018",0.117161,0.111900,"5,346,380",0.117036,"1,393"
4,0.116980,"Jun 04, 2018",0.118146,0.114080,"5,324,260",0.116559,858
5,0.116504,"Jun 03, 2018",0.126346,0.116344,"5,401,840",0.118264,"4,834"
6,0.118232,"Jun 02, 2018",0.118374,0.114359,"5,256,080",0.115079,"1,992"
7,0.115129,"Jun 01, 2018",0.117958,0.113125,"5,371,740",0.117619,917
8,0.117533,"May 31, 2018",0.118920,0.112036,"5,212,380",0.114136,"2,266"
9,0.114157,"May 30, 2018",0.118679,0.110554,"5,355,130",0.117269,"6,300"
10,0.117190,"May 29, 2018",0.119835,0.111256,"5,171,550",0.113255,"5,993"
11,0.113292,"May 28, 2018",0.122212,0.112949,"5,537,320",0.121273,"3,073"
12,0.121244,"May 27, 2018",0.121909,0.120114,"5,566,060",0.121909,"1,148"
13,0.121855,"May 26, 2018",0.125966,0.121199,"5,666,550",0.124117,"1,655"
14,0.124280,"May 25, 2018",0.131281,0.122048,"5,903,890",0.129323,"3,432"
15,0.129081,"May 24, 2018",0.134306,0.117889,"5,674,150",0.124298,"10,209"
16,0.123632,"May 23, 2018",0.144904,0.112903,"6,583,280",0.144222,"24,229"
17,0.144372,"May 22, 2018",0.157081,0.143798,"6,988,300",0.153104,"6,200"
18,0.153131,"May 21, 2018",0.160928,0.152915,"7,130,240",0.156222,"5,781"
19,0.156027,"May 20, 2018",0.161097,0.150125,"7,055,850",0.154602,"2,719"
20,0.154486,"May 19, 2018",0.159199,0.149442,"7,181,490",0.157364,"7,595"
21,0.157388,"May 18, 2018",0.163987,0.149458,"6,922,870",0.151706,"2,034"
22,0.151573,"May 17, 2018",0.166235,0.150704,"7,051,250",0.154528,"13,194"
23,0.154434,"May 16, 2018",0.161454,0.150767,"7,360,850",0.161322,"1,572"
24,0.161415,"May 15, 2018",0.170504,0.157520,"7,397,090",0.162126,"11,082"
25,0.162404,"May 14, 2018",0.170764,0.158130,"7,790,780",0.170764,"32,108"
26,0.170795,"May 13, 2018",0.171951,0.156616,"7,189,050",0.157584,"21,065"
27,0.157639,"May 12, 2018",0.161581,0.149809,"6,885,570",0.150941,"36,754"
28,0.151386,"May 11, 2018",0.162160,0.151386,"7,342,460",0.160966,"40,480"
29,0.160773,"May 10, 2018",0.171965,0.160618,"7,740,330",0.169698,"18,590"
30,0.169746,"May 09, 2018",0.170893,0.163525,"7,640,220",0.167513,"48,517"
31,0.167769,"May 08, 2018",0.179474,0.164683,"8,103,910",0.177690,"22,203"
32,0.177313,"May 07, 2018",0.192276,0.168885,"8,759,760",0.192081,"53,948"
33,0.191848,"May 06, 2018",0.204367,0.188795,"9,233,020",0.202471,"45,150"
34,0.202334,"May 05, 2018",0.215203,0.200109,"9,635,060",0.211299,"50,753"
35,0.211399,"May 04, 2018",0.217189,0.209079,"9,880,320",0.216690,"10,229"
36,0.216775,"May 03, 2018",0.217813,0.202530,"9,285,290",0.203652,"51,229"
37,0.203645,"May 02, 2018",0.206654,0.196001,"9,036,070",0.198198,"46,624"
38,0.198496,"May 01, 2018",0.203306,0.194354,"9,251,220",0.202928,"45,914"
39,0.202751,"Apr 30, 2018",0.214742,0.201260,"9,642,980",0.211534,"45,894"
40,0.211605,"Apr 29, 2018",0.213914,0.203790,"9,448,600",0.207282,"47,444"
41,0.207363,"Apr 28, 2018",0.210887,0.198664,"9,058,190",0.198729,"31,629"
42,0.199413,"Apr 27, 2018",0.221913,0.199413,"9,339,300",0.204908,"45,069"
43,0.202397,"Apr 26, 2018",0.204578,0.182527,"8,595,690",0.188604,"46,847"
44,0.184680,"Apr 25, 2018",0.223700,0.184680,"10,090,100",0.221406,"50,636"
45,0.222921,"Apr 24, 2018",0.222921,0.207398,"9,561,760",0.209825,"50,503"
46,0.209647,"Apr 23, 2018",0.216555,0.205757,"9,471,210",0.207850,"48,334"
47,0.208182,"Apr 22, 2018",0.224001,0.201368,"9,373,050",0.205708,"44,386"
48,0.205708,"Apr 21, 2018",0.223326,0.196382,"10,123,800",0.222197,"53,100"
49,0.222121,"Apr 20, 2018",0.224989,0.204457,"9,610,220",0.210937,"40,590"
50,0.210799,"Apr 19, 2018",0.214591,0.192251,"8,822,460",0.193658,"40,649"
51,0.193514,"Apr 18, 2018",0.195692,0.177480,"8,233,560",0.180742,"39,492"
52,0.180574,"Apr 17, 2018",0.184601,0.176735,"8,393,020",0.184253,"39,470"
53,0.183597,"Apr 16, 2018",0.193441,0.178940,"8,765,550",0.192442,"40,210"
54,0.192523,"Apr 15, 2018",0.198638,0.186209,"8,655,130",0.190029,"42,452"
55,0.189826,"Apr 14, 2018",0.244069,0.169657,"7,753,370",0.170241,"218,242"
56,0.170241,"Apr 13, 2018",0.182601,0.162817,"7,529,450",0.165334,"40,836"
57,0.166945,"Apr 12, 2018",0.181645,0.154445,"7,322,930",0.160809,"90,153"
58,0.161198,"Apr 11, 2018",0.165824,0.153175,"7,147,970",0.156976,"35,412"
59,0.156825,"Apr 10, 2018",0.162952,0.139799,"6,393,420",0.140414,"31,557"
60,0.140299,"Apr 09, 2018",0.149778,0.136389,"6,678,610",0.146686,"34,251"
61,0.146449,"Apr 08, 2018",0.146973,0.136369,"6,252,090",0.137326,"36,585"
62,0.137202,"Apr 07, 2018",0.140173,0.132180,"6,028,670",0.132427,"34,991"
63,0.132269,"Apr 06, 2018",0.134543,0.127554,"6,036,810",0.132613,"33,359"
64,0.133293,"Apr 05, 2018",0.137836,0.130856,"6,093,470",0.133866,"36,807"
65,0.133810,"Apr 04, 2018",0.149195,0.132592,"6,737,840",0.148031,"34,241"
66,0.148133,"Apr 03, 2018",0.149553,0.134557,"6,143,980",0.134992,"42,723"
67,0.134191,"Apr 02, 2018",0.135372,0.129446,"5,929,750",0.130293,717
68,0.129655,"Apr 01, 2018",0.135054,0.122711,"6,010,830",0.132082,"1,196"
69,0.132086,"Mar 31, 2018",0.139983,0.129947,"5,920,820",0.130111,"1,539"
70,0.130091,"Mar 30, 2018",0.137099,0.125730,"6,137,240",0.134875,"5,118"
71,0.135211,"Mar 29, 2018",0.155730,0.131278,"6,923,100",0.152154,"10,520"
72,0.151976,"Mar 28, 2018",0.163511,0.151705,"7,411,600",0.162900,"4,997"
73,0.162937,"Mar 27, 2018",0.170077,0.156802,"7,685,800",0.168936,"2,868"
74,0.168374,"Mar 26, 2018",0.176493,0.158457,"7,917,090",0.174030,"6,459"
75,0.174164,"Mar 25, 2018",0.184743,0.170875,"8,002,980",0.175929,"5,261"
76,0.178384,"Mar 24, 2018",0.187170,0.165033,"8,062,940",0.177257,"11,917"
77,0.174186,"Mar 23, 2018",0.179587,0.154160,"7,401,020",0.162715,"26,523"
78,0.162719,"Mar 22, 2018",0.169958,0.157656,"7,642,620",0.168037,"4,050"
79,0.168343,"Mar 21, 2018",0.171545,0.163419,"7,479,660",0.164463,"2,854"
80,0.164166,"Mar 20, 2018",0.168680,0.154427,"7,172,520",0.157719,"3,288"
81,0.157429,"Mar 19, 2018",0.163003,0.149328,"7,184,470",0.157991,"4,753"
82,0.158659,"Mar 18, 2018",0.158659,0.131782,"6,634,330",0.145901,"22,256"
83,0.146257,"Mar 17, 2018",0.159894,0.143821,"6,964,030",0.153161,"7,738"
84,0.149428,"Mar 16, 2018",0.159683,0.144794,"7,000,740",0.153978,"3,936"
85,0.154064,"Mar 15, 2018",0.157987,0.144362,"7,137,800",0.157001,"13,570"
86,0.154527,"Mar 14, 2018",0.178980,0.150799,"7,611,590",0.167433,"24,837"
87,0.167410,"Mar 13, 2018",0.173728,0.161440,"7,498,780",0.164961,"8,908"
88,0.165913,"Mar 12, 2018",0.180911,0.159942,"8,086,790",0.177907,"13,666"
89,0.178469,"Mar 11, 2018",0.182273,0.152816,"7,331,020",0.161289,"2,770"
90,0.161848,"Mar 10, 2018",0.179128,0.158223,"7,798,350",0.171582,"7,925"
91,0.171508,"Mar 09, 2018",0.176123,0.151158,"7,775,630",0.171092,"15,227"
92,0.172182,"Mar 08, 2018",0.186932,0.163582,"8,495,020",0.186932,"8,269"
93,0.187197,"Mar 07, 2018",0.211841,0.175109,"9,478,710",0.208590,"10,581"
94,0.208861,"Mar 06, 2018",0.231831,0.198456,"10,534,200",0.231831,"12,626"
95,0.223706,"Mar 05, 2018",0.234768,0.221945,"10,531,800",0.231792,"7,469"
