,close,date,high,low,market_cap,open,volume
0,0.237433,"Jun 08, 2018",0.238468,0.213079,"3,789,150",0.219089,"117,696"
1,0.218880,"Jun 07, 2018",0.258662,0.208708,"3,715,920",0.214855,"36,241"
2,0.214674,"Jun 06, 2018",0.230223,0.202738,"3,970,180",0.229557,"77,788"
3,0.229628,"Jun 05, 2018",0.229628,0.197630,"3,749,610",0.216803,"134,976"
4,0.217779,"Jun 04, 2018",0.226305,0.201771,"3,787,920",0.219018,"95,770"
5,0.214574,"Jun 03, 2018",0.226028,0.204572,"3,595,880",0.207914,"3,313"
6,0.208998,"Jun 02, 2018",0.228848,0.202710,"3,813,360",0.220489,"7,056"
7,0.220559,"Jun 01, 2018",0.236648,0.217566,"3,896,590",0.225302,"11,546"
8,0.225112,"May 31, 2018",0.319798,0.223039,"3,915,900",0.226418,"83,977"
9,0.227701,"May 30, 2018",0.251018,0.215956,"3,739,970",0.216246,"80,948"
10,0.217580,"May 29, 2018",0.229816,0.201241,"3,870,970",0.223820,"108,360"
11,0.225005,"May 28, 2018",0.255863,0.219988,"4,407,530",0.254845,"130,604"
12,0.254858,"May 27, 2018",0.255331,0.219199,"3,864,180",0.223428,"160,631"
13,0.223622,"May 26, 2018",0.246762,0.222709,"3,999,010",0.231224,"1,657,770"
14,0.231522,"May 25, 2018",0.248063,0.228952,"4,286,230",0.247831,"117,644"
15,0.247329,"May 24, 2018",0.249635,0.201459,"3,814,700",0.220567,"143,519"
16,0.222528,"May 23, 2018",0.258804,0.218953,"4,442,190",0.256848,"78,774"
17,0.257332,"May 22, 2018",0.283893,0.256686,"4,893,080",0.282919,"82,150"
18,0.283383,"May 21, 2018",0.301372,0.282203,"5,188,600",0.300006,"308,805"
19,0.299773,"May 20, 2018",0.303355,0.286955,"5,002,470",0.289244,"262,468"
20,0.289218,"May 19, 2018",0.300539,0.278966,"4,941,240",0.285703,"200,885"
21,0.285726,"May 18, 2018",0.292741,0.273709,"4,969,100",0.287315,"252,176"
22,0.286998,"May 17, 2018",0.349110,0.286428,"5,717,200",0.330570,"345,439"
23,0.329990,"May 16, 2018",0.360825,0.294535,"5,323,230",0.307790,"388,248"
24,0.308390,"May 15, 2018",0.315384,0.292925,"5,219,660",0.301802,"553,411"
25,0.302268,"May 14, 2018",0.319708,0.295348,"5,492,590",0.317583,"263,375"
26,0.317675,"May 13, 2018",0.321949,0.287117,"5,027,070",0.290667,"346,377"
27,0.291852,"May 12, 2018",0.294304,0.276918,"5,002,910",0.289270,"315,336"
28,0.290712,"May 11, 2018",0.324748,0.274411,"5,616,520",0.324748,"312,777"
29,0.324428,"May 10, 2018",0.346987,0.323698,"5,896,050",0.340911,"379,278"
30,0.341947,"May 09, 2018",0.343686,0.289856,"5,380,110",0.311079,"341,022"
31,0.311500,"May 08, 2018",0.327280,0.295415,"5,352,620",0.309490,"233,476"
32,0.305269,"May 07, 2018",0.324500,0.289201,"5,571,540",0.322707,"254,581"
33,0.321749,"May 06, 2018",0.339929,0.299689,"5,713,370",0.330922,"137,764"
34,0.330974,"May 05, 2018",0.340791,0.315958,"5,485,060",0.317699,"133,033"
35,0.316631,"May 04, 2018",0.343169,0.311898,"5,682,320",0.329124,"166,883"
36,0.329485,"May 03, 2018",0.333198,0.298654,"5,177,790",0.299901,"173,820"
37,0.301226,"May 02, 2018",0.304474,0.268971,"4,879,720",0.282637,"152,866"
38,0.284096,"May 01, 2018",0.298766,0.276968,"5,118,200",0.296450,"149,222"
39,0.296779,"Apr 30, 2018",0.307250,0.260136,"5,304,660",0.307250,"142,372"
40,0.300957,"Apr 29, 2018",0.303852,0.272478,"4,718,830",0.273318,"140,622"
41,0.272435,"Apr 28, 2018",0.279805,0.247997,"4,281,670",0.247997,"139,831"
42,0.250657,"Apr 27, 2018",0.276681,0.247783,"4,707,540",0.272664,"135,240"
43,0.272796,"Apr 26, 2018",0.272796,0.252425,"4,495,930",0.260408,"133,147"
44,0.256331,"Apr 25, 2018",0.310598,0.245996,"5,361,790",0.310559,"133,000"
45,0.312756,"Apr 24, 2018",0.323115,0.271038,"4,684,200",0.271312,"155,359"
46,0.271295,"Apr 23, 2018",0.288447,0.249840,"4,908,180",0.284285,"154,739"
47,0.281141,"Apr 22, 2018",0.328992,0.256872,"5,527,960",0.320183,"181,413"
48,0.320183,"Apr 21, 2018",0.343718,0.275064,"5,547,010",0.321287,"174,270"
49,0.320906,"Apr 20, 2018",0.454044,0.308485,"5,894,390",0.341407,"228,998"
50,0.339049,"Apr 19, 2018",0.352055,0.262481,"4,679,380",0.271033,"155,530"
51,0.269856,"Apr 18, 2018",0.280670,0.236864,"4,340,910",0.251429,"132,848"
52,0.249825,"Apr 17, 2018",0.286304,0.245862,"4,906,020",0.284160,"130,398"
53,0.284201,"Apr 16, 2018",0.306399,0.265626,"5,288,410",0.306309,"140,697"
54,0.305906,"Apr 15, 2018",0.319018,0.255678,"4,415,380",0.255742,"148,313"
55,0.256400,"Apr 14, 2018",0.325018,0.239215,"4,454,900",0.258031,"136,840"
56,0.258031,"Apr 13, 2018",0.293101,0.202164,"4,184,410",0.243705,"140,809"
57,0.244718,"Apr 12, 2018",0.246373,0.209388,"3,632,470",0.211563,"100,531"
58,0.210135,"Apr 11, 2018",0.228273,0.207558,"3,711,920",0.216190,"116,117"
59,0.215684,"Apr 10, 2018",0.222189,0.201678,"3,492,880",0.203433,"103,117"
60,0.202496,"Apr 09, 2018",0.221323,0.183524,"3,186,710",0.185601,"89,380"
61,0.185164,"Apr 08, 2018",0.213338,0.160026,"2,902,570",0.169052,"1,849"
62,0.169129,"Apr 07, 2018",0.212355,0.151829,"2,972,600",0.173333,"11,248"
63,0.173382,"Apr 06, 2018",0.199835,0.172183,"3,314,910",0.193293,"3,579"
64,0.194040,"Apr 05, 2018",0.225193,0.188653,"3,707,420",0.216180,"25,267"
65,0.216124,"Apr 04, 2018",0.264643,0.194252,"4,538,480",0.264643,"115,657"
66,0.261642,"Apr 03, 2018",0.285175,0.247099,"4,479,340",0.261195,"138,688"
67,0.260523,"Apr 02, 2018",0.272623,0.252914,"4,573,960",0.266712,"100,311"
68,0.266213,"Apr 01, 2018",0.285562,0.228615,"4,692,240",0.273609,"140,554"
69,0.273904,"Mar 31, 2018",0.309000,0.232867,"5,108,000",0.297852,"145,095"
70,0.298125,"Mar 30, 2018",0.298967,0.255887,"4,602,380",0.268369,"137,405"
71,0.268014,"Mar 29, 2018",0.321480,0.264427,"5,314,820",0.309912,"131,241"
72,0.308039,"Mar 28, 2018",0.326042,0.301603,"5,374,060",0.313367,"110,225"
73,0.315945,"Mar 27, 2018",0.359040,0.304222,"5,643,070",0.329053,"154,759"
74,0.328279,"Mar 26, 2018",0.369341,0.312391,"6,212,480",0.362256,"174,560"
75,0.362541,"Mar 25, 2018",0.372347,0.327701,"5,801,230",0.338276,"194,036"
76,0.341856,"Mar 24, 2018",0.378292,0.336788,"6,311,740",0.368044,"158,252"
77,0.366804,"Mar 23, 2018",0.403051,0.335120,"6,912,090",0.403051,"187,568"
78,0.400717,"Mar 22, 2018",0.406174,0.327384,"6,557,580",0.382379,"121,640"
79,0.381445,"Mar 21, 2018",0.413772,0.346778,"6,474,520",0.377535,"175,180"
80,0.380730,"Mar 20, 2018",0.389092,0.348799,"6,434,890",0.375225,"167,249"
81,0.375535,"Mar 19, 2018",0.402199,0.337638,"5,794,470",0.337881,"195,306"
82,0.339770,"Mar 18, 2018",0.388870,0.289306,"6,668,890",0.388870,"198,177"
83,0.393568,"Mar 17, 2018",0.479199,0.359889,"6,300,900",0.367412,"207,927"
84,0.367752,"Mar 16, 2018",0.461248,0.298601,"5,643,130",0.329088,"194,646"
85,0.325900,"Mar 15, 2018",0.352975,0.287759,"5,745,840",0.335078,"92,441"
86,0.334850,"Mar 14, 2018",0.401179,0.317480,"6,745,110",0.393352,"40,748"
87,0.390765,"Mar 13, 2018",0.456379,0.388660,"7,259,300",0.423387,"75,819"
88,0.423188,"Mar 12, 2018",0.491919,0.389072,"8,296,480",0.483879,"59,086"
89,0.484477,"Mar 11, 2018",0.491786,0.362733,"6,451,200",0.376256,"94,330"
90,0.376098,"Mar 10, 2018",0.465103,0.374087,"7,079,930",0.412926,"84,947"
91,0.415851,"Mar 09, 2018",0.431495,0.342018,-,0.418903,"71,062"
92,0.419622,"Mar 08, 2018",0.463866,0.384938,-,0.426132,"35,496"
93,0.426137,"Mar 07, 2018",0.568632,0.401081,-,0.568632,"105,897"
94,0.564022,"Mar 06, 2018",0.650057,0.390517,-,0.553846,"296,584"
95,0.557969,"Mar 05, 2018",0.649444,0.525526,-,0.610232,"174,975"
96,0.610053,"Mar 04, 2018",0.710193,0.601458,-,0.683629,"54,736"
97,0.683732,"Mar 03, 2018",0.904022,0.608435,-,0.858528,"63,897"
98,0.859644,"Mar 02, 2018",1.28,0.712414,-,1.28,"95,539"
99,1.28,"Mar 01, 2018",1.28,0.797211,-,0.797211,"46,969"
