,close,date,high,low,market_cap,open,volume
0,0.015276,"Jun 08, 2018",0.017031,0.014706,"9,829,080",0.015227,"1,192,660"
1,0.015201,"Jun 07, 2018",0.016605,0.014193,"9,751,030",0.015106,"1,176,040"
2,0.015110,"Jun 06, 2018",0.016907,0.014808,"10,766,700",0.016679,"1,252,260"
3,0.016713,"Jun 05, 2018",0.017406,0.014981,"10,442,600",0.016177,"1,454,390"
4,0.016178,"Jun 04, 2018",0.016700,0.014677,"10,210,300",0.015817,"1,362,220"
5,0.015841,"Jun 03, 2018",0.015970,0.014240,"9,488,420",0.014699,"1,696,230"
6,0.014718,"Jun 02, 2018",0.014898,0.013480,"9,556,050",0.014804,"1,333,910"
7,0.014807,"Jun 01, 2018",0.014857,0.013765,"9,175,440",0.014214,"1,134,090"
8,0.014183,"May 31, 2018",0.014779,0.013433,"8,713,640",0.013499,"1,066,710"
9,0.013512,"May 30, 2018",0.015786,0.013321,"9,764,520",0.015127,"1,139,420"
10,0.015117,"May 29, 2018",0.015378,0.011712,"8,491,320",0.013154,"1,288,280"
11,0.013192,"May 28, 2018",0.015719,0.012416,"9,955,000",0.015422,"1,159,840"
12,0.015423,"May 27, 2018",0.017016,0.015093,"10,652,700",0.016503,"1,342,310"
13,0.016471,"May 26, 2018",0.018431,0.015671,"11,897,300",0.018431,"1,346,230"
14,0.018428,"May 25, 2018",0.019295,0.017186,"11,839,900",0.018342,"1,520,830"
15,0.019181,"May 24, 2018",0.019360,0.013073,"8,985,240",0.013919,"1,514,070"
16,0.013982,"May 23, 2018",0.019839,0.013948,"12,538,400",0.019424,"1,018,720"
17,0.019463,"May 22, 2018",0.026509,0.019330,"16,617,200",0.025743,"1,827,740"
18,0.026031,"May 21, 2018",0.026031,0.011687,"7,663,920",0.011873,"3,451,420"
19,0.011857,"May 20, 2018",0.012186,0.010381,"7,110,380",0.011015,"1,219,150"
20,0.011006,"May 19, 2018",0.012577,0.010079,"6,655,930",0.010311,"1,028,550"
21,0.010311,"May 18, 2018",0.010324,0.008815,"6,077,610",0.009415,"1,078,620"
22,0.009424,"May 17, 2018",0.009933,0.008455,"5,458,000",0.008455,"735,916"
23,0.008445,"May 16, 2018",0.008545,0.007893,"5,179,520",0.008024,"436,182"
24,0.008020,"May 15, 2018",0.008521,0.007907,"5,310,960",0.008227,"506,717"
25,0.008239,"May 14, 2018",0.008358,0.007400,"5,308,080",0.008223,"499,821"
26,0.008226,"May 13, 2018",0.008338,0.007154,"4,910,310",0.007607,"391,599"
27,0.007622,"May 12, 2018",0.007904,0.006823,"4,824,680",0.007474,"509,596"
28,0.007488,"May 11, 2018",0.008378,0.007146,"5,279,670",0.008179,"304,900"
29,0.008173,"May 10, 2018",0.009158,0.008090,"5,512,020",0.008539,"479,346"
30,0.008531,"May 09, 2018",0.009053,0.007316,"5,131,790",0.007950,"511,279"
31,0.007960,"May 08, 2018",0.009482,0.007771,"5,677,270",0.008795,"508,700"
32,0.008738,"May 07, 2018",0.010075,0.006821,"6,474,060",0.010029,"555,190"
33,0.010024,"May 06, 2018",0.010024,0.008728,"6,284,170",0.009735,"793,674"
34,0.009805,"May 05, 2018",0.010617,0.008758,"5,960,660",0.009234,"549,758"
35,0.009224,"May 04, 2018",0.009916,0.009067,"6,301,620",0.009762,"601,699"
36,0.009794,"May 03, 2018",0.009854,0.007250,"5,563,890",0.008619,"671,489"
37,0.008620,"May 02, 2018",0.008634,0.007032,"5,361,390",0.008306,"688,690"
38,0.008330,"May 01, 2018",0.009071,0.007059,"5,855,170",0.009071,"481,531"
39,0.009041,"Apr 30, 2018",0.009527,0.008764,"5,913,890",0.009161,"484,451"
40,0.009160,"Apr 29, 2018",0.009679,0.009050,"5,987,710",0.009276,"574,180"
41,0.009275,"Apr 28, 2018",0.009717,0.008779,"6,034,280",0.009348,"561,726"
42,0.009429,"Apr 27, 2018",0.009937,0.008873,"6,133,250",0.009501,"748,392"
43,0.009485,"Apr 26, 2018",0.009516,0.008185,"5,569,870",0.008629,"518,090"
44,0.008545,"Apr 25, 2018",0.009928,0.008199,"6,408,780",0.009928,"304,065"
45,0.009932,"Apr 24, 2018",0.009964,0.008141,"5,973,680",0.009254,"603,429"
46,0.009254,"Apr 23, 2018",0.009320,0.008858,"5,729,540",0.008876,"701,694"
47,0.008909,"Apr 22, 2018",0.009167,0.008227,"5,459,980",0.008458,"480,141"
48,0.008458,"Apr 21, 2018",0.008953,0.008200,"5,296,800",0.008206,"583,714"
49,0.008211,"Apr 20, 2018",0.008262,0.007531,"4,957,160",0.007679,"488,798"
50,0.007689,"Apr 19, 2018",0.007850,0.006954,"4,841,150",0.007500,"458,899"
51,0.007496,"Apr 18, 2018",0.007548,0.006986,"4,674,030",0.007241,"476,241"
