,close,date,high,low,market_cap,open,volume
0,0.023807,"Jun 08, 2018",0.025983,0.021048,-,0.022433,83
1,0.022416,"Jun 07, 2018",0.026071,0.022340,-,0.022613,25
2,0.027604,"Jun 03, 2018",0.027654,0.027211,-,0.027333,1
3,0.027325,"Jun 02, 2018",0.027422,0.023021,-,0.023151,1
4,0.023161,"Jun 01, 2018",0.023382,0.022684,-,0.023074,1
5,0.023057,"May 31, 2018",0.024580,0.022916,-,0.023920,15
6,0.023924,"May 30, 2018",0.024339,0.023669,-,0.024036,9
7,0.024020,"May 29, 2018",0.024178,0.022654,-,0.022779,4
8,0.022787,"May 28, 2018",0.027125,0.022718,-,0.026884,2
9,0.026878,"May 27, 2018",0.026954,0.022498,-,0.022812,6
10,0.022802,"May 26, 2018",0.027258,0.022679,-,0.027258,6
11,0.027294,"May 25, 2018",0.027929,0.023127,-,0.023218,1
12,0.023174,"May 24, 2018",0.027812,0.020446,-,0.021130,37
13,0.021183,"May 23, 2018",0.028118,0.019557,-,0.027532,19
14,0.027560,"May 22, 2018",0.037835,0.021550,-,0.037835,108
15,0.027414,"May 21, 2018",0.041381,0.025658,-,0.029505,195
16,0.029468,"May 20, 2018",0.029696,0.028262,-,0.028447,10
17,0.028425,"May 19, 2018",0.028867,0.028119,-,0.028342,1
18,0.028346,"May 18, 2018",0.034917,0.028268,-,0.034655,5
19,0.034624,"May 17, 2018",0.035543,0.025819,-,0.031640,19
20,0.031621,"May 16, 2018",0.032757,0.031411,-,0.031864,26
21,0.027752,"May 14, 2018",0.028431,0.026730,-,0.027896,5
22,0.027901,"May 13, 2018",0.028090,0.026864,-,0.027181,5
23,0.027191,"May 12, 2018",0.027443,0.026633,-,0.027246,5
24,0.029697,"May 08, 2018",0.030345,0.029122,-,0.030068,5
25,0.030004,"May 07, 2018",0.030273,0.029815,-,0.030267,5
26,0.031363,"May 05, 2018",0.031384,0.031161,-,0.031210,2
27,0.031225,"May 04, 2018",0.036456,0.030791,-,0.036456,2
28,0.036470,"May 03, 2018",0.040511,0.028660,-,0.040288,14
29,0.040286,"May 02, 2018",0.040442,0.039638,-,0.039897,14
30,0.033539,"Apr 30, 2018",0.034075,0.033029,-,0.033939,2
31,0.033951,"Apr 29, 2018",0.038099,0.033545,-,0.037965,5
32,0.035398,"Apr 28, 2018",0.035635,0.033615,-,0.033701,14
33,0.033817,"Apr 27, 2018",0.038490,0.033817,-,0.038490,13
34,0.038437,"Apr 26, 2018",0.038523,0.034846,-,0.035718,58
35,0.035424,"Apr 25, 2018",0.039272,0.035375,-,0.039083,7
36,0.039350,"Apr 24, 2018",0.039350,0.035862,-,0.035878,18
37,0.035848,"Apr 23, 2018",0.036421,0.035514,-,0.035827,8
38,0.035900,"Apr 22, 2018",0.036645,0.035712,-,0.036427,18
39,0.036427,"Apr 21, 2018",0.036427,0.035272,-,0.035544,18
40,0.035532,"Apr 20, 2018",0.037882,0.032950,-,0.036631,15
41,0.036607,"Apr 19, 2018",0.037964,0.025111,-,0.037964,76
42,0.037936,"Apr 18, 2018",0.038175,0.033731,-,0.033795,28
43,0.033764,"Apr 17, 2018",0.038192,0.033654,-,0.037752,22
44,0.037733,"Apr 16, 2018",0.039276,0.034839,-,0.039056,68
45,0.039072,"Apr 15, 2018",0.039072,0.034325,-,0.034325,136
46,0.034288,"Apr 14, 2018",0.035337,0.033477,-,0.033592,2
47,0.033592,"Apr 13, 2018",0.034927,0.033036,-,0.033653,27
48,0.033610,"Apr 12, 2018",0.036488,0.031162,-,0.033829,25
49,0.033911,"Apr 11, 2018",0.033911,0.031605,-,0.031696,1
50,0.031665,"Apr 10, 2018",0.036406,0.025149,-,0.025149,224
51,0.024385,"Apr 09, 2018",0.069871,0.020499,-,0.068636,464
52,0.068525,"Apr 08, 2018",0.069308,0.047432,-,0.047432,"1,745"
53,0.047390,"Apr 07, 2018",0.055045,0.046737,-,0.052905,9
54,0.052841,"Apr 06, 2018",0.052976,0.045006,-,0.046554,38
55,0.046792,"Apr 05, 2018",0.046914,0.040505,-,0.041837,104
56,0.041820,"Apr 04, 2018",0.045685,0.041439,-,0.045685,82
57,0.045716,"Apr 03, 2018",0.059096,0.044688,-,0.044833,110
58,0.044801,"Apr 02, 2018",0.056114,0.043553,-,0.051803,51
59,0.051549,"Apr 01, 2018",0.053403,0.033120,-,0.034649,172
60,0.034650,"Mar 31, 2018",0.035985,0.028908,-,0.030015,7
61,0.030011,"Mar 30, 2018",0.030960,0.028395,-,0.030460,6
62,0.030536,"Mar 29, 2018",0.034203,0.029441,-,0.034147,35
63,0.034107,"Mar 28, 2018",0.034337,0.030974,-,0.031147,32
64,0.031154,"Mar 27, 2018",0.046467,0.031114,-,0.046319,76
65,0.046389,"Mar 26, 2018",0.063218,0.032801,-,0.033675,788
66,0.033701,"Mar 25, 2018",0.034623,0.033421,-,0.033927,1
67,0.034401,"Mar 24, 2018",0.039750,0.034319,-,0.039391,44
68,0.038825,"Mar 23, 2018",0.038825,0.036754,-,0.038460,1
69,0.038461,"Mar 22, 2018",0.039465,0.034088,-,0.038696,10
70,0.038766,"Mar 21, 2018",0.040203,0.038402,-,0.039179,64
71,0.039108,"Mar 20, 2018",0.039646,0.036640,-,0.038804,74
72,0.038376,"Mar 19, 2018",0.039579,0.037607,-,0.037839,89
73,0.037999,"Mar 18, 2018",0.038393,0.034132,-,0.035726,77
74,0.035813,"Mar 17, 2018",0.041507,0.035095,-,0.041507,71
75,0.041439,"Mar 16, 2018",0.042591,0.035940,-,0.037338,100
76,0.037359,"Mar 15, 2018",0.037729,0.031346,-,0.032910,161
77,0.032925,"Mar 14, 2018",0.038845,0.031423,-,0.036963,217
78,0.036958,"Mar 13, 2018",0.083075,0.033295,-,0.036900,"8,344"
79,0.037113,"Mar 12, 2018",0.048951,0.035425,-,0.047531,33
80,0.047681,"Mar 11, 2018",0.069234,0.030428,-,0.031679,"1,066"
81,0.031788,"Mar 10, 2018",0.034295,0.031325,-,0.033427,73
82,0.033413,"Mar 09, 2018",0.035339,0.031301,-,0.033085,26
83,0.033295,"Mar 08, 2018",0.040976,0.033000,-,0.040156,13
84,0.040213,"Mar 07, 2018",0.052877,0.039008,-,0.052094,85
85,0.052162,"Mar 06, 2018",0.054990,0.045134,-,0.054535,49
86,0.054686,"Mar 05, 2018",0.056298,0.047110,-,0.048520,135
87,0.048555,"Mar 04, 2018",0.050948,0.046929,-,0.050907,13
88,0.050995,"Mar 03, 2018",0.060593,0.047401,-,0.047824,147
89,0.047883,"Mar 02, 2018",0.058572,0.046385,-,0.054518,169
90,0.054659,"Mar 01, 2018",0.060005,0.045650,-,0.052554,398
91,0.052477,"Feb 28, 2018",0.072598,0.052430,-,0.063987,375
92,0.064062,"Feb 27, 2018",0.084692,0.052191,-,0.062901,978
93,0.062720,"Feb 26, 2018",0.122175,0.051070,-,0.068064,"6,868"
94,0.067977,"Feb 25, 2018",0.125325,0.056892,-,0.112474,"1,880"
95,0.112645,"Feb 24, 2018",0.218756,0.092943,-,0.096495,"22,131"
96,0.096617,"Feb 23, 2018",0.272859,0.028710,-,0.029436,"29,069"
97,0.029464,"Feb 22, 2018",0.038176,0.029151,-,0.036633,10
98,0.036670,"Feb 21, 2018",0.040791,0.035961,-,0.040716,7
99,0.033916,"Feb 20, 2018",0.089282,0.030798,-,0.036754,618
100,0.036721,"Feb 19, 2018",0.048736,0.036423,-,0.048095,74
101,0.048317,"Feb 18, 2018",0.059123,0.027501,-,0.058130,150
102,0.057952,"Feb 17, 2018",0.059793,0.041859,-,0.042405,15
103,0.042415,"Feb 16, 2018",0.063901,0.041276,-,0.062763,101
104,0.063032,"Feb 15, 2018",0.079014,0.053777,-,0.053777,470
105,0.035929,"Feb 14, 2018",0.036007,0.035061,-,0.035061,4
106,0.035165,"Feb 13, 2018",0.052913,0.034575,-,0.052673,4
107,0.052578,"Feb 12, 2018",0.053182,0.034857,-,0.034857,146
108,0.034637,"Feb 11, 2018",0.050152,0.033787,-,0.036764,6
109,0.036795,"Feb 10, 2018",0.056308,0.035174,-,0.054045,18
110,0.054005,"Feb 09, 2018",0.054172,0.035761,-,0.037973,24
111,0.037857,"Feb 08, 2018",0.038888,0.037097,-,0.038641,4
112,0.046114,"Feb 06, 2018",0.047467,0.038654,-,0.045181,6
113,0.045124,"Feb 05, 2018",0.057023,0.033500,-,0.056420,6
114,0.056973,"Feb 04, 2018",0.064491,0.046391,-,0.046708,6
115,0.045395,"Feb 03, 2018",0.045634,0.041007,-,0.044314,27
116,0.044163,"Feb 02, 2018",0.054580,0.040166,-,0.054580,26
117,0.054692,"Feb 01, 2018",0.065742,0.046820,-,0.056548,46
118,0.056416,"Jan 31, 2018",0.070687,0.043251,-,0.043373,24
119,0.043305,"Jan 30, 2018",0.054287,0.042587,-,0.048495,48
120,0.048479,"Jan 29, 2018",0.050408,0.047622,-,0.049763,34
121,0.049811,"Jan 28, 2018",0.057439,0.048547,-,0.054917,81
122,0.054637,"Jan 27, 2018",0.082289,0.053461,-,0.080105,40
123,0.080158,"Jan 26, 2018",0.081088,0.043047,-,0.067074,160
124,0.067253,"Jan 25, 2018",0.085887,0.035356,-,0.035514,"3,240"
