,close,date,high,low,market_cap,open,volume
0,0.004008,"Jun 08, 2018",0.004082,0.003864,-,0.003986,"316,755"
1,0.003984,"Jun 07, 2018",0.004198,0.003939,-,0.004119,"637,462"
2,0.004119,"Jun 06, 2018",0.004497,0.004108,-,0.004497,"356,858"
3,0.004497,"Jun 05, 2018",0.004665,0.004085,-,0.004572,"713,244"
4,0.004573,"Jun 04, 2018",0.004598,0.004172,-,0.004554,"700,763"
5,0.004519,"Jun 03, 2018",0.004645,0.004246,-,0.004645,"792,390"
6,0.004643,"Jun 02, 2018",0.004782,0.004494,-,0.004778,"387,630"
7,0.004767,"Jun 01, 2018",0.005465,0.004393,-,0.005197,"884,125"
8,0.005194,"May 31, 2018",0.005488,0.004993,-,0.004995,"744,839"
9,0.005003,"May 30, 2018",0.005656,0.004631,-,0.005487,"2,667,820"
10,0.004912,"May 29, 2018",0.004912,0.004090,-,0.004185,"1,053,310"
11,0.004187,"May 28, 2018",0.004595,0.004053,-,0.004486,"462,891"
12,0.004485,"May 27, 2018",0.004716,0.004335,-,0.004492,"527,034"
13,0.004490,"May 26, 2018",0.004664,0.003952,-,0.004318,"523,586"
14,0.004320,"May 25, 2018",0.004770,0.004230,-,0.004327,"641,970"
15,0.004324,"May 24, 2018",0.004496,0.003539,-,0.004098,"1,658,090"
16,0.004102,"May 23, 2018",0.005032,0.004033,-,0.004971,"740,069"
17,0.005024,"May 22, 2018",0.005544,0.004921,-,0.005482,"737,663"
18,0.005483,"May 21, 2018",0.005783,0.005425,-,0.005758,"700,662"
19,0.005754,"May 20, 2018",0.005952,0.005101,-,0.005264,"1,095,220"
20,0.005264,"May 19, 2018",0.005467,0.005079,-,0.005204,"471,533"
21,0.005259,"May 18, 2018",0.005322,0.004962,-,0.005169,"572,602"
22,0.005146,"May 17, 2018",0.005662,0.005017,-,0.005577,"1,191,750"
23,0.005575,"May 16, 2018",0.005710,0.005229,-,0.005710,"903,176"
24,0.005708,"May 15, 2018",0.006136,0.005514,-,0.005987,"2,418,600"
25,0.005992,"May 14, 2018",0.006166,0.005504,-,0.005885,"1,398,440"
26,0.005886,"May 13, 2018",0.006022,0.004751,-,0.004987,"1,969,870"
27,0.004988,"May 12, 2018",0.005421,0.004434,-,0.005199,"1,214,390"
28,0.005273,"May 11, 2018",0.005775,0.004810,-,0.005486,"2,302,210"
29,0.005538,"May 10, 2018",0.006662,0.005077,-,0.005170,"4,760,980"
30,0.005167,"May 09, 2018",0.005201,0.004281,-,0.004506,"1,954,830"
31,0.004598,"May 08, 2018",0.004994,0.004045,-,0.004047,"2,650,910"
32,0.004042,"May 07, 2018",0.004159,0.003828,-,0.004155,"922,497"
33,0.004131,"May 06, 2018",0.004446,0.003940,-,0.004354,"1,085,530"
34,0.004243,"May 05, 2018",0.004960,0.003534,-,0.003732,"2,512,030"
35,0.003733,"May 04, 2018",0.003859,0.003562,-,0.003699,"598,111"
36,0.003701,"May 03, 2018",0.003805,0.003358,-,0.003595,"1,561,510"
37,0.003596,"May 02, 2018",0.003767,0.003400,-,0.003580,"1,167,170"
38,0.003582,"May 01, 2018",0.003828,0.003303,-,0.003828,"1,840,600"
39,0.003826,"Apr 30, 2018",0.004078,0.003783,-,0.004012,"1,417,920"
40,0.004007,"Apr 29, 2018",0.004366,0.003809,-,0.004286,"1,840,780"
41,0.004273,"Apr 28, 2018",0.004469,0.004076,-,0.004096,"1,318,310"
42,0.004109,"Apr 27, 2018",0.004473,0.003778,-,0.003827,"2,631,460"
43,0.003824,"Apr 26, 2018",0.004067,0.003243,-,0.003378,"2,315,600"
44,0.003363,"Apr 25, 2018",0.004386,0.003219,-,0.004386,"2,258,460"
45,0.004388,"Apr 24, 2018",0.004388,0.003815,-,0.003902,"6,516,410"
46,0.003882,"Apr 23, 2018",0.004474,0.003621,-,0.003863,"4,507,400"
47,0.003867,"Apr 22, 2018",0.005199,0.003056,-,0.003202,"11,127,000"
48,0.003167,"Apr 21, 2018",0.003233,0.002543,-,0.002666,"2,982,180"
49,0.002621,"Apr 20, 2018",0.002628,0.002309,-,0.002360,"1,118,720"
50,0.002360,"Apr 19, 2018",0.002393,0.002126,-,0.002165,"1,210,000"
51,0.002164,"Apr 18, 2018",0.002243,0.002038,-,0.002074,"796,335"
