,close,date,high,low,market_cap,open,volume
0,0.001145,"Jun 08, 2018",0.001150,0.001136,"122,965",0.001139,2
1,0.001386,"Jun 07, 2018",0.001395,0.001378,"148,810",0.001378,0
2,0.001377,"Jun 06, 2018",0.001384,0.001065,"115,244",0.001067,4
3,0.001068,"Jun 05, 2018",0.001070,0.001033,"112,203",0.001039,1
4,0.001155,"Jun 03, 2018",0.001159,0.001140,"123,653",0.001145,3
5,0.001145,"Jun 02, 2018",0.001424,0.001144,"137,970",0.001278,47
6,0.001278,"Jun 01, 2018",0.001353,0.001122,"121,334",0.001124,19
7,0.001123,"May 31, 2018",0.001441,0.001116,"151,454",0.001403,24
8,0.001403,"May 30, 2018",0.001433,0.001267,"137,015",0.001269,55
9,0.001268,"May 29, 2018",0.001271,0.000850,"92,233",0.000854,20
10,0.000854,"May 28, 2018",0.001186,0.000852,"126,896",0.001175,17
11,0.001175,"May 27, 2018",0.001181,0.001162,"125,832",0.001165,58
12,0.001280,"May 26, 2018",0.001296,0.001256,"137,077",0.001270,19
13,0.001271,"May 25, 2018",0.001454,0.001251,"155,149",0.001437,29
14,0.001434,"May 24, 2018",0.001467,0.001383,"154,262",0.001429,58
15,0.001432,"May 23, 2018",0.001525,0.001420,"164,189",0.001521,1
16,0.001522,"May 22, 2018",0.001570,0.001401,"154,326",0.001429,17
17,0.001430,"May 21, 2018",0.001618,0.001355,"156,524",0.001450,12
18,0.001448,"May 20, 2018",0.001673,0.001311,"142,445",0.001319,14
19,0.001318,"May 19, 2018",0.001817,0.001312,"195,708",0.001813,89
20,0.001813,"May 18, 2018",0.001819,0.001783,"192,553",0.001783,12
21,0.001806,"May 17, 2018",0.001858,0.001796,"198,307",0.001837,5
22,0.001836,"May 16, 2018",0.001836,0.001632,"192,418",0.001782,9
23,0.001783,"May 15, 2018",0.001852,0.001773,"196,687",0.001822,12
24,0.001825,"May 14, 2018",0.002037,0.001811,"197,046",0.001825,80
25,0.001825,"May 13, 2018",0.001948,0.001757,"192,000",0.001778,4
26,0.001779,"May 12, 2018",0.001956,0.001742,"208,478",0.001931,12
27,0.001937,"May 11, 2018",0.002079,0.001924,"224,446",0.002079,5
28,0.002076,"May 10, 2018",0.002157,0.001911,"231,298",0.002142,5
29,0.002143,"May 09, 2018",0.002150,0.002068,"228,445",0.002116,3
30,0.002119,"May 08, 2018",0.002147,0.002087,"230,933",0.002139,53
31,0.002148,"May 07, 2018",0.002212,0.002118,"238,744",0.002211,1
32,0.002210,"May 06, 2018",0.002212,0.001990,"222,858",0.002064,28
33,0.002063,"May 05, 2018",0.002471,0.002032,"219,773",0.002035,32
34,0.002036,"May 04, 2018",0.002420,0.002008,"221,021",0.002047,46
35,0.002048,"May 03, 2018",0.002058,0.001929,"218,993",0.002028,6
36,0.002028,"May 02, 2018",0.002474,0.001998,"245,187",0.002271,32
37,0.002274,"May 01, 2018",0.002526,0.001874,"269,394",0.002495,32
38,0.002493,"Apr 30, 2018",0.002702,0.002316,"284,230",0.002632,77
39,0.002633,"Apr 29, 2018",0.002635,0.002269,"245,850",0.002277,15
40,0.002060,"Apr 28, 2018",0.002074,0.001956,"211,782",0.001961,20
41,0.001968,"Apr 27, 2018",0.002417,0.001968,"260,997",0.002417,19
42,0.002414,"Apr 26, 2018",0.002419,0.002162,"239,240",0.002216,14
43,0.002198,"Apr 25, 2018",0.002436,0.002194,"261,781",0.002425,8
44,0.002441,"Apr 24, 2018",0.002441,0.002230,"240,913",0.002231,10
45,0.002229,"Apr 23, 2018",0.002589,0.002209,"274,957",0.002547,8
46,0.002552,"Apr 22, 2018",0.002580,0.002038,"260,283",0.002411,22
47,0.002411,"Apr 21, 2018",0.002781,0.002353,"295,952",0.002741,4
48,0.002740,"Apr 20, 2018",0.002766,0.001613,"267,842",0.002481,337
49,0.002479,"Apr 19, 2018",0.002543,0.001478,"273,273",0.002531,458
50,0.002529,"Apr 18, 2018",0.002621,0.002396,"281,346",0.002606,46
51,0.002603,"Apr 17, 2018",0.002618,0.002471,"269,429",0.002495,4
52,0.002494,"Apr 16, 2018",0.002686,0.002422,"288,340",0.002670,260
53,0.002672,"Apr 15, 2018",0.002679,0.002560,"276,453",0.002560,19
54,0.002558,"Apr 14, 2018",0.002860,0.002552,"280,308",0.002596,33
55,0.002596,"Apr 13, 2018",0.002876,0.002596,"299,236",0.002771,39
56,0.002768,"Apr 12, 2018",0.002782,0.002352,"262,507",0.002431,15
57,0.002437,"Apr 11, 2018",0.002437,0.002254,"243,395",0.002254,57
58,0.002252,"Apr 10, 2018",0.002374,0.002208,"255,479",0.002366,289
