,close,date,high,low,market_cap,open,volume
0,0.301338,"Jun 08, 2018",0.315446,0.296716,"72,172,400",0.314809,"4,439,890"
1,0.315367,"Jun 07, 2018",0.391907,0.300499,"68,891,700",0.300499,"18,740,100"
2,0.300307,"Jun 06, 2018",0.307789,0.293147,"70,381,100",0.306995,"4,901,450"
3,0.305896,"Jun 05, 2018",0.325175,0.292866,"71,840,300",0.313360,"7,271,070"
4,0.311761,"Jun 04, 2018",0.332516,0.302516,"73,956,800",0.322592,"8,197,940"
5,0.323555,"Jun 03, 2018",0.331756,0.300498,"68,953,600",0.300769,"5,018,580"
6,0.301652,"Jun 02, 2018",0.304182,0.289934,"66,865,000",0.291658,"2,262,430"
7,0.291994,"Jun 01, 2018",0.294294,0.283300,"67,141,400",0.292864,"1,986,930"
8,0.292631,"May 31, 2018",0.300252,0.277942,"64,467,000",0.281198,"2,540,260"
9,0.284038,"May 30, 2018",0.302569,0.274791,"66,704,900",0.290960,"2,676,530"
10,0.290596,"May 29, 2018",0.305959,0.265003,"64,309,500",0.280511,"3,920,900"
11,0.280025,"May 28, 2018",0.304940,0.276415,"69,006,700",0.301000,"3,609,110"
12,0.299359,"May 27, 2018",0.313386,0.297935,"71,671,400",0.312623,"2,233,080"
13,0.312084,"May 26, 2018",0.337996,0.310849,"75,082,000",0.327500,"3,322,910"
14,0.327924,"May 25, 2018",0.344810,0.306234,"74,933,600",0.326853,"10,823,400"
15,0.325531,"May 24, 2018",0.328678,0.267382,"67,890,000",0.296129,"4,701,830"
16,0.297499,"May 23, 2018",0.340821,0.287876,"78,136,000",0.340821,"3,710,660"
17,0.340432,"May 22, 2018",0.377563,0.339331,"86,500,000",0.377304,"2,372,740"
18,0.377799,"May 21, 2018",0.392620,0.366855,"89,571,300",0.390701,"2,859,110"
19,0.390165,"May 20, 2018",0.398931,0.358848,"85,131,800",0.371336,"2,806,870"
20,0.370947,"May 19, 2018",0.380466,0.363517,"86,929,600",0.379178,"2,657,680"
21,0.380110,"May 18, 2018",0.386262,0.365386,"85,608,300",0.373415,"3,858,860"
22,0.374537,"May 17, 2018",0.428871,0.372447,"93,747,500",0.408917,"9,251,500"
23,0.409918,"May 16, 2018",0.444650,0.398305,"99,223,700",0.432803,"7,144,620"
24,0.436606,"May 15, 2018",0.481942,0.422882,"98,914,700",0.431456,"28,208,800"
25,0.432270,"May 14, 2018",0.456100,0.383598,"97,207,600",0.424009,"21,377,500"
26,0.424727,"May 13, 2018",0.426679,0.360572,"88,745,000",0.387096,"12,824,100"
27,0.386301,"May 12, 2018",0.424436,0.355441,"90,719,700",0.395710,"12,460,100"
28,0.397126,"May 11, 2018",0.478669,0.382634,"107,819,000",0.470296,"19,300,100"
29,0.464092,"May 10, 2018",0.532142,0.464092,"119,962,000",0.523263,"27,985,000"
30,0.526788,"May 09, 2018",0.554128,0.497899,"120,385,000",0.525106,"48,356,700"
31,0.522932,"May 08, 2018",0.576665,0.486602,"111,725,000",0.487333,"89,912,800"
32,0.488664,"May 07, 2018",0.573613,0.466297,"123,721,000",0.539660,"51,090,000"
33,0.533964,"May 06, 2018",0.598198,0.524610,"136,229,000",0.594218,"47,242,200"
34,0.594700,"May 05, 2018",0.638034,0.587450,"135,314,000",0.590224,"63,960,300"
35,0.592956,"May 04, 2018",0.615782,0.566876,"135,081,000",0.589209,"49,541,500"
36,0.592620,"May 03, 2018",0.624562,0.580362,"142,395,000",0.621112,"60,649,900"
37,0.619331,"May 02, 2018",0.657264,0.581061,"134,303,000",0.585817,"64,862,900"
38,0.586359,"May 01, 2018",0.596939,0.534775,"123,956,000",0.540684,"57,923,400"
39,0.544962,"Apr 30, 2018",0.645259,0.498053,"119,361,000",0.520639,"89,881,300"
40,0.516135,"Apr 29, 2018",0.520124,0.442421,"104,935,000",0.457714,"52,718,200"
41,0.457197,"Apr 28, 2018",0.460279,0.396559,"91,048,000",0.397142,"37,372,200"
42,0.398904,"Apr 27, 2018",0.406570,0.378968,"88,610,200",0.386509,"19,674,400"
43,0.385451,"Apr 26, 2018",0.393637,0.329740,"81,063,400",0.353590,"18,657,500"
44,0.349612,"Apr 25, 2018",0.439913,0.349083,"100,391,000",0.437896,"18,325,000"
45,0.441128,"Apr 24, 2018",0.456983,0.385422,"90,147,500",0.393214,"22,597,200"
46,0.394126,"Apr 23, 2018",0.398664,0.361339,"83,130,900",0.362609,"26,754,200"
47,0.362624,"Apr 22, 2018",0.374388,0.340477,"79,928,600",0.348640,"25,622,100"
48,0.341832,"Apr 21, 2018",0.403851,0.340392,"90,048,000",0.392780,"19,907,700"
49,0.394085,"Apr 20, 2018",0.400812,0.369511,"86,883,400",0.378977,"19,985,400"
50,0.378934,"Apr 19, 2018",0.383312,0.354768,"82,121,000",0.358203,"21,538,700"
51,0.358124,"Apr 18, 2018",0.359601,0.333668,"77,073,300",0.336186,"21,476,700"
52,0.333688,"Apr 17, 2018",0.345224,0.329304,"79,083,200",0.344953,"18,239,800"
53,0.343106,"Apr 16, 2018",0.369963,0.329992,"83,787,800",0.365474,"16,165,600"
54,0.364074,"Apr 15, 2018",0.364074,0.339620,"78,279,200",0.341446,"17,910,300"
55,0.341887,"Apr 14, 2018",0.347009,0.318877,"73,234,400",0.319441,"15,787,400"
56,0.319324,"Apr 13, 2018",0.336766,0.313467,"75,476,200",0.329219,"14,885,000"
57,0.329234,"Apr 12, 2018",0.331337,0.286666,"71,074,700",0.310020,"15,667,700"
58,0.311940,"Apr 11, 2018",0.311940,0.296458,"71,149,800",0.310348,"15,904,200"
59,0.319286,"Apr 10, 2018",0.319286,0.266860,"65,948,100",0.287659,"11,135,600"
60,0.288273,"Apr 09, 2018",0.315701,0.277059,"67,335,000",0.293708,"9,405,750"
61,0.292443,"Apr 08, 2018",0.302417,0.271670,"63,682,000",0.277774,"10,450,600"
62,0.279512,"Apr 07, 2018",0.290702,0.259170,"61,322,200",0.267481,"7,596,160"
63,0.265987,"Apr 06, 2018",0.280949,0.250523,"63,649,600",0.277633,"8,540,000"
64,0.278167,"Apr 05, 2018",0.280035,0.243827,"60,436,600",0.263618,"18,599,400"
65,0.266359,"Apr 04, 2018",0.277846,0.240143,"60,949,000",0.265853,"14,332,100"
66,0.266854,"Apr 03, 2018",0.266854,0.225740,"52,437,100",0.228725,"10,161,000"
67,0.228563,"Apr 02, 2018",0.229660,0.219987,"50,719,200",0.221232,"9,074,910"
68,0.220456,"Apr 01, 2018",0.239957,0.214779,"53,605,600",0.233822,"7,664,860"
69,0.233355,"Mar 31, 2018",0.252649,0.230821,"55,314,200",0.241275,"8,263,820"
70,0.241479,"Mar 30, 2018",0.257693,0.220718,"55,121,100",0.240433,"9,421,270"
71,0.240351,"Mar 29, 2018",0.319550,0.232996,"67,665,300",0.295149,"10,719,100"
72,0.294869,"Mar 28, 2018",0.308725,0.280130,"66,215,200",0.288824,"10,171,300"
73,0.290957,"Mar 27, 2018",0.323351,0.283913,"73,831,700",0.322046,"9,023,430"
74,0.322205,"Mar 26, 2018",0.367305,0.303041,"82,529,000",0.359983,"11,665,700"
75,0.359810,"Mar 25, 2018",0.399536,0.355510,"87,008,800",0.379524,"11,106,100"
76,0.383567,"Mar 24, 2018",0.416938,0.382006,"91,015,700",0.397001,"9,886,790"
77,0.392837,"Mar 23, 2018",0.414312,0.383739,"94,743,000",0.413259,"7,930,880"
78,0.414043,"Mar 22, 2018",0.469209,0.391296,"102,817,000",0.448475,"8,325,580"
79,0.448525,"Mar 21, 2018",0.461452,0.432339,"100,636,000",0.438964,"19,314,300"
80,0.439569,"Mar 20, 2018",0.439569,0.405471,"99,629,700",0.434574,"7,331,640"
81,0.431316,"Mar 19, 2018",0.456605,0.403374,"101,551,000",0.442955,"10,962,700"
82,0.442111,"Mar 18, 2018",0.457909,0.351900,"104,979,000",0.457909,"8,901,850"
83,0.459429,"Mar 17, 2018",0.517194,0.437053,"118,393,000",0.516418,"11,937,300"
84,0.515503,"Mar 16, 2018",0.572956,0.515280,"130,377,000",0.568689,"18,138,600"
85,0.568912,"Mar 15, 2018",0.580867,0.473850,"122,166,000",0.532877,"13,675,100"
86,0.531430,"Mar 14, 2018",0.618086,0.520750,"138,880,000",0.605782,"8,307,750"
87,0.609988,"Mar 13, 2018",0.666000,0.573378,"144,677,000",0.631064,"13,701,000"
88,0.635707,"Mar 12, 2018",0.671308,0.591729,"140,393,000",0.612381,"11,982,800"
89,0.612636,"Mar 11, 2018",0.629713,0.571163,"138,231,000",0.602949,"10,119,600"
90,0.606693,"Mar 10, 2018",0.688178,0.597860,"146,939,000",0.640933,"8,993,680"
91,0.642468,"Mar 09, 2018",0.732326,0.567584,"163,688,000",0.713988,"9,875,170"
92,0.723584,"Mar 08, 2018",0.800100,0.591020,"138,142,000",0.602559,"36,186,300"
93,0.603100,"Mar 07, 2018",0.659895,0.569134,"147,117,000",0.641708,"11,931,500"
94,0.639495,"Mar 06, 2018",0.738049,0.636690,"69,888,900",0.706380,"15,519,000"
95,0.715761,"Mar 05, 2018",0.773351,0.608169,"63,282,100",0.639604,"15,444,100"
96,0.640800,"Mar 04, 2018",0.640800,0.586602,"61,046,100",0.617005,"11,771,400"
97,0.619915,"Mar 03, 2018",0.651873,0.609196,"64,496,000",0.651873,"17,679,700"
98,0.606992,"Mar 02, 2018",0.606992,0.568674,"59,881,000",0.605229,"14,095,000"
99,0.604996,"Mar 01, 2018",0.616441,0.565164,"56,352,500",0.569566,"22,246,100"
100,0.569005,"Feb 28, 2018",0.667790,0.568182,"63,925,700",0.646110,"18,100,300"
101,0.650637,"Feb 27, 2018",0.712902,0.650208,"70,281,100",0.710345,"16,251,200"
102,0.708917,"Feb 26, 2018",0.715385,0.657388,"67,671,400",0.683967,"9,710,760"
103,0.683925,"Feb 25, 2018",0.717327,0.659899,"70,660,000",0.714174,"18,923,400"
104,0.716391,"Feb 24, 2018",0.783979,0.697085,"75,809,300",0.766219,"14,268,700"
105,0.769807,"Feb 23, 2018",0.820904,0.717672,"81,219,800",0.820904,"20,741,700"
106,0.821853,"Feb 22, 2018",0.936327,0.817494,"88,308,800",0.892554,"21,509,900"
107,0.894366,"Feb 21, 2018",1.00,0.823966,"87,413,000",0.883500,"22,439,500"
108,0.887165,"Feb 20, 2018",1.23,0.712474,"81,634,900",0.825099,"41,319,400"
109,0.830231,"Feb 19, 2018",0.937233,0.819897,"87,431,700",0.883689,"22,316,900"
110,0.887146,"Feb 18, 2018",1.08,0.858014,"107,310,000",1.08,"21,695,800"
111,1.08,"Feb 17, 2018",1.17,1.05,"108,745,000",1.10,"21,778,200"
112,1.10,"Feb 16, 2018",1.17,1.05,"115,062,000",1.16,"22,220,300"
113,1.16,"Feb 15, 2018",1.32,1.13,"124,856,000",1.26,"37,769,600"
114,1.25,"Feb 14, 2018",1.56,1.14,"112,979,000",1.14,"71,211,500"
115,1.15,"Feb 13, 2018",1.38,0.960489,"106,478,000",1.08,"23,702,200"
116,1.08,"Feb 12, 2018",1.11,0.988161,"97,768,100",0.988161,"17,051,600"
117,0.982869,"Feb 11, 2018",1.14,0.957805,"112,678,000",1.14,"16,156,000"
118,1.12,"Feb 10, 2018",1.25,1.06,"115,450,000",1.17,"16,430,200"
119,1.17,"Feb 09, 2018",1.17,0.988959,"102,002,000",1.03,"17,909,700"
120,1.03,"Feb 08, 2018",1.17,1.00,"99,250,000",1.00,"14,646,800"
121,1.01,"Feb 07, 2018",1.18,1.01,"105,949,000",1.07,"13,947,800"
122,1.07,"Feb 06, 2018",1.46,0.806579,"139,437,000",1.41,"20,484,900"
123,1.40,"Feb 05, 2018",1.40,0.834234,"118,972,000",1.20,"20,467,000"
124,1.21,"Feb 04, 2018",1.42,1.13,"133,487,000",1.35,"15,574,300"
125,1.34,"Feb 03, 2018",1.50,1.26,"133,927,000",1.35,"17,691,400"
126,1.35,"Feb 02, 2018",1.64,1.04,"154,687,000",1.56,"21,675,800"
127,1.56,"Feb 01, 2018",2.03,1.52,"194,451,000",1.97,"30,453,700"
128,1.96,"Jan 31, 2018",2.51,1.95,"234,522,000",2.37,"34,701,700"
129,2.37,"Jan 30, 2018",2.77,2.09,"209,505,000",2.12,"18,738,900"
130,2.11,"Jan 29, 2018",2.58,1.83,"255,071,000",2.58,"13,080,200"
131,2.58,"Jan 28, 2018",2.76,2.16,"254,850,000",2.58,"10,871,500"
132,2.55,"Jan 27, 2018",3.20,2.55,"299,177,000",3.02,"13,800,600"
133,3.02,"Jan 26, 2018",3.33,2.50,"294,974,000",2.98,"8,235,690"
134,2.99,"Jan 25, 2018",3.48,2.74,"331,219,000",3.35,"13,398,100"
135,3.32,"Jan 24, 2018",3.56,3.27,"344,491,000",3.48,"24,336,000"
136,3.48,"Jan 23, 2018",3.63,3.09,"331,987,000",3.36,"16,627,300"
137,3.36,"Jan 22, 2018",3.80,2.46,"242,960,000",2.46,"16,599,300"
