,close,date,high,low,market_cap,open,volume
0,0.007630,"Jun 08, 2018",0.007698,0.007560,-,0.007683,"1,809"
1,0.007677,"Jun 07, 2018",0.007748,0.007651,-,0.007657,78
2,0.007650,"Jun 06, 2018",0.007689,0.007501,-,0.007624,"3,432"
3,0.007626,"Jun 05, 2018",0.007640,0.007381,-,0.007502,312
4,0.007499,"Jun 04, 2018",0.007730,0.007471,-,0.007709,302
5,0.007705,"Jun 03, 2018",0.007726,0.007601,-,0.007635,814
6,0.007633,"Jun 02, 2018",0.015326,0.007474,-,0.015033,"8,202"
7,0.015040,"Jun 01, 2018",0.015178,0.007365,-,0.007492,"19,112"
8,0.007486,"May 31, 2018",0.015119,0.007347,-,0.007383,"16,968"
9,0.007380,"May 30, 2018",0.007550,0.007307,-,0.007465,333
10,0.007460,"May 29, 2018",0.007532,0.007079,-,0.007118,298
11,0.007121,"May 28, 2018",0.007411,0.007099,-,0.007345,0
12,0.007344,"May 27, 2018",0.007378,0.007234,-,0.007335,8
13,0.007332,"May 26, 2018",0.007623,0.007292,-,0.007468,1
14,0.007478,"May 25, 2018",0.007514,0.007383,-,0.007488,46
15,0.007528,"May 24, 2018",0.007721,0.007276,-,0.007520,0
16,0.007539,"May 23, 2018",0.008027,0.007471,-,0.008003,7
17,0.008012,"May 22, 2018",0.008414,0.007967,-,0.008408,2
18,0.008409,"May 21, 2018",0.008579,0.008337,-,0.008527,0
19,0.008517,"May 20, 2018",0.008583,0.008192,-,0.008245,684
20,0.008239,"May 19, 2018",0.008367,0.008174,-,0.008239,0
21,0.008240,"May 18, 2018",0.008270,0.007958,-,0.008078,1
22,0.008071,"May 17, 2018",0.008443,0.008025,-,0.008348,10
23,0.008343,"May 16, 2018",0.008493,0.008135,-,0.008486,2
24,0.008491,"May 15, 2018",0.008819,0.008442,-,0.008674,2
25,0.008689,"May 14, 2018",0.008857,0.008327,-,0.008690,1
26,0.008692,"May 13, 2018",0.008756,0.008369,-,0.008468,181
27,0.008471,"May 12, 2018",0.008634,0.008236,-,0.008395,5
28,0.008420,"May 11, 2018",0.009038,0.008364,-,0.009038,33
29,0.009027,"May 10, 2018",0.009389,0.009018,-,0.009280,77
30,0.009283,"May 09, 2018",0.009348,0.008993,-,0.009199,11
31,0.009213,"May 08, 2018",0.009453,0.009072,-,0.009367,23
32,0.009347,"May 07, 2018",0.009448,0.009209,-,0.009315,25
33,0.009531,"May 06, 2018",0.009921,0.009444,-,0.009829,29
34,0.009822,"May 05, 2018",0.009959,0.009677,-,0.009693,562
35,0.009697,"May 04, 2018",0.009770,0.009563,-,0.009748,85
36,0.009751,"May 03, 2018",0.009798,0.009186,-,0.009219,23
37,0.009219,"May 02, 2018",0.009255,0.008987,-,0.009083,592
38,0.009097,"May 01, 2018",0.009241,0.008869,-,0.009241,33
39,0.009233,"Apr 30, 2018",0.009439,0.009149,-,0.009402,56
40,0.009405,"Apr 29, 2018",0.009525,0.009199,-,0.009345,3
41,0.009349,"Apr 28, 2018",0.009436,0.008893,-,0.008916,3
42,0.008946,"Apr 27, 2018",0.009371,0.008946,-,0.009297,20
43,0.009284,"Apr 26, 2018",0.009305,0.008647,-,0.008863,4
44,0.008790,"Apr 25, 2018",0.009745,0.008778,-,0.009698,89
45,0.009764,"Apr 24, 2018",0.009764,0.008921,-,0.008925,1
46,0.008917,"Apr 23, 2018",0.008944,0.008774,-,0.008781,109
47,0.008799,"Apr 22, 2018",0.008982,0.008753,-,0.008928,10
48,0.008928,"Apr 21, 2018",0.008972,0.008716,-,0.008842,15
49,0.008839,"Apr 20, 2018",0.008921,0.008235,-,0.008269,64
50,0.008263,"Apr 19, 2018",0.008269,0.008128,-,0.008164,52
51,0.008158,"Apr 18, 2018",0.008210,0.007881,-,0.007896,35
52,0.007889,"Apr 17, 2018",0.008143,0.005127,-,0.005161,7
53,0.005161,"Apr 16, 2018",0.009709,0.005076,-,0.009512,541
54,0.009505,"Apr 15, 2018",0.009890,0.006485,-,0.007296,52
55,0.007291,"Apr 14, 2018",0.007790,0.006000,-,0.006034,64
56,0.006034,"Apr 13, 2018",0.006113,0.004936,-,0.005053,235
57,0.005045,"Apr 12, 2018",0.010437,0.004361,-,0.004361,789
58,0.004382,"Apr 11, 2018",0.006364,0.004276,-,0.004340,31
59,0.004331,"Apr 10, 2018",0.008054,0.003991,-,0.004017,77
60,0.003999,"Apr 09, 2018",0.007914,0.003966,-,0.004941,11
61,0.004932,"Apr 08, 2018",0.008043,0.003962,-,0.004065,31
62,0.004154,"Apr 07, 2018",0.006753,0.004142,-,0.005714,491
63,0.005617,"Apr 06, 2018",0.005840,0.003762,-,0.003865,145
64,0.003880,"Apr 05, 2018",0.006249,0.003801,-,0.006217,202
65,0.006215,"Apr 04, 2018",0.008260,0.006159,-,0.008233,270
66,0.008235,"Apr 03, 2018",0.011950,0.006786,-,0.011950,"1,611"
67,0.011941,"Apr 02, 2018",0.013456,0.003900,-,0.007567,"1,426"
68,0.007542,"Apr 01, 2018",0.007727,0.003799,-,0.006970,410
69,0.006970,"Mar 31, 2018",0.007195,0.004040,-,0.006751,361
70,0.006750,"Mar 30, 2018",0.007986,0.004098,-,0.007575,42
71,0.007596,"Mar 29, 2018",0.007796,0.004161,-,0.004478,442
72,0.004470,"Mar 28, 2018",0.007932,0.004452,-,0.007737,140
73,0.007739,"Mar 27, 2018",0.008152,0.005886,-,0.008032,"3,949"
74,0.008044,"Mar 26, 2018",0.008651,0.005652,-,0.005700,871
75,0.005710,"Mar 25, 2018",0.010383,0.005528,-,0.008183,112
76,0.008297,"Mar 24, 2018",0.009449,0.007738,-,0.007802,"1,074"
77,0.007695,"Mar 23, 2018",0.010357,0.005348,-,0.005630,161
78,0.005631,"Mar 22, 2018",0.010748,0.005361,-,0.005605,56
79,0.005591,"Mar 21, 2018",0.011542,0.005460,-,0.006095,"3,530"
80,0.006079,"Mar 20, 2018",0.008544,0.005564,-,0.008544,43
81,0.008450,"Mar 19, 2018",0.008655,0.008137,-,0.008194,"1,643"
82,0.008229,"Mar 18, 2018",0.015338,0.007330,-,0.014229,"5,287"
83,0.014260,"Mar 17, 2018",0.014447,0.006408,-,0.007241,"8,233"
84,0.007230,"Mar 16, 2018",0.014942,0.007224,-,0.009480,447
85,0.009488,"Mar 15, 2018",0.014138,0.006583,-,0.007014,944
86,0.007014,"Mar 14, 2018",0.009521,0.006393,-,0.008919,390
87,0.008917,"Mar 13, 2018",0.011633,0.007541,-,0.011063,282
88,0.011085,"Mar 12, 2018",0.017861,0.007419,-,0.017730,212
89,0.017785,"Mar 11, 2018",0.018461,0.008431,-,0.016922,878
90,0.016980,"Mar 10, 2018",0.017744,0.008213,-,0.012763,451
91,0.012759,"Mar 09, 2018",0.016052,0.006730,-,0.007430,"1,116"
92,0.007453,"Mar 08, 2018",0.018598,0.007331,-,0.010798,"1,054"
93,0.010814,"Mar 07, 2018",0.019713,0.008753,-,0.012151,210
94,0.012155,"Mar 06, 2018",0.021059,0.010345,-,0.012155,625
95,0.012185,"Mar 05, 2018",0.022161,0.010353,-,0.010488,"3,101"
96,0.010494,"Mar 04, 2018",0.021347,0.010321,-,0.012602,496
97,0.012618,"Mar 03, 2018",0.021628,0.010998,-,0.014475,285
98,0.014492,"Mar 02, 2018",0.014625,0.010228,-,0.011189,399
99,0.011216,"Mar 01, 2018",0.019211,0.009300,-,0.013229,"1,433"
100,0.012776,"Feb 28, 2018",0.018712,0.009288,-,0.015240,556
101,0.019410,"Feb 27, 2018",0.020593,0.008743,-,0.016859,433
102,0.016813,"Feb 26, 2018",0.017665,0.008655,-,0.008966,"2,621"
103,0.008958,"Feb 25, 2018",0.017802,0.008911,-,0.009299,"1,367"
104,0.009315,"Feb 24, 2018",0.018124,0.008871,-,0.009600,234
105,0.009611,"Feb 23, 2018",0.019255,0.009370,-,0.010300,418
106,0.010310,"Feb 22, 2018",0.020166,0.009763,-,0.010489,754
107,0.010500,"Feb 21, 2018",0.018273,0.010288,-,0.013807,"6,038"
108,0.013824,"Feb 20, 2018",0.019381,0.012257,-,0.018766,935
109,0.018750,"Feb 19, 2018",0.021658,0.010132,-,0.010202,768
110,0.010316,"Feb 18, 2018",0.021866,0.010311,-,0.021518,"3,237"
111,0.013919,"Feb 17, 2018",0.021197,0.010426,-,0.012182,"3,045"
112,0.012182,"Feb 16, 2018",0.018277,0.011741,-,0.012835,989
113,0.012885,"Feb 15, 2018",0.019649,0.010202,-,0.010245,"2,795"
114,0.010239,"Feb 14, 2018",0.017904,0.009454,-,0.014599,685
115,0.014608,"Feb 13, 2018",0.017531,0.008526,-,0.010198,603
116,0.010181,"Feb 12, 2018",0.017626,0.008523,-,0.008523,"1,344"
117,0.008471,"Feb 11, 2018",0.014609,0.007742,-,0.011919,"1,537"
118,0.011930,"Feb 10, 2018",0.017617,0.008731,-,0.013062,"1,213"
119,0.013064,"Feb 09, 2018",0.017371,0.008440,-,0.011845,"4,071"
120,0.011826,"Feb 08, 2018",0.015122,0.007893,-,0.014620,"1,233"
121,0.014674,"Feb 07, 2018",0.016363,0.007596,-,0.014113,"1,924"
122,0.009675,"Feb 06, 2018",0.014853,0.005854,-,0.010138,958
123,0.010121,"Feb 05, 2018",0.015611,0.006920,-,0.012064,"1,648"
124,0.012182,"Feb 04, 2018",0.018494,0.009743,-,0.018494,405
