,close,date,high,low,market_cap,open,volume
0,21.84,"Jun 08, 2018",23.19,21.68,"207,308,000",23.03,"48,764,800"
1,23.06,"Jun 07, 2018",24.72,22.88,"215,028,000",23.89,"52,741,600"
2,24.68,"Jun 06, 2018",24.77,21.57,"197,224,000",21.91,"9,407,510"
3,21.94,"Jun 05, 2018",23.39,21.25,"191,563,000",21.28,"5,826,130"
4,21.22,"Jun 04, 2018",22.83,19.27,"184,582,000",20.51,"7,302,650"
5,20.57,"Jun 03, 2018",20.86,19.84,"181,709,000",20.19,"1,273,000"
6,20.15,"Jun 02, 2018",21.11,20.05,"181,630,000",20.18,"925,629"
7,20.87,"Jun 01, 2018",20.97,19.88,"184,435,000",20.49,"1,209,560"
8,20.36,"May 31, 2018",20.68,19.71,"180,003,000",20.00,"1,510,830"
9,20.00,"May 30, 2018",21.45,19.07,"188,729,000",20.97,"1,980,350"
10,20.87,"May 29, 2018",22.13,18.42,"167,317,000",18.59,"2,477,660"
11,18.72,"May 28, 2018",21.44,18.42,"188,430,000",20.94,"2,487,310"
12,21.02,"May 27, 2018",22.48,20.81,"199,839,000",22.21,"2,807,040"
13,22.20,"May 26, 2018",24.57,22.15,"215,293,000",23.92,"2,398,470"
14,24.03,"May 25, 2018",26.14,23.03,"223,841,000",24.87,"4,506,850"
15,25.02,"May 24, 2018",36.38,23.41,"287,020,000",31.89,"19,994,500"
16,33.05,"May 23, 2018",35.16,23.64,"215,321,000",23.93,"7,310,940"
17,23.97,"May 22, 2018",26.71,23.39,"231,191,000",25.69,"1,535,580"
18,25.56,"May 21, 2018",25.97,22.61,"205,948,000",22.89,"1,847,690"
19,22.86,"May 20, 2018",23.83,22.13,"203,498,000",22.61,"939,239"
20,22.52,"May 19, 2018",23.62,22.23,"208,758,000",23.20,"915,881"
21,23.19,"May 18, 2018",23.69,21.89,"213,162,000",23.69,"1,254,920"
22,23.67,"May 17, 2018",24.80,23.33,"214,627,000",24.08,"1,752,000"
23,24.06,"May 16, 2018",25.30,23.73,"211,706,000",24.02,"853,979"
24,23.71,"May 15, 2018",25.83,23.54,"220,675,000",25.04,"1,703,710"
25,25.03,"May 14, 2018",26.83,24.34,"236,443,000",26.83,"1,401,490"
26,26.83,"May 13, 2018",26.93,23.25,"208,533,000",23.66,"1,686,940"
27,23.15,"May 12, 2018",23.73,21.86,"197,618,000",22.42,"1,513,030"
28,22.43,"May 11, 2018",25.37,22.41,"218,719,000",24.82,"1,301,090"
29,24.80,"May 10, 2018",27.59,24.66,"220,250,000",25.42,"2,317,020"
30,25.43,"May 09, 2018",25.49,22.19,"191,125,000",22.32,"1,960,540"
31,22.34,"May 08, 2018",22.65,20.49,"178,162,000",21.42,"1,584,210"
32,21.37,"May 07, 2018",22.48,20.93,"178,224,000",21.42,"2,108,550"
33,21.65,"May 06, 2018",21.66,19.32,"156,876,000",19.44,"2,302,670"
34,19.37,"May 05, 2018",19.67,18.89,"152,995,000",18.96,"1,237,030"
35,18.97,"May 04, 2018",19.58,18.78,"154,913,000",19.20,"1,768,640"
36,19.26,"May 03, 2018",20.11,18.54,"152,183,000",18.86,"1,465,420"
37,18.99,"May 02, 2018",19.14,17.36,"142,446,000",17.68,"1,275,930"
38,17.73,"May 01, 2018",18.33,17.25,"147,701,000",18.33,"1,168,440"
39,18.33,"Apr 30, 2018",19.05,18.10,"149,437,000",18.55,"1,066,430"
40,18.41,"Apr 29, 2018",19.26,17.71,"155,002,000",19.24,"1,627,290"
41,19.22,"Apr 28, 2018",19.80,17.84,"144,152,000",17.89,"1,220,910"
42,17.98,"Apr 27, 2018",19.88,17.78,"155,485,000",19.30,"1,517,380"
43,19.28,"Apr 26, 2018",19.34,17.25,"143,909,000",17.86,"1,821,570"
44,17.68,"Apr 25, 2018",19.94,17.50,"160,404,000",19.93,"1,663,440"
45,19.99,"Apr 24, 2018",19.99,18.75,"155,423,000",19.31,"2,368,690"
46,19.40,"Apr 23, 2018",20.27,19.05,"162,856,000",20.23,"2,067,190"
47,20.27,"Apr 22, 2018",20.27,17.23,"147,349,000",18.30,"2,979,590"
48,18.29,"Apr 21, 2018",18.29,15.32,"134,378,000",16.69,"2,644,720"
49,16.67,"Apr 20, 2018",16.76,15.52,"129,133,000",16.04,"1,802,420"
50,16.03,"Apr 19, 2018",16.32,15.62,"127,198,000",15.80,"2,274,180"
51,15.69,"Apr 18, 2018",16.06,15.04,"123,566,000",15.35,"2,510,180"
52,15.33,"Apr 17, 2018",16.64,15.02,"131,276,000",16.31,"2,481,690"
53,16.03,"Apr 16, 2018",17.01,14.95,"133,506,000",16.59,"3,013,290"
54,16.14,"Apr 15, 2018",18.45,15.94,"143,965,000",17.97,"4,728,120"
55,18.10,"Apr 14, 2018",19.40,17.59,"150,037,000",18.75,"5,123,790"
56,18.67,"Apr 13, 2018",20.37,18.46,"150,761,000",18.85,"4,695,970"
57,18.82,"Apr 12, 2018",19.30,15.85,"129,295,000",16.16,"5,645,940"
58,16.28,"Apr 11, 2018",17.86,15.19,"138,319,000",17.76,"5,390,520"
59,17.75,"Apr 10, 2018",17.79,14.66,"122,121,000",15.68,"7,070,600"
60,15.58,"Apr 09, 2018",16.71,12.93,"109,722,000",14.13,"719,786"
61,14.10,"Apr 08, 2018",14.10,12.93,"103,989,000",13.39,"491,438"
62,13.37,"Apr 07, 2018",14.26,12.46,"97,596,400",12.57,"370,909"
63,12.54,"Apr 06, 2018",13.10,11.99,"93,223,800",12.00,"582,537"
64,12.05,"Apr 05, 2018",13.42,11.78,"103,506,000",13.33,"661,441"
65,13.33,"Apr 04, 2018",14.08,12.65,"105,373,000",13.57,"504,753"
66,13.58,"Apr 03, 2018",13.98,12.67,"101,808,000",13.11,"515,701"
67,13.02,"Apr 02, 2018",13.65,12.44,"98,640,000",12.70,"761,868"
68,12.68,"Apr 01, 2018",15.23,11.99,"108,660,000",13.99,"395,575"
69,13.98,"Mar 31, 2018",14.42,11.81,"109,824,000",14.14,"477,199"
70,14.33,"Mar 30, 2018",14.33,10.58,"89,852,600",11.57,"899,932"
71,11.59,"Mar 29, 2018",15.47,10.73,"82,986,000",10.73,"1,305,160"
72,10.72,"Mar 28, 2018",11.08,9.02,"84,772,100",10.96,"361,014"
73,11.01,"Mar 27, 2018",11.51,8.17,"73,191,700",9.47,"403,544"
74,9.47,"Mar 26, 2018",11.57,9.12,"87,954,800",11.38,"304,781"
75,11.41,"Mar 25, 2018",22.80,9.44,"80,902,300",10.47,"331,736"
76,10.54,"Mar 24, 2018",10.90,10.04,"83,573,000",10.81,"302,531"
77,10.69,"Mar 23, 2018",10.97,9.39,"82,730,400",10.70,"436,393"
78,10.70,"Mar 22, 2018",14.18,10.00,"86,486,200",11.19,"261,226"
79,11.19,"Mar 21, 2018",12.33,9.38,"81,172,600",10.50,"422,205"
80,10.48,"Mar 20, 2018",10.77,9.37,"77,404,000",10.01,"373,078"
81,9.96,"Mar 19, 2018",9.99,8.76,"70,838,400",9.16,"260,877"
82,9.17,"Mar 18, 2018",9.84,7.89,"73,296,600",9.48,"332,560"
83,9.45,"Mar 17, 2018",11.97,7.50,"92,533,000",11.97,"441,030"
84,12.01,"Mar 16, 2018",12.01,9.18,"82,237,600",10.64,"315,802"
85,10.65,"Mar 15, 2018",10.65,9.13,"81,233,900",10.51,"592,448"
86,10.50,"Mar 14, 2018",12.78,9.96,"88,458,200",11.44,"438,147"
87,11.46,"Mar 13, 2018",12.70,9.82,"90,073,800",11.66,"408,610"
88,11.69,"Mar 12, 2018",12.39,11.15,"86,069,600",11.15,"697,833"
89,11.18,"Mar 11, 2018",11.94,10.36,"83,731,800",10.90,"517,776"
90,10.97,"Mar 10, 2018",12.57,10.87,"92,820,600",12.09,"834,476"
91,12.10,"Mar 09, 2018",12.42,10.46,"90,245,300",11.75,"574,918"
92,11.81,"Mar 08, 2018",13.36,11.46,"100,918,000",13.14,"397,143"
93,13.16,"Mar 07, 2018",14.80,12.79,"113,101,000",14.77,"957,383"
94,14.78,"Mar 06, 2018",16.12,13.71,"105,009,000",13.71,"940,929"
95,13.71,"Mar 05, 2018",16.25,13.71,"119,830,000",15.65,"588,876"
96,15.65,"Mar 04, 2018",15.88,13.75,"120,106,000",15.69,"641,943"
97,15.70,"Mar 03, 2018",16.16,14.57,"113,091,000",14.77,"539,404"
98,14.89,"Mar 02, 2018",19.37,13.66,"148,047,000",19.36,"859,049"
99,19.50,"Mar 01, 2018",19.65,14.78,"115,623,000",15.51,"861,946"
100,15.24,"Feb 28, 2018",17.79,15.24,"129,409,000",17.36,"422,073"
101,17.33,"Feb 27, 2018",17.77,16.40,"124,291,000",16.67,"618,789"
102,16.65,"Feb 26, 2018",17.25,15.16,"116,970,000",15.69,"510,709"
103,15.69,"Feb 25, 2018",16.39,15.27,"118,738,000",15.93,"463,992"
104,15.95,"Feb 24, 2018",17.52,15.21,"127,068,000",17.05,"689,805"
105,17.06,"Feb 23, 2018",18.60,16.73,"136,040,000",18.25,"431,983"
106,18.22,"Feb 22, 2018",19.90,16.60,"139,652,000",18.73,"479,454"
107,18.75,"Feb 21, 2018",21.18,17.98,"157,860,000",21.18,"621,255"
108,21.18,"Feb 20, 2018",21.85,19.38,"149,162,000",20.01,"700,151"
109,19.92,"Feb 19, 2018",22.34,17.56,"139,151,000",18.67,"663,062"
110,18.75,"Feb 18, 2018",23.05,18.71,"164,178,000",22.04,"744,701"
111,22.00,"Feb 17, 2018",22.15,19.06,"143,993,000",19.33,"808,203"
112,19.22,"Feb 16, 2018",20.11,19.15,"143,904,000",19.32,"481,063"
113,19.37,"Feb 15, 2018",19.75,17.97,"135,990,000",18.26,"765,894"
114,17.85,"Feb 14, 2018",18.45,16.92,"126,166,000",16.94,"726,691"
115,16.97,"Feb 13, 2018",19.21,16.84,"133,432,000",17.91,"583,611"
116,17.78,"Feb 12, 2018",19.06,15.58,"127,958,000",17.39,"764,659"
117,17.34,"Feb 11, 2018",18.01,15.88,"130,891,000",17.79,"460,490"
118,17.83,"Feb 10, 2018",18.12,16.39,"122,849,000",16.70,"797,575"
119,16.69,"Feb 09, 2018",17.31,14.77,"115,808,000",15.74,"1,018,770"
120,15.71,"Feb 08, 2018",16.54,14.69,"108,095,000",14.69,"581,215"
121,14.73,"Feb 07, 2018",17.81,14.72,"111,100,000",15.10,"701,492"
122,15.21,"Feb 06, 2018",15.68,11.09,"99,608,600",13.55,"596,422"
123,13.52,"Feb 05, 2018",18.02,12.31,"130,193,000",17.72,"535,766"
124,17.84,"Feb 04, 2018",21.03,17.20,"147,717,000",20.10,"638,372"
125,19.76,"Feb 03, 2018",21.92,15.67,"123,683,000",16.83,"1,168,270"
126,16.77,"Feb 02, 2018",18.95,14.38,"135,274,000",18.50,"977,328"
127,18.39,"Feb 01, 2018",24.34,16.65,"158,597,000",21.69,"614,003"
128,21.75,"Jan 31, 2018",23.97,19.25,"172,260,000",23.56,"1,537,800"
129,23.59,"Jan 30, 2018",28.96,23.07,"194,276,000",26.57,"706,405"
130,26.43,"Jan 29, 2018",28.52,24.90,"188,991,000",25.84,"371,513"
131,25.87,"Jan 28, 2018",27.83,24.42,"193,687,000",26.49,"714,828"
132,26.36,"Jan 27, 2018",28.92,24.87,"208,830,000",28.56,"730,090"
133,28.12,"Jan 26, 2018",30.49,25.60,"209,299,000",28.76,"439,727"
134,28.68,"Jan 25, 2018",31.91,28.19,"229,588,000",31.86,"883,104"
135,31.35,"Jan 24, 2018",31.65,27.95,"207,520,000",28.80,"652,057"
136,28.55,"Jan 23, 2018",32.34,27.77,"221,963,000",30.81,"510,938"
137,30.35,"Jan 22, 2018",33.35,25.58,"236,138,000",32.85,"563,826"
138,32.42,"Jan 21, 2018",35.67,27.58,"255,449,000",35.54,"338,831"
139,35.46,"Jan 20, 2018",36.91,31.56,"234,176,000",32.58,"658,121"
140,32.71,"Jan 19, 2018",32.71,29.22,"217,327,000",30.24,"479,148"
141,30.55,"Jan 18, 2018",34.13,29.86,"223,098,000",31.04,"364,695"
142,30.92,"Jan 17, 2018",33.18,25.52,"229,219,000",31.89,"718,958"
143,31.72,"Jan 16, 2018",37.75,28.64,"270,026,000",37.75,"653,884"
144,37.69,"Jan 15, 2018",41.49,35.88,"277,109,000",38.75,"680,691"
145,38.08,"Jan 14, 2018",43.37,36.25,"294,562,000",41.19,"978,747"
146,41.26,"Jan 13, 2018",43.77,38.95,"297,192,000",41.56,"683,753"
147,41.60,"Jan 12, 2018",44.80,38.83,"306,989,000",42.93,"959,658"
148,42.56,"Jan 11, 2018",45.97,38.24,"307,398,000",44.27,"982,585"
149,44.58,"Jan 10, 2018",49.55,33.34,"248,434,000",35.80,"1,877,450"
150,35.75,"Jan 09, 2018",40.42,35.00,"262,538,000",37.83,"1,052,110"
151,37.93,"Jan 08, 2018",43.04,35.99,"287,460,000",41.47,"1,225,460"
152,41.53,"Jan 07, 2018",48.41,38.83,"316,016,000",45.92,"1,647,280"
153,44.78,"Jan 06, 2018",46.89,40.49,"303,509,000",44.15,"1,066,230"
154,46.81,"Jan 05, 2018",48.47,42.70,"292,686,000",42.70,"1,052,800"
155,43.89,"Jan 04, 2018",50.36,42.26,"341,864,000",50.03,"1,457,510"
156,48.13,"Jan 03, 2018",53.10,36.14,"273,755,000",40.06,"1,576,230"
157,40.22,"Jan 02, 2018",46.25,36.15,"262,166,000",38.41,"1,084,370"
158,39.20,"Jan 01, 2018",46.72,32.15,"311,549,000",46.05,"1,226,750"
159,45.79,"Dec 31, 2017",50.49,43.31,"303,890,000",44.92,"1,279,130"
160,45.46,"Dec 30, 2017",53.83,40.53,"304,806,000",45.37,"1,300,780"
161,49.73,"Dec 29, 2017",51.18,36.22,"271,101,000",40.48,"2,780,250"
162,38.45,"Dec 28, 2017",40.51,27.22,"231,308,000",34.58,"1,218,890"
163,34.89,"Dec 27, 2017",43.62,32.17,"257,159,000",38.77,"1,149,670"
164,38.63,"Dec 26, 2017",38.65,22.39,"165,691,000",25.40,"1,199,190"
