,close,date,high,low,market_cap,open,volume
0,0.009538,"Jun 08, 2018",0.009811,0.009195,"226,174",0.009198,64
1,0.009191,"Jun 07, 2018",0.009724,0.008875,"223,838",0.009104,90
2,0.009087,"Jun 06, 2018",0.009704,0.008109,"203,321",0.008272,358
3,0.008274,"Jun 05, 2018",0.008350,0.007763,"196,096",0.007972,99
4,0.007968,"Jun 04, 2018",0.008649,0.007919,"212,133",0.008626,57
5,0.008622,"Jun 03, 2018",0.008807,0.008422,"208,065",0.008459,320
6,0.008457,"Jun 02, 2018",0.008785,0.008222,"202,906",0.008268,442
7,0.008272,"Jun 01, 2018",0.010449,0.007961,"213,067",0.008682,76
8,0.008676,"May 31, 2018",0.008875,0.008400,"207,149",0.008441,135
9,0.008443,"May 30, 2018",0.008676,0.007878,"210,480",0.008578,192
10,0.008572,"May 29, 2018",0.009958,0.007170,"225,712",0.009200,583
11,0.009203,"May 28, 2018",0.009759,0.009176,"237,259",0.009673,28
12,0.009670,"May 27, 2018",0.009887,0.009303,"241,047",0.009829,92
13,0.009825,"May 26, 2018",0.010301,0.009805,"249,149",0.010162,53
14,0.010175,"May 25, 2018",0.011924,0.009873,"250,826",0.010232,224
15,0.010213,"May 24, 2018",0.010645,0.009790,"248,900",0.010155,80
16,0.010181,"May 23, 2018",0.012503,0.009808,"265,972",0.010854,203
17,0.010864,"May 22, 2018",0.012044,0.010864,"294,844",0.012035,178
18,0.012037,"May 21, 2018",0.012320,0.011968,"296,595",0.012109,63
19,0.012094,"May 20, 2018",0.013148,0.011853,"313,030",0.012782,198
20,0.012773,"May 19, 2018",0.012918,0.012579,"309,603",0.012645,49
21,0.012647,"May 18, 2018",0.013139,0.012351,"310,208",0.012672,264
22,0.012661,"May 17, 2018",0.013022,0.011819,"300,688",0.012286,70
23,0.012278,"May 16, 2018",0.013334,0.012197,"326,018",0.013323,163
24,0.013331,"May 15, 2018",0.015219,0.013241,"331,321",0.013543,73
25,0.013566,"May 14, 2018",0.015200,0.012886,"329,193",0.013459,105
26,0.013461,"May 13, 2018",0.014123,0.013444,"331,915",0.013573,43
27,0.013578,"May 12, 2018",0.014884,0.013135,"343,367",0.014045,207
28,0.014086,"May 11, 2018",0.017309,0.013397,"347,492",0.014217,750
29,0.014200,"May 10, 2018",0.015599,0.014120,"356,685",0.014596,158
30,0.014600,"May 09, 2018",0.016525,0.014480,"367,977",0.015062,518
31,0.015085,"May 08, 2018",0.016004,0.014741,"390,085",0.015970,167
32,0.015936,"May 07, 2018",0.017545,0.015841,"428,231",0.017536,285
33,0.017523,"May 06, 2018",0.017967,0.017238,"432,673",0.017722,55
34,0.017710,"May 05, 2018",0.018774,0.016892,"449,944",0.018433,176
35,0.018442,"May 04, 2018",0.020543,0.018433,"475,747",0.019495,128
36,0.019502,"May 03, 2018",0.019596,0.018368,"451,811",0.018518,335
37,0.018517,"May 02, 2018",0.019088,0.018168,"460,008",0.018858,630
38,0.018887,"May 01, 2018",0.018997,0.017820,"454,573",0.018640,36
39,0.018623,"Apr 30, 2018",0.019903,0.018528,"477,494",0.019584,126
40,0.019591,"Apr 29, 2018",0.020098,0.018553,"457,896",0.018784,183
41,0.018792,"Apr 28, 2018",0.018966,0.018147,"446,948",0.018339,217
42,0.018403,"Apr 27, 2018",0.019224,0.017874,"464,311",0.019056,76
43,0.019030,"Apr 26, 2018",0.019763,0.018521,"464,292",0.019060,401
44,0.018903,"Apr 25, 2018",0.021690,0.018705,"488,692",0.020067,352
45,0.020204,"Apr 24, 2018",0.022703,0.018010,"438,685",0.018018,"2,795"
46,0.018003,"Apr 23, 2018",0.018082,0.017528,"427,029",0.017543,26
47,0.017578,"Apr 22, 2018",0.019218,0.017488,"438,721",0.018027,162
48,0.018027,"Apr 21, 2018",0.018261,0.017508,"441,422",0.018142,121
49,0.018136,"Apr 20, 2018",0.018918,0.016590,"406,858",0.016739,116
