,close,date,high,low,market_cap,open,volume
0,0.020220,"Jun 08, 2018",0.020231,0.018900,"109,953",0.019283,395
1,0.019269,"Jun 07, 2018",0.021535,0.019166,"110,458",0.019372,819
2,0.019354,"Jun 06, 2018",0.021684,0.019351,"123,460",0.021652,"1,730"
3,0.021658,"Jun 05, 2018",0.022431,0.020889,"121,919",0.021382,"1,354"
4,0.021371,"Jun 04, 2018",0.025572,0.021338,"141,540",0.024823,"1,726"
5,0.024811,"Jun 03, 2018",0.031501,0.024428,"151,935",0.026646,"9,380"
6,0.026638,"Jun 02, 2018",0.070721,0.019845,"394,313",0.069153,"47,523"
7,0.067679,"Jun 01, 2018",0.071296,0.027657,"209,744",0.036784,"50,979"
8,0.036682,"May 31, 2018",0.036682,0.015575,"89,244",0.015651,"5,867"
9,0.015654,"May 30, 2018",0.016157,0.014875,"91,086",0.015974,81
10,0.015963,"May 29, 2018",0.018430,0.014615,"91,328",0.016017,392
11,0.016022,"May 28, 2018",0.019936,0.015973,"112,667",0.019759,327
12,0.019755,"May 27, 2018",0.028580,0.015526,"150,570",0.026406,"2,506"
13,0.028594,"May 26, 2018",0.028594,0.011670,"66,855",0.011725,"5,186"
14,0.011740,"May 25, 2018",0.014251,0.011116,"63,391",0.011117,283
15,0.011096,"May 24, 2018",0.015166,0.009617,"68,174",0.011956,"1,450"
16,0.011986,"May 23, 2018",0.012640,0.011137,"69,367",0.012165,113
17,0.012178,"May 22, 2018",0.014136,0.011360,"80,541",0.014125,409
18,0.014127,"May 21, 2018",0.016640,0.014006,"94,816",0.016629,90
19,0.016608,"May 20, 2018",0.016736,0.012711,"75,225",0.013193,484
20,0.013183,"May 19, 2018",0.013985,0.013136,"77,985",0.013677,68
21,0.013679,"May 18, 2018",0.013765,0.012426,"77,383",0.013571,129
22,0.013559,"May 17, 2018",0.016464,0.013482,"92,825",0.016279,53
23,0.016269,"May 16, 2018",0.016271,0.012202,"72,583",0.012729,299
24,0.012737,"May 15, 2018",0.013934,0.012663,"77,161",0.013532,181
25,0.013555,"May 14, 2018",0.014972,0.013018,"82,257",0.014426,309
26,0.014429,"May 13, 2018",0.014754,0.013307,"78,702",0.013802,102
