,close,date,high,low,market_cap,open,volume
0,0.425402,"Jun 08, 2018",0.588164,0.253103,"11,333,100",0.267011,"6,307"
1,0.266808,"Jun 07, 2018",0.293515,0.263046,"11,491,300",0.270742,"11,789"
2,0.270493,"Jun 06, 2018",0.451246,0.257048,"17,741,400",0.418006,"1,979"
3,0.418119,"Jun 05, 2018",0.427419,0.254680,"11,625,300",0.273908,"27,544"
4,0.268229,"Jun 04, 2018",0.273511,0.260219,"11,363,400",0.267740,"20,599"
5,0.268093,"Jun 03, 2018",0.275184,0.256797,"11,392,800",0.268438,"18,298"
6,0.268365,"Jun 02, 2018",0.280024,0.263386,"11,724,900",0.276270,"17,279"
7,0.276389,"Jun 01, 2018",0.276914,0.264190,"11,334,400",0.267076,"4,826"
8,0.266865,"May 31, 2018",0.285798,0.262122,"11,721,500",0.276203,"35,606"
9,0.279902,"May 30, 2018",0.283175,0.272521,"11,823,200",0.278603,"12,468"
10,0.279514,"May 29, 2018",0.279912,0.256892,"10,940,300",0.257802,"15,903"
11,0.257869,"May 28, 2018",0.267903,0.253731,"11,095,000",0.261452,"16,418"
12,0.261387,"May 27, 2018",0.270677,0.256529,"11,442,600",0.269648,"18,037"
13,0.269531,"May 26, 2018",0.293088,0.262972,"12,437,200",0.293088,"31,262"
14,0.293428,"May 25, 2018",0.307478,0.282934,"12,374,100",0.291606,"11,578"
15,0.291991,"May 24, 2018",0.303872,0.290241,"12,667,200",0.298516,"17,375"
16,0.299057,"May 23, 2018",0.323280,0.294936,"13,683,200",0.322463,"25,781"
17,0.322295,"May 22, 2018",0.342975,0.315988,"14,542,100",0.342710,"104,465"
18,0.342653,"May 21, 2018",0.361963,0.339719,"15,236,100",0.359071,"11,038"
19,0.358881,"May 20, 2018",0.365871,0.347249,"15,273,000",0.359950,"14,261"
20,0.359682,"May 19, 2018",0.359682,0.337740,"14,563,700",0.343238,"11,132"
21,0.343314,"May 18, 2018",0.347388,0.331452,"14,366,500",0.337359,"21,687"
22,0.337702,"May 17, 2018",0.351412,0.335117,"14,621,200",0.343347,"21,241"
23,0.343228,"May 16, 2018",0.353208,0.336730,"15,017,300",0.352653,"17,445"
24,0.353131,"May 15, 2018",0.372772,0.352018,"15,755,400",0.369993,"17,538"
25,0.372186,"May 14, 2018",0.394734,0.363887,"16,395,700",0.385036,"18,030"
26,0.384712,"May 13, 2018",0.386749,0.349755,"15,224,700",0.357541,"20,998"
27,0.357856,"May 12, 2018",0.360658,0.335310,"14,793,300",0.347415,"39,961"
28,0.341781,"May 11, 2018",0.396291,0.339709,"16,312,700",0.383105,"35,363"
29,0.382659,"May 10, 2018",0.411806,0.377392,"16,454,800",0.386450,"66,059"
30,0.386719,"May 09, 2018",0.409253,0.383470,"17,292,200",0.406122,"32,282"
31,0.406709,"May 08, 2018",0.444819,0.394285,"18,902,500",0.443948,"58,651"
32,0.443109,"May 07, 2018",0.448645,0.399870,"17,756,800",0.420946,"164,870"
33,0.420664,"May 06, 2018",0.425255,0.394592,"17,032,900",0.403793,"65,633"
34,0.403533,"May 05, 2018",0.416488,0.399875,"17,111,000",0.405653,"47,975"
35,0.405768,"May 04, 2018",0.686868,0.397266,"21,790,500",0.516601,"45,718"
36,0.516787,"May 03, 2018",0.741078,0.388923,"18,740,900",0.444308,"51,823"
37,0.438468,"May 02, 2018",0.450446,0.374883,"18,370,700",0.435539,"35,001"
38,0.437018,"May 01, 2018",0.439936,0.358556,"15,821,700",0.375114,"25,115"
39,0.378922,"Apr 30, 2018",0.400107,0.377375,"16,847,800",0.399448,"39,437"
40,0.400457,"Apr 29, 2018",0.463377,0.392555,"18,896,800",0.448035,"41,087"
41,0.448207,"Apr 28, 2018",0.455259,0.384867,"16,267,400",0.385700,"26,084"
42,0.386812,"Apr 27, 2018",0.410907,0.386812,"17,070,200",0.404741,"32,861"
43,0.404207,"Apr 26, 2018",0.410350,0.364854,"15,793,400",0.374471,"80,633"
44,0.374647,"Apr 25, 2018",0.412025,0.362667,"17,344,800",0.411279,"70,282"
45,0.414117,"Apr 24, 2018",0.417407,0.394144,"16,684,500",0.395636,"68,598"
46,0.395364,"Apr 23, 2018",0.396557,0.377942,"16,039,400",0.380345,"57,921"
47,0.381068,"Apr 22, 2018",0.430982,0.377141,"16,752,900",0.397272,"66,416"
48,0.403192,"Apr 21, 2018",0.403192,0.368586,"16,834,000",0.399199,"46,756"
49,0.396155,"Apr 20, 2018",0.407239,0.381886,"16,705,400",0.396156,"62,070"
50,0.395841,"Apr 19, 2018",0.406929,0.383029,"16,682,200",0.395612,"83,358"
51,0.396906,"Apr 18, 2018",0.399326,0.348303,"14,749,200",0.349778,"108,157"
52,0.349457,"Apr 17, 2018",0.377929,0.347659,"15,085,100",0.357749,"106,709"
53,0.357329,"Apr 16, 2018",0.368242,0.339447,"14,570,300",0.345545,"158,396"
54,0.345514,"Apr 15, 2018",0.345991,0.316319,"13,555,300",0.321478,"37,326"
55,0.321143,"Apr 14, 2018",0.339144,0.316165,"13,763,200",0.326415,"64,765"
56,0.326052,"Apr 13, 2018",0.347288,0.318522,"14,141,900",0.335401,"55,582"
57,0.334860,"Apr 12, 2018",0.336356,0.280608,"12,537,700",0.297359,"63,814"
58,0.298121,"Apr 11, 2018",0.298156,0.272918,"11,926,300",0.282860,"62,076"
59,0.282517,"Apr 10, 2018",0.287396,0.271206,"11,854,600",0.281165,"63,012"
60,0.280349,"Apr 09, 2018",0.297285,0.272071,"11,998,600",0.284587,"40,056"
61,0.284246,"Apr 08, 2018",0.296175,0.280799,"11,984,600",0.285703,"47,342"
62,0.285224,"Apr 07, 2018",0.286031,0.258761,"10,888,700",0.259582,"37,452"
63,0.258781,"Apr 06, 2018",0.267533,0.250437,"11,055,600",0.263564,"11,658"
64,0.264286,"Apr 05, 2018",0.271890,0.251089,"10,883,200",0.259458,"45,800"
65,0.258775,"Apr 04, 2018",0.292931,0.257610,"12,144,300",0.289528,"31,313"
66,0.289891,"Apr 03, 2018",0.295340,0.275642,"11,669,400",0.278210,"22,557"
67,0.277962,"Apr 02, 2018",0.283292,0.263824,"11,249,300",0.268198,"18,052"
68,0.267251,"Apr 01, 2018",0.275516,0.250812,"11,292,500",0.269233,"13,697"
69,0.269110,"Mar 31, 2018",0.281754,0.268100,"11,625,500",0.277177,"30,051"
70,0.276920,"Mar 30, 2018",0.286560,0.255706,"11,453,500",0.273081,"44,064"
71,0.274135,"Mar 29, 2018",0.330635,0.268279,"13,867,200",0.330635,"35,423"
72,0.330383,"Mar 28, 2018",0.331436,0.296624,"12,704,000",0.302906,"35,726"
73,0.303093,"Mar 27, 2018",0.342985,0.292539,"14,384,600",0.342985,"82,923"
74,0.337253,"Mar 26, 2018",0.386426,0.323124,"16,043,400",0.382551,"79,843"
75,0.383052,"Mar 25, 2018",0.395073,0.366078,"16,302,600",0.388741,"75,402"
76,0.393874,"Mar 24, 2018",0.497760,0.392063,"17,444,200",0.415968,"274,410"
77,0.408504,"Mar 23, 2018",0.408504,0.343369,"15,155,100",0.361389,"117,998"
78,0.361414,"Mar 22, 2018",0.384665,0.341191,"15,758,500",0.375784,"42,082"
79,0.385302,"Mar 21, 2018",0.386248,0.351279,"14,993,700",0.357552,"33,773"
80,0.356452,"Mar 20, 2018",0.358125,0.316547,"13,471,600",0.321259,"38,393"
81,0.320487,"Mar 19, 2018",0.349641,0.316788,"14,211,400",0.338907,"51,723"
82,0.338505,"Mar 18, 2018",0.339583,0.295920,"13,811,900",0.329385,"22,969"
83,0.330446,"Mar 17, 2018",0.359750,0.324596,"14,727,300",0.351220,"25,618"
84,0.350844,"Mar 16, 2018",0.362629,0.327276,"14,217,400",0.339066,"23,960"
85,0.339115,"Mar 15, 2018",0.364532,0.317472,"15,188,400",0.362228,"68,655"
86,0.361815,"Mar 14, 2018",0.420603,0.340980,"16,530,900",0.394250,"58,040"
87,0.394158,"Mar 13, 2018",0.417695,0.385173,"16,901,000",0.403083,"28,607"
88,0.404323,"Mar 12, 2018",0.427030,0.386860,"17,090,600",0.407613,"41,136"
89,0.408895,"Mar 11, 2018",0.413205,0.359033,"15,693,300",0.374292,"63,716"
90,0.373645,"Mar 10, 2018",0.433617,0.373270,"17,789,800",0.424303,"76,886"
91,0.424528,"Mar 09, 2018",0.444827,0.399796,"18,478,200",0.440727,"40,429"
92,0.443755,"Mar 08, 2018",0.471604,0.432957,"19,238,100",0.458860,"64,501"
93,0.459768,"Mar 07, 2018",0.532233,0.410091,"21,677,900",0.517063,"119,493"
94,0.517706,"Mar 06, 2018",0.562773,0.504876,"23,427,400",0.558800,"144,418"
95,0.560311,"Mar 05, 2018",0.598948,0.511429,"20,431,400",0.516202,"166,418"
96,0.515173,"Mar 04, 2018",0.552798,0.511476,"21,280,300",0.537658,"89,408"
97,0.539686,"Mar 03, 2018",0.606511,0.532063,"22,865,600",0.577730,"169,370"
98,0.573929,"Mar 02, 2018",0.592537,0.456518,"18,071,200",0.456603,"397,065"
99,0.457334,"Mar 01, 2018",0.480574,0.429535,"17,125,500",0.432714,"55,681"
100,0.431989,"Feb 28, 2018",0.548536,0.431989,"20,286,700",0.512597,"34,618"
101,0.513506,"Feb 27, 2018",0.522208,0.443591,"17,629,100",0.445455,"40,473"
102,0.444858,"Feb 26, 2018",0.503983,0.427299,"19,800,200",0.500324,"76,971"
103,0.499207,"Feb 25, 2018",0.505372,0.432486,"18,191,400",0.459679,"25,104"
104,0.460300,"Feb 24, 2018",0.504096,0.439361,"18,917,900",0.478041,"59,240"
105,0.483336,"Feb 23, 2018",0.497449,0.422582,"17,300,000",0.437167,"52,392"
106,0.425783,"Feb 22, 2018",0.487331,0.423288,"18,460,600",0.466502,"49,654"
107,0.467243,"Feb 21, 2018",0.543302,0.455537,"21,499,400",0.543302,"69,870"
108,0.543601,"Feb 20, 2018",1.00,0.538889,"30,388,000",0.767933,"69,984"
109,0.766144,"Feb 19, 2018",0.782442,0.480940,"19,396,500",0.490175,"57,029"
110,0.492352,"Feb 18, 2018",0.600676,0.491068,"22,495,800",0.568509,"74,522"
111,0.571567,"Feb 17, 2018",0.619471,0.486401,"20,080,500",0.507478,"91,972"
112,0.506894,"Feb 16, 2018",0.531162,0.443739,"19,186,600",0.484896,"116,458"
113,0.486292,"Feb 15, 2018",0.553454,0.460288,"20,701,900",0.523201,"198,809"
114,0.522836,"Feb 14, 2018",0.524078,0.425833,"17,325,500",0.437878,"195,526"
115,0.439325,"Feb 13, 2018",0.516860,0.433916,"20,418,800",0.516278,"105,537"
116,0.515392,"Feb 12, 2018",0.520655,0.470074,"18,703,500",0.479881,"59,395"
117,0.479316,"Feb 11, 2018",0.507415,0.473602,"19,774,700",0.507371,"27,822"
118,0.507230,"Feb 10, 2018",0.544989,0.486888,"19,956,700",0.512052,"78,940"
119,0.511314,"Feb 09, 2018",0.560618,0.486150,"20,134,200",0.516614,"177,914"
120,0.514024,"Feb 08, 2018",0.573541,0.498685,"20,432,500",0.524276,"90,051"
121,0.524772,"Feb 07, 2018",0.576508,0.461166,"19,043,700",0.488650,"87,484"
122,0.493598,"Feb 06, 2018",0.508529,0.335743,"16,334,100",0.419130,"130,410"
123,0.418896,"Feb 05, 2018",0.573007,0.361940,"21,839,800",0.560414,"365,258"
124,0.564823,"Feb 04, 2018",0.717409,0.540327,"26,159,700",0.671272,"198,271"
125,0.670817,"Feb 03, 2018",0.710018,0.560116,"23,502,800",0.603106,"141,970"
126,0.601466,"Feb 02, 2018",0.674321,0.473885,"26,276,800",0.674321,"215,874"
127,0.675712,"Feb 01, 2018",0.802822,0.643457,"30,101,400",0.772480,"151,130"
128,0.770182,"Jan 31, 2018",0.805540,0.748575,"30,618,600",0.785768,"176,539"
129,0.783296,"Jan 30, 2018",0.940311,0.774570,"33,565,000",0.861395,"324,451"
130,0.859592,"Jan 29, 2018",0.974606,0.837397,"37,538,600",0.963391,"182,890"
