,close,date,high,low,market_cap,open,volume
0,0.009590,"Jun 08, 2018",0.013199,0.009062,"127,672",0.009065,"1,733"
1,0.009058,"Jun 07, 2018",0.010029,0.006565,"140,984",0.010011,"7,503"
2,0.010001,"Jun 06, 2018",0.010010,0.008260,"116,625",0.008281,"1,060"
3,0.008283,"Jun 05, 2018",0.010664,0.007640,"150,021",0.010652,"3,179"
4,0.010647,"Jun 04, 2018",0.013321,0.008244,"178,310",0.012661,"1,175"
5,0.012655,"Jun 03, 2018",0.012666,0.012090,"172,648",0.012259,851
6,0.012259,"Jun 02, 2018",0.013917,0.012213,"195,895",0.013910,692
7,0.014660,"Jun 01, 2018",0.015039,0.013392,"196,794",0.013973,"6,301"
8,0.013963,"May 31, 2018",0.017999,0.008027,"113,574",0.008064,"25,476"
9,0.008066,"May 30, 2018",0.008883,0.007077,"99,794",0.007086,"1,439"
10,0.007081,"May 29, 2018",0.007291,0.005734,"84,213",0.005980,"1,213"
11,0.005981,"May 28, 2018",0.006022,0.005751,"82,608",0.005866,406
12,0.005864,"May 27, 2018",0.006375,0.005823,"88,058",0.006253,475
13,0.006250,"May 26, 2018",0.006405,0.005939,"86,276",0.006126,418
14,0.006134,"May 25, 2018",0.006351,0.006036,"87,338",0.006201,226
15,0.006190,"May 24, 2018",0.006330,0.005239,"77,564",0.005507,464
16,0.005521,"May 23, 2018",0.007063,0.005476,"99,190",0.007043,253
17,0.007050,"May 22, 2018",0.009063,0.006389,"103,016",0.007315,"2,104"
18,0.007316,"May 21, 2018",0.007579,0.006606,"102,090",0.007249,536
19,0.007240,"May 20, 2018",0.007593,0.006654,"94,862",0.006736,528
20,0.006731,"May 19, 2018",0.007508,0.006495,"105,590",0.007497,"1,001"
21,0.007499,"May 18, 2018",0.007501,0.006535,"96,851",0.006877,481
22,0.006871,"May 17, 2018",0.008869,0.006635,"123,047",0.008737,"1,792"
23,0.008736,"May 16, 2018",0.008789,0.007326,"113,314",0.008046,"1,771"
24,0.007969,"May 15, 2018",0.010450,0.007308,"125,502",0.008911,"4,588"
25,0.008927,"May 14, 2018",0.013054,0.007658,"173,789",0.012340,"13,718"
26,0.012342,"May 13, 2018",0.018254,0.011682,"255,364",0.018132,"20,169"
27,0.018138,"May 12, 2018",0.022504,0.013456,"208,535",0.014807,"15,231"
28,0.015460,"May 11, 2018",0.020736,0.012072,"247,606",0.017581,"18,566"
29,0.015435,"May 10, 2018",0.016546,0.011635,"175,785",0.012482,"14,460"
30,0.012487,"May 09, 2018",0.024896,0.006760,"97,799",0.006944,"35,582"
31,0.006955,"May 08, 2018",0.009599,0.006844,"104,388",0.007412,356
32,0.007396,"May 07, 2018",0.010248,0.006644,"108,610",0.007712,"1,012"
33,0.007706,"May 06, 2018",0.008906,0.007395,"122,314",0.008685,429
34,0.008679,"May 05, 2018",0.010168,0.008675,"140,601",0.009983,"1,097"
35,0.009988,"May 04, 2018",0.010722,0.009516,"151,009",0.010722,87
36,0.010727,"May 03, 2018",0.011910,0.009638,"155,221",0.011022,"2,388"
37,0.011021,"May 02, 2018",0.011336,0.010000,"157,163",0.011159,409
38,0.011176,"May 01, 2018",0.011326,0.009406,"156,323",0.011100,352
39,0.011090,"Apr 30, 2018",0.013883,0.010325,"163,508",0.011610,"1,383"
40,0.011614,"Apr 29, 2018",0.013302,0.010071,"176,050",0.012500,"1,232"
