,close,date,high,low,market_cap,open,volume
0,0.204723,"Jun 08, 2018",0.227506,0.200804,"1,226,420",0.227172,"38,361"
1,0.227000,"Jun 07, 2018",0.260483,0.215476,"1,396,330",0.258645,"16,706"
2,0.258408,"Jun 06, 2018",0.266363,0.199381,"1,121,530",0.209810,"16,842"
3,0.209637,"Jun 05, 2018",0.281882,0.182378,"1,052,620",0.197011,"28,060"
4,0.196916,"Jun 04, 2018",0.286288,0.172286,"988,518",0.185014,"17,058"
5,0.193095,"Jun 03, 2018",0.239330,0.188906,"1,093,240",0.204614,"7,329"
6,0.204559,"Jun 02, 2018",0.255634,0.198145,"1,364,670",0.255415,"5,088"
7,0.255525,"Jun 01, 2018",0.255525,0.193804,"1,061,130",0.198603,"8,889"
8,0.187903,"May 31, 2018",0.272421,0.183276,"1,455,530",0.272421,"16,962"
9,0.272471,"May 30, 2018",0.291749,0.178872,"958,706",0.180494,"27,518"
10,0.180373,"May 29, 2018",0.213648,0.148655,"1,132,800",0.213270,"14,430"
11,0.213340,"May 28, 2018",0.280071,0.193601,"1,481,810",0.278978,"19,826"
12,0.278913,"May 27, 2018",0.299635,0.271744,"1,584,150",0.298245,"6,190"
13,0.298113,"May 26, 2018",0.361188,0.283866,"1,726,290",0.325005,"10,773"
14,0.325432,"May 25, 2018",0.348789,0.312890,"1,836,980",0.345845,"19,979"
15,0.345196,"May 24, 2018",0.496130,0.327401,"1,739,010",0.327401,"20,241"
16,0.328229,"May 23, 2018",0.372480,0.296040,"1,978,450",0.372480,"47,513"
17,0.372866,"May 22, 2018",0.453296,0.372866,"1,971,420",0.427950,"37,430"
18,0.428028,"May 21, 2018",0.642935,0.416659,"2,085,140",0.452635,"64,351"
19,0.473107,"May 20, 2018",0.559864,0.367684,"2,579,110",0.559864,"68,616"
20,0.559446,"May 19, 2018",0.651639,0.506665,"2,808,980",0.609764,"75,233"
21,0.616284,"May 18, 2018",0.635618,0.381216,"2,009,870",0.436295,"187,673"
22,0.420013,"May 17, 2018",0.468921,0.340195,"1,567,160",0.340195,"46,522"
23,0.339988,"May 16, 2018",0.377089,0.308083,"1,670,830",0.362699,"12,111"
24,0.362908,"May 15, 2018",0.393164,0.257891,"1,486,920",0.322777,"32,381"
25,0.348444,"May 14, 2018",0.417393,0.189186,"1,059,680",0.230032,"75,008"
26,0.230074,"May 13, 2018",0.253094,0.192686,"1,054,210",0.235149,"22,513"
27,0.235230,"May 12, 2018",0.237414,0.163481,"754,975",0.168402,"10,094"
28,0.168899,"May 11, 2018",0.190298,0.163242,"793,354",0.176963,"4,903"
29,0.176751,"May 10, 2018",0.180009,0.159267,"714,019",0.159267,"1,341"
30,0.159312,"May 09, 2018",0.185743,0.152064,"782,744",0.174596,"3,620"
31,0.174863,"May 08, 2018",0.188961,0.156766,"799,132",0.178252,"2,517"
32,0.177874,"May 07, 2018",0.188398,0.143088,"693,474",0.154684,"10,979"
33,0.154573,"May 06, 2018",0.167592,0.152499,"747,758",0.166793,553
34,0.166680,"May 05, 2018",0.172165,0.155709,"699,169",0.155954,601
35,0.156028,"May 04, 2018",0.195050,0.155954,"874,444",0.195050,"1,967"
36,0.195127,"May 03, 2018",0.208773,0.155598,"728,255",0.162442,"8,287"
37,0.162436,"May 02, 2018",0.162436,0.107534,"594,947",0.132707,"10,319"
38,0.132907,"May 01, 2018",0.170955,0.119730,"766,421",0.170955,"6,818"
39,0.170806,"Apr 30, 2018",0.192941,0.138984,"863,624",0.192637,"3,857"
40,0.192701,"Apr 29, 2018",0.192844,0.161973,"820,766",0.183077,"1,122"
41,0.183149,"Apr 28, 2018",0.190893,0.147754,"814,592",0.181700,"6,534"
