,close,date,high,low,market_cap,open,volume
0,0.001915,"Jun 08, 2018",0.002198,0.001820,"60,675",0.001863,688
1,0.001862,"Jun 07, 2018",0.001985,0.001767,"57,529",0.001767,276
2,0.001765,"Jun 06, 2018",0.002061,0.001764,"62,069",0.001906,487
3,0.001906,"Jun 05, 2018",0.002066,0.001863,"62,868",0.001931,32
4,0.001930,"Jun 04, 2018",0.002029,0.001860,"61,814",0.001898,143
5,0.001897,"Jun 03, 2018",0.002007,0.001833,"64,644",0.001985,257
6,0.001985,"Jun 02, 2018",0.002065,0.001794,"60,894",0.001870,206
7,0.001871,"Jun 01, 2018",0.001983,0.001714,"56,252",0.001727,318
8,0.001726,"May 31, 2018",0.001965,0.001716,"57,701",0.001772,790
9,0.001772,"May 30, 2018",0.001910,0.001759,"58,341",0.001791,27
10,0.001790,"May 29, 2018",0.001825,0.001739,"56,978",0.001750,2
11,0.001750,"May 28, 2018",0.001887,0.001735,"57,734",0.001773,127
12,0.001772,"May 27, 2018",0.002055,0.001769,"60,536",0.001859,220
13,0.001858,"May 26, 2018",0.001921,0.001759,"58,284",0.001790,19
14,0.001792,"May 25, 2018",0.001907,0.001765,"61,452",0.001887,38
15,0.001883,"May 24, 2018",0.002175,0.001674,"58,534",0.001797,458
16,0.001802,"May 23, 2018",0.002163,0.001787,"70,371",0.002161,207
17,0.002163,"May 22, 2018",0.002261,0.002026,"73,595",0.002260,94
18,0.002260,"May 21, 2018",0.002265,0.002077,"69,185",0.002124,132
19,0.002122,"May 20, 2018",0.002215,0.002055,"69,756",0.002142,129
20,0.002140,"May 19, 2018",0.002246,0.002031,"70,269",0.002158,171
21,0.002158,"May 18, 2018",0.002641,0.001993,"68,292",0.002097,"2,344"
22,0.002095,"May 17, 2018",0.002201,0.001881,"65,098",0.001999,"1,240"
23,0.001998,"May 16, 2018",0.002148,0.001906,"63,562",0.001952,512
24,0.001953,"May 15, 2018",0.002048,0.001952,"64,972",0.001995,282
25,0.001999,"May 14, 2018",0.002111,0.001915,"65,091",0.001999,133
26,0.001999,"May 13, 2018",0.002060,0.001935,"64,440",0.001979,279
27,0.001979,"May 12, 2018",0.002094,0.001894,"62,878",0.001931,495
28,0.001937,"May 11, 2018",0.002081,0.001924,"67,765",0.002081,622
29,0.002078,"May 10, 2018",0.002159,0.002076,"69,761",0.002142,898
30,0.002143,"May 09, 2018",0.002150,0.002068,"68,900",0.002116,248
31,0.002119,"May 08, 2018",0.002395,0.002087,"78,007",0.002395,343
32,0.002390,"May 07, 2018",0.002405,0.002118,"78,268",0.002403,130
33,0.002402,"May 06, 2018",0.002404,0.002192,"73,617",0.002261,62
34,0.002259,"May 05, 2018",0.002471,0.002222,"72,453",0.002225,329
35,0.002226,"May 04, 2018",0.002495,0.002112,"70,100",0.002153,809
36,0.002145,"May 03, 2018",0.002320,0.001978,"64,508",0.001981,246
37,0.001983,"May 02, 2018",0.002083,0.001913,"62,808",0.001929,194
38,0.001931,"May 01, 2018",0.003124,0.001811,"63,195",0.001941,848
39,0.001939,"Apr 30, 2018",0.002239,0.001939,"72,659",0.002231,"1,212"
40,0.002232,"Apr 29, 2018",0.002286,0.002148,"69,998",0.002149,181
41,0.002150,"Apr 28, 2018",0.002437,0.002026,"66,148",0.002031,203
42,0.002038,"Apr 27, 2018",0.002404,0.001971,"69,263",0.002127,492
43,0.002124,"Apr 26, 2018",0.002274,0.001981,"74,068",0.002274,236
44,0.002256,"Apr 25, 2018",0.002460,0.002133,"77,123",0.002368,656
