,close,date,high,low,market_cap,open,volume
0,0.083497,"Jun 08, 2018",0.106129,0.065654,-,0.069220,"1,086"
1,0.069167,"Jun 07, 2018",0.109606,0.054640,-,0.062020,944
2,0.061963,"Jun 06, 2018",0.075301,0.052492,-,0.057086,447
3,0.057101,"Jun 05, 2018",0.085220,0.057003,-,0.069287,712
4,0.069253,"Jun 04, 2018",0.100112,0.069144,-,0.079771,"1,068"
5,0.079690,"Jun 03, 2018",0.122932,0.076197,-,0.122932,"1,069"
6,0.122899,"Jun 02, 2018",0.134028,0.108015,-,0.117034,"1,653"
7,0.117084,"Jun 01, 2018",0.131737,0.115408,-,0.117244,"1,924"
8,0.117159,"May 31, 2018",0.135313,0.116444,-,0.122183,"1,176"
9,0.122206,"May 30, 2018",0.150831,0.111902,-,0.112044,"1,728"
10,0.111968,"May 29, 2018",0.130229,0.104459,-,0.121055,"1,090"
11,0.121093,"May 28, 2018",0.146113,0.120725,-,0.124148,"1,008"
12,0.124119,"May 27, 2018",0.181951,0.099549,-,0.100955,"2,872"
13,0.100910,"May 26, 2018",0.128824,0.099881,-,0.107235,929
14,0.107376,"May 25, 2018",0.159850,0.106205,-,0.132531,"1,912"
15,0.132282,"May 24, 2018",0.158393,0.126886,-,0.136720,"1,680"
16,0.137063,"May 23, 2018",0.166031,0.131399,-,0.152665,"2,058"
17,0.152823,"May 22, 2018",0.234480,0.123485,-,0.193299,"2,451"
18,0.153958,"May 21, 2018",0.193245,0.106538,-,0.154165,"5,117"
19,0.153972,"May 20, 2018",0.243019,0.106911,-,0.108045,"1,429"
20,0.107964,"May 19, 2018",0.151693,0.097664,-,0.110444,662
21,0.110414,"May 18, 2018",0.147264,0.094524,-,0.117086,695
22,0.116978,"May 17, 2018",0.126274,0.084925,-,0.091809,"2,585"
23,0.091753,"May 16, 2018",0.144367,0.091147,-,0.144367,488
24,0.144173,"May 15, 2018",0.168688,0.094704,-,0.094704,"1,575"
25,0.094869,"May 14, 2018",0.159614,0.084480,-,0.088169,"1,326"
26,0.088185,"May 13, 2018",0.127615,0.088120,-,0.103039,552
27,0.103075,"May 12, 2018",0.290605,0.074653,-,0.080640,"1,826"
28,0.080878,"May 11, 2018",0.339817,0.077177,-,0.334002,759
29,0.331573,"May 10, 2018",0.332248,0.068736,-,0.091313,"1,459"
30,0.091432,"May 09, 2018",0.133035,0.091432,-,0.104224,"1,232"
31,0.104384,"May 08, 2018",0.165596,0.080116,-,0.080116,"1,551"
32,0.079946,"May 07, 2018",0.168948,0.069432,-,0.105501,770
33,0.105426,"May 06, 2018",0.127594,0.103892,-,0.124880,"1,017"
34,0.124796,"May 05, 2018",0.136310,0.104517,-,0.111969,"1,172"
35,0.112023,"May 04, 2018",0.162164,0.109131,-,0.122589,"1,858"
36,0.122637,"May 03, 2018",0.175544,0.110942,-,0.111052,"1,643"
37,0.111048,"May 02, 2018",0.143686,0.107638,-,0.141076,625
38,0.141289,"May 01, 2018",0.229190,0.122038,-,0.185773,"2,097"
39,0.184675,"Apr 30, 2018",0.186926,0.116364,-,0.169598,"2,033"
40,0.169654,"Apr 29, 2018",0.173094,0.116045,-,0.121358,"1,745"
41,0.121405,"Apr 28, 2018",0.170791,0.094161,-,0.100982,"1,942"
42,0.101356,"Apr 27, 2018",0.256608,0.086959,-,0.091047,"2,403"
43,0.090921,"Apr 26, 2018",0.116105,0.049247,-,0.050489,"1,873"
44,0.050074,"Apr 25, 2018",0.079771,0.050003,-,0.061883,"1,416"
45,0.062274,"Apr 24, 2018",0.102532,0.047235,-,0.060401,"1,766"
46,0.060896,"Apr 23, 2018",0.061054,0.040012,-,0.043017,"1,057"
47,0.043104,"Apr 22, 2018",0.061886,0.042119,-,0.049271,534
48,0.049271,"Apr 21, 2018",0.062122,0.039700,-,0.047792,"1,531"
49,0.047776,"Apr 20, 2018",0.062569,0.040746,-,0.042070,402
50,0.042042,"Apr 19, 2018",0.060490,0.041888,-,0.042114,208
51,0.042083,"Apr 18, 2018",0.056966,0.034285,-,0.047470,478
52,0.047426,"Apr 17, 2018",0.054765,0.032061,-,0.041483,502
53,0.041463,"Apr 16, 2018",0.062843,0.036772,-,0.036870,496
54,0.036886,"Apr 15, 2018",0.077840,0.030193,-,0.031452,636
55,0.031419,"Apr 14, 2018",0.036649,0.024814,-,0.025245,371
56,0.025245,"Apr 13, 2018",0.036081,0.025157,-,0.031940,265
57,0.031900,"Apr 12, 2018",0.042162,0.020130,-,0.030237,868
58,0.030311,"Apr 11, 2018",0.030311,0.017875,-,0.022153,187
59,0.022132,"Apr 10, 2018",0.024026,0.019084,-,0.022422,344
60,0.022403,"Apr 09, 2018",0.031840,0.019864,-,0.022623,256
61,0.022586,"Apr 08, 2018",0.032800,0.020501,-,0.023315,368
62,0.023122,"Apr 07, 2018",0.038046,0.020637,-,0.027527,400
63,0.027764,"Apr 06, 2018",0.035264,0.026084,-,0.030010,80
64,0.030164,"Apr 05, 2018",0.043984,0.022796,-,0.032783,421
65,0.032769,"Apr 04, 2018",0.044493,0.026809,-,0.035102,533
66,0.035127,"Apr 03, 2018",0.046382,0.030957,-,0.030957,350
67,0.030935,"Apr 02, 2018",0.041056,0.022124,-,0.024943,374
68,0.024821,"Apr 01, 2018",0.028847,0.017838,-,0.028447,201
69,0.028079,"Mar 31, 2018",0.036106,0.019896,-,0.035219,257
70,0.024550,"Mar 30, 2018",0.048364,0.024238,-,0.038875,266
