,close,date,high,low,market_cap,open,volume
0,0.001392,"May 24, 2018",0.001534,0.001297,"6,736,070",0.001333,"543,036"
1,0.001344,"May 23, 2018",0.001645,0.001213,"7,847,810",0.001553,"531,498"
2,0.001556,"May 22, 2018",0.001806,0.001556,"8,207,480",0.001625,"61,417"
3,0.001829,"May 21, 2018",0.001870,0.001822,"9,405,230",0.001862,"115,161"
4,0.001859,"May 20, 2018",0.001982,0.001778,"9,356,280",0.001852,"117,028"
5,0.001850,"May 19, 2018",0.001996,0.001709,"9,597,930",0.001900,"249,857"
6,0.001896,"May 18, 2018",0.002087,0.001780,"9,807,750",0.001941,"503,382"
7,0.001940,"May 17, 2018",0.002353,0.001897,"11,417,300",0.002260,"450,534"
8,0.002259,"May 16, 2018",0.002481,0.001620,"11,254,000",0.002228,"534,736"
9,0.002218,"May 15, 2018",0.003085,0.002125,"13,498,600",0.002672,"180,166"
10,0.002675,"May 14, 2018",0.003549,0.002514,"16,155,500",0.003198,"770,676"
11,0.003199,"May 13, 2018",0.004557,0.002047,"13,855,900",0.002743,"1,144,700"
12,0.002745,"May 12, 2018",0.003107,0.000758,"5,011,840",0.000992,"1,491,550"
13,0.000994,"May 11, 2018",0.001377,0.000529,"6,958,280",0.001377,"113,626"
14,0.001341,"May 10, 2018",0.001688,0.001283,"7,808,670",0.001546,"93,801"
15,0.001544,"May 09, 2018",0.001762,0.001307,"8,042,900",0.001592,"45,986"
16,0.001593,"May 08, 2018",0.002013,0.001464,"9,887,670",0.001957,"70,528"
17,0.001944,"May 07, 2018",0.002412,0.001746,"12,176,400",0.002410,"24,835"
18,0.002275,"May 06, 2018",0.003194,0.001657,"14,376,300",0.002846,"106,214"
19,0.002846,"May 05, 2018",0.003133,0.001482,"8,107,100",0.001605,"191,102"
20,0.001603,"May 04, 2018",0.002390,0.001117,"9,036,950",0.001789,"183,927"
21,0.001833,"May 03, 2018",0.002165,0.001624,"9,731,700",0.001926,"87,880"
22,0.001926,"May 02, 2018",0.002345,0.001574,"11,192,700",0.002215,"81,182"
23,0.002222,"May 01, 2018",0.003359,0.002046,"12,047,300",0.002385,"104,051"
24,0.002379,"Apr 30, 2018",0.003492,0.002342,"16,851,400",0.003336,"43,155"
25,0.003032,"Apr 29, 2018",0.003630,0.001731,"15,178,100",0.003004,"166,348"
26,0.002936,"Apr 28, 2018",0.003675,0.002085,"17,802,600",0.003524,"100,887"
27,0.003553,"Apr 27, 2018",0.004709,0.002971,"23,789,600",0.004709,"43,704"
28,0.004701,"Apr 26, 2018",0.004896,0.003826,-,0.004188,"40,486"
29,0.004893,"Apr 25, 2018",0.005113,0.004893,-,0.005113,"132,146"
