,close,date,high,low,market_cap,open,volume
0,0.155507,"Jun 08, 2018",0.156893,0.154073,"703,872",0.156416,11
1,0.156297,"Jun 07, 2018",0.157209,0.155356,"699,100",0.155356,122
2,0.155213,"Jun 06, 2018",0.161132,0.152198,"720,458",0.160102,11
3,0.160145,"Jun 05, 2018",0.160300,0.147773,"679,596",0.151021,133
4,0.150949,"Jun 04, 2018",0.154242,0.150389,"692,775",0.153950,161
5,0.154094,"Jun 03, 2018",0.154521,0.152019,"687,136",0.152697,64
6,0.152656,"Jun 02, 2018",0.174569,0.152457,"722,176",0.160484,104
7,0.165284,"May 30, 2018",0.167010,0.164908,"743,026",0.165117,490
8,0.165006,"May 29, 2018",0.166609,0.157563,"709,612",0.157692,489
9,0.147811,"May 27, 2018",0.148895,0.145981,"666,099",0.148022,7
10,0.147957,"May 26, 2018",0.160088,0.146126,"705,721",0.156827,245
11,0.157033,"May 25, 2018",0.161684,0.155033,"719,105",0.159801,"1,365"
12,0.159501,"May 24, 2018",0.193265,0.153948,"846,963",0.188214,116
13,0.188690,"May 23, 2018",0.238411,0.164225,"754,164",0.167592,"1,072"
14,0.167766,"May 22, 2018",0.172681,0.159369,"737,773",0.163950,88
15,0.163979,"May 21, 2018",0.178499,0.162564,"747,513",0.166114,337
16,0.165907,"May 20, 2018",0.170975,0.164530,"745,428",0.165651,106
17,0.165527,"May 19, 2018",0.197107,0.164943,"884,616",0.196581,266
18,0.196611,"May 18, 2018",0.196611,0.148582,"678,677",0.150817,222
19,0.150685,"May 17, 2018",0.199232,0.149821,"864,053",0.192012,664
20,0.191895,"May 16, 2018",0.191911,0.147154,"690,816",0.153515,303
21,0.153603,"May 15, 2018",0.173814,0.152718,"691,311",0.153625,260
22,0.153889,"May 14, 2018",0.198282,0.152966,"874,808",0.194402,771
23,0.194437,"May 13, 2018",0.220270,0.175625,"984,627",0.218806,308
24,0.218882,"May 12, 2018",0.220914,0.178872,"944,430",0.209873,126
25,0.210492,"May 11, 2018",0.216695,0.159320,"900,857",0.200191,845
26,0.199951,"May 10, 2018",0.228145,0.199758,"926,262",0.205836,153
27,0.205894,"May 09, 2018",0.206592,0.162091,"786,925",0.174872,"3,909"
