,close,date,high,low,market_cap,open,volume
0,0.010369,"Jun 08, 2018",0.012114,0.008441,"483,149",0.010718,"4,708"
1,0.010710,"Jun 07, 2018",0.012734,0.010701,"550,786",0.012218,796
2,0.012207,"Jun 06, 2018",0.012687,0.011920,"563,931",0.012510,550
3,0.012513,"Jun 05, 2018",0.013766,0.010886,"619,872",0.013751,"1,493"
4,0.013744,"Jun 04, 2018",0.014782,0.013722,"656,222",0.014557,115
5,0.014437,"Jun 03, 2018",0.015009,0.013522,"642,663",0.014256,"3,704"
6,0.014252,"Jun 02, 2018",0.015253,0.013166,"675,883",0.014993,"6,759"
7,0.015000,"Jun 01, 2018",0.016748,0.014370,"726,346",0.016112,"1,259"
8,0.016101,"May 31, 2018",0.016891,0.012980,"601,549",0.013344,"4,040"
9,0.013347,"May 30, 2018",0.014696,0.013204,"644,168",0.014290,"1,391"
10,0.014280,"May 29, 2018",0.014760,0.013413,"616,647",0.013679,418
11,0.013713,"May 28, 2018",0.016368,0.013672,"662,094",0.014687,"3,372"
12,0.013582,"May 27, 2018",0.014282,0.013484,"638,098",0.014155,148
13,0.014149,"May 26, 2018",0.015220,0.014084,"656,299",0.014559,218
14,0.014578,"May 25, 2018",0.016943,0.013950,"640,442",0.014207,"5,140"
15,0.014180,"May 24, 2018",0.016137,0.010348,"551,722",0.012239,"11,328"
16,0.012270,"May 23, 2018",0.013559,0.012117,"605,915",0.013441,395
17,0.013455,"May 22, 2018",0.014942,0.012227,"600,936",0.013331,"2,670"
18,0.013335,"May 21, 2018",0.014207,0.013294,"640,019",0.014198,921
19,0.013951,"May 20, 2018",0.014558,0.013824,"641,327",0.014226,813
20,0.014216,"May 19, 2018",0.014955,0.013793,"625,096",0.013866,328
21,0.013869,"May 18, 2018",0.014232,0.013651,"624,897",0.013862,885
22,0.013850,"May 17, 2018",0.015272,0.013770,"680,898",0.015104,893
23,0.015095,"May 16, 2018",0.015505,0.014362,"698,376",0.015492,"2,155"
24,0.015501,"May 15, 2018",0.016211,0.015408,"711,386",0.015781,"2,068"
25,0.015808,"May 14, 2018",0.016268,0.015358,"715,706",0.015876,"2,636"
26,0.016009,"May 13, 2018",0.016232,0.015339,"703,293",0.015601,672
27,0.015607,"May 12, 2018",0.015906,0.014889,"687,174",0.015244,"1,220"
28,0.015289,"May 11, 2018",0.016911,0.015182,"753,952",0.016725,833
29,0.016705,"May 10, 2018",0.018584,0.016689,"791,305",0.017553,"2,013"
30,0.017558,"May 09, 2018",0.017989,0.016611,"777,991",0.017258,635
31,0.017285,"May 08, 2018",0.018133,0.016695,"789,064",0.017504,"1,226"
