,close,date,high,low,market_cap,open,volume
0,0.008926,"Jun 08, 2018",0.009158,0.008779,"1,860,840",0.009121,"83,729"
1,0.009110,"Jun 07, 2018",0.010319,0.008235,"1,932,750",0.009474,"44,238"
2,0.009470,"Jun 06, 2018",0.009706,0.009260,"1,961,900",0.009617,"96,168"
3,0.009584,"Jun 05, 2018",0.010103,0.009359,"2,052,650",0.010062,"108,921"
4,0.010060,"Jun 04, 2018",0.011145,0.009863,"2,251,530",0.011036,"69,417"
5,0.011035,"Jun 03, 2018",0.011300,0.010896,"2,239,020",0.010975,"120,482"
6,0.010977,"Jun 02, 2018",0.011085,0.010689,"2,207,530",0.010821,"52,079"
7,0.010824,"Jun 01, 2018",0.011158,0.010632,"2,188,730",0.010729,"71,641"
8,0.010714,"May 31, 2018",0.011799,0.010714,"2,321,790",0.011381,"96,818"
9,0.011360,"May 30, 2018",0.011947,0.011137,"2,410,350",0.011815,"70,391"
10,0.011839,"May 29, 2018",0.013682,0.010868,"2,761,670",0.013537,"98,770"
11,0.014694,"May 28, 2018",0.015404,0.009614,"2,262,390",0.011090,"135,776"
12,0.011054,"May 27, 2018",0.011400,0.010841,"2,325,710",0.011400,"101,123"
13,0.011385,"May 26, 2018",0.011971,0.011072,"2,269,870",0.011126,"117,906"
14,0.011152,"May 25, 2018",0.012178,0.010543,"2,449,420",0.012006,"87,145"
15,0.011992,"May 24, 2018",0.013979,0.010088,"2,741,670",0.013439,"121,647"
16,0.013509,"May 23, 2018",0.015788,0.013447,"3,205,020",0.015710,"91,055"
17,0.015732,"May 22, 2018",0.018321,0.015502,"3,366,300",0.016501,"73,738"
18,0.016425,"May 21, 2018",0.018583,0.016195,"3,788,780",0.018572,"89,883"
19,0.018528,"May 20, 2018",0.019949,0.016270,"3,509,940",0.017205,"121,253"
20,0.017208,"May 19, 2018",0.017946,0.015830,"3,311,060",0.016230,"115,807"
21,0.016230,"May 18, 2018",0.016327,0.013035,"2,830,010",0.013872,"95,482"
22,0.013892,"May 17, 2018",0.017777,0.013728,"2,461,140",0.014095,"96,171"
23,0.014087,"May 16, 2018",0.015401,0.013721,"2,683,080",0.015366,"82,331"
24,0.015362,"May 15, 2018",0.017296,0.014716,"2,991,310",0.017132,"88,176"
25,0.017156,"May 14, 2018",0.017763,0.016486,"3,085,330",0.017670,"90,404"
26,0.017727,"May 13, 2018",0.017971,0.014447,"2,583,270",0.014795,"112,867"
27,0.014824,"May 12, 2018",0.015135,0.014002,"2,578,330",0.014767,"82,790"
28,0.014810,"May 11, 2018",0.017333,0.014553,"2,705,930",0.015497,"113,819"
29,0.015440,"May 10, 2018",0.018647,0.015328,"3,255,940",0.018647,"89,241"
30,0.018656,"May 09, 2018",0.019452,0.016787,"3,057,860",0.017513,"131,884"
31,0.017529,"May 08, 2018",0.018483,0.017103,"3,119,710",0.017867,"91,706"
32,0.017792,"May 07, 2018",0.018175,0.016523,"3,072,410",0.017596,"102,535"
33,0.017585,"May 06, 2018",0.021046,0.016371,"3,613,790",0.020697,"81,869"
34,0.020697,"May 05, 2018",0.020889,0.019820,"3,468,350",0.019864,"156,642"
