,close,date,high,low,market_cap,open,volume
0,1.68,"Jun 08, 2018",1.73,1.66,"25,579,100",1.72,"394,953"
1,1.72,"Jun 07, 2018",7.33,1.71,"108,531,000",7.33,"504,598"
2,7.36,"Jun 06, 2018",8.17,1.71,"25,947,700",1.76,"797,444"
3,1.76,"Jun 05, 2018",1.77,1.68,"25,954,000",1.76,"651,823"
4,1.76,"Jun 04, 2018",3.96,1.74,"29,339,700",2.00,"1,077,000"
5,1.99,"Jun 03, 2018",2.47,1.99,"35,617,500",2.44,"1,141,200"
6,2.43,"Jun 02, 2018",2.81,1.76,"25,904,500",1.78,"765,450"
7,1.76,"Jun 01, 2018",1.80,1.73,"26,083,000",1.79,"712,092"
8,1.79,"May 31, 2018",1.80,1.69,"25,215,800",1.74,"766,652"
9,1.73,"May 30, 2018",1.82,1.68,"25,148,500",1.74,"1,084,350"
10,1.73,"May 29, 2018",1.77,1.56,"23,220,900",1.61,"1,504,490"
11,1.62,"May 28, 2018",1.83,1.62,"26,176,200",1.82,"862,006"
12,1.83,"May 27, 2018",1.85,1.80,"26,362,000",1.84,"483,548"
13,1.84,"May 26, 2018",1.88,1.83,"26,632,100",1.87,"483,954"
14,1.86,"May 25, 2018",1.96,1.84,"27,748,200",1.96,"918,712"
15,1.95,"May 24, 2018",2.03,1.80,"26,942,100",1.91,"2,326,800"
16,1.90,"May 23, 2018",2.11,1.88,"29,380,000",2.09,"1,923,320"
17,2.09,"May 22, 2018",2.29,2.09,"31,304,800",2.23,"1,617,300"
18,2.23,"May 21, 2018",2.31,2.21,"32,259,900",2.31,"1,589,870"
19,2.32,"May 20, 2018",2.32,2.21,"31,321,000",2.25,"1,425,090"
20,2.27,"May 19, 2018",2.34,2.22,"31,717,200",2.29,"1,742,140"
21,2.29,"May 18, 2018",2.29,2.14,"30,688,100",2.23,"2,435,380"
22,2.26,"May 17, 2018",2.44,2.21,"32,464,100",2.36,"2,260,560"
23,2.38,"May 16, 2018",2.52,2.25,"34,427,100",2.52,"3,843,320"
24,2.46,"May 15, 2018",2.92,2.44,"36,383,300",2.67,"9,587,680"
25,2.71,"May 14, 2018",2.76,2.39,"34,482,900",2.54,"14,341,600"
26,2.54,"May 13, 2018",2.57,2.36,"32,572,200",2.41,"6,375,650"
27,2.47,"May 12, 2018",2.53,2.06,"30,197,900",2.25,"3,586,910"
28,2.24,"May 11, 2018",2.62,2.03,"35,098,100",2.62,"6,720,080"
29,2.60,"May 10, 2018",2.92,2.60,"38,838,000",2.92,"2,573,510"
30,2.90,"May 09, 2018",3.00,2.76,"39,760,400",3.00,"2,250,030"
31,3.04,"May 08, 2018",3.12,2.94,"40,568,500",3.08,"2,287,710"
32,3.08,"May 07, 2018",3.29,2.97,"43,148,700",3.29,"3,153,650"
33,3.29,"May 06, 2018",3.40,3.18,"44,331,400",3.40,"3,466,730"
34,3.41,"May 05, 2018",3.49,3.35,"45,223,000",3.49,"4,507,290"
35,3.41,"May 04, 2018",3.48,3.31,"44,790,900",3.48,"4,274,420"
36,3.50,"May 03, 2018",3.53,3.34,"44,146,200",3.45,"7,664,360"
37,3.45,"May 02, 2018",3.49,3.16,"43,237,400",3.40,"10,056,000"
38,3.27,"May 01, 2018",3.31,3.06,"41,739,900",3.30,"6,057,200"
39,3.33,"Apr 30, 2018",3.53,3.31,"44,321,200",3.53,"6,132,360"
40,3.55,"Apr 29, 2018",3.66,3.28,"45,573,500",3.66,"9,670,100"
41,3.67,"Apr 28, 2018",3.70,3.50,"43,328,100",3.50,"11,685,400"
42,3.54,"Apr 27, 2018",3.76,3.36,"44,698,000",3.63,"19,990,600"
43,3.62,"Apr 26, 2018",3.65,3.10,"44,077,500",3.59,"26,853,700"
44,3.78,"Apr 25, 2018",3.98,2.99,"42,478,700",3.48,"66,725,200"
45,3.53,"Apr 24, 2018",3.55,3.29,"40,026,300",3.30,"18,618,200"
46,3.34,"Apr 23, 2018",3.38,3.16,"38,371,600",3.18,"10,475,600"
47,3.23,"Apr 22, 2018",3.27,3.10,"39,148,000",3.26,"8,803,640"
48,3.27,"Apr 21, 2018",3.43,3.01,"41,053,800",3.43,"14,178,100"
49,3.42,"Apr 20, 2018",3.42,2.84,"38,777,700",3.26,"25,824,800"
50,3.13,"Apr 19, 2018",3.23,2.81,"34,523,300",2.91,"22,737,500"
51,2.96,"Apr 18, 2018",3.04,2.67,"33,951,000",2.88,"19,924,600"
52,2.66,"Apr 17, 2018",2.78,2.43,"29,288,300",2.49,"14,054,000"
53,2.48,"Apr 16, 2018",2.58,2.36,"29,586,400",2.53,"7,802,940"
54,2.50,"Apr 15, 2018",2.55,2.36,"27,561,000",2.37,"9,590,230"
55,2.38,"Apr 14, 2018",2.45,2.27,"27,781,700",2.39,"5,107,900"
56,2.42,"Apr 13, 2018",3.00,2.35,"27,835,700",2.41,"43,896,200"
57,2.38,"Apr 12, 2018",2.45,1.91,"22,942,200",1.99,"37,472,500"
58,2.00,"Apr 11, 2018",2.02,1.90,"22,228,800",1.93,"2,675,260"
59,1.95,"Apr 10, 2018",1.96,1.84,"22,508,800",1.96,"2,363,550"
60,1.97,"Apr 09, 2018",2.15,1.89,"23,314,500",2.04,"6,585,810"
61,2.07,"Apr 08, 2018",2.07,1.93,"22,576,600",1.98,"5,615,470"
62,1.99,"Apr 07, 2018",2.09,1.81,"21,520,100",1.89,"8,955,200"
63,1.91,"Apr 06, 2018",2.13,1.76,"23,568,000",2.07,"7,413,960"
64,2.09,"Apr 05, 2018",2.54,1.90,"28,733,400",2.54,"18,323,000"
65,2.57,"Apr 04, 2018",2.91,2.25,"27,116,600",2.40,"59,980,600"
66,2.50,"Apr 03, 2018",3.19,1.61,"19,184,300",1.70,"117,941,000"
67,1.71,"Apr 02, 2018",1.73,1.43,"16,393,300",1.46,"3,351,580"
68,1.45,"Apr 01, 2018",1.59,1.39,"17,818,400",1.58,"775,447"
69,1.57,"Mar 31, 2018",1.62,1.55,"17,833,800",1.59,"565,708"
70,1.57,"Mar 30, 2018",1.66,1.50,"18,435,700",1.65,"1,031,810"
71,1.65,"Mar 29, 2018",1.81,1.63,"20,198,800",1.81,"948,037"
72,1.79,"Mar 28, 2018",1.83,1.69,"19,083,100",1.71,"1,233,260"
73,1.73,"Mar 27, 2018",1.93,1.66,"20,434,700",1.84,"1,692,800"
74,1.85,"Mar 26, 2018",2.04,1.77,"22,367,900",2.02,"1,723,250"
75,2.04,"Mar 25, 2018",2.06,1.98,"22,139,000",2.01,"1,450,420"
76,2.02,"Mar 24, 2018",2.21,1.96,"22,031,200",2.01,"6,538,410"
77,2.04,"Mar 23, 2018",2.29,1.92,"23,809,700",2.18,"3,107,880"
78,2.20,"Mar 22, 2018",2.37,2.10,"24,936,000",2.29,"2,016,830"
79,2.27,"Mar 21, 2018",2.38,2.20,"24,907,800",2.29,"2,695,110"
80,2.31,"Mar 20, 2018",2.56,2.06,"23,770,600",2.19,"10,829,900"
81,2.18,"Mar 19, 2018",2.18,1.84,"20,668,400",1.91,"3,859,130"
82,1.89,"Mar 18, 2018",1.93,1.55,"20,757,200",1.93,"2,071,930"
83,1.93,"Mar 17, 2018",2.22,1.88,"23,733,400",2.21,"1,263,230"
84,2.21,"Mar 16, 2018",2.34,2.13,"24,892,900",2.33,"1,599,530"
85,2.34,"Mar 15, 2018",2.57,2.09,"27,368,600",2.57,"4,153,580"
86,2.60,"Mar 14, 2018",3.07,2.37,"28,353,200",2.68,"9,998,230"
87,2.67,"Mar 13, 2018",2.74,2.54,"27,992,400",2.65,"4,388,570"
88,2.58,"Mar 12, 2018",2.76,2.49,"27,386,000",2.61,"2,452,970"
89,2.64,"Mar 11, 2018",2.76,2.27,"25,127,000",2.40,"3,012,990"
90,2.42,"Mar 10, 2018",2.69,2.39,"27,336,100",2.63,"1,550,030"
91,2.62,"Mar 09, 2018",2.70,2.27,"27,529,700",2.66,"2,852,570"
92,2.66,"Mar 08, 2018",3.05,2.66,"30,391,800",2.95,"2,523,660"
93,2.93,"Mar 07, 2018",3.53,2.85,"35,321,200",3.45,"3,873,320"
94,3.47,"Mar 06, 2018",3.73,3.44,"37,333,800",3.67,"3,162,750"
95,3.73,"Mar 05, 2018",3.83,3.49,"36,252,500",3.59,"6,461,860"
96,3.63,"Mar 04, 2018",3.71,3.52,"37,242,500",3.71,"2,201,130"
97,3.72,"Mar 03, 2018",3.76,3.52,"35,600,300",3.57,"5,762,840"
98,3.58,"Mar 02, 2018",3.72,3.49,"36,924,200",3.72,"4,505,730"
99,3.79,"Mar 01, 2018",3.92,3.35,"35,860,200",3.64,"7,693,680"
100,3.67,"Feb 28, 2018",3.89,3.63,"38,054,200",3.89,"2,821,470"
101,3.97,"Feb 27, 2018",4.07,3.87,"39,527,200",4.06,"4,188,660"
102,4.14,"Feb 26, 2018",4.14,3.77,"38,205,200",3.95,"5,017,710"
103,4.04,"Feb 25, 2018",4.09,3.73,"39,232,100",4.09,"3,730,380"
104,4.13,"Feb 24, 2018",4.47,4.01,"41,855,400",4.39,"6,855,430"
105,4.39,"Feb 23, 2018",4.42,3.72,"39,667,600",4.19,"15,148,000"
106,4.26,"Feb 22, 2018",4.76,4.13,"44,137,300",4.70,"9,351,760"
107,4.87,"Feb 21, 2018",5.16,4.64,"47,590,000",5.11,"11,113,900"
108,5.25,"Feb 20, 2018",5.56,5.19,"51,373,300",5.56,"18,252,400"
109,5.60,"Feb 19, 2018",5.60,5.19,"48,925,200",5.34,"24,207,500"
110,5.35,"Feb 18, 2018",5.81,5.06,"52,770,200",5.81,"25,820,900"
111,5.74,"Feb 17, 2018",5.80,5.40,"51,298,900",5.70,"23,465,300"
112,5.77,"Feb 16, 2018",5.83,5.51,"51,487,700",5.77,"21,670,200"
113,5.86,"Feb 15, 2018",5.86,5.31,"51,162,100",5.78,"47,268,600"
114,5.49,"Feb 14, 2018",5.54,5.01,"45,007,900",5.13,"43,367,200"
115,5.19,"Feb 13, 2018",5.33,4.69,"45,009,100",5.17,"47,160,900"
116,4.95,"Feb 12, 2018",4.95,4.52,"40,036,300",4.64,"22,389,700"
117,4.52,"Feb 11, 2018",5.14,4.26,"44,010,800",5.14,"28,403,800"
