,close,date,high,low,market_cap,open,volume
0,0.000687,"Jun 08, 2018",0.000779,0.000687,"2,291,570",0.000768,"37,359"
1,0.000768,"Jun 07, 2018",0.000867,0.000765,"2,512,270",0.000842,"47,452"
2,0.000841,"Jun 06, 2018",0.000841,0.000750,"2,274,080",0.000762,"32,910"
3,0.000763,"Jun 05, 2018",0.000871,0.000738,"2,461,590",0.000825,"36,275"
4,0.000825,"Jun 04, 2018",0.000928,0.000806,"2,529,380",0.000848,"37,670"
5,0.000873,"Jun 03, 2018",0.000924,0.000831,"2,732,820",0.000916,"21,445"
6,0.000905,"Jun 02, 2018",0.000906,0.000748,"2,436,280",0.000817,"44,321"
7,0.000752,"Jun 01, 2018",0.000910,0.000744,"2,415,820",0.000810,"34,380"
8,0.000809,"May 31, 2018",0.000885,0.000735,"2,241,460",0.000751,"53,082"
9,0.000765,"May 30, 2018",0.000825,0.000731,"2,226,560",0.000746,"35,544"
10,0.000746,"May 29, 2018",0.000869,0.000710,"2,285,610",0.000766,"41,003"
11,0.000766,"May 28, 2018",0.000859,0.000710,"2,410,110",0.000808,"38,857"
12,0.000808,"May 27, 2018",0.000877,0.000796,"2,406,730",0.000807,"43,613"
13,0.000807,"May 26, 2018",0.000968,0.000802,"2,450,320",0.000821,"27,090"
14,0.000823,"May 25, 2018",0.000972,0.000812,"2,481,430",0.000832,"56,247"
15,0.000830,"May 24, 2018",0.000992,0.000740,"2,888,240",0.000968,"73,430"
16,0.000971,"May 23, 2018",0.001044,0.000871,"3,103,480",0.001040,"101,319"
17,0.001111,"May 22, 2018",0.001321,0.001036,"3,761,800",0.001261,"66,876"
18,0.001334,"May 21, 2018",0.001505,0.001089,"3,368,850",0.001129,"306,144"
19,0.001128,"May 20, 2018",0.001258,0.000887,"3,145,260",0.001054,"184,073"
20,0.000989,"May 19, 2018",0.001082,0.000982,"3,159,080",0.001059,"40,421"
21,0.001059,"May 18, 2018",0.001063,0.000875,"2,650,500",0.000889,"74,870"
22,0.000888,"May 17, 2018",0.001066,0.000883,-,0.000918,"54,065"
23,0.000918,"May 16, 2018",0.001084,0.000895,-,0.001084,"51,152"
24,0.001009,"May 15, 2018",0.001097,0.000928,-,0.000928,"71,771"
25,0.000930,"May 14, 2018",0.001043,0.000835,-,0.000956,"37,239"
26,0.000956,"May 13, 2018",0.001047,0.000837,-,0.000847,"38,366"
27,0.000847,"May 12, 2018",0.000979,0.000824,-,0.000898,"30,696"
28,0.000901,"May 11, 2018",0.001072,0.000838,-,0.000994,"42,256"
29,0.000993,"May 10, 2018",0.001282,0.000992,-,0.001185,"52,223"
30,0.001105,"May 09, 2018",0.001267,0.001000,-,0.001104,"80,593"
31,0.001181,"May 08, 2018",0.001181,0.000954,-,0.001030,"74,662"
32,0.001028,"May 07, 2018",0.001247,0.001015,-,0.001154,"54,685"
33,0.001153,"May 06, 2018",0.001357,0.001137,-,0.001278,"38,583"
34,0.001277,"May 05, 2018",0.001439,0.001217,-,0.001325,"54,895"
35,0.001326,"May 04, 2018",0.001465,0.001248,-,0.001365,"51,109"
36,0.001365,"May 03, 2018",0.001441,0.001194,-,0.001266,"56,464"
37,0.001266,"May 02, 2018",0.001336,0.001091,-,0.001153,"39,522"
38,0.001154,"May 01, 2018",0.001311,0.001042,-,0.001225,"44,016"
39,0.001166,"Apr 30, 2018",0.001406,0.001133,-,0.001292,"54,038"
40,0.001292,"Apr 29, 2018",0.001399,0.001184,-,0.001308,"54,160"
41,0.001309,"Apr 28, 2018",0.001499,0.001278,-,0.001328,"55,027"
42,0.001333,"Apr 27, 2018",0.001523,0.001282,-,0.001455,"103,277"
43,0.001393,"Apr 26, 2018",0.001572,0.001236,-,0.001507,"81,111"
44,0.001475,"Apr 25, 2018",0.001714,0.001389,-,0.001631,"73,863"
45,0.001723,"Apr 24, 2018",0.001728,0.001345,-,0.001587,"120,292"
46,0.001586,"Apr 23, 2018",0.001680,0.001394,-,0.001394,"128,152"
47,0.001320,"Apr 22, 2018",0.001671,0.001058,-,0.001071,"170,591"
48,0.001071,"Apr 21, 2018",0.001208,0.000958,-,0.001049,"44,683"
49,0.000972,"Apr 20, 2018",0.001140,0.000744,-,0.000744,"45,120"
50,0.000744,"Apr 19, 2018",0.000896,0.000733,-,0.000816,"41,836"
51,0.000816,"Apr 18, 2018",0.000906,0.000798,-,0.000799,"21,031"
52,0.000799,"Apr 17, 2018",0.001047,0.000794,-,0.001039,"27,999"
53,0.001038,"Apr 16, 2018",0.001151,0.000873,-,0.001025,"38,911"
54,0.001109,"Apr 15, 2018",0.001109,0.000853,-,0.001040,"40,471"
55,0.001039,"Apr 14, 2018",0.001192,0.000964,-,0.001155,"29,259"
56,0.001155,"Apr 13, 2018",0.001406,0.000941,-,0.001297,"94,465"
57,0.001295,"Apr 12, 2018",0.001373,0.000440,-,0.001131,"194,744"
58,0.001134,"Apr 11, 2018",0.001482,0.001060,-,0.001457,"68,061"
59,0.001456,"Apr 10, 2018",0.001588,0.001321,-,0.001571,"80,855"
60,0.001637,"Apr 09, 2018",0.001637,0.001345,-,0.001442,"154,829"
