,close,date,high,low,market_cap,open,volume
0,0.001099,"May 27, 2018",0.001107,0.001085,"20,492",0.001100,24
1,0.001100,"May 26, 2018",0.001137,0.001094,"21,045",0.001130,24
2,0.001563,"May 25, 2018",0.001607,0.001554,"29,580",0.001588,1
3,0.001585,"May 24, 2018",0.001596,0.001273,"24,225",0.001301,5
4,0.001336,"May 23, 2018",0.001365,0.001336,"25,341",0.001361,1
5,0.001362,"May 22, 2018",0.001429,0.001354,"26,601",0.001428,1
6,0.001431,"May 21, 2018",0.001458,0.001429,"27,000",0.001450,2
7,0.001448,"May 20, 2018",0.001506,0.001421,"27,643",0.001484,2
8,0.001483,"May 19, 2018",0.001499,0.001478,"27,855",0.001496,2
9,0.001666,"May 17, 2018",0.001689,0.001665,"31,098",0.001670,8
10,0.001669,"May 16, 2018",0.001684,0.001632,"30,663",0.001646,8
11,0.002015,"May 14, 2018",0.002030,0.001915,"37,227",0.001999,2
12,0.001999,"May 13, 2018",0.002014,0.001935,"36,211",0.001944,3
13,0.001968,"May 12, 2018",0.001971,0.001894,"35,962",0.001931,1
14,0.001937,"May 11, 2018",0.002169,0.001924,"40,400",0.002169,1
15,0.002167,"May 10, 2018",0.002253,0.002164,"41,777",0.002243,2
16,0.002150,"May 08, 2018",0.002174,0.002143,"40,125",0.002154,15
17,0.002150,"May 07, 2018",0.002308,0.002118,"42,973",0.002307,19
18,0.002306,"May 06, 2018",0.002308,0.002275,"42,777",0.002297,3
19,0.002255,"May 05, 2018",0.002270,0.002226,"41,521",0.002229,1
20,0.002230,"May 04, 2018",0.002339,0.002206,"43,572",0.002339,1
21,0.002340,"May 03, 2018",0.002352,0.002209,"41,145",0.002209,1
22,0.002144,"Apr 30, 2018",0.002171,0.002104,"40,274",0.002162,1
23,0.002163,"Apr 29, 2018",0.002165,0.002137,"39,915",0.002143,1
24,0.002248,"Apr 28, 2018",0.002263,0.002134,"39,853",0.002140,13
25,0.002147,"Apr 27, 2018",0.002249,0.002147,"41,558",0.002231,12
26,0.002228,"Apr 26, 2018",0.002233,0.002122,"39,676",0.002130,15
27,0.001800,"Apr 24, 2018",0.001802,0.001695,"31,583",0.001696,33
28,0.001694,"Apr 23, 2018",0.002126,0.001679,"39,476",0.002120,31
29,0.001869,"Apr 22, 2018",0.001886,0.001838,"34,921",0.001875,13
30,0.001875,"Apr 21, 2018",0.001884,0.001819,"34,583",0.001857,13
31,0.001856,"Apr 20, 2018",0.002052,0.001782,"36,962",0.001985,13
32,0.001983,"Apr 19, 2018",0.001985,0.001626,"30,412",0.001633,18
33,0.001632,"Apr 18, 2018",0.001870,0.001620,"33,825",0.001816,9
34,0.001814,"Apr 17, 2018",0.001824,0.001594,"29,984",0.001610,23
35,0.001609,"Apr 16, 2018",0.001678,0.001584,"31,086",0.001669,73
36,0.001670,"Apr 15, 2018",0.002176,0.001656,"38,746",0.002080,17
37,0.002078,"Apr 14, 2018",0.002100,0.001882,"35,165",0.001888,21
38,0.001888,"Apr 13, 2018",0.002117,0.001652,"39,040",0.002096,46
39,0.001847,"Apr 12, 2018",0.001908,0.001623,"31,050",0.001667,1
40,0.001671,"Apr 11, 2018",0.001671,0.001635,"30,535",0.001639,1
41,0.001638,"Apr 10, 2018",0.001648,0.001597,"30,219",0.001623,1
42,0.001621,"Apr 09, 2018",0.001721,0.001588,"31,403",0.001686,1
43,0.001683,"Apr 08, 2018",0.001690,0.001519,"28,290",0.001519,24
44,0.001518,"Apr 07, 2018",0.001653,0.001303,"29,597",0.001589,5
45,0.001587,"Apr 06, 2018",0.001643,0.001566,"30,290",0.001626,7
46,0.001635,"Apr 05, 2018",0.001640,0.001578,"30,359",0.001630,7
47,0.001629,"Apr 04, 2018",0.001780,0.001330,"24,863",0.001335,122
48,0.001336,"Apr 03, 2018",0.001936,0.001328,"34,136",0.001833,130
49,0.001831,"Apr 02, 2018",0.001846,0.001763,"33,051",0.001775,4
50,0.001766,"Apr 01, 2018",0.001811,0.001419,"28,731",0.001543,12
51,0.001752,"Mar 31, 2018",0.001799,0.001704,"31,836",0.001709,1
52,0.001709,"Mar 30, 2018",0.001800,0.001651,"32,984",0.001771,1
53,0.001775,"Mar 29, 2018",0.001887,0.001620,"32,539",0.001747,1
54,0.001745,"Mar 28, 2018",0.001757,0.001730,"32,244",0.001731,20
55,0.002211,"Mar 27, 2018",0.002295,0.002172,"42,602",0.002287,1
56,0.002291,"Mar 26, 2018",0.002376,0.002199,"44,014",0.002363,1
57,0.002365,"Mar 25, 2018",0.002430,0.002262,"42,760",0.002296,1
58,0.002328,"Mar 24, 2018",0.002428,0.002322,"44,816",0.002406,3
59,0.002372,"Mar 23, 2018",0.002422,0.002245,"43,757",0.002349,3
60,0.002349,"Mar 22, 2018",0.002360,0.002301,"43,685",0.002346,2
61,0.002409,"Mar 21, 2018",0.002473,0.002372,"44,778",0.002404,2
62,0.002400,"Mar 20, 2018",0.002613,0.002292,"46,576",0.002501,17
63,0.002473,"Mar 19, 2018",0.002497,0.001302,"24,407",0.001310,38
64,0.001316,"Mar 18, 2018",0.002240,0.001199,"41,108",0.002207,148
65,0.002197,"Mar 17, 2018",0.002241,0.002191,"41,746",0.002241,1
66,0.002238,"Mar 16, 2018",0.002316,0.002166,"40,461",0.002172,1
67,0.002255,"Mar 11, 2018",0.002282,0.002255,"42,494",0.002282,49
68,0.002289,"Mar 10, 2018",0.002466,0.002269,"44,840",0.002408,50
69,0.002406,"Mar 09, 2018",0.002821,0.002274,"51,927",0.002788,9
70,0.002806,"Mar 08, 2018",0.003028,0.002719,"55,771",0.002994,16
71,0.002934,"Mar 06, 2018",0.002991,0.002918,"55,714",0.002991,18
72,0.003000,"Mar 05, 2018",0.003471,0.002970,"64,243",0.003449,18
73,0.003452,"Mar 04, 2018",0.003452,0.002885,"61,789",0.003318,5
74,0.003323,"Mar 03, 2018",0.003325,0.003280,"61,086",0.003280,24
75,0.002831,"Mar 02, 2018",0.002899,0.002809,"52,801",0.002835,3
76,0.002842,"Mar 01, 2018",0.002876,0.002820,"52,735",0.002831,3
77,0.002763,"Feb 28, 2018",0.002869,0.002756,"51,643",0.002773,30
78,0.002776,"Feb 27, 2018",0.003003,0.002737,"53,775",0.002887,30
79,0.002879,"Feb 26, 2018",0.002916,0.002580,"48,208",0.002588,2
80,0.002585,"Feb 25, 2018",0.002663,0.002516,"48,653",0.002612,3
81,0.002517,"Feb 24, 2018",0.002625,0.002501,"47,246",0.002537,53
82,0.002540,"Feb 23, 2018",0.002589,0.002467,"47,674",0.002560,54
83,0.002562,"Feb 22, 2018",0.002836,0.002535,"50,684",0.002721,10
84,0.002724,"Feb 21, 2018",0.002809,0.002569,"52,227",0.002804,11
85,0.002808,"Feb 20, 2018",0.002939,0.002698,"51,197",0.002749,15
86,0.001719,"Feb 18, 2018",0.001805,0.001634,"33,059",0.001775,80
87,0.001770,"Feb 17, 2018",0.002938,0.001696,"51,261",0.002752,87
88,0.002753,"Feb 16, 2018",0.002762,0.002632,"49,988",0.002684,2
89,0.002728,"Feb 15, 2018",0.002755,0.002529,"47,647",0.002558,2
90,0.002557,"Feb 14, 2018",0.003655,0.002213,"41,209",0.002213,23
91,0.002219,"Feb 13, 2018",0.003206,0.002205,"44,744",0.002402,43
92,0.002398,"Feb 12, 2018",0.002482,0.002270,"42,275",0.002270,1
93,0.002255,"Feb 11, 2018",0.002479,0.002255,"46,179",0.002479,0
94,0.002482,"Feb 10, 2018",0.002511,0.002372,"44,883",0.002410,3
95,0.002248,"Feb 09, 2018",0.002267,0.002021,"39,975",0.002146,2
96,0.002140,"Feb 08, 2018",0.002268,0.002114,"42,242",0.002268,2
97,0.001983,"Feb 06, 2018",0.002042,0.001663,"36,194",0.001943,3
98,0.001941,"Feb 05, 2018",0.002263,0.001866,"41,299",0.002217,3
99,0.002239,"Feb 04, 2018",0.002721,0.002140,"49,931",0.002681,3
100,0.002679,"Feb 03, 2018",0.002728,0.002050,"41,267",0.002216,40
101,0.002208,"Feb 02, 2018",0.002724,0.002008,"50,743",0.002724,23
102,0.002730,"Feb 01, 2018",0.002962,0.002523,"54,933",0.002949,16
103,0.002943,"Jan 31, 2018",0.003025,0.002602,"50,372",0.002705,9
104,0.002700,"Jan 30, 2018",0.003143,0.002656,"58,407",0.003136,7
105,0.003135,"Jan 29, 2018",0.003643,0.003080,"66,975",0.003596,53
106,0.003599,"Jan 28, 2018",0.003702,0.003344,"65,920",0.003539,69
107,0.003521,"Jan 27, 2018",0.004613,0.001435,"80,814",0.004339,627
108,0.004342,"Jan 26, 2018",0.005290,0.004136,"85,223",0.004576,"1,973"
109,0.004588,"Jan 25, 2018",0.005367,0.004482,"87,144",0.004679,32
110,0.004603,"Jan 24, 2018",0.004696,0.004112,"78,738",0.004228,39
111,0.004230,"Jan 23, 2018",0.004410,0.004230,"79,327",0.004259,26
112,0.004016,"Jan 22, 2018",0.004052,0.003847,"73,508",0.003947,869
113,0.003893,"Jan 21, 2018",0.004477,0.003811,"83,385",0.004477,842
114,0.004467,"Jan 20, 2018",0.006837,0.003599,"67,061",0.003601,958
115,0.003792,"Jan 19, 2018",0.006262,0.003734,"115,517",0.006202,72
116,0.006382,"Jan 18, 2018",0.006395,0.002405,"45,643",0.002451,"2,186"
117,0.003329,"Jan 17, 2018",0.006911,0.002529,"125,515",0.006739,974
118,0.006773,"Jan 16, 2018",0.006773,0.003067,"81,444",0.004373,"3,089"
119,0.004367,"Jan 15, 2018",0.004609,0.003420,"63,740",0.003422,300
120,0.003447,"Jan 14, 2018",0.004788,0.003107,"88,266",0.004739,46
121,0.004736,"Jan 13, 2018",0.004791,0.003145,"85,517",0.004592,65
122,0.004597,"Jan 12, 2018",0.004983,0.002060,"87,972",0.004723,377
123,0.004692,"Jan 11, 2018",0.005563,0.004606,"103,242",0.005543,6
124,0.005549,"Jan 10, 2018",0.005549,0.005065,"100,643",0.005404,124
125,0.005397,"Jan 09, 2018",0.005863,0.005115,"106,586",0.005723,30
126,0.005738,"Jan 08, 2018",0.005746,0.005270,"106,158",0.005700,74
127,0.005708,"Jan 07, 2018",0.006537,0.001838,"121,751",0.006537,521
128,0.006542,"Jan 06, 2018",0.006556,0.003623,"69,592",0.003736,515
129,0.003733,"Jan 05, 2018",0.005769,0.003136,"107,445",0.005769,42
130,0.005768,"Jan 04, 2018",0.005873,0.005460,"107,654",0.005780,7
131,0.005749,"Jan 03, 2018",0.005760,0.003186,"71,842",0.003857,92
132,0.003871,"Jan 02, 2018",0.006026,0.002059,"55,322",0.002970,"1,279"
133,0.002971,"Jan 01, 2018",0.003021,0.002924,"54,530",0.002928,4
134,0.003079,"Dec 31, 2017",0.003119,0.002769,"52,098",0.002797,1
135,0.002828,"Dec 30, 2017",0.003002,0.002556,"55,912",0.003002,5
136,0.003359,"Dec 29, 2017",0.003479,0.003281,"61,975",0.003328,7
137,0.003293,"Dec 28, 2017",0.003428,0.001797,"60,687",0.003258,134
138,0.003265,"Dec 27, 2017",0.003312,0.002061,"58,993",0.003167,22
139,0.003165,"Dec 26, 2017",0.003228,0.001803,"33,727",0.001811,125
140,0.001813,"Dec 25, 2017",0.001871,0.001752,"34,839",0.001871,81
141,0.002599,"Dec 24, 2017",0.002775,0.002388,"51,689",0.002775,8
142,0.002745,"Dec 23, 2017",0.002975,0.002583,"48,798",0.002620,9
143,0.002596,"Dec 22, 2017",0.002856,0.002175,"52,678",0.002828,1
144,0.002819,"Dec 21, 2017",0.003130,0.002726,"55,260",0.002967,27
145,0.002959,"Dec 20, 2017",0.002995,0.002207,"55,785",0.002995,7
146,0.002998,"Dec 19, 2017",0.003139,0.002486,"49,891",0.002679,15
147,0.002676,"Dec 18, 2017",0.002701,0.002588,"50,311",0.002701,3
148,0.003773,"Dec 16, 2017",0.003795,0.003659,"69,021",0.003706,2
149,0.003701,"Dec 15, 2017",0.004145,0.002156,"40,163",0.002156,4
150,0.002153,"Dec 14, 2017",0.002218,0.002111,"39,972",0.002146,9
151,0.002177,"Dec 13, 2017",0.002276,0.002072,"41,830",0.002246,22
152,0.002244,"Dec 12, 2017",0.004084,0.002137,"40,766",0.002189,116
153,0.002182,"Dec 11, 2017",0.002254,0.001973,"36,917",0.001982,11
154,0.001997,"Dec 10, 2017",0.002050,0.001721,"36,410",0.001955,60
155,0.001947,"Dec 09, 2017",0.002008,0.001761,"36,350",0.001952,112
156,0.001954,"Dec 08, 2017",0.003523,0.001690,"64,649",0.003471,262
157,0.003463,"Dec 07, 2017",0.004010,0.002831,"71,633",0.003846,20
158,0.003853,"Dec 06, 2017",0.003858,0.003159,"58,840",0.003159,18
159,0.003166,"Dec 05, 2017",0.003189,0.002670,"50,983",0.002737,964
160,0.002529,"Dec 02, 2017",0.002575,0.002467,"46,626",0.002503,37
161,0.002506,"Dec 01, 2017",0.002822,0.002271,"44,669",0.002398,57
162,0.002410,"Nov 30, 2017",0.002484,0.002246,"42,104",0.002261,41
163,0.002226,"Nov 29, 2017",0.002631,0.002091,"45,132",0.002423,11
164,0.002290,"Nov 28, 2017",0.002295,0.002222,"41,790",0.002244,2
165,0.002238,"Nov 27, 2017",0.002242,0.002143,"39,915",0.002143,31
166,0.002143,"Nov 26, 2017",0.002189,0.002033,"38,292",0.002056,68
167,0.002109,"Nov 25, 2017",0.002120,0.002041,"38,228",0.002052,11
168,0.002057,"Nov 24, 2017",0.002072,0.001953,"36,817",0.001977,15
169,0.001931,"Nov 21, 2017",0.002009,0.001871,"36,839",0.001978,23
170,0.001978,"Nov 20, 2017",0.001988,0.001828,"34,456",0.001850,62
171,0.001851,"Nov 19, 2017",0.001866,0.001779,"33,173",0.001781,1
172,0.001384,"Nov 14, 2017",0.001411,0.001350,"25,544",0.001371,9
173,0.001369,"Nov 13, 2017",0.001376,0.001332,"25,130",0.001349,9
174,0.001410,"Nov 11, 2017",0.001430,0.001379,"25,716",0.001381,1
175,0.001386,"Nov 10, 2017",0.001682,0.001355,"29,211",0.001568,8
176,0.001564,"Nov 09, 2017",0.001643,0.001551,"30,598",0.001643,13
177,0.001645,"Nov 08, 2017",0.001734,0.001576,"30,484",0.001637,3
178,0.001642,"Nov 07, 2017",0.001642,0.001611,"30,064",0.001614,16
179,0.001696,"Nov 02, 2017",0.001755,0.001615,"30,077",0.001615,2
180,0.001613,"Nov 01, 2017",0.001616,0.001431,"28,576",0.001534,72
181,0.002022,"Oct 31, 2017",0.002038,0.002011,"37,663",0.002022,1
182,0.002029,"Oct 30, 2017",0.002161,0.001992,"40,136",0.002155,1
183,0.002168,"Oct 29, 2017",0.002213,0.002018,"37,678",0.002023,1
184,0.001943,"Oct 28, 2017",0.001996,0.001940,"36,497",0.001960,19
185,0.001954,"Oct 27, 2017",0.002013,0.001938,"37,203",0.001998,28
186,0.002021,"Oct 26, 2017",0.002035,0.001937,"36,313",0.001950,1
187,0.001950,"Oct 25, 2017",0.001953,0.001871,"35,136",0.001886,1
188,0.001362,"Oct 24, 2017",0.001408,0.001336,"26,219",0.001408,4
189,0.001411,"Oct 23, 2017",0.002048,0.001359,"37,864",0.002033,4
190,0.002036,"Oct 22, 2017",0.002063,0.001954,"38,082",0.002045,5
191,0.002044,"Oct 21, 2017",0.002106,0.002007,"38,028",0.002042,42
192,0.002046,"Oct 20, 2017",0.002078,0.002025,"37,963",0.002038,14
193,0.001343,"Oct 17, 2017",0.001391,0.001329,"25,832",0.001387,29
194,0.001387,"Oct 16, 2017",0.002117,0.001356,"39,224",0.002106,33
195,0.002106,"Oct 15, 2017",0.002127,0.002026,"37,888",0.002034,3
196,0.002148,"Oct 13, 2017",0.002233,0.002054,"38,507",0.002067,1
197,0.002061,"Oct 12, 2017",0.002061,0.001644,"30,636",0.001645,2
198,0.001646,"Oct 11, 2017",0.001653,0.001606,"30,160",0.001619,0
199,0.001620,"Oct 10, 2017",0.001725,0.001608,"31,337",0.001683,18
200,0.001831,"Oct 09, 2017",0.001851,0.001732,"32,576",0.001749,0
201,0.001749,"Oct 08, 2017",0.001753,0.001594,"29,794",0.001600,1
202,0.001604,"Oct 07, 2017",0.001710,0.001563,"31,771",0.001706,24
203,0.001705,"Oct 06, 2017",0.001726,0.001683,"31,406",0.001686,15
204,0.001686,"Oct 05, 2017",0.001703,0.001413,"26,732",0.001435,2
205,0.001434,"Oct 04, 2017",0.001477,0.001417,"26,550",0.001425,0
206,0.001422,"Oct 03, 2017",0.001424,0.001420,"26,468",0.001421,1
207,0.001977,"Sep 30, 2017",0.001980,0.001917,"35,744",0.001919,4
208,0.001919,"Sep 29, 2017",0.001949,0.001910,"35,784",0.001921,4
209,0.001953,"Sep 28, 2017",0.001960,0.001914,"36,048",0.001935,0
210,0.001935,"Sep 27, 2017",0.001943,0.001812,"33,850",0.001817,0
211,0.001526,"Sep 25, 2017",0.001546,0.001432,"26,675",0.001432,2
212,0.001434,"Sep 24, 2017",0.001445,0.001428,"26,912",0.001445,2
213,0.001737,"Sep 23, 2017",0.001739,0.001679,"31,577",0.001695,0
214,0.001700,"Sep 22, 2017",0.001765,0.001662,"32,686",0.001755,0
215,0.001677,"Sep 16, 2017",0.001824,0.001671,"32,470",0.001743,0
216,0.001748,"Sep 15, 2017",0.001797,0.001175,"23,568",0.001265,0
217,0.001256,"Sep 14, 2017",0.001886,0.001256,"34,661",0.001861,1
218,0.001861,"Sep 13, 2017",0.002042,0.001852,"37,896",0.002035,4
219,0.002042,"Sep 12, 2017",0.002094,0.001601,"29,822",0.001601,43
220,0.001600,"Sep 11, 2017",0.002100,0.001600,"37,997",0.002040,1
221,0.002044,"Sep 10, 2017",0.002064,0.002037,"38,188",0.002050,1
222,0.002051,"Sep 07, 2017",0.002077,0.002025,"38,685",0.002077,46
223,0.002081,"Sep 06, 2017",0.002098,0.002040,"38,548",0.002070,47
224,0.002194,"Sep 04, 2017",0.002311,0.002164,"43,014",0.002309,3
225,0.002309,"Sep 03, 2017",0.002364,0.002167,"40,364",0.002167,3
226,0.002166,"Sep 02, 2017",0.002175,0.002112,"39,525",0.002122,0
