,close,date,high,low,market_cap,open,volume
0,1.01,"Jun 08, 2018",1.25,0.841456,"7,344,500",1.24,"100,060"
1,1.21,"Jun 07, 2018",1.25,1.08,"6,951,690",1.18,"40,815"
2,1.18,"Jun 06, 2018",1.36,1.12,"7,577,550",1.30,"53,813"
3,1.30,"Jun 05, 2018",1.36,0.973698,"6,708,930",1.15,"82,607"
4,1.15,"Jun 04, 2018",1.39,1.09,"7,692,400",1.33,"77,519"
5,1.35,"Jun 03, 2018",1.45,1.29,"7,743,010",1.35,"110,534"
6,1.43,"Jun 02, 2018",1.50,1.42,"8,523,950",1.50,"14,349"
7,1.44,"Jun 01, 2018",1.55,1.38,"8,733,000",1.54,"8,187"
8,1.54,"May 31, 2018",1.57,1.19,"6,756,810",1.20,"38,077"
9,1.20,"May 30, 2018",1.37,1.03,"7,441,180",1.34,"24,280"
10,1.34,"May 29, 2018",1.41,1.30,"7,476,190",1.35,"40,695"
11,1.35,"May 28, 2018",1.50,1.35,"8,049,980",1.47,"44,869"
12,1.47,"May 27, 2018",1.57,1.36,"8,554,040",1.57,"53,660"
13,1.57,"May 26, 2018",1.77,1.39,"8,806,770",1.63,"117,725"
14,1.64,"May 25, 2018",1.66,1.33,"8,101,820",1.51,"112,581"
15,1.51,"May 24, 2018",1.61,1.47,"8,437,060",1.59,"68,731"
16,1.59,"May 23, 2018",1.86,1.51,"8,762,070",1.68,"142,482"
17,1.68,"May 22, 2018",1.77,1.54,"8,709,320",1.70,"93,522"
18,1.70,"May 21, 2018",1.89,1.52,"9,299,100",1.85,"140,694"
19,1.85,"May 20, 2018",2.06,1.82,"9,285,060",1.87,"138,860"
20,1.87,"May 19, 2018",1.99,1.80,"8,894,560",1.84,"151,192"
21,1.84,"May 18, 2018",2.02,1.53,"7,940,110",1.64,"135,301"
22,1.64,"May 17, 2018",1.86,1.51,"7,581,140",1.59,"109,288"
23,1.56,"May 16, 2018",1.71,1.40,"7,285,100",1.54,"117,699"
24,1.55,"May 15, 2018",1.64,1.44,"7,348,380",1.58,"98,152"
25,1.58,"May 14, 2018",1.76,1.48,"7,540,110",1.64,"71,894"
26,1.64,"May 13, 2018",1.79,1.59,"7,931,780",1.75,"69,276"
