,close,date,high,low,market_cap,open,volume
0,0.008039,"Jun 08, 2018",0.008539,0.007678,"68,604,300",0.008500,"4,288,670"
1,0.008482,"Jun 07, 2018",0.009237,0.008448,"73,628,200",0.009122,"3,009,270"
2,0.009156,"Jun 06, 2018",0.009602,0.009016,"75,359,700",0.009337,"3,040,170"
3,0.009342,"Jun 05, 2018",0.009926,0.008516,"77,099,800",0.009926,"8,593,270"
4,0.009922,"Jun 04, 2018",0.010934,0.009819,"84,926,900",0.010934,"4,843,170"
5,0.011036,"Jun 03, 2018",0.011720,0.009496,"73,764,400",0.009496,"11,046,100"
6,0.009417,"Jun 02, 2018",0.012667,0.009140,"97,668,800",0.012574,"3,294,370"
7,0.012697,"Jun 01, 2018",0.016452,0.012174,"97,971,100",0.012613,"3,271,300"
8,0.012271,"May 31, 2018",0.022743,0.011542,"99,463,700",0.012805,"84,553,600"
9,0.012541,"May 30, 2018",0.012671,0.007322,"57,762,900",0.007436,"16,822,000"
10,0.007483,"May 29, 2018",0.007965,0.006591,"52,189,600",0.006719,"6,003,600"
11,0.006717,"May 28, 2018",0.007640,0.005234,"45,192,300",0.005818,"3,443,670"
12,0.005822,"May 27, 2018",0.006824,0.004602,"36,613,000",0.004714,"1,989,250"
13,0.004712,"May 26, 2018",0.004966,0.003976,"30,881,500",0.003976,"543,630"
14,0.003953,"May 25, 2018",0.004281,0.003925,"32,474,000",0.004181,"141,944"
15,0.004135,"May 24, 2018",0.004456,0.003710,"30,994,600",0.003990,"243,217"
16,0.004012,"May 23, 2018",0.004376,0.003780,"33,720,200",0.004341,"211,128"
17,0.004278,"May 22, 2018",0.005073,0.004228,"38,003,600",0.004893,"279,495"
18,0.004940,"May 21, 2018",0.005466,0.003966,"32,484,300",0.004182,"637,696"
19,0.004177,"May 20, 2018",0.004514,0.003963,"34,074,200",0.004387,"164,602"
20,0.004400,"May 19, 2018",0.004740,0.004356,"34,472,000",0.004438,"138,066"
21,0.004438,"May 18, 2018",0.004818,0.004416,"37,002,200",0.004764,"144,531"
22,0.004762,"May 17, 2018",0.005158,0.004632,"38,068,000",0.004901,"215,392"
23,0.004923,"May 16, 2018",0.005450,0.004496,"38,062,300",0.004900,"272,968"
24,0.004884,"May 15, 2018",0.005550,0.004835,"42,897,500",0.005523,"391,969"
25,0.005540,"May 14, 2018",0.005907,0.005333,"44,938,400",0.005785,"733,055"
26,0.005759,"May 13, 2018",0.005783,0.004544,"35,299,600",0.004544,"595,230"
27,0.004548,"May 12, 2018",0.004584,0.004167,"35,003,300",0.004506,"265,888"
28,0.004479,"May 11, 2018",0.005094,0.004107,"35,347,800",0.004551,"989,897"
29,0.004533,"May 10, 2018",0.005988,0.003770,"29,973,400",0.003859,"1,954,690"
30,0.003839,"May 09, 2018",0.003869,0.003352,"26,649,100",0.003431,"354,370"
31,0.003436,"May 08, 2018",0.003566,0.002899,"27,668,500",0.003562,"400,237"
32,0.003531,"May 07, 2018",0.003937,0.002574,"21,587,800",0.002779,"800,960"
33,0.002778,"May 06, 2018",0.002931,0.002639,"22,197,500",0.002858,"67,584"
34,0.002853,"May 05, 2018",0.002957,0.002760,"21,628,000",0.002784,"62,631"
35,0.002774,"May 04, 2018",0.002940,0.002696,"22,555,900",0.002904,"106,106"
36,0.002900,"May 03, 2018",0.002918,0.002558,"19,867,100",0.002558,"153,739"
37,0.002558,"May 02, 2018",0.002657,0.002426,"18,913,600",0.002435,"102,317"
38,0.002439,"May 01, 2018",0.002579,0.002286,"19,159,200",0.002467,"123,136"
39,0.002472,"Apr 30, 2018",0.002489,0.002344,"19,159,400",0.002467,"76,935"
40,0.002476,"Apr 29, 2018",0.002603,0.002397,"19,834,400",0.002553,"119,720"
41,0.002573,"Apr 28, 2018",0.002617,0.002368,"18,688,100",0.002406,"98,561"
42,0.002417,"Apr 27, 2018",0.002602,0.002363,"19,927,400",0.002565,"117,313"
43,0.002591,"Apr 26, 2018",0.002607,0.002332,"19,510,600",0.002512,"111,683"
44,0.002500,"Apr 25, 2018",0.002826,0.002301,"21,629,200",0.002785,"196,042"
45,0.002809,"Apr 24, 2018",0.003044,0.002100,"16,402,900",0.002112,"330,547"
46,0.002111,"Apr 23, 2018",0.002128,0.001997,"15,576,400",0.002005,"80,499"
47,0.002009,"Apr 22, 2018",0.002169,0.001987,"16,266,900",0.002094,"68,195"
48,0.002097,"Apr 21, 2018",0.002197,0.002052,"16,990,900",0.002187,"90,919"
49,0.002167,"Apr 20, 2018",0.002173,0.002028,"16,297,700",0.002098,"102,707"
