,close,date,high,low,market_cap,open,volume
0,0.757010,"Jun 08, 2018",0.772006,0.741778,"104,375,000",0.768663,"2,939,770"
1,0.767953,"Jun 07, 2018",0.786369,0.763978,"105,557,000",0.777370,"2,686,940"
2,0.776741,"Jun 06, 2018",0.817954,0.762350,"110,445,000",0.813368,"3,400,550"
3,0.812330,"Jun 05, 2018",0.812330,0.745010,"104,491,000",0.769518,"3,607,280"
4,0.768937,"Jun 04, 2018",0.842034,0.753298,"113,895,000",0.838772,"3,827,510"
5,0.841140,"Jun 03, 2018",0.851121,0.814548,"113,650,000",0.836967,"5,043,810"
6,0.837087,"Jun 02, 2018",0.863624,0.814068,"112,730,000",0.830196,"6,943,810"
7,0.829486,"Jun 01, 2018",0.864783,0.771609,"104,775,000",0.771609,"8,771,120"
8,0.771208,"May 31, 2018",0.790048,0.719509,"97,737,000",0.719779,"5,837,630"
9,0.720103,"May 30, 2018",0.737648,0.701259,"97,903,400",0.721004,"4,213,530"
10,0.719402,"May 29, 2018",0.721347,0.659920,"91,962,300",0.677252,"3,564,800"
11,0.677799,"May 28, 2018",0.736628,0.677754,"98,365,600",0.724408,"3,307,510"
12,0.725150,"May 27, 2018",0.730121,0.716229,"99,141,400",0.730121,"2,491,330"
13,0.728916,"May 26, 2018",0.754512,0.725111,"100,772,000",0.742129,"3,739,060"
14,0.741470,"May 25, 2018",0.767871,0.730058,"103,527,000",0.762417,"4,450,900"
15,0.762040,"May 24, 2018",0.771621,0.713114,"100,598,000",0.740846,"4,813,680"
16,0.744367,"May 23, 2018",0.824309,0.731037,"111,931,000",0.824309,"5,779,610"
17,0.828420,"May 22, 2018",0.920032,0.828420,"119,555,000",0.880456,"6,512,680"
18,0.881661,"May 21, 2018",0.933667,0.875701,"126,780,000",0.933667,"7,468,440"
19,0.933812,"May 20, 2018",0.936918,0.876465,"119,013,000",0.876465,"9,542,500"
20,0.876049,"May 19, 2018",0.883027,0.845531,"117,319,000",0.863988,"6,429,150"
21,0.864249,"May 18, 2018",0.864390,0.828272,"114,069,000",0.840058,"6,634,980"
22,0.840104,"May 17, 2018",0.902540,0.834693,"119,890,000",0.882923,"7,692,580"
23,0.882919,"May 16, 2018",0.935471,0.863943,"126,895,000",0.934514,"7,615,310"
24,0.932122,"May 15, 2018",0.999973,0.929403,"135,317,000",0.996538,"7,757,960"
25,0.990350,"May 14, 2018",1.02,0.905405,"131,980,000",0.971958,"13,261,100"
26,0.971138,"May 13, 2018",0.981340,0.904697,"122,847,000",0.904697,"12,400,600"
27,0.882502,"May 12, 2018",0.909535,0.823394,"120,493,000",0.887366,"4,973,720"
28,0.889834,"May 11, 2018",1.01,0.880309,"137,083,000",1.01,"11,090,000"
29,1.01,"May 10, 2018",1.13,1.01,"141,103,000",1.04,"11,054,900"
30,1.04,"May 09, 2018",1.08,0.998042,"144,155,000",1.06,"9,496,460"
31,1.06,"May 08, 2018",1.11,1.05,"147,012,000",1.08,"7,637,000"
32,1.08,"May 07, 2018",1.14,1.04,"153,808,000",1.13,"7,314,380"
