,close,date,high,low,market_cap,open,volume
0,0.752527,"Jun 08, 2018",0.811322,0.751441,-,0.811322,121
1,0.810703,"Jun 07, 2018",0.810703,0.807864,-,0.807864,8
2,0.808193,"Jun 06, 2018",0.819437,0.808193,-,0.819437,7
3,0.821347,"Jun 05, 2018",0.864022,0.750354,-,0.750674,"1,520"
4,0.752137,"Jun 04, 2018",0.794194,0.752137,-,0.794194,33
5,0.794194,"Jun 03, 2018",0.794194,0.753116,-,0.753116,"1,213"
6,0.753116,"Jun 02, 2018",0.789620,0.747638,-,0.747638,551
7,0.748000,"Jun 01, 2018",0.796804,0.748000,-,0.781145,549
8,0.781408,"May 31, 2018",0.800297,0.781408,-,0.799439,494
9,0.798786,"May 30, 2018",0.800920,0.794363,-,0.800920,15
10,0.799855,"May 29, 2018",0.799855,0.784806,-,0.788460,634
11,0.788729,"May 28, 2018",0.831923,0.788729,-,0.793473,152
12,0.795275,"May 27, 2018",0.836407,0.795275,-,0.795275,2
13,0.795275,"May 26, 2018",0.850120,0.795275,-,0.850120,163
14,0.849863,"May 25, 2018",0.876781,0.788935,-,0.788935,77
15,0.788454,"May 24, 2018",0.885941,0.783718,-,0.783718,85
16,0.781829,"May 23, 2018",0.895970,0.776132,-,0.776132,112
17,0.775236,"May 22, 2018",0.775245,0.766208,-,0.766208,340
18,0.765773,"May 21, 2018",0.901961,0.763418,-,0.901961,124
19,0.902894,"May 20, 2018",0.902894,0.767460,-,0.830619,"3,487"
20,0.830782,"May 19, 2018",0.830782,0.722001,-,0.758099,"2,812"
21,0.723203,"May 18, 2018",0.770722,0.720504,-,0.770722,36
22,0.771701,"May 17, 2018",0.813878,0.696321,-,0.724326,"3,678"
23,0.725711,"May 16, 2018",0.725711,0.699396,-,0.716304,"1,460"
24,0.716291,"May 15, 2018",0.727888,0.682371,-,0.700028,601
25,0.701846,"May 14, 2018",0.732331,0.701377,-,0.732331,607
26,0.732177,"May 13, 2018",0.732184,0.704724,-,0.704724,201
27,0.704724,"May 12, 2018",0.732142,0.704724,-,0.732142,138
28,0.733365,"May 11, 2018",0.758529,0.704444,-,0.758529,"1,442"
29,0.758245,"May 10, 2018",0.812529,0.755582,-,0.811882,571
30,0.812552,"May 09, 2018",0.812640,0.802607,-,0.806592,429
31,0.806894,"May 08, 2018",0.861863,0.806894,-,0.824644,283
32,0.825138,"May 07, 2018",0.861719,0.823578,-,0.852512,"1,988"
33,0.852310,"May 06, 2018",0.865141,0.824819,-,0.865141,570
