,close,date,high,low,market_cap,open,volume
0,0.362240,"Jun 08, 2018",0.408036,0.361073,"17,086,700",0.398486,"1,681,740"
1,0.397870,"Jun 07, 2018",0.454473,0.395948,"19,346,200",0.449593,"2,073,090"
2,0.449771,"Jun 06, 2018",0.463757,0.442903,"19,897,200",0.462161,"1,923,280"
3,0.462000,"Jun 05, 2018",0.465237,0.442742,"19,417,600",0.451086,"1,670,020"
4,0.450865,"Jun 04, 2018",0.477015,0.443039,"20,449,400",0.474695,"1,692,060"
5,0.474916,"Jun 03, 2018",0.480120,0.460652,"19,835,600",0.461278,"1,841,860"
6,0.461894,"Jun 02, 2018",0.473700,0.456706,"20,011,900",0.464986,"1,672,790"
7,0.465482,"Jun 01, 2018",0.475611,0.455729,"19,900,300",0.462178,"1,403,060"
8,0.462265,"May 31, 2018",0.470068,0.451125,"19,606,900",0.455057,"1,694,120"
9,0.461123,"May 30, 2018",0.484842,0.448053,"20,425,900",0.473578,"1,282,490"
10,0.473466,"May 29, 2018",0.479052,0.438180,"18,858,900",0.438666,"1,864,900"
11,0.439340,"May 28, 2018",0.488217,0.438591,"19,191,000",0.447089,"2,538,090"
12,0.446865,"May 27, 2018",0.450927,0.438372,"19,309,700",0.450433,"1,933,420"
13,0.449776,"May 26, 2018",0.462825,0.443353,"19,252,000",0.449039,"1,542,180"
14,0.448563,"May 25, 2018",0.466045,0.443050,"19,650,100",0.458321,"1,633,040"
15,0.457984,"May 24, 2018",0.481539,0.434953,"19,858,100",0.462706,"1,797,900"
16,0.463849,"May 23, 2018",0.536452,0.459816,"22,893,500",0.532869,"1,919,480"
17,0.532883,"May 22, 2018",0.579432,0.531780,"24,833,300",0.577917,"1,576,020"
18,0.578527,"May 21, 2018",0.635040,0.575738,"27,209,600",0.631949,"2,085,530"
19,0.633515,"May 20, 2018",0.650401,0.587160,"25,519,100",0.593916,"2,556,510"
20,0.590590,"May 19, 2018",0.594122,0.544646,"23,492,500",0.547459,"2,201,860"
21,0.546592,"May 18, 2018",0.548957,0.529214,"23,177,700",0.540033,"1,737,310"
22,0.541187,"May 17, 2018",0.578038,0.537730,"23,959,700",0.558064,"1,949,160"
23,0.560974,"May 16, 2018",0.563892,0.538714,"24,117,800",0.561609,"1,572,360"
24,0.561770,"May 15, 2018",0.616591,0.561770,"25,823,200",0.600839,"2,001,620"
25,0.601713,"May 14, 2018",0.626469,0.579826,"26,767,100",0.622056,"2,265,360"
26,0.622581,"May 13, 2018",0.632382,0.536150,"23,491,300",0.547124,"2,789,760"
27,0.547386,"May 12, 2018",0.563452,0.509587,"23,589,000",0.548760,"2,257,890"
28,0.548476,"May 11, 2018",0.691663,0.548476,"28,603,200",0.663664,"2,528,790"
29,0.664871,"May 10, 2018",0.762069,0.664190,"32,581,200",0.753924,"2,403,480"
30,0.755867,"May 09, 2018",0.787317,0.639290,"30,537,900",0.708530,"4,114,470"
31,0.706214,"May 08, 2018",0.832283,0.692740,"34,710,600",0.802055,"3,837,970"
32,0.800103,"May 07, 2018",0.986709,0.772768,"42,535,600",0.986709,"7,276,310"
33,0.953036,"May 06, 2018",0.953036,0.678695,"29,118,700",0.681318,"10,430,300"
34,0.689184,"May 05, 2018",0.693250,0.472269,"20,140,800",0.472505,"3,258,770"
35,0.472358,"May 04, 2018",0.491109,0.420406,"18,375,700",0.432168,"1,838,410"
36,0.436755,"May 03, 2018",0.440615,0.396388,"16,879,200",0.396995,"2,110,120"
37,0.396450,"May 02, 2018",0.397816,0.369914,"15,884,600",0.373979,"2,112,270"
38,0.374516,"May 01, 2018",0.377573,0.361345,"15,953,000",0.375405,"1,923,280"
39,0.373320,"Apr 30, 2018",0.393182,0.373320,"16,457,500",0.387429,"1,768,870"
40,0.387434,"Apr 29, 2018",0.395089,0.368750,"16,397,300",0.386221,"1,990,470"
41,0.385847,"Apr 28, 2018",0.392961,0.365060,"15,576,400",0.366747,"1,861,960"
42,0.367645,"Apr 27, 2018",0.391544,0.364909,"16,257,900",0.382566,"1,862,260"
43,0.381293,"Apr 26, 2018",0.381988,0.350863,"15,203,600",0.357688,"1,909,930"
44,0.358359,"Apr 25, 2018",0.413157,0.342327,"17,571,000",0.413102,"1,839,950"
45,0.411847,"Apr 24, 2018",0.430976,0.389609,"16,638,700",0.389673,"1,168,990"
46,0.391803,"Apr 23, 2018",0.416789,0.391132,"17,019,800",0.398442,"1,234,440"
47,0.398265,"Apr 22, 2018",0.419951,0.373375,"16,351,900",0.382736,"1,141,000"
48,0.384487,"Apr 21, 2018",0.400778,0.376871,"16,735,900",0.391650,"1,062,090"
