,close,date,high,low,market_cap,open,volume
0,4.25,"Jun 08, 2018",4.47,4.17,"439,351,000",4.44,"5,079,370"
1,4.45,"Jun 07, 2018",4.50,4.42,"439,112,000",4.44,"3,975,920"
2,4.44,"Jun 06, 2018",4.51,4.32,"445,671,000",4.51,"4,087,110"
3,4.51,"Jun 05, 2018",4.53,4.28,"431,427,000",4.36,"4,489,040"
4,4.35,"Jun 04, 2018",4.69,4.32,"460,556,000",4.66,"5,168,930"
5,4.67,"Jun 03, 2018",4.71,4.53,"448,618,000",4.54,"5,248,250"
6,4.54,"Jun 02, 2018",4.58,4.36,"434,471,000",4.39,"4,582,490"
7,4.39,"Jun 01, 2018",4.48,4.29,"438,847,000",4.44,"4,141,950"
8,4.43,"May 31, 2018",4.53,4.29,"427,484,000",4.32,"4,072,820"
9,4.34,"May 30, 2018",4.57,4.21,"442,949,000",4.48,"5,337,390"
10,4.48,"May 29, 2018",4.57,4.02,"403,648,000",4.08,"5,930,300"
11,4.08,"May 28, 2018",4.61,4.07,"455,061,000",4.60,"6,485,070"
12,4.60,"May 27, 2018",4.80,4.57,"474,217,000",4.80,"4,784,240"
13,4.79,"May 26, 2018",5.04,4.77,"485,895,000",4.91,"4,702,850"
14,4.91,"May 25, 2018",5.34,4.85,"528,060,000",5.34,"7,867,390"
15,5.33,"May 24, 2018",5.87,5.14,"534,557,000",5.41,"32,881,100"
16,5.41,"May 23, 2018",5.97,5.16,"573,325,000",5.80,"11,481,100"
17,5.79,"May 22, 2018",6.18,5.73,"569,912,000",5.76,"15,869,200"
18,5.76,"May 21, 2018",5.94,5.71,"582,705,000",5.89,"5,626,450"
19,5.89,"May 20, 2018",5.94,5.71,"570,062,000",5.77,"5,246,120"
20,5.76,"May 19, 2018",5.85,5.73,"577,343,000",5.84,"5,642,980"
21,5.84,"May 18, 2018",5.84,5.59,"561,572,000",5.68,"6,431,330"
22,5.68,"May 17, 2018",6.36,5.65,"618,511,000",6.26,"7,747,230"
23,6.29,"May 16, 2018",6.29,5.57,"582,732,000",5.89,"12,093,300"
24,5.90,"May 15, 2018",6.49,5.87,"623,071,000",6.30,"7,818,450"
25,6.31,"May 14, 2018",6.50,5.96,"639,314,000",6.47,"8,797,740"
26,6.49,"May 13, 2018",6.57,5.94,"597,765,000",6.05,"8,356,780"
27,6.05,"May 12, 2018",6.28,5.52,"559,633,000",5.66,"11,831,900"
28,5.68,"May 11, 2018",6.58,5.60,"650,685,000",6.58,"14,286,200"
29,6.59,"May 10, 2018",7.24,6.59,"702,517,000",7.11,"11,072,900"
30,7.12,"May 09, 2018",7.50,6.90,"741,661,000",7.50,"13,625,200"
31,7.51,"May 08, 2018",7.83,7.14,"755,726,000",7.65,"11,640,400"
32,7.62,"May 07, 2018",8.00,7.16,"784,444,000",7.94,"12,157,300"
33,7.91,"May 06, 2018",8.27,7.57,"811,101,000",8.21,"13,944,000"
34,8.21,"May 05, 2018",8.55,7.98,"796,695,000",8.06,"35,287,300"
35,8.02,"May 04, 2018",8.02,7.16,"754,702,000",7.64,"18,501,200"
36,7.67,"May 03, 2018",7.89,7.44,"753,396,000",7.62,"16,697,500"
37,7.62,"May 02, 2018",7.74,7.14,"715,283,000",7.24,"25,944,100"
38,7.22,"May 01, 2018",7.31,6.36,"669,643,000",6.78,"19,303,800"
39,6.77,"Apr 30, 2018",7.26,6.70,"706,381,000",7.15,"18,585,700"
40,7.16,"Apr 29, 2018",7.41,6.47,"639,983,000",6.48,"51,352,100"
41,6.47,"Apr 28, 2018",6.52,5.96,"591,899,000",5.99,"9,946,400"
42,6.01,"Apr 27, 2018",6.46,5.96,"615,406,000",6.23,"10,798,900"
43,6.23,"Apr 26, 2018",6.23,5.64,"571,532,000",5.78,"10,733,000"
44,5.76,"Apr 25, 2018",6.63,5.57,"655,152,000",6.63,"13,020,700"
45,6.69,"Apr 24, 2018",6.79,6.12,"604,744,000",6.12,"17,273,700"
46,6.13,"Apr 23, 2018",6.16,5.73,"567,404,000",5.74,"11,982,200"
47,5.74,"Apr 22, 2018",5.98,5.61,"572,534,000",5.79,"10,004,900"
48,5.81,"Apr 21, 2018",6.13,5.46,"593,318,000",6.00,"13,420,000"
49,6.00,"Apr 20, 2018",6.03,5.54,"570,860,000",5.78,"13,536,300"
50,5.77,"Apr 19, 2018",5.77,5.59,"554,272,000",5.61,"11,984,400"
51,5.61,"Apr 18, 2018",5.66,4.98,"491,754,000",4.98,"14,289,700"
52,4.97,"Apr 17, 2018",5.19,4.81,"476,689,000",4.82,"11,474,500"
53,4.83,"Apr 16, 2018",5.08,4.70,"496,831,000",5.03,"7,659,550"
54,5.03,"Apr 15, 2018",5.04,4.73,"467,033,000",4.73,"8,177,060"
55,4.71,"Apr 14, 2018",4.77,4.51,"456,139,000",4.62,"7,097,920"
56,4.62,"Apr 13, 2018",4.92,4.38,"443,852,000",4.49,"14,522,100"
57,4.50,"Apr 12, 2018",4.52,3.85,"401,488,000",4.06,"11,442,900"
