,close,date,high,low,market_cap,open,volume
0,0.001679,"Jun 08, 2018",0.001848,0.001588,-,0.001844,"1,190"
1,0.001842,"Jun 07, 2018",0.001851,0.001690,-,0.001761,578
2,0.001759,"Jun 06, 2018",0.001911,0.001672,-,0.001906,"2,437"
3,0.001906,"Jun 05, 2018",0.001979,0.001772,-,0.001876,"1,041"
4,0.001875,"Jun 04, 2018",0.002004,0.001793,-,0.001850,881
5,0.001849,"Jun 03, 2018",0.001989,0.001831,-,0.001985,615
6,0.001985,"Jun 02, 2018",0.001994,0.001869,-,0.001879,416
7,0.001880,"Jun 01, 2018",0.001974,0.001632,-,0.001948,"4,242"
8,0.001946,"May 31, 2018",0.002067,0.001860,-,0.002067,"1,317"
9,0.002068,"May 30, 2018",0.002068,0.001899,-,0.002015,857
10,0.002014,"May 29, 2018",0.002061,0.001747,-,0.001993,"3,950"
11,0.001994,"May 28, 2018",0.002244,0.001797,-,0.001910,"2,067"
12,0.001909,"May 27, 2018",0.002344,0.001909,-,0.002127,"3,571"
13,0.002126,"May 26, 2018",0.002601,0.001782,-,0.001792,"8,928"
14,0.001795,"May 25, 2018",0.001913,0.001738,-,0.001891,"1,994"
15,0.001887,"May 24, 2018",0.002061,0.001686,-,0.002030,"2,285"
16,0.002035,"May 23, 2018",0.002131,0.001887,-,0.001921,"2,881"
17,0.001923,"May 22, 2018",0.002272,0.001923,-,0.002186,"4,741"
18,0.002186,"May 21, 2018",0.002316,0.002095,-,0.002217,"1,216"
19,0.002214,"May 20, 2018",0.002306,0.002130,-,0.002226,"1,268"
20,0.002225,"May 19, 2018",0.002313,0.002138,-,0.002225,"2,199"
21,0.002225,"May 18, 2018",0.002395,0.002108,-,0.002262,"2,461"
22,0.002260,"May 17, 2018",0.002343,0.002134,-,0.002254,"4,938"
23,0.002253,"May 16, 2018",0.002463,0.001890,-,0.002376,"8,442"
24,0.002377,"May 15, 2018",0.002538,0.002001,-,0.002516,"19,538"
25,0.002433,"May 14, 2018",0.002874,0.001936,-,0.002868,"29,579"
26,0.002868,"May 13, 2018",0.002923,0.002678,-,0.002879,"4,410"
27,0.002880,"May 12, 2018",0.002944,0.002323,-,0.002770,"7,306"
28,0.002778,"May 11, 2018",0.003528,0.001843,-,0.003525,"26,880"
29,0.003521,"May 10, 2018",0.004028,0.003450,-,0.003912,"5,695"
30,0.003913,"May 09, 2018",0.004091,0.003666,-,0.003772,"3,221"
31,0.003777,"May 08, 2018",0.004100,0.003575,-,0.004028,"18,506"
32,0.004019,"May 07, 2018",0.004422,0.003721,-,0.004422,"160,246"
33,0.004419,"May 06, 2018",0.004464,0.004061,-,0.004423,"23,059"
34,0.004420,"May 05, 2018",0.004581,0.004309,-,0.004459,"63,889"
35,0.004461,"May 04, 2018",0.004715,0.004342,-,0.004679,"59,275"
36,0.004681,"May 03, 2018",0.004767,0.004139,-,0.004149,"210,466"
37,0.004148,"May 02, 2018",0.004314,0.003881,-,0.004178,"143,760"
38,0.004185,"May 01, 2018",0.004854,0.003833,-,0.004805,"25,702"
39,0.004801,"Apr 30, 2018",0.005668,0.003667,-,0.003761,"191,013"
