,close,date,high,low,market_cap,open,volume
0,0.376906,"Jun 08, 2018",0.400971,0.374567,"152,406,000",0.397906,"3,861,320"
1,0.398208,"Jun 07, 2018",0.422274,0.396458,"156,881,000",0.409588,"4,099,070"
2,0.409952,"Jun 06, 2018",0.413798,0.390443,"154,108,000",0.402348,"4,304,810"
3,0.402568,"Jun 05, 2018",0.407965,0.380268,"153,956,000",0.401952,"3,615,360"
4,0.400093,"Jun 04, 2018",0.442811,0.398068,"168,487,000",0.439889,"4,938,990"
5,0.439178,"Jun 03, 2018",0.451757,0.434733,"168,769,000",0.440626,"4,740,690"
6,0.441226,"Jun 02, 2018",0.458772,0.418867,"162,122,000",0.423272,"5,534,300"
7,0.423164,"Jun 01, 2018",0.438981,0.414919,"160,633,000",0.419383,"5,167,340"
8,0.418698,"May 31, 2018",0.428895,0.391711,"151,132,000",0.394580,"4,945,470"
9,0.394897,"May 30, 2018",0.417020,0.382795,"156,223,000",0.407870,"4,144,920"
10,0.408595,"May 29, 2018",0.418534,0.353149,"136,940,000",0.357525,"4,462,120"
11,0.357681,"May 28, 2018",0.400618,0.356926,"153,248,000",0.400104,"3,776,460"
12,0.399244,"May 27, 2018",0.423414,0.393833,"156,812,000",0.409407,"4,302,060"
13,0.409832,"May 26, 2018",0.428798,0.397753,"154,502,000",0.403378,"4,525,980"
14,0.404216,"May 25, 2018",0.432611,0.399523,"165,699,000",0.432611,"4,225,810"
15,0.431605,"May 24, 2018",0.437868,0.383130,"155,650,000",0.406375,"4,395,330"
16,0.406765,"May 23, 2018",0.462023,0.401636,"173,093,000",0.451914,"5,365,710"
17,0.452636,"May 22, 2018",0.528642,0.452452,"201,573,000",0.526271,"5,171,910"
18,0.526592,"May 21, 2018",0.555465,0.514047,"212,479,000",0.554746,"5,537,810"
19,0.552750,"May 20, 2018",0.560863,0.537849,"207,914,000",0.542826,"5,623,870"
20,0.541631,"May 19, 2018",0.559970,0.532751,"212,517,000",0.554843,"4,996,920"
