,close,date,high,low,market_cap,open,volume
0,0.136488,"Jun 08, 2018",0.145112,0.135138,"17,326,800",0.144729,"3,041,040"
1,0.144281,"Jun 07, 2018",0.150416,0.143650,"17,845,600",0.149062,"2,084,430"
2,0.148978,"Jun 06, 2018",0.154445,0.145518,"18,157,600",0.151669,"2,068,450"
3,0.151756,"Jun 05, 2018",0.155673,0.143039,"18,078,100",0.151004,"2,370,720"
4,0.150593,"Jun 04, 2018",0.169826,0.149448,"20,265,200",0.169273,"2,455,310"
5,0.169165,"Jun 03, 2018",0.176743,0.166839,"21,099,000",0.176237,"2,604,860"
6,0.176517,"Jun 02, 2018",0.178381,0.162820,"19,943,100",0.166582,"3,486,350"
7,0.168220,"Jun 01, 2018",0.172740,0.159008,"19,171,500",0.160138,"3,188,000"
8,0.159884,"May 31, 2018",0.165690,0.151949,"18,506,500",0.154582,"3,246,750"
9,0.154856,"May 30, 2018",0.162948,0.151212,"19,356,000",0.161679,"3,039,820"
10,0.161929,"May 29, 2018",0.163669,0.145448,"17,807,100",0.148741,"2,737,260"
11,0.148987,"May 28, 2018",0.169951,0.146880,"19,842,200",0.165739,"2,526,180"
12,0.165181,"May 27, 2018",0.169582,0.162352,"20,224,300",0.168931,"2,521,820"
13,0.168795,"May 26, 2018",0.176586,0.167568,"20,760,900",0.173414,"2,335,400"
14,0.173265,"May 25, 2018",0.187584,0.170161,"22,053,800",0.184213,"2,633,430"
15,0.183921,"May 24, 2018",0.191717,0.168950,"21,850,500",0.182515,"3,777,950"
16,0.182380,"May 23, 2018",0.218216,0.177554,"25,975,100",0.216967,"2,957,750"
17,0.217189,"May 22, 2018",0.226800,0.216244,"27,133,800",0.226646,"4,252,070"
18,0.227259,"May 21, 2018",0.242230,0.222942,"28,743,000",0.240087,"3,899,550"
19,0.240158,"May 20, 2018",0.246312,0.215805,"25,836,000",0.215805,"4,008,150"
20,0.215789,"May 19, 2018",0.227708,0.213143,"26,120,500",0.218182,"2,577,200"
21,0.217175,"May 18, 2018",0.225714,0.192166,"23,909,600",0.199714,"3,276,720"
22,0.197763,"May 17, 2018",0.217952,0.197549,"25,771,400",0.215362,"2,491,740"
23,0.215239,"May 16, 2018",0.220941,0.200622,"25,653,000",0.214373,"3,081,460"
24,0.214198,"May 15, 2018",0.228650,0.211062,"26,675,300",0.222915,"4,546,380"
25,0.223459,"May 14, 2018",0.235189,0.202980,"26,111,700",0.218206,"3,282,420"
26,0.218648,"May 13, 2018",0.233346,0.214719,"26,655,300",0.222748,"3,505,600"
27,0.223532,"May 12, 2018",0.235436,0.207370,"27,904,400",0.233187,"3,380,810"
28,0.233900,"May 11, 2018",0.300465,0.231844,"33,028,000",0.276003,"4,324,720"
29,0.275774,"May 10, 2018",0.307066,0.270690,"33,420,800",0.279285,"3,926,080"
30,0.275379,"May 09, 2018",0.292788,0.246842,"31,613,500",0.264182,"5,332,500"
