,close,date,high,low,market_cap,open,volume
0,0.000649,"Jun 08, 2018",0.000842,0.000649,-,0.000814,522
1,0.000813,"Jun 07, 2018",0.001008,0.000748,-,0.001006,663
2,0.001005,"Jun 06, 2018",0.001162,0.000683,-,0.001111,"1,437"
3,0.001111,"Jun 05, 2018",0.001294,0.000748,-,0.001291,615
4,0.001287,"Jun 04, 2018",0.001287,0.000753,-,0.000777,"2,395"
5,0.000777,"Jun 03, 2018",0.000964,0.000715,-,0.000871,581
6,0.000870,"Jun 02, 2018",0.000950,0.000771,-,0.000947,352
7,0.000948,"Jun 01, 2018",0.000950,0.000691,-,0.000739,"1,410"
8,0.000739,"May 31, 2018",0.000973,0.000611,-,0.000859,"1,098"
9,0.000858,"May 30, 2018",0.000947,0.000665,-,0.000835,648
10,0.000836,"May 29, 2018",0.000911,0.000529,-,0.000668,"2,801"
11,0.000618,"May 28, 2018",0.001026,0.000451,-,0.001022,"1,736"
12,0.001022,"May 27, 2018",0.001098,0.000876,-,0.001027,276
13,0.001026,"May 26, 2018",0.001061,0.000891,-,0.001046,319
14,0.001047,"May 25, 2018",0.001126,0.000919,-,0.001116,128
15,0.001114,"May 24, 2018",0.001139,0.000916,-,0.000998,201
16,0.001017,"May 23, 2018",0.001256,0.000959,-,0.000975,569
17,0.000948,"May 22, 2018",0.001347,0.000708,-,0.001345,782
18,0.001346,"May 21, 2018",0.001503,0.001258,-,0.001486,125
19,0.001484,"May 20, 2018",0.001531,0.001183,-,0.001262,371
20,0.001261,"May 19, 2018",0.001400,0.001236,-,0.001322,277
21,0.001323,"May 18, 2018",0.001394,0.001194,-,0.001212,141
22,0.001211,"May 17, 2018",0.001391,0.001204,-,0.001383,163
23,0.001382,"May 16, 2018",0.001505,0.001311,-,0.001406,174
24,0.001407,"May 15, 2018",0.001575,0.001337,-,0.001561,332
25,0.001564,"May 14, 2018",0.001753,0.001414,-,0.001572,237
26,0.001572,"May 13, 2018",0.001909,0.001542,-,0.001891,"1,212"
27,0.001892,"May 12, 2018",0.001906,0.001623,-,0.001623,324
28,0.001628,"May 11, 2018",0.001898,0.001572,-,0.001898,876
29,0.001896,"May 10, 2018",0.002285,0.001688,-,0.002093,376
30,0.002098,"May 09, 2018",0.002767,0.001854,-,0.002766,"1,305"
31,0.002771,"May 08, 2018",0.007488,0.001465,-,0.001592,"270,678"
32,0.001589,"May 07, 2018",0.001689,0.001133,-,0.001346,446
33,0.001345,"May 06, 2018",0.001503,0.001161,-,0.001485,719
34,0.001484,"May 05, 2018",0.001493,0.001314,-,0.001416,93
35,0.001417,"May 04, 2018",0.001815,0.001273,-,0.001711,215
36,0.001712,"May 03, 2018",0.002082,0.001673,-,0.002079,675
37,0.002079,"May 02, 2018",0.002173,0.001686,-,0.001815,"1,631"
38,0.001818,"May 01, 2018",0.002010,0.001466,-,0.002010,961
39,0.002008,"Apr 30, 2018",0.002129,0.001980,-,0.002079,867
40,0.002079,"Apr 29, 2018",0.002363,0.001634,-,0.002282,428
41,0.002334,"Apr 28, 2018",0.002395,0.001945,-,0.002018,"2,433"
42,0.002025,"Apr 27, 2018",0.002046,0.001573,-,0.001868,62
43,0.001866,"Apr 26, 2018",0.002299,0.001490,-,0.002019,306
44,0.002002,"Apr 25, 2018",0.002368,0.001412,-,0.001677,"13,520"
45,0.001882,"Apr 24, 2018",0.002020,0.001680,-,0.001853,337
46,0.001852,"Apr 23, 2018",0.001910,0.001440,-,0.001712,398
47,0.001747,"Apr 22, 2018",0.002066,0.001545,-,0.002050,299
48,0.002050,"Apr 21, 2018",0.002163,0.001646,-,0.002049,635
49,0.002048,"Apr 20, 2018",0.002235,0.001543,-,0.001729,"8,106"
50,0.001728,"Apr 19, 2018",0.001970,0.001482,-,0.001482,327
51,0.001481,"Apr 18, 2018",0.001855,0.001479,-,0.001775,24
52,0.001773,"Apr 17, 2018",0.001804,0.001263,-,0.001267,148
53,0.001266,"Apr 16, 2018",0.001979,0.001253,-,0.001669,374
54,0.001788,"Apr 15, 2018",0.001834,0.001607,-,0.001607,942
55,0.001605,"Apr 14, 2018",0.001880,0.001552,-,0.001558,665
56,0.001558,"Apr 13, 2018",0.001894,0.001549,-,0.001769,412
57,0.001766,"Apr 12, 2018",0.001775,0.001380,-,0.001646,334
58,0.001650,"Apr 11, 2018",0.001679,0.001447,-,0.001630,241
59,0.001657,"Apr 10, 2018",0.001735,0.001424,-,0.001729,992
60,0.001728,"Apr 09, 2018",0.001898,0.001319,-,0.001500,656
