,close,date,high,low,market_cap,open,volume
0,0.018978,"Jun 08, 2018",0.021278,0.018207,"2,857,980",0.021148,"2,242"
1,0.021136,"Jun 07, 2018",0.021153,0.019127,"2,645,640",0.019652,"7,918"
2,0.019657,"Jun 06, 2018",0.022107,0.018569,"2,841,520",0.021107,"6,507"
3,0.021110,"Jun 05, 2018",0.028953,0.017757,"2,454,830",0.018164,"17,930"
4,0.018175,"Jun 04, 2018",0.019551,0.018019,"2,624,720",0.019421,"4,128"
5,0.019388,"Jun 03, 2018",0.020388,0.018999,"2,590,480",0.019168,"4,407"
6,0.019129,"Jun 02, 2018",0.020090,0.018062,"2,555,740",0.019048,"8,743"
7,0.019064,"Jun 01, 2018",0.019115,0.017748,"2,448,920",0.018261,"7,306"
8,0.018236,"May 31, 2018",0.018905,0.016061,"2,166,390",0.016154,"6,699"
9,0.017136,"May 30, 2018",0.019317,0.016620,"2,506,110",0.018697,"1,371"
10,0.018690,"May 29, 2018",0.019987,0.015799,"2,432,940",0.018151,"7,321"
11,0.018057,"May 28, 2018",0.020232,0.017888,"2,670,300",0.019922,"1,137"
12,0.018529,"May 27, 2018",0.020294,0.018409,"2,697,230",0.020123,"2,201"
13,0.020044,"May 26, 2018",0.021512,0.018491,"2,806,990",0.020941,"3,827"
14,0.021249,"May 25, 2018",0.023718,0.014458,"3,132,460",0.023396,"31,103"
15,0.023387,"May 24, 2018",0.023737,0.019608,"2,939,800",0.021957,"7,805"
16,0.022026,"May 23, 2018",0.024456,0.019762,"3,249,360",0.024269,"8,226"
17,0.024314,"May 22, 2018",0.025730,0.022546,"3,438,630",0.025683,"3,800"
18,0.025592,"May 21, 2018",0.029329,0.022869,"3,452,450",0.025786,"28,357"
19,0.025753,"May 20, 2018",0.028667,0.024941,"3,338,180",0.024966,"3,103"
20,0.024945,"May 19, 2018",0.028504,0.024526,"3,345,670",0.025022,720
21,0.025027,"May 18, 2018",0.029186,0.023997,"3,259,470",0.024377,"9,286"
22,0.024367,"May 17, 2018",0.027799,0.024237,"3,680,740",0.027528,"5,077"
23,0.027474,"May 16, 2018",0.032344,0.024982,"4,298,010",0.032264,"4,625"
24,0.031094,"May 15, 2018",0.031447,0.025834,"3,911,480",0.029364,"7,766"
25,0.029360,"May 14, 2018",0.030649,0.026869,"3,676,880",0.027603,"17,074"
26,0.027623,"May 13, 2018",0.030187,0.027328,"3,722,410",0.027945,"19,228"
27,0.027947,"May 12, 2018",0.028317,0.025107,"3,356,110",0.025232,"5,866"
28,0.025276,"May 11, 2018",0.034339,0.025185,"4,526,520",0.034031,"24,130"
29,0.033930,"May 10, 2018",0.037342,0.033131,"4,783,830",0.035965,"9,714"
30,0.035932,"May 09, 2018",0.037506,0.034775,"4,988,920",0.037506,"8,254"
31,0.037649,"May 08, 2018",0.039769,0.037016,"4,923,640",0.037016,"8,926"
32,0.037002,"May 07, 2018",0.048862,0.029373,"3,903,050",0.029423,"7,302"
33,0.029407,"May 06, 2018",0.055926,0.028746,"7,270,160",0.054806,"3,577"
34,0.054820,"May 05, 2018",0.056954,0.039979,"5,271,240",0.040034,"5,502"
35,0.040089,"May 04, 2018",0.043530,0.037742,"5,688,760",0.043205,"13,345"
36,0.043376,"May 03, 2018",0.049345,0.043146,"5,889,830",0.045430,"7,640"
37,0.045434,"May 02, 2018",0.045449,0.039455,"5,245,800",0.040462,"5,928"
38,0.040499,"May 01, 2018",0.040793,0.036129,"4,860,200",0.037488,"13,302"
39,0.037438,"Apr 30, 2018",0.045545,0.037321,-,0.042224,"12,822"
40,0.042866,"Apr 29, 2018",0.042899,0.036687,-,0.040113,"24,019"
41,0.038937,"Apr 28, 2018",0.041727,0.037316,-,0.038162,"11,074"
42,0.036653,"Apr 27, 2018",0.040174,0.036191,-,0.038043,"16,002"
43,0.038118,"Apr 26, 2018",0.040780,0.034767,-,0.036584,"15,924"
44,0.036474,"Apr 25, 2018",0.043350,0.036466,-,0.043350,"24,580"
45,0.043360,"Apr 24, 2018",0.047861,0.042162,-,0.045482,"39,261"
46,0.045380,"Apr 23, 2018",0.050916,0.043680,-,0.048576,"17,728"
47,0.048539,"Apr 22, 2018",0.053740,0.047357,-,0.051465,"57,875"
48,0.051218,"Apr 21, 2018",0.051380,0.044623,-,0.046376,"39,138"
49,0.046583,"Apr 20, 2018",0.050428,0.042561,-,0.042561,"48,703"
