,close,date,high,low,market_cap,open,volume
0,0.274191,"Jun 08, 2018",0.282967,0.262552,"5,394,470",0.276191,"35,272"
1,0.275982,"Jun 07, 2018",0.292780,0.263462,"5,357,490",0.274298,"138,430"
2,0.274046,"Jun 06, 2018",0.285512,0.265141,"5,490,880",0.281127,"70,424"
3,0.281203,"Jun 05, 2018",0.296531,0.271222,"5,574,090",0.285388,"89,659"
4,0.285251,"Jun 04, 2018",0.297805,0.284342,"5,740,750",0.293920,"55,836"
5,0.293783,"Jun 03, 2018",0.301993,0.290133,"5,670,440",0.290320,"42,910"
6,0.294894,"Jun 02, 2018",0.305749,0.284271,"5,725,670",0.293148,"133,684"
7,0.293275,"Jun 01, 2018",0.296381,0.285013,"5,670,390",0.290318,"149,759"
8,0.290107,"May 31, 2018",0.296841,0.276037,"5,537,770",0.283528,"173,387"
9,0.283581,"May 30, 2018",0.297526,0.277561,"5,735,980",0.293676,"148,623"
10,0.293479,"May 29, 2018",0.302956,0.277572,"5,484,850",0.280819,"200,610"
11,0.279920,"May 28, 2018",0.323691,0.277901,"6,029,870",0.308723,"570,415"
12,0.308651,"May 27, 2018",0.327017,0.302370,"6,090,200",0.311812,"259,321"
13,0.311674,"May 26, 2018",0.372834,0.270644,"6,011,510",0.307783,"1,439,020"
14,0.308418,"May 25, 2018",0.317465,0.295966,"6,153,310",0.315043,"115,877"
15,0.314452,"May 24, 2018",0.321563,0.288208,"5,950,210",0.304644,"164,003"
16,0.307211,"May 23, 2018",0.341755,0.295645,"6,565,070",0.336125,"155,313"
17,0.336473,"May 22, 2018",0.364319,0.335573,"7,113,330",0.364195,"159,721"
18,0.364182,"May 21, 2018",0.390150,0.360661,"7,338,480",0.375722,"443,035"
19,0.370147,"May 20, 2018",0.377093,0.345804,"7,050,660",0.360986,"271,557"
20,0.359562,"May 19, 2018",0.401478,0.355496,"7,508,550",0.384430,"280,935"
21,0.384488,"May 18, 2018",0.411536,0.345356,"7,296,890",0.373593,"624,660"
22,0.373266,"May 17, 2018",0.405071,0.368720,"7,661,420",0.392257,"244,340"
23,0.392018,"May 16, 2018",0.400271,0.349714,"7,817,960",0.400271,"400,180"
24,0.400502,"May 15, 2018",0.474237,0.392779,"8,309,180",0.425422,"687,507"
25,0.426158,"May 14, 2018",0.455562,0.396296,"8,897,880",0.455562,"921,520"
26,0.450391,"May 13, 2018",0.493690,0.398205,"9,507,020",0.486749,"2,825,900"
27,0.486980,"May 12, 2018",0.510757,0.447402,"9,353,830",0.478907,"115,632"
28,0.487132,"May 11, 2018",0.525373,0.441105,"10,052,400",0.514674,"587,027"
29,0.514058,"May 10, 2018",0.560647,0.511062,"10,825,800",0.554267,"292,065"
30,0.548765,"May 09, 2018",0.577665,0.517346,"11,066,400",0.566589,"214,046"
31,0.567448,"May 08, 2018",0.615751,0.520755,"11,885,400",0.608522,"372,149"
32,0.611876,"May 07, 2018",0.657681,0.573926,"12,763,500",0.653479,"361,274"
33,0.653013,"May 06, 2018",0.726024,0.632272,"14,180,400",0.726024,"841,215"
34,0.708599,"May 05, 2018",0.739343,0.649281,"12,922,700",0.661627,"4,076,240"
35,0.661789,"May 04, 2018",0.722142,0.586108,"11,668,400",0.597412,"2,445,590"
36,0.597548,"May 03, 2018",0.620580,0.576364,"11,763,800",0.602295,"223,793"
37,0.602372,"May 02, 2018",0.612358,0.562705,"11,312,500",0.579187,"287,722"
38,0.580030,"May 01, 2018",0.585233,0.549959,"11,430,600",0.585233,"109,850"
39,0.584721,"Apr 30, 2018",0.611858,0.565420,"11,950,600",0.611858,"182,830"
40,0.612062,"Apr 29, 2018",0.626286,0.569202,"12,052,600",0.617080,"232,911"
41,0.617031,"Apr 28, 2018",0.633584,0.593409,"11,605,500",0.594190,"189,106"
42,0.595986,"Apr 27, 2018",0.627497,0.579904,"11,865,300",0.607490,"385,113"
43,0.605985,"Apr 26, 2018",0.623574,0.526438,"10,759,500",0.550877,"452,207"
44,0.546349,"Apr 25, 2018",0.624006,0.532577,"11,366,100",0.581932,"674,490"
45,0.585914,"Apr 24, 2018",0.589559,0.540210,"10,658,000",0.545676,"544,124"
46,0.551921,"Apr 23, 2018",0.553892,0.511179,"10,225,700",0.523543,"468,282"
47,0.525470,"Apr 22, 2018",0.555979,0.508070,"10,156,500",0.520000,"518,699"
48,0.523210,"Apr 21, 2018",0.542884,0.495148,"10,513,600",0.538285,"300,544"
49,0.538061,"Apr 20, 2018",0.546176,0.486434,"9,796,930",0.501593,"706,513"
50,0.504122,"Apr 19, 2018",0.522021,0.455626,"9,101,940",0.466010,"1,581,430"
51,0.468169,"Apr 18, 2018",0.469673,0.432584,"8,449,070",0.432584,"513,681"
52,0.435901,"Apr 17, 2018",0.460656,0.426783,"8,662,020",0.443487,"487,833"
53,0.446442,"Apr 16, 2018",0.477904,0.430125,"9,334,260",0.477904,"537,303"
54,0.476454,"Apr 15, 2018",0.480685,0.447848,"8,836,380",0.452413,"507,849"
55,0.451319,"Apr 14, 2018",0.464632,0.411065,"8,389,290",0.429523,"1,608,150"
56,0.424968,"Apr 13, 2018",0.445676,0.385257,"8,045,200",0.411906,"1,276,580"
57,0.410822,"Apr 12, 2018",0.412236,0.346291,"7,036,400",0.360256,"1,176,320"
58,0.361494,"Apr 11, 2018",0.363904,0.336693,"6,873,820",0.351932,"469,941"
59,0.351593,"Apr 10, 2018",0.355516,0.322000,"6,813,690",0.348854,"1,297,230"
60,0.356180,"Apr 09, 2018",0.620547,0.323710,"6,485,490",0.332050,"13,732,300"
61,0.331513,"Apr 08, 2018",0.332611,0.304548,"6,024,650",0.308456,"615,429"
62,0.310506,"Apr 07, 2018",0.350367,0.292919,"5,721,180",0.292919,"404,631"
63,0.292569,"Apr 06, 2018",0.313375,0.281633,"5,873,520",0.300718,"77,800"
64,0.302258,"Apr 05, 2018",0.320433,0.287318,"6,245,770",0.319777,"142,754"
65,0.319643,"Apr 04, 2018",0.351569,0.315858,"6,779,550",0.347106,"160,198"
66,0.347343,"Apr 03, 2018",0.355712,0.302319,"6,167,910",0.315791,"273,862"
67,0.320584,"Apr 02, 2018",0.326497,0.294825,"5,852,260",0.299629,"618,767"
68,0.299700,"Apr 01, 2018",0.364814,0.275706,"5,888,040",0.301462,"1,219,430"
69,0.301329,"Mar 31, 2018",0.320209,0.289166,"5,769,740",0.295405,"88,619"
70,0.300457,"Mar 30, 2018",0.307536,0.277416,"5,977,930",0.306064,"72,257"
71,0.306828,"Mar 29, 2018",0.361173,0.297535,"7,018,950",0.359363,"128,038"
72,0.360617,"Mar 28, 2018",0.374059,0.345393,"6,784,260",0.347347,"108,670"
73,0.347426,"Mar 27, 2018",0.386801,0.335138,"7,498,800",0.383931,"164,747"
74,0.384513,"Mar 26, 2018",0.426730,0.347373,"7,543,540",0.386221,"450,098"
75,0.384739,"Mar 25, 2018",0.411828,0.364607,"7,781,080",0.398383,"200,207"
76,0.403943,"Mar 24, 2018",0.423926,0.371572,"8,266,760",0.423249,"135,972"
77,0.417175,"Mar 23, 2018",0.433137,0.387192,"8,389,950",0.429557,"81,048"
78,0.429567,"Mar 22, 2018",0.463182,0.424678,"8,755,620",0.448279,"133,757"
79,0.450916,"Mar 21, 2018",0.486126,0.439183,"9,238,840",0.473019,"265,392"
80,0.472163,"Mar 20, 2018",0.489560,0.409848,"8,722,610",0.446588,"310,176"
81,0.441736,"Mar 19, 2018",0.442690,0.375366,"7,917,960",0.405391,"197,765"
82,0.409369,"Mar 18, 2018",0.429736,0.330403,"8,393,460",0.429736,"247,017"
83,0.431026,"Mar 17, 2018",0.487940,0.417936,"9,530,280",0.487940,"437,889"
84,0.483246,"Mar 16, 2018",0.601461,0.464260,"9,067,760",0.464260,"4,039,140"
85,0.441842,"Mar 15, 2018",0.474656,0.395551,"9,207,490",0.471414,"169,447"
86,0.474138,"Mar 14, 2018",0.569703,0.462578,"11,009,500",0.563677,"167,506"
87,0.565548,"Mar 13, 2018",0.603212,0.542716,"10,782,900",0.552071,"131,253"
88,0.563305,"Mar 12, 2018",0.626300,0.541210,"11,748,000",0.601487,"168,439"
89,0.603388,"Mar 11, 2018",0.613689,0.541485,"11,196,800",0.573266,"183,613"
