,close,date,high,low,market_cap,open,volume
0,0.175127,"Jun 08, 2018",0.177475,0.171015,"17,654,400",0.175267,"41,159"
1,0.175002,"Jun 07, 2018",0.182399,0.174395,"18,154,500",0.180231,"46,038"
2,0.180066,"Jun 06, 2018",0.183974,0.175194,"18,239,100",0.181072,"85,599"
3,0.181055,"Jun 05, 2018",0.183481,0.175158,"18,404,000",0.182709,"55,463"
4,0.182622,"Jun 04, 2018",0.195182,0.181241,"19,514,900",0.193738,"90,299"
5,0.193335,"Jun 03, 2018",0.196180,0.186243,"18,941,700",0.188047,"142,164"
6,0.187996,"Jun 02, 2018",0.192641,0.175698,"17,821,200",0.176923,"123,953"
7,0.177000,"Jun 01, 2018",0.181377,0.173414,"17,892,900",0.177635,"55,117"
8,0.177506,"May 31, 2018",0.185930,0.167936,"17,041,800",0.169186,"123,231"
9,0.169070,"May 30, 2018",0.180885,0.166088,"18,199,200",0.180676,"110,974"
10,0.180555,"May 29, 2018",0.181236,0.162600,"16,741,800",0.166207,"120,565"
11,0.167124,"May 28, 2018",0.185159,0.166167,"18,362,600",0.182298,"86,068"
12,0.182256,"May 27, 2018",0.188419,0.173594,"18,321,200",0.181887,"111,971"
13,0.181807,"May 26, 2018",0.195342,0.180272,"18,970,800",0.188336,"57,952"
14,0.188583,"May 25, 2018",0.198121,0.185056,"19,428,600",0.192880,"111,921"
15,0.192520,"May 24, 2018",0.197848,0.183331,"19,202,300",0.190634,"131,628"
16,0.192013,"May 23, 2018",0.214800,0.188504,"21,534,200",0.213785,"235,342"
17,0.214008,"May 22, 2018",0.238802,0.213825,"24,045,900",0.238720,"142,050"
18,0.236292,"May 21, 2018",0.242663,0.229586,"23,681,700",0.235104,"199,603"
19,0.234835,"May 20, 2018",0.239729,0.218347,"22,273,100",0.221120,"220,107"
20,0.220955,"May 19, 2018",0.227479,0.213954,"22,650,900",0.224871,"339,622"
21,0.224905,"May 18, 2018",0.232001,0.211032,"23,079,600",0.229126,"315,263"
22,0.228903,"May 17, 2018",0.243524,0.228471,"24,046,600",0.238727,"118,974"
23,0.238581,"May 16, 2018",0.243471,0.227135,"24,368,600",0.241924,"177,233"
24,0.242063,"May 15, 2018",0.263272,0.241150,"25,175,800",0.249937,"244,372"
25,0.250366,"May 14, 2018",0.256092,0.232372,"24,945,800",0.247653,"119,567"
26,0.247132,"May 13, 2018",0.254656,0.230913,"23,792,500",0.236204,"220,405"
27,0.234367,"May 12, 2018",0.244963,0.227693,"23,919,800",0.237468,"159,066"
28,0.238161,"May 11, 2018",0.264227,0.224308,"26,615,200",0.264227,"533,831"
29,0.262214,"May 10, 2018",0.277282,0.258129,"27,793,800",0.275928,"317,697"
30,0.275825,"May 09, 2018",0.280207,0.255002,"27,437,300",0.272389,"286,613"
31,0.272806,"May 08, 2018",0.291667,0.267644,"29,167,600",0.289566,"483,688"
32,0.289030,"May 07, 2018",0.312953,0.279595,"30,706,900",0.304848,"641,843"
33,0.306563,"May 06, 2018",0.306875,0.289022,"30,062,300",0.298449,"871,451"
34,0.298247,"May 05, 2018",0.317769,0.285458,"31,012,300",0.307880,"1,712,240"
35,0.308025,"May 04, 2018",0.313646,0.303426,"31,522,900",0.312949,"437,497"
36,0.312410,"May 03, 2018",0.317567,0.297859,"31,207,400",0.309817,"690,485"
37,0.309806,"May 02, 2018",0.310445,0.295379,"31,163,700",0.309383,"471,242"
38,0.309705,"May 01, 2018",0.310173,0.287865,"31,153,500",0.309281,"374,814"
39,0.308937,"Apr 30, 2018",0.312436,0.289856,"30,556,300",0.303352,"448,354"
40,0.303480,"Apr 29, 2018",0.307446,0.288094,"30,333,900",0.301145,"389,806"
41,0.300654,"Apr 28, 2018",0.303630,0.282712,"28,546,800",0.283403,"299,789"
42,0.284555,"Apr 27, 2018",0.299962,0.284293,"30,042,100",0.298248,"443,132"
43,0.298152,"Apr 26, 2018",0.298888,0.265581,"27,627,500",0.274276,"584,457"
44,0.272079,"Apr 25, 2018",0.327553,0.266544,"32,993,900",0.327553,"857,172"
45,0.329930,"Apr 24, 2018",0.329930,0.313324,"31,892,000",0.316613,"1,248,200"
46,0.316344,"Apr 23, 2018",0.322617,0.312931,"31,839,300",0.316090,"945,899"
47,0.319586,"Apr 22, 2018",0.323559,0.299447,"31,309,600",0.310831,"1,091,220"
48,0.312945,"Apr 21, 2018",0.334444,0.279212,"31,052,700",0.308281,"2,814,550"
49,0.306160,"Apr 20, 2018",0.313512,0.293953,"31,195,800",0.309702,"1,229,130"
50,0.310744,"Apr 19, 2018",0.310744,0.286872,"30,203,900",0.299854,"1,639,680"
51,0.299426,"Apr 18, 2018",0.307105,0.273807,"27,778,500",0.275776,"1,137,520"
52,0.278373,"Apr 17, 2018",0.286934,0.270710,"28,469,500",0.282636,"1,062,300"
53,0.283510,"Apr 16, 2018",0.302475,0.265841,"28,694,000",0.284864,"2,138,720"
54,0.291158,"Apr 15, 2018",0.291229,0.235714,"26,191,100",0.260017,"1,718,120"
55,0.259117,"Apr 14, 2018",0.262592,0.244733,"25,333,200",0.251500,"1,219,220"
56,0.250798,"Apr 13, 2018",0.263462,0.243640,"25,460,400",0.252763,"2,047,860"
57,0.251924,"Apr 12, 2018",0.253284,0.219513,"23,190,000",0.230223,"2,697,980"
58,0.230754,"Apr 11, 2018",0.233868,0.215796,"22,630,300",0.224666,"1,841,180"
59,0.226844,"Apr 10, 2018",0.249863,0.195567,"21,371,900",0.212173,"2,417,450"
60,0.212590,"Apr 09, 2018",0.230104,0.200738,"22,933,700",0.227678,"3,116,420"
61,0.228446,"Apr 08, 2018",0.280179,0.198129,"20,003,600",0.198589,"19,681,700"
62,0.197366,"Apr 07, 2018",0.207615,0.182293,"18,628,700",0.184940,"1,118,170"
63,0.184670,"Apr 06, 2018",0.206119,0.175804,"19,236,900",0.190977,"854,535"
64,0.191235,"Apr 05, 2018",0.201732,0.178283,"20,042,100",0.198972,"1,391,900"
65,0.199855,"Apr 04, 2018",0.228322,0.195579,"22,998,500",0.228322,"798,491"
66,0.228614,"Apr 03, 2018",0.231155,0.209226,"22,048,200",0.218887,"2,680,350"
67,0.218751,"Apr 02, 2018",0.225556,0.198477,"21,138,500",0.209856,"2,184,650"
68,0.207401,"Apr 01, 2018",0.233040,0.196785,"22,950,900",0.227849,"1,699,100"
69,0.228688,"Mar 31, 2018",0.283578,0.216862,"25,923,500",0.257360,"2,236,000"
70,0.254967,"Mar 30, 2018",0.291891,0.239814,"25,907,600",0.257202,"3,241,890"
71,0.256921,"Mar 29, 2018",0.349216,0.244073,"35,176,000",0.349216,"2,737,520"
72,0.350032,"Mar 28, 2018",0.369764,0.317666,"34,604,800",0.343545,"5,486,180"
73,0.347143,"Mar 27, 2018",0.479331,0.343416,"46,177,000",0.458430,"11,377,800"
74,0.432511,"Mar 26, 2018",0.487641,0.365930,"37,106,200",0.368378,"33,872,800"
75,0.366106,"Mar 25, 2018",0.387070,0.319691,"32,202,000",0.319691,"5,056,210"
76,0.324213,"Mar 24, 2018",0.357140,0.279141,"30,708,100",0.304860,"2,189,460"
77,0.300481,"Mar 23, 2018",0.335577,0.292957,"33,453,400",0.332115,"1,378,350"
78,0.337673,"Mar 22, 2018",0.355827,0.292772,"29,983,100",0.297662,"3,054,260"
79,0.298191,"Mar 21, 2018",0.313070,0.292169,"30,517,400",0.302967,"605,842"
80,0.303344,"Mar 20, 2018",0.316767,0.255066,"28,183,200",0.279794,"1,158,590"
81,0.276958,"Mar 19, 2018",0.281832,0.232915,"24,756,700",0.245776,"947,461"
82,0.247664,"Mar 18, 2018",0.249964,0.197075,"23,647,300",0.234762,"604,021"
83,0.236723,"Mar 17, 2018",0.286274,0.233456,"26,900,000",0.267055,"869,144"
84,0.264681,"Mar 16, 2018",0.275901,0.243260,"26,605,600",0.264131,"460,265"
85,0.264617,"Mar 15, 2018",0.284629,0.245453,"28,539,200",0.283328,"1,018,930"
86,0.283447,"Mar 14, 2018",0.368891,0.274352,"34,056,800",0.338105,"2,431,870"
87,0.337984,"Mar 13, 2018",0.357580,0.321250,"35,701,000",0.354427,"2,697,910"
88,0.353263,"Mar 12, 2018",0.400588,0.347742,"39,278,000",0.389939,"664,554"
89,0.384570,"Mar 11, 2018",0.402721,0.338189,"35,586,900",0.353295,"1,137,490"
90,0.355266,"Mar 10, 2018",0.419760,0.338289,"39,767,300",0.394796,"1,395,890"
91,0.397850,"Mar 09, 2018",0.404440,0.325009,"38,703,500",0.384235,"3,500,790"
92,0.386363,"Mar 08, 2018",0.478072,0.386363,"44,552,500",0.442303,"2,305,480"
93,0.446918,"Mar 07, 2018",0.558347,0.399497,"48,572,400",0.482210,"15,590,600"
94,0.501413,"Mar 06, 2018",0.538116,0.366883,"31,791,200",0.386490,"19,102,400"
95,0.393403,"Mar 05, 2018",0.428952,0.377589,"35,033,800",0.425910,"444,284"
96,0.421597,"Mar 04, 2018",0.435132,0.380227,"35,474,000",0.431261,"821,641"
97,0.434445,"Mar 03, 2018",0.483853,0.422093,"36,050,300",0.438268,"1,979,250"
98,0.439048,"Mar 02, 2018",0.457985,0.382871,"33,266,200",0.404421,"2,857,520"
99,0.403768,"Mar 01, 2018",0.404557,0.344726,"31,774,600",0.386288,"2,406,470"
100,0.395283,"Feb 28, 2018",0.397670,0.316999,"26,320,400",0.319981,"3,056,620"
101,0.321042,"Feb 27, 2018",0.324217,0.288360,"24,532,600",0.298246,"275,909"
102,0.297423,"Feb 26, 2018",0.316470,0.284789,"24,647,500",0.299643,"484,921"
103,0.299260,"Feb 25, 2018",0.303470,0.256235,"22,169,300",0.269515,"297,120"
