,close,date,high,low,market_cap,open,volume
0,3.27,"Jun 08, 2018",3.28,3.13,"26,284,200",3.23,"263,307"
1,3.23,"Jun 07, 2018",3.33,3.21,"26,710,200",3.28,"165,797"
2,3.28,"Jun 06, 2018",3.33,3.19,"27,023,600",3.32,"256,769"
3,3.32,"Jun 05, 2018",3.33,3.19,"26,455,100",3.25,"266,195"
4,3.25,"Jun 04, 2018",3.33,3.19,"26,349,000",3.23,"259,802"
5,3.23,"Jun 03, 2018",3.25,3.11,"25,387,500",3.12,"306,824"
6,3.12,"Jun 02, 2018",3.13,3.03,"24,743,100",3.04,"259,923"
7,3.05,"Jun 01, 2018",3.13,2.97,"24,873,500",3.05,"306,933"
8,3.05,"May 31, 2018",3.14,2.96,"24,191,900",2.97,"250,121"
9,2.98,"May 30, 2018",3.17,2.92,"25,453,900",3.12,"242,385"
10,3.12,"May 29, 2018",3.13,2.84,"23,098,200",2.84,"210,073"
11,2.84,"May 28, 2018",3.08,2.63,"25,081,800",3.08,"243,285"
12,3.08,"May 27, 2018",3.25,3.08,"26,496,300",3.25,"195,032"
13,3.25,"May 26, 2018",3.35,3.21,"26,617,600",3.27,"230,519"
14,3.27,"May 25, 2018",3.58,3.23,"28,192,400",3.46,"247,790"
15,3.46,"May 24, 2018",3.47,3.27,"27,093,500",3.33,"153,614"
16,3.34,"May 23, 2018",3.83,3.31,"30,612,700",3.76,"305,989"
17,3.76,"May 22, 2018",4.02,3.75,"32,589,900",4.00,"279,134"
18,4.00,"May 21, 2018",4.11,3.93,"32,515,000",3.99,"305,584"
19,3.99,"May 20, 2018",4.18,3.96,"32,998,500",4.05,"399,420"
20,4.05,"May 19, 2018",4.07,3.92,"32,074,700",3.94,"141,425"
21,3.94,"May 18, 2018",3.94,3.83,"31,418,900",3.86,"272,083"
22,3.86,"May 17, 2018",4.01,3.84,"32,188,400",3.95,"263,747"
23,3.95,"May 16, 2018",3.95,3.83,"31,812,300",3.91,"300,230"
24,3.91,"May 15, 2018",4.08,3.88,"32,542,000",3.99,"296,247"
25,4.00,"May 14, 2018",4.26,3.91,"33,540,300",4.12,"380,947"
26,4.12,"May 13, 2018",4.27,4.03,"34,441,700",4.23,"279,356"
27,4.23,"May 12, 2018",4.48,4.03,"34,682,000",4.26,"392,528"
28,4.26,"May 11, 2018",4.41,4.00,"34,757,800",4.27,"429,095"
29,4.26,"May 10, 2018",4.61,4.26,"36,514,500",4.48,"305,505"
30,4.48,"May 09, 2018",5.21,4.41,"41,252,100",5.06,"490,104"
31,5.07,"May 08, 2018",5.21,4.88,"39,735,700",4.88,"337,901"
32,4.87,"May 07, 2018",6.56,4.57,"52,619,500",6.46,"620,272"
33,6.45,"May 06, 2018",8.24,6.37,"66,789,000",8.20,"494,507"
34,8.23,"May 05, 2018",11.63,6.37,"53,300,000",6.54,"1,214,390"
35,6.54,"May 04, 2018",7.69,6.32,"53,726,600",6.60,"463,155"
36,6.62,"May 03, 2018",7.16,5.82,"47,450,400",5.82,"496,390"
37,5.83,"May 02, 2018",5.86,5.22,"43,111,800",5.29,"553,194"
38,5.30,"May 01, 2018",5.52,5.14,"44,988,700",5.52,"278,058"
39,5.51,"Apr 30, 2018",5.74,5.28,"44,399,900",5.45,"466,722"
40,5.46,"Apr 29, 2018",5.49,5.34,"43,487,000",5.34,"260,734"
41,5.34,"Apr 28, 2018",5.43,4.80,"39,133,200",4.80,"290,556"
42,4.83,"Apr 27, 2018",5.65,4.50,"46,028,900",5.65,"643,922"
43,5.65,"Apr 26, 2018",5.66,5.27,"43,756,900",5.37,"280,350"
44,5.35,"Apr 25, 2018",6.11,5.30,"49,508,500",6.08,"282,675"
45,6.09,"Apr 24, 2018",6.27,5.68,"49,511,900",6.08,"424,646"
46,6.08,"Apr 23, 2018",6.18,5.76,"49,626,300",6.09,"229,810"
47,6.10,"Apr 22, 2018",6.30,5.87,"48,014,100",5.89,"225,702"
48,5.89,"Apr 21, 2018",6.16,5.68,"49,885,500",6.12,"276,727"
49,6.12,"Apr 20, 2018",6.16,5.49,"44,896,500",5.51,"365,425"
50,5.51,"Apr 19, 2018",5.55,5.31,"43,694,700",5.36,"274,196"
51,5.36,"Apr 18, 2018",5.59,5.13,"41,885,600",5.14,"337,640"
52,5.14,"Apr 17, 2018",5.49,5.14,"43,413,400",5.33,"208,430"
53,5.33,"Apr 16, 2018",5.49,5.23,"44,438,100",5.46,"202,237"
54,5.45,"Apr 15, 2018",5.47,5.27,"42,968,900",5.27,"272,124"
55,5.27,"Apr 14, 2018",5.44,5.09,"41,703,900",5.12,"243,286"
56,5.12,"Apr 13, 2018",5.28,4.85,"39,889,800",4.90,"231,301"
57,4.89,"Apr 12, 2018",4.90,4.10,"34,205,500",4.20,"174,475"
58,4.22,"Apr 11, 2018",4.22,4.00,"32,816,100",4.03,"202,820"
59,4.02,"Apr 10, 2018",4.04,3.87,"31,789,700",3.90,"212,541"
60,3.89,"Apr 09, 2018",4.07,3.84,"31,374,900",3.85,"215,558"
61,3.85,"Apr 08, 2018",3.88,3.73,"31,121,800",3.82,"238,545"
62,3.82,"Apr 07, 2018",3.84,3.57,"29,209,600",3.59,"126,455"
63,3.58,"Apr 06, 2018",3.76,3.48,"30,393,300",3.73,"188,106"
64,3.74,"Apr 05, 2018",3.86,3.57,"31,316,700",3.84,"267,503"
65,3.84,"Apr 04, 2018",4.16,3.79,"32,252,500",3.96,"223,756"
66,3.96,"Apr 03, 2018",3.97,3.71,"30,236,400",3.71,"262,099"
67,3.71,"Apr 02, 2018",3.86,3.58,"31,105,300",3.82,"282,238"
68,3.81,"Apr 01, 2018",4.08,3.72,"32,936,200",4.04,"238,215"
69,4.04,"Mar 31, 2018",4.10,3.89,"32,001,100",3.93,"222,896"
70,3.93,"Mar 30, 2018",4.18,3.83,"33,908,300",4.16,"219,451"
71,4.17,"Mar 29, 2018",4.67,4.06,"37,922,100",4.66,"221,164"
72,4.65,"Mar 28, 2018",4.75,4.48,"37,884,200",4.65,"300,734"
73,4.64,"Mar 27, 2018",4.87,4.54,"39,182,200",4.81,"259,719"
74,4.81,"Mar 26, 2018",5.07,4.59,"40,608,400",4.99,"254,856"
75,4.99,"Mar 25, 2018",5.13,4.71,"41,625,300",5.11,"401,532"
76,5.17,"Mar 24, 2018",5.29,4.94,"40,449,600",4.97,"289,531"
77,4.91,"Mar 23, 2018",5.13,4.73,"41,530,000",5.10,"250,735"
78,5.10,"Mar 22, 2018",5.35,5.00,"42,503,200",5.22,"245,416"
79,5.18,"Mar 21, 2018",5.68,5.18,"43,869,500",5.39,"317,730"
80,5.35,"Mar 20, 2018",5.42,4.99,"41,623,100",5.11,"116,990"
81,5.08,"Mar 19, 2018",5.12,4.59,"38,128,400",4.68,"223,989"
82,4.68,"Mar 18, 2018",4.82,4.11,"39,255,400",4.82,"306,953"
83,4.81,"Mar 17, 2018",5.23,4.79,"40,626,600",4.99,"294,202"
84,5.00,"Mar 16, 2018",5.09,4.73,"39,646,100",4.87,"250,116"
85,4.87,"Mar 15, 2018",4.94,4.56,"39,012,300",4.79,"218,083"
86,4.79,"Mar 14, 2018",5.56,4.75,"44,892,500",5.51,"258,208"
87,5.51,"Mar 13, 2018",5.55,5.28,"43,726,400",5.37,"252,348"
88,5.39,"Mar 12, 2018",5.64,5.32,"44,112,900",5.42,"296,779"
89,5.41,"Mar 11, 2018",5.77,5.00,"41,885,200",5.14,"346,386"
90,5.16,"Mar 10, 2018",5.67,5.09,"44,577,900",5.47,"308,296"
91,5.48,"Mar 09, 2018",5.53,5.04,"44,684,700",5.49,"209,955"
92,5.50,"Mar 08, 2018",6.06,5.45,"48,032,600",5.90,"191,608"
93,5.90,"Mar 07, 2018",6.50,5.74,"52,314,500",6.42,"121,738"
94,6.43,"Mar 06, 2018",6.87,6.33,"55,572,300",6.82,"137,673"
95,6.82,"Mar 05, 2018",6.96,6.78,"55,729,600",6.84,"252,844"
96,6.84,"Mar 04, 2018",6.85,6.59,"54,972,600",6.75,"266,100"
97,6.75,"Mar 03, 2018",6.88,6.43,"52,357,200",6.43,"359,965"
98,6.44,"Mar 02, 2018",6.59,6.34,"52,618,500",6.46,"288,190"
99,6.47,"Mar 01, 2018",6.56,6.25,"51,455,600",6.32,"306,966"
100,6.31,"Feb 28, 2018",6.67,6.31,"52,686,500",6.47,"219,043"
101,6.47,"Feb 27, 2018",6.81,6.35,"52,213,600",6.41,"300,794"
102,6.39,"Feb 26, 2018",6.43,6.06,"49,375,300",6.06,"101,128"
103,6.06,"Feb 25, 2018",6.46,5.95,"50,213,800",6.16,"320,802"
104,6.17,"Feb 24, 2018",6.52,6.03,"52,064,400",6.39,"232,676"
105,6.39,"Feb 23, 2018",6.64,5.74,"47,573,800",5.84,"192,463"
106,5.84,"Feb 22, 2018",6.24,5.84,"49,176,000",6.04,"200,109"
107,6.04,"Feb 21, 2018",6.58,5.90,"53,596,300",6.58,"236,237"
108,6.59,"Feb 20, 2018",6.81,6.52,"55,132,700",6.77,"103,716"
109,6.76,"Feb 19, 2018",6.85,6.49,"54,514,500",6.69,"258,551"
110,6.73,"Feb 18, 2018",7.21,6.68,"57,737,700",7.09,"254,233"
111,7.08,"Feb 17, 2018",7.08,6.44,"52,503,600",6.45,"221,214"
112,6.45,"Feb 16, 2018",6.56,6.27,"51,825,100",6.36,"131,690"
113,6.38,"Feb 15, 2018",6.45,5.92,"48,808,300",5.99,"153,208"
114,5.99,"Feb 14, 2018",6.04,5.50,"44,779,000",5.50,"100,442"
115,5.50,"Feb 13, 2018",5.90,5.41,"44,647,100",5.48,"329,606"
116,5.47,"Feb 12, 2018",5.55,4.92,"40,121,600",4.93,"320,748"
117,4.89,"Feb 11, 2018",5.36,4.89,"43,631,300",5.36,"143,859"
118,5.36,"Feb 10, 2018",5.55,5.12,"42,369,100",5.20,"123,743"
119,5.20,"Feb 09, 2018",5.29,4.89,"41,350,500",5.08,"251,023"
120,5.06,"Feb 08, 2018",5.92,4.74,"38,575,900",4.74,"235,668"
121,4.74,"Feb 07, 2018",5.46,4.14,"35,625,400",4.37,"410,316"
122,4.40,"Feb 06, 2018",4.66,3.70,"36,684,000",4.50,"622,882"
123,4.47,"Feb 05, 2018",5.90,4.10,"42,419,300",5.21,"525,624"
124,5.26,"Feb 04, 2018",6.58,4.95,"45,715,600",5.61,"442,304"
125,5.60,"Feb 03, 2018",6.45,5.42,"49,227,600",6.04,"578,552"
126,6.03,"Feb 02, 2018",6.15,5.06,"49,722,400",6.10,"299,708"
127,6.12,"Feb 01, 2018",6.62,5.87,"48,463,500",5.95,"309,772"
128,5.93,"Jan 31, 2018",7.79,5.89,"57,260,700",7.03,"548,269"
129,6.97,"Jan 30, 2018",7.92,6.85,"58,959,800",7.24,"477,759"
130,7.23,"Jan 29, 2018",8.07,7.23,"64,859,500",7.96,"539,559"
131,8.01,"Jan 28, 2018",8.45,7.86,"66,588,700",8.17,"488,190"
132,8.13,"Jan 27, 2018",8.19,7.68,"62,930,600",7.73,"414,409"
133,7.72,"Jan 26, 2018",8.23,7.40,"65,756,200",8.07,"406,024"
134,8.09,"Jan 25, 2018",8.41,8.04,"66,497,300",8.16,"405,418"
135,8.03,"Jan 24, 2018",8.09,7.31,"60,826,000",7.47,"388,980"
136,7.46,"Jan 23, 2018",7.76,6.93,"59,557,600",7.31,"306,671"
137,7.35,"Jan 22, 2018",8.15,7.03,"65,334,000",8.02,"380,817"
138,7.97,"Jan 21, 2018",8.68,7.71,"70,690,000",8.68,"479,593"
139,8.66,"Jan 20, 2018",8.80,7.93,"64,588,900",7.93,"548,936"
140,7.89,"Jan 19, 2018",8.83,7.72,"65,568,200",8.05,"554,743"
141,8.10,"Jan 18, 2018",8.71,7.71,"64,985,500",7.98,"568,184"
142,7.94,"Jan 17, 2018",8.06,5.79,"62,120,100",7.63,"579,376"
143,7.67,"Jan 16, 2018",10.12,6.79,"82,423,900",10.12,"675,453"
144,10.08,"Jan 15, 2018",10.59,10.07,"84,725,900",10.40,"489,210"
145,10.44,"Jan 14, 2018",10.96,10.21,"88,518,100",10.87,"576,636"
146,10.85,"Jan 13, 2018",11.23,10.21,"88,840,200",10.91,"703,358"
147,10.87,"Jan 12, 2018",11.05,9.88,"83,039,400",10.19,"612,494"
148,10.17,"Jan 11, 2018",11.74,9.71,"93,895,100",11.53,"727,834"
149,11.55,"Jan 10, 2018",11.86,10.08,"96,331,100",11.83,"1,408,800"
150,11.73,"Jan 09, 2018",11.73,9.91,"82,994,200",10.19,"1,795,990"
151,10.21,"Jan 08, 2018",10.21,9.09,"76,017,300",9.33,"1,145,570"
152,9.31,"Jan 07, 2018",9.43,8.35,"68,084,300",8.36,"1,264,770"
153,8.36,"Jan 06, 2018",8.43,7.76,"64,416,600",7.91,"1,090,980"
154,7.89,"Jan 05, 2018",8.22,7.63,"63,260,200",7.77,"805,495"
155,7.78,"Jan 04, 2018",7.80,6.99,"58,410,700",7.17,"949,190"
156,7.14,"Jan 03, 2018",7.26,6.36,"53,649,400",6.59,"971,381"
157,6.58,"Jan 02, 2018",6.94,6.02,"49,577,000",6.09,"967,904"
158,6.08,"Jan 01, 2018",6.15,5.57,"48,642,400",5.97,"801,524"
159,5.96,"Dec 31, 2017",6.07,5.44,"44,789,600",5.50,"817,452"
160,5.53,"Dec 30, 2017",6.08,5.24,"49,529,600",6.08,"718,440"
161,6.10,"Dec 29, 2017",6.31,5.87,"50,221,100",6.17,"779,624"
162,6.14,"Dec 28, 2017",6.18,5.71,"49,178,900",6.04,"770,299"
163,6.05,"Dec 27, 2017",6.16,5.68,"48,165,400",5.91,"903,958"
164,5.86,"Dec 26, 2017",6.14,5.61,"47,236,900",5.80,"870,050"
165,5.80,"Dec 25, 2017",5.90,5.47,"44,819,800",5.50,"806,482"
166,5.47,"Dec 24, 2017",6.15,4.76,"50,102,000",6.15,"953,871"
167,6.11,"Dec 23, 2017",6.65,5.56,"45,576,400",5.59,"952,828"
168,5.55,"Dec 22, 2017",6.19,3.90,"49,895,800",6.13,"848,169"
169,6.11,"Dec 21, 2017",6.44,5.56,"51,835,300",6.36,"816,668"
170,6.36,"Dec 20, 2017",6.85,5.25,"46,594,700",5.72,"1,035,330"
171,5.73,"Dec 19, 2017",6.82,5.61,"52,928,800",6.50,"964,834"
172,6.50,"Dec 18, 2017",7.53,5.13,"43,878,200",5.39,"1,197,700"
173,5.38,"Dec 17, 2017",5.82,5.19,"42,439,500",5.21,"600,670"
174,5.20,"Dec 16, 2017",5.63,5.05,"43,776,500",5.37,"759,918"
175,5.36,"Dec 15, 2017",5.51,4.50,"40,697,200",5.00,"954,702"
176,4.99,"Dec 14, 2017",5.05,4.48,"36,647,800",4.50,"833,651"
177,4.51,"Dec 13, 2017",5.24,4.44,"41,741,400",5.12,"815,680"
178,5.11,"Dec 12, 2017",5.11,4.73,"40,212,000",4.94,"677,641"
179,4.94,"Dec 11, 2017",4.94,4.38,"35,686,000",4.38,"844,290"
180,4.40,"Dec 10, 2017",4.56,4.01,"36,200,600",4.44,"528,452"
181,4.44,"Dec 09, 2017",4.63,4.26,"37,038,000",4.55,"618,719"
182,4.55,"Dec 08, 2017",4.55,3.85,"33,228,000",4.08,"613,748"
183,4.06,"Dec 07, 2017",4.48,4.02,"34,233,800",4.20,"607,282"
184,4.20,"Dec 06, 2017",4.37,4.08,"33,204,500",4.08,"524,883"
185,4.08,"Dec 05, 2017",4.17,4.07,"33,480,300",4.11,"440,894"
186,4.10,"Dec 04, 2017",4.62,4.09,"36,921,200",4.53,"362,817"
187,4.53,"Dec 03, 2017",4.53,4.17,"35,147,600",4.31,"500,776"
188,4.31,"Dec 02, 2017",4.45,4.24,"34,590,200",4.25,"433,359"
189,4.24,"Dec 01, 2017",4.37,3.69,"30,773,000",3.78,"558,196"
190,3.81,"Nov 30, 2017",4.05,3.49,"31,336,000",3.85,"449,448"
191,3.81,"Nov 29, 2017",4.40,3.60,"33,683,200",4.13,"451,199"
192,4.13,"Nov 28, 2017",4.26,4.09,"34,580,000",4.25,"574,690"
193,4.23,"Nov 27, 2017",4.55,4.12,"36,838,600",4.52,"572,188"
194,4.52,"Nov 26, 2017",4.67,4.39,"36,749,900",4.51,"442,275"
