,close,date,high,low,market_cap,open,volume
0,0.011522,"Jun 08, 2018",0.011933,0.011340,"109,973",0.011524,40
1,0.011515,"Jun 07, 2018",0.011881,0.011259,"107,446",0.011259,43
2,0.011249,"Jun 06, 2018",0.012579,0.011051,"111,285",0.011665,"1,776"
3,0.011668,"Jun 05, 2018",0.011689,0.011104,"107,469",0.011265,6
4,0.011259,"Jun 04, 2018",0.011509,0.011048,"109,459",0.011479,56
5,0.011473,"Jun 03, 2018",0.011849,0.011397,"112,685",0.011823,196
6,0.011820,"Jun 02, 2018",0.012058,0.011734,"114,036",0.011970,185
7,0.011976,"Jun 01, 2018",0.012550,0.011216,"109,997",0.011552,246
8,0.011544,"May 31, 2018",0.011544,0.010009,"109,609",0.011517,586
9,0.011519,"May 30, 2018",0.011524,0.010326,"100,304",0.010542,179
10,0.010535,"May 29, 2018",0.011510,0.009936,"98,971",0.010413,209
11,0.010416,"May 28, 2018",0.011143,0.010313,"104,803",0.011038,225
12,0.011035,"May 27, 2018",0.011077,0.010851,"104,417",0.011003,40
13,0.010998,"May 26, 2018",0.011550,0.010939,"109,064",0.011503,81
14,0.011518,"May 25, 2018",0.012708,0.011279,"108,570",0.011456,321
15,0.011435,"May 24, 2018",0.011704,0.010915,"107,464",0.011355,518
16,0.011383,"May 23, 2018",0.012777,0.011290,"120,527",0.012743,108
17,0.012756,"May 22, 2018",0.013158,0.012151,"121,542",0.012864,163
18,0.012866,"May 21, 2018",0.014766,0.012848,"139,324",0.014756,93
19,0.014737,"May 20, 2018",0.014762,0.012906,"122,876",0.013030,189
20,0.013014,"May 19, 2018",0.015143,0.012939,"142,703",0.015143,283
21,0.015310,"May 18, 2018",0.015351,0.011968,"115,641",0.012279,251
22,0.012268,"May 17, 2018",0.013070,0.012198,"119,342",0.012684,199
23,0.012676,"May 16, 2018",0.013639,0.012477,"122,378",0.013015,149
24,0.013023,"May 15, 2018",0.014708,0.011533,"120,266",0.012806,"1,648"
25,0.012828,"May 14, 2018",0.014382,0.012315,"123,695",0.013189,243
26,0.013191,"May 13, 2018",0.013886,0.012503,"120,614",0.012867,152
27,0.012872,"May 12, 2018",0.014009,0.011880,"118,688",0.012676,460
28,0.012714,"May 11, 2018",0.014117,0.012676,"132,026",0.014117,118
29,0.014100,"May 10, 2018",0.014607,0.013919,"132,219",0.014156,346
30,0.014160,"May 09, 2018",0.014711,0.014088,"135,890",0.014567,199
31,0.014589,"May 08, 2018",0.015485,0.014589,"142,785",0.015329,382
32,0.015297,"May 07, 2018",0.015634,0.014918,"145,361",0.015627,145
33,0.015615,"May 06, 2018",0.016107,0.015502,"148,344",0.015971,187
34,0.015960,"May 05, 2018",0.016969,0.015953,"152,910",0.016484,479
35,0.016492,"May 04, 2018",0.019079,0.016095,"153,910",0.016613,928
36,0.016620,"May 03, 2018",0.022181,0.015112,"148,810",0.016094,"1,909"
37,0.016093,"May 02, 2018",0.018130,0.014468,"134,803",0.014605,657
38,0.014627,"May 01, 2018",0.018041,0.011820,"138,634",0.015044,"2,453"
39,0.015031,"Apr 30, 2018",0.015927,0.014917,"138,878",0.015093,578
40,0.015098,"Apr 29, 2018",0.016490,0.014974,"150,375",0.016355,234
41,0.016361,"Apr 28, 2018",0.017825,0.015617,"143,781",0.015658,302
42,0.015711,"Apr 27, 2018",0.016774,0.015253,"145,056",0.015814,593
43,0.015792,"Apr 26, 2018",0.016982,0.015081,"142,090",0.015513,230
44,0.015385,"Apr 25, 2018",0.018171,0.015364,"163,224",0.017844,252
45,0.017966,"Apr 24, 2018",0.019205,0.016407,"149,978",0.016415,555
46,0.016875,"Apr 23, 2018",0.016925,0.015604,"148,439",0.016267,197
47,0.016309,"Apr 22, 2018",0.016610,0.015338,"141,887",0.015569,348
48,0.015570,"Apr 21, 2018",0.017868,0.014952,"151,901",0.016696,612
49,0.016691,"Apr 20, 2018",0.017640,0.015167,"140,173",0.015426,549
50,0.015415,"Apr 19, 2018",0.017365,0.013693,"124,208",0.013697,"1,537"
51,0.013687,"Apr 18, 2018",0.016017,0.012161,"110,363",0.012190,699
52,0.012179,"Apr 17, 2018",0.013091,0.012084,"110,590",0.012235,197
53,0.012229,"Apr 16, 2018",0.013330,0.012130,"119,407",0.013227,201
54,0.013233,"Apr 15, 2018",0.014657,0.012373,"115,171",0.012773,246
55,0.012759,"Apr 14, 2018",0.013674,0.012551,"113,383",0.012594,87
56,0.012594,"Apr 13, 2018",0.014162,0.011879,"123,613",0.013757,142
57,0.013740,"Apr 12, 2018",0.014084,0.010964,"105,111",0.011715,231
58,0.011744,"Apr 11, 2018",0.013121,0.011622,"109,468",0.012219,345
59,0.012208,"Apr 10, 2018",0.013011,0.012158,"111,184",0.012431,214
60,0.012421,"Apr 09, 2018",0.014202,0.012160,"117,849",0.013194,132
61,0.013173,"Apr 08, 2018",0.013303,0.012675,"113,095",0.012675,89
62,0.012663,"Apr 07, 2018",0.012922,0.010480,"104,548",0.011728,478
