,close,date,high,low,market_cap,open,volume
0,2.98,"Jun 08, 2018",3.06,1.90,-,2.30,"1,555"
1,2.30,"Jun 07, 2018",3.32,1.92,-,3.29,"1,014"
2,3.29,"Jun 06, 2018",3.75,2.68,-,3.74,"2,586"
3,3.74,"Jun 05, 2018",13.44,3.65,-,13.43,"3,923"
4,13.42,"Jun 04, 2018",14.28,5.98,-,7.71,"24,217"
5,7.71,"Jun 03, 2018",7.71,3.04,-,3.05,"2,917"
6,3.05,"Jun 02, 2018",3.07,2.99,-,3.01,53
7,3.01,"Jun 01, 2018",3.04,2.95,-,3.00,101
8,3.02,"May 31, 2018",3.03,2.94,-,2.95,3
9,2.95,"May 30, 2018",3.02,2.92,-,2.99,50
10,3.99,"May 29, 2018",4.00,3.80,-,3.82,310
11,3.82,"May 28, 2018",3.89,2.88,-,2.95,297
12,3.01,"May 26, 2018",3.05,2.96,-,2.99,5
13,2.99,"May 25, 2018",3.58,2.95,-,3.54,6
14,3.53,"May 24, 2018",3.55,2.91,-,3.08,226
15,3.02,"May 23, 2018",3.21,3.02,-,3.20,29
16,3.20,"May 22, 2018",3.77,2.90,-,2.95,141
17,2.95,"May 21, 2018",3.95,2.93,-,3.92,9
18,3.92,"May 20, 2018",3.95,3.77,-,3.79,4
19,3.79,"May 19, 2018",3.79,3.25,-,3.28,1
20,3.28,"May 18, 2018",3.29,2.79,-,2.83,1
21,2.82,"May 17, 2018",2.92,2.81,-,2.91,26
22,2.91,"May 16, 2018",2.97,2.85,-,2.97,16
23,2.97,"May 15, 2018",3.09,2.95,-,3.04,16
24,3.04,"May 14, 2018",3.09,2.91,-,3.04,2
25,3.04,"May 13, 2018",3.06,2.93,-,2.96,7
26,2.96,"May 12, 2018",3.02,2.88,-,2.94,163
27,2.95,"May 11, 2018",3.44,2.56,-,2.71,"3,346"
28,2.71,"May 10, 2018",2.75,2.71,-,2.74,108
29,2.78,"May 09, 2018",2.80,2.70,-,2.76,52
30,2.76,"May 08, 2018",2.92,2.75,-,2.81,530
31,2.80,"May 07, 2018",2.91,2.77,-,2.88,150
32,2.88,"May 06, 2018",2.98,2.83,-,2.95,111
33,2.95,"May 05, 2018",3.67,2.91,-,3.59,675
34,3.59,"May 04, 2018",3.90,1.98,-,2.92,"1,393"
35,2.92,"May 03, 2018",3.71,1.84,-,3.69,323
36,3.69,"May 02, 2018",3.84,2.81,-,3.81,348
37,3.81,"May 01, 2018",3.81,2.88,-,3.00,343
38,3.00,"Apr 30, 2018",4.09,2.98,-,3.06,605
39,3.06,"Apr 29, 2018",4.66,2.81,-,4.58,464
40,4.58,"Apr 28, 2018",4.59,2.73,-,2.85,"4,116"
41,2.86,"Apr 27, 2018",5.29,2.86,-,3.95,"1,127"
42,3.95,"Apr 26, 2018",5.17,3.47,-,4.25,653
43,4.22,"Apr 25, 2018",5.86,3.56,-,3.88,"2,754"
44,3.91,"Apr 24, 2018",8.19,3.79,-,7.89,"4,250"
45,7.88,"Apr 23, 2018",8.20,4.46,-,6.15,"2,055"
46,6.16,"Apr 22, 2018",7.13,6.13,-,6.25,859
47,6.25,"Apr 21, 2018",7.09,6.06,-,7.07,110
48,7.07,"Apr 20, 2018",7.86,4.96,-,4.96,"2,699"
49,4.96,"Apr 19, 2018",5.77,3.82,-,4.33,"3,963"
50,4.32,"Apr 18, 2018",4.36,3.75,-,4.24,829
51,4.23,"Apr 17, 2018",4.84,3.62,-,4.83,"1,408"
52,4.83,"Apr 16, 2018",7.46,3.22,-,5.09,"3,571"
53,5.09,"Apr 15, 2018",7.66,3.33,-,4.80,"4,289"
54,4.80,"Apr 14, 2018",5.52,4.70,-,4.72,395
55,4.72,"Apr 13, 2018",6.51,2.47,-,6.33,"2,618"
56,6.32,"Apr 12, 2018",7.50,3.83,-,7.49,"1,301"
57,7.51,"Apr 11, 2018",9.93,5.52,-,9.90,"2,550"
58,9.89,"Apr 10, 2018",13.54,6.93,-,13.52,"2,102"
59,13.51,"Apr 09, 2018",14.16,10.83,-,11.94,"2,371"
60,11.92,"Apr 08, 2018",15.34,11.16,-,15.29,"2,360"
61,15.28,"Apr 07, 2018",19.18,13.89,-,14.30,"2,893"
62,14.29,"Apr 06, 2018",25.11,13.21,-,20.33,"11,667"
63,20.43,"Apr 05, 2018",38.86,20.25,-,38.71,"20,174"
64,38.70,"Apr 04, 2018",42.96,10.21,-,14.85,"54,179"
65,14.86,"Apr 03, 2018",23.67,14.84,-,16.93,"4,156"
66,16.91,"Apr 02, 2018",38.68,4.15,-,18.43,"22,629"
67,17.15,"Apr 01, 2018",68.79,13.99,-,25.64,"65,311"
68,25.64,"Mar 31, 2018",169.34,1.04,-,1.05,"62,661"
69,0.748094,"Mar 29, 2018",0.795268,0.746857,-,0.793965,14
70,0.793037,"Mar 28, 2018",0.805773,0.650458,-,0.654091,15
71,0.654241,"Mar 27, 2018",0.682584,0.653404,-,0.664734,1
72,0.621817,"Mar 24, 2018",0.626248,0.618912,-,0.623831,14
73,0.614877,"Mar 23, 2018",0.614877,0.582074,-,0.609093,14
74,0.609108,"Mar 22, 2018",0.635068,0.596537,-,0.622687,113
75,0.623824,"Mar 21, 2018",0.626482,0.617960,-,0.620329,19
76,0.534724,"Mar 19, 2018",0.548121,0.529100,-,0.532369,66
77,0.534621,"Mar 18, 2018",0.681082,0.475350,-,0.661733,91
78,0.736460,"Mar 14, 2018",0.817597,0.733456,-,0.799285,1
79,0.799175,"Mar 13, 2018",0.815208,0.775233,-,0.812953,"1,306"
80,0.461674,"Mar 11, 2018",0.463460,0.425394,-,0.440431,3
81,0.441955,"Mar 10, 2018",0.476048,0.437939,-,0.464743,3
82,0.464543,"Mar 09, 2018",0.467012,0.426003,-,0.438890,3
83,0.575565,"Mar 05, 2018",0.580564,0.572992,-,0.576949,62
84,0.577372,"Mar 04, 2018",0.577372,0.556545,-,0.573707,62
85,0.574698,"Mar 03, 2018",1.00,0.565928,-,0.965518,3
86,0.966700,"Mar 02, 2018",0.973913,0.947152,-,0.960525,102
