,close,date,high,low,market_cap,open,volume
0,0.024544,"Jun 08, 2018",0.026527,0.024064,"11,919,600",0.026086,"98,139"
1,0.026041,"Jun 07, 2018",0.027297,0.023642,"11,350,400",0.024901,"170,138"
2,0.024909,"Jun 06, 2018",0.025824,0.023449,"11,187,600",0.024605,"162,460"
3,0.024655,"Jun 05, 2018",0.025994,0.022823,"10,882,200",0.023958,"196,824"
4,0.023960,"Jun 04, 2018",0.026847,0.023573,"11,703,300",0.025740,"110,915"
5,0.025803,"Jun 03, 2018",0.026710,0.024484,"11,414,100",0.025072,"128,016"
6,0.025103,"Jun 02, 2018",0.026404,0.024598,"11,543,600",0.025315,"130,063"
7,0.025320,"Jun 01, 2018",0.026165,0.023967,"11,872,000",0.026003,"62,312"
8,0.025947,"May 31, 2018",0.027080,0.024625,"11,560,600",0.025222,"142,216"
9,0.025247,"May 30, 2018",0.025480,0.023217,"10,918,300",0.023851,"108,442"
10,0.024205,"May 29, 2018",0.025625,0.022040,"10,623,700",0.023117,"156,384"
11,0.023184,"May 28, 2018",0.026055,0.022179,"11,542,400",0.025097,"61,557"
12,0.026053,"May 27, 2018",0.027283,0.024476,"12,298,300",0.026783,"63,133"
13,0.026732,"May 26, 2018",0.028664,0.025944,"12,451,200",0.027089,"105,805"
14,0.027150,"May 25, 2018",0.028327,0.025477,"12,139,500",0.026441,"105,158"
15,0.025991,"May 24, 2018",0.029452,0.024463,"12,878,200",0.028034,"168,626"
16,0.028161,"May 23, 2018",0.029063,0.023467,"12,692,700",0.027747,"165,398"
17,0.027078,"May 22, 2018",0.032103,0.026197,"13,448,000",0.029280,"195,788"
18,0.028883,"May 21, 2018",0.033784,0.028883,"14,899,500",0.032392,"152,459"
19,0.031691,"May 20, 2018",0.035023,0.031518,"15,415,300",0.033462,"115,359"
20,0.033434,"May 19, 2018",0.035992,0.030743,"16,259,900",0.035244,"111,919"
21,0.035244,"May 18, 2018",0.035287,0.029289,"15,817,200",0.034245,"111,184"
22,0.034279,"May 17, 2018",0.040331,0.033397,"18,424,100",0.039889,"166,805"
23,0.039842,"May 16, 2018",0.040216,0.035118,"18,535,400",0.040117,"81,644"
24,0.040098,"May 15, 2018",0.043085,0.036463,"17,326,300",0.037505,"161,490"
25,0.039169,"May 14, 2018",0.043900,0.036096,"19,659,000",0.042401,"199,045"
26,0.042415,"May 13, 2018",0.043240,0.038441,"18,504,500",0.039922,"188,376"
27,0.040002,"May 12, 2018",0.041512,0.031878,"16,716,600",0.036047,"202,070"
28,0.036173,"May 11, 2018",0.042772,0.036173,"19,322,700",0.041667,"271,949"
29,0.042540,"May 10, 2018",0.049615,0.041793,"22,283,400",0.047787,"250,478"
30,0.047732,"May 09, 2018",0.048777,0.042444,"21,334,000",0.045888,"55,835"
31,0.045930,"May 08, 2018",0.052802,0.042307,"23,964,500",0.051863,"89,283"
32,0.051527,"May 07, 2018",0.055925,0.045295,"22,825,500",0.049939,"91,484"
33,0.049911,"May 06, 2018",0.063679,0.045755,"24,946,100",0.055046,"113,790"
34,0.057594,"May 05, 2018",0.057840,0.046639,"21,062,800",0.046639,"75,673"
35,0.046603,"May 04, 2018",0.050002,0.043912,"21,495,700",0.047732,"93,545"
36,0.049027,"May 03, 2018",0.049852,0.041531,"18,202,100",0.044251,"107,908"
37,0.044255,"May 02, 2018",0.047280,0.040175,"18,377,400",0.044527,"197,439"
38,0.044656,"May 01, 2018",0.047055,0.041986,"19,075,900",0.045971,"286,716"
39,0.045823,"Apr 30, 2018",0.050479,0.038466,"16,427,100",0.039509,"769,960"
40,0.039504,"Apr 29, 2018",0.041964,0.037525,"16,973,000",0.040600,"291,537"
41,0.040436,"Apr 28, 2018",0.043263,0.038419,"16,840,500",0.040222,"166,441"
42,0.040570,"Apr 27, 2018",0.044237,0.038779,"18,005,600",0.042954,"181,246"
43,0.042879,"Apr 26, 2018",0.043805,0.036932,"16,326,300",0.039116,"206,863"
44,0.038712,"Apr 25, 2018",0.045589,0.035855,"18,868,400",0.045257,"251,894"
45,0.045935,"Apr 24, 2018",0.047514,0.041307,"17,577,100",0.042489,"481,502"
46,0.042488,"Apr 23, 2018",0.042488,0.037803,"16,077,500",0.038749,"322,133"
47,0.038893,"Apr 22, 2018",0.041899,0.034529,"14,574,700",0.035120,"489,137"
48,0.035121,"Apr 21, 2018",0.037259,0.031689,"14,841,100",0.035556,"232,601"
49,0.035499,"Apr 20, 2018",0.036998,0.029711,"12,488,000",0.030052,"309,923"
50,0.030088,"Apr 19, 2018",0.030088,0.024264,"10,395,300",0.024982,"222,215"
51,0.024959,"Apr 18, 2018",0.026155,0.023382,"10,147,800",0.024431,"108,014"
52,0.024419,"Apr 17, 2018",0.026437,0.023440,"10,430,000",0.025118,"183,486"
53,0.025121,"Apr 16, 2018",0.025132,0.021870,"9,634,160",0.023301,"165,317"
54,0.023271,"Apr 15, 2018",0.023271,0.020880,"9,148,920",0.022155,"126,943"
55,0.022169,"Apr 14, 2018",0.022518,0.020585,"8,596,300",0.020750,"90,498"
56,0.020767,"Apr 13, 2018",0.024501,0.019627,"9,218,780",0.022141,"185,669"
57,0.022106,"Apr 12, 2018",0.022906,0.018612,"8,847,460",0.021161,"251,944"
58,0.021318,"Apr 11, 2018",0.022482,0.019541,"8,999,370",0.021400,"144,697"
59,0.020636,"Apr 10, 2018",0.020636,0.017907,"7,697,450",0.018297,"92,558"
60,0.018212,"Apr 09, 2018",0.019790,0.017542,"7,833,990",0.018629,"37,131"
61,0.018154,"Apr 08, 2018",0.019257,0.017332,"7,869,800",0.018806,"64,716"
62,0.018815,"Apr 07, 2018",0.019431,0.016648,"7,159,880",0.017152,"82,075"
63,0.017154,"Apr 06, 2018",0.018165,0.016132,"7,404,000",0.017689,"61,320"
64,0.018074,"Apr 05, 2018",0.020431,0.017119,"8,122,600",0.019313,"119,064"
65,0.019335,"Apr 04, 2018",0.022736,0.019097,"9,522,110",0.022583,"78,602"
66,0.022522,"Apr 03, 2018",0.023601,0.020873,"8,866,020",0.021022,"69,285"
67,0.021000,"Apr 02, 2018",0.022715,0.020667,"8,887,100",0.021131,"69,740"
68,0.021063,"Apr 01, 2018",0.023321,0.019548,"9,419,840",0.022400,"66,945"
69,0.022393,"Mar 31, 2018",0.025474,0.021219,"9,905,870",0.023535,"95,805"
70,0.023557,"Mar 30, 2018",0.025062,0.020814,"9,697,100",0.023035,"186,554"
