,close,date,high,low,market_cap,open,volume
0,0.000229,"Jun 08, 2018",0.000229,0.000152,"217,270",0.000154,"2,849"
1,0.000154,"Jun 07, 2018",0.000232,0.000153,"324,070",0.000229,413
2,0.000229,"Jun 06, 2018",0.000230,0.000150,"264,104",0.000187,379
3,0.000187,"Jun 05, 2018",0.000212,0.000148,"254,266",0.000180,115
4,0.000193,"Jun 04, 2018",0.000221,0.000149,"218,016",0.000154,35
5,0.000154,"Jun 03, 2018",0.000232,0.000153,"216,816",0.000153,303
6,0.000153,"Jun 02, 2018",0.000230,0.000152,"318,867",0.000225,"2,986"
7,0.000226,"Jun 01, 2018",0.000227,0.000148,"317,807",0.000225,"1,010"
8,0.000225,"May 31, 2018",0.000248,0.000210,"298,763",0.000211,"1,684"
9,0.000211,"May 30, 2018",0.000300,0.000147,"316,660",0.000224,"2,956"
10,0.000224,"May 29, 2018",0.000226,0.000212,"301,979",0.000214,"5,238"
11,0.000214,"May 28, 2018",0.000291,0.000213,"409,570",0.000290,"3,469"
12,0.000290,"May 27, 2018",0.000295,0.000212,"399,852",0.000283,"4,463"
13,0.000283,"May 26, 2018",0.000342,0.000220,"396,098",0.000280,"39,878"
14,0.000280,"May 25, 2018",0.000367,0.000149,"266,653",0.000189,"33,254"
15,0.000188,"May 24, 2018",0.000190,0.000146,"230,407",0.000163,152
16,0.000163,"May 23, 2018",0.000167,0.000150,"226,346",0.000160,244
17,0.000160,"May 22, 2018",0.000216,0.000159,"304,559",0.000215,"1,209"
18,0.000215,"May 21, 2018",0.000257,0.000167,"361,274",0.000255,"1,692"
19,0.000255,"May 20, 2018",0.000257,0.000166,"348,985",0.000247,391
20,0.000246,"May 19, 2018",0.000251,0.000164,"349,510",0.000247,"4,380"
21,0.000247,"May 18, 2018",0.000248,0.000160,"229,492",0.000162,155
22,0.000162,"May 17, 2018",0.000253,0.000161,"354,150",0.000250,574
23,0.000250,"May 16, 2018",0.000255,0.000163,"359,997",0.000255,"15,887"
24,0.000255,"May 15, 2018",0.000258,0.000173,"245,323",0.000173,765
25,0.000174,"May 14, 2018",0.000251,0.000167,"245,771",0.000174,"1,249"
26,0.000174,"May 13, 2018",0.000175,0.000167,"239,476",0.000169,388
27,0.000169,"May 12, 2018",0.000223,0.000165,"308,301",0.000218,"1,751"
28,0.000219,"May 11, 2018",0.000270,0.000168,"271,267",0.000192,"2,339"
29,0.000192,"May 10, 2018",0.000281,0.000182,"395,109",0.000279,"2,192"
30,0.000279,"May 09, 2018",0.000280,0.000185,"344,853",0.000244,"1,894"
31,0.000244,"May 08, 2018",0.000278,0.000186,"264,906",0.000187,163
32,0.000187,"May 07, 2018",0.000281,0.000184,"293,184",0.000207,"1,303"
33,0.000207,"May 06, 2018",0.000297,0.000189,"278,488",0.000197,520
34,0.000197,"May 05, 2018",0.000306,0.000197,"416,250",0.000294,392
35,0.000295,"May 04, 2018",0.000296,0.000209,"413,511",0.000292,"1,198"
36,0.000293,"May 03, 2018",0.000344,0.000191,"269,518",0.000191,"2,233"
37,0.000191,"May 02, 2018",0.000275,0.000189,"385,328",0.000272,525
38,0.000273,"May 01, 2018",0.000276,0.000190,"270,601",0.000191,"3,664"
39,0.000191,"Apr 30, 2018",0.000283,0.000191,"398,828",0.000282,"4,076"
40,0.000282,"Apr 29, 2018",0.000381,0.000276,"528,599",0.000374,414
41,0.000280,"Apr 28, 2018",0.000283,0.000267,"378,215",0.000267,"1,405"
42,0.000268,"Apr 27, 2018",0.000372,0.000268,"394,399",0.000279,"1,318"
43,0.000279,"Apr 26, 2018",0.000367,0.000259,"375,982",0.000266,"1,494"
44,0.000264,"Apr 25, 2018",0.000369,0.000263,"499,393",0.000353,"4,900"
45,0.000356,"Apr 24, 2018",0.000377,0.000268,"378,611",0.000268,"1,281"
46,0.000268,"Apr 23, 2018",0.000351,0.000263,"372,511",0.000263,"2,704"
47,0.000264,"Apr 22, 2018",0.000358,0.000263,"378,752",0.000268,815
48,0.000268,"Apr 21, 2018",0.000355,0.000261,"496,195",0.000351,"1,046"
49,0.000351,"Apr 20, 2018",0.000351,0.000248,"467,702",0.000331,"10,557"
50,0.000331,"Apr 19, 2018",0.000411,0.000244,"459,952",0.000325,"1,517"
51,0.000325,"Apr 18, 2018",0.000326,0.000237,"344,178",0.000243,"2,382"
52,0.000243,"Apr 17, 2018",0.000326,0.000241,"444,417",0.000314,"1,870"
53,0.000314,"Apr 16, 2018",0.000315,0.000238,"433,699",0.000307,"8,156"
54,0.000307,"Apr 15, 2018",0.000413,0.000240,"339,425",0.000240,"2,643"
55,0.000240,"Apr 14, 2018",0.000395,0.000239,"428,455",0.000303,"5,245"
56,0.000303,"Apr 13, 2018",0.000390,0.000292,"447,876",0.000317,"2,005"
57,0.000316,"Apr 12, 2018",0.000385,0.000209,"296,510",0.000210,"1,984"
58,0.000210,"Apr 11, 2018",0.000278,0.000204,"373,904",0.000264,627
59,0.000264,"Apr 10, 2018",0.000330,0.000202,"421,592",0.000298,395
60,0.000298,"Apr 09, 2018",0.000311,0.000244,"397,360",0.000281,"1,909"
61,0.000281,"Apr 08, 2018",0.000333,0.000277,"458,213",0.000324,"1,680"
