,close,date,high,low,market_cap,open,volume
0,0.000524,"Jun 08, 2018",0.000692,0.000518,-,0.000691,6
1,0.000690,"Jun 07, 2018",0.000690,0.000360,-,0.000379,69
2,0.000379,"Jun 06, 2018",0.000571,0.000377,-,0.000559,99
3,0.000559,"Jun 05, 2018",0.000584,0.000480,-,0.000480,17
4,0.000480,"Jun 04, 2018",0.000522,0.000466,-,0.000513,17
5,0.000505,"Jun 03, 2018",0.000530,0.000242,-,0.000435,17
6,0.000435,"Jun 02, 2018",0.000518,0.000399,-,0.000465,39
7,0.000465,"Jun 01, 2018",0.000481,0.000300,-,0.000302,42
8,0.000302,"May 31, 2018",0.000470,0.000151,-,0.000463,8
9,0.000464,"May 30, 2018",0.000560,0.000452,-,0.000547,975
10,0.000549,"May 29, 2018",0.000550,0.000419,-,0.000462,14
11,0.000462,"May 28, 2018",0.000545,0.000450,-,0.000542,10
12,0.000542,"May 27, 2018",0.000542,0.000271,-,0.000275,109
13,0.000275,"May 26, 2018",0.000516,0.000185,-,0.000494,101
14,0.000493,"May 25, 2018",0.000533,0.000216,-,0.000219,18
15,0.000219,"May 24, 2018",0.000572,0.000189,-,0.000561,302
16,0.000565,"May 23, 2018",0.000640,0.000322,-,0.000499,23
17,0.000500,"May 22, 2018",0.000633,0.000434,-,0.000560,480
18,0.000558,"May 21, 2018",0.000646,0.000452,-,0.000576,20
19,0.000571,"May 20, 2018",0.000576,0.000460,-,0.000515,210
20,0.000520,"May 19, 2018",0.000656,0.000246,-,0.000285,46
21,0.000291,"May 18, 2018",0.000664,0.000285,-,0.000550,113
22,0.000557,"May 17, 2018",0.000612,0.000317,-,0.000456,192
23,0.000456,"May 16, 2018",0.000592,0.000247,-,0.000263,25
24,0.000262,"May 15, 2018",0.000352,0.000185,-,0.000314,105
25,0.000314,"May 14, 2018",0.000683,0.000313,-,0.000523,16
26,0.000523,"May 13, 2018",0.000854,0.000244,-,0.000263,98
27,0.000253,"May 12, 2018",0.000618,0.000241,-,0.000608,214
28,0.000600,"May 11, 2018",0.000720,0.000485,-,0.000551,127
29,0.000550,"May 10, 2018",0.000934,0.000525,-,0.000929,47
30,0.000930,"May 09, 2018",0.000931,0.000379,-,0.000557,"3,933"
31,0.000557,"May 08, 2018",0.000839,0.000379,-,0.000483,420
32,0.000483,"May 07, 2018",0.000836,0.000205,-,0.000260,253
33,0.000222,"May 06, 2018",0.000365,0.000207,-,0.000345,502
34,0.000345,"May 05, 2018",0.000837,0.000345,-,0.000521,326
35,0.000519,"May 04, 2018",0.000702,0.000302,-,0.000615,678
36,0.000611,"May 03, 2018",0.000619,0.000237,-,0.000238,66
37,0.000236,"May 02, 2018",0.000288,0.000186,-,0.000287,47
