,close,date,high,low,market_cap,open,volume
0,0.051658,"Jun 08, 2018",0.052118,0.051181,"8,577,900",0.052011,"4,595"
1,0.051971,"Jun 07, 2018",0.052455,0.051796,"8,549,130",0.051836,262
2,0.051789,"Jun 06, 2018",0.052056,0.050783,"8,512,440",0.051614,"7,422"
3,0.051628,"Jun 05, 2018",0.051721,0.049971,"8,376,680",0.050791,1
4,0.050766,"Jun 04, 2018",0.052329,0.050578,"8,607,350",0.052189,"3,578"
5,0.052165,"Jun 03, 2018",0.052305,0.051458,"8,524,670",0.051688,"4,181"
6,0.051674,"Jun 02, 2018",0.051932,0.050602,"8,392,660",0.050888,"1,137"
7,0.050910,"Jun 01, 2018",0.051395,0.049860,"8,364,760",0.050718,"6,401"
8,0.050681,"May 31, 2018",0.051378,0.049737,"8,243,100",0.049981,"5,819"
9,0.049990,"May 30, 2018",0.051115,0.049456,"8,334,580",0.050535,"4,516"
10,0.050501,"May 29, 2018",0.050992,0.047927,"7,948,140",0.048192,"4,694"
11,0.048208,"May 28, 2018",0.084842,0.048062,"13,931,600",0.084472,"15,624"
12,0.084452,"May 27, 2018",0.826135,0.048974,"8,189,970",0.049659,"8,285"
13,0.049637,"May 26, 2018",0.051609,0.049369,"8,338,320",0.050558,342
14,0.050624,"May 25, 2018",0.051803,0.049832,"8,444,180",0.051200,"3,316"
15,0.051104,"May 24, 2018",0.052274,0.049261,"8,395,920",0.050907,"6,115"
16,0.051036,"May 23, 2018",0.791280,0.050582,"8,936,210",0.054183,"7,293"
17,0.054240,"May 22, 2018",0.056964,0.053934,"9,387,560",0.056920,"4,975"
18,0.056930,"May 21, 2018",0.058082,0.056439,"9,521,260",0.057731,1
19,0.057659,"May 20, 2018",0.058105,0.055459,"9,206,410",0.055822,"6,883"
20,0.055780,"May 19, 2018",0.166318,0.055339,"9,199,170",0.055778,"8,805"
21,0.055786,"May 18, 2018",0.055987,0.053878,"9,019,520",0.054688,"5,634"
22,0.054640,"May 17, 2018",0.057161,0.054327,"9,321,320",0.056518,"19,401"
23,0.056484,"May 16, 2018",0.057668,0.055233,"9,503,200",0.057621,"2,723"
24,0.057654,"May 15, 2018",0.059706,0.057322,"9,685,450",0.058726,"39,888"
25,0.058827,"May 14, 2018",0.059962,0.056374,"9,717,450",0.058920,"9,735"
26,0.058931,"May 13, 2018",0.059367,0.056657,"9,454,610",0.057327,"9,564"
27,0.057346,"May 12, 2018",0.058452,0.055756,"9,373,340",0.056834,1
28,0.057001,"May 11, 2018",0.061277,0.056626,"10,106,200",0.061277,"17,836"
29,0.061204,"May 10, 2018",0.063561,0.061145,"10,399,300",0.063055,"17,625"
30,0.063073,"May 09, 2018",0.063286,0.060879,"10,271,100",0.062277,"7,380"
31,0.062372,"May 08, 2018",0.063999,0.061511,"10,458,600",0.063414,"21,136"
32,0.063280,"May 07, 2018",0.065118,0.062343,"10,734,100",0.065085,4
33,0.065038,"May 06, 2018",0.067163,0.063939,"10,974,200",0.066540,"19,417"
34,0.066495,"May 05, 2018",0.067422,0.065516,"10,822,300",0.065619,"8,709"
35,0.065650,"May 04, 2018",0.066140,0.064738,"10,883,700",0.065992,"6,686"
36,0.066017,"May 03, 2018",0.066334,0.062188,"10,293,700",0.062414,"13,168"
37,0.062412,"May 02, 2018",0.062653,0.060840,"10,141,900",0.061494,"7,160"
38,0.061587,"May 01, 2018",0.062560,0.060022,"10,317,800",0.062560,48
39,0.062506,"Apr 30, 2018",0.063902,0.061941,"10,497,200",0.063648,"12,505"
40,0.063670,"Apr 29, 2018",0.064486,0.062276,"10,434,600",0.063269,"21,520"
41,0.063293,"Apr 28, 2018",0.063879,0.060204,"9,954,710",0.060359,7
42,0.060567,"Apr 27, 2018",0.063443,0.060567,"10,380,700",0.062941,765
43,0.062854,"Apr 26, 2018",0.062995,0.058537,"9,895,940",0.060002,"14,118"
44,0.059509,"Apr 25, 2018",0.065973,0.059426,"10,828,300",0.065656,"11,478"
45,0.066105,"Apr 24, 2018",0.066105,0.060395,"9,965,120",0.060422,"11,920"
46,0.060370,"Apr 23, 2018",0.060547,0.059399,"9,804,590",0.059449,791
47,0.059569,"Apr 22, 2018",0.060807,0.059257,"9,968,850",0.060444,"26,631"
48,0.060444,"Apr 21, 2018",0.070252,0.058640,"9,872,400",0.059860,"12,063"
49,0.059839,"Apr 20, 2018",0.060395,0.055752,"9,232,520",0.055980,249
50,0.055943,"Apr 19, 2018",0.055983,0.055027,"9,115,860",0.055273,"7,861"
51,0.055232,"Apr 18, 2018",0.055579,0.053354,"8,816,370",0.053457,"5,616"
52,0.053407,"Apr 17, 2018",0.055130,0.053233,"8,987,640",0.054495,"31,117"
53,0.054468,"Apr 16, 2018",0.056815,0.053604,"9,317,900",0.056498,"5,621"
54,0.056521,"Apr 15, 2018",0.056670,0.054168,"8,933,760",0.054168,"3,715"
55,0.054110,"Apr 14, 2018",0.055324,0.053077,"8,783,830",0.053259,"7,568"
56,0.053259,"Apr 13, 2018",0.055636,0.052625,"8,841,160",0.053607,172
57,0.053539,"Apr 12, 2018",0.053818,0.045781,"7,755,960",0.047027,"4,142"
58,0.047141,"Apr 11, 2018",0.047141,0.046113,"7,627,110",0.046246,226
59,0.046201,"Apr 10, 2018",0.046481,0.045044,"7,581,770",0.045971,"7,921"
60,0.045933,"Apr 09, 2018",0.048540,0.045004,"7,843,950",0.047560,"18,125"
61,0.047484,"Apr 08, 2018",0.048041,0.046742,"7,708,960",0.046742,"1,128"
62,0.046700,"Apr 07, 2018",0.047663,0.044760,"7,393,030",0.044826,"6,558"
63,0.044773,"Apr 06, 2018",0.046354,0.044171,"7,566,130",0.045876,"7,666"
