,close,date,high,low,market_cap,open,volume
0,0.006579,"Jun 01, 2018",0.006789,0.006579,-,0.006709,"154,989"
1,0.006704,"May 31, 2018",0.013598,0.002297,-,0.003619,"591,704"
2,0.002305,"May 30, 2018",0.003689,0.002281,-,0.002639,"3,307"
3,0.002638,"May 29, 2018",0.003519,0.002636,-,0.002776,951
4,0.002955,"May 28, 2018",0.003542,0.002487,-,0.003302,"6,956"
5,0.003302,"May 27, 2018",0.003697,0.002475,-,0.002654,"3,652"
6,0.002652,"May 26, 2018",0.003512,0.002528,-,0.002567,"3,936"
7,0.002926,"May 25, 2018",0.003660,0.002915,-,0.003052,"1,077"
8,0.003047,"May 24, 2018",0.003931,0.003002,-,0.003465,"4,847"
9,0.003476,"May 23, 2018",0.004040,0.003065,-,0.003522,"1,746"
10,0.003526,"May 22, 2018",0.004893,0.003478,-,0.004022,"5,931"
11,0.004248,"May 21, 2018",0.005940,0.003996,-,0.005445,"9,792"
12,0.005441,"May 20, 2018",0.005539,0.004918,-,0.005109,695
13,0.005106,"May 19, 2018",0.005761,0.004819,-,0.005294,"3,486"
14,0.005503,"May 18, 2018",0.005677,0.004211,-,0.004279,"2,730"
15,0.004277,"May 17, 2018",0.005851,0.004269,-,0.005421,"11,809"
16,0.005418,"May 16, 2018",0.006974,0.004953,-,0.006820,"7,553"
17,0.006821,"May 15, 2018",0.007096,0.005391,-,0.006172,"7,678"
18,0.006158,"May 14, 2018",0.006846,0.005608,-,0.006118,"5,270"
19,0.006414,"May 13, 2018",0.007091,0.006014,-,0.006471,"4,362"
20,0.006475,"May 12, 2018",0.006865,0.005937,-,0.006670,"1,097"
21,0.006676,"May 11, 2018",0.007157,0.006512,-,0.007065,"2,354"
22,0.007063,"May 10, 2018",0.007797,0.006606,-,0.007489,"1,460"
23,0.007485,"May 09, 2018",0.008238,0.007397,-,0.007862,"2,253"
24,0.007872,"May 08, 2018",0.009892,0.007336,-,0.008386,"7,582"
25,0.008365,"May 07, 2018",0.008435,0.006602,-,0.007787,"8,378"
26,0.007792,"May 06, 2018",0.008253,0.007670,-,0.007720,"1,280"
27,0.007719,"May 05, 2018",0.008699,0.007216,-,0.007984,"6,198"
28,0.007983,"May 04, 2018",0.009146,0.007832,-,0.008972,"2,677"
29,0.008987,"May 03, 2018",0.009006,0.007530,-,0.007598,"6,811"
30,0.007598,"May 02, 2018",0.008271,0.007359,-,0.008175,"11,216"
31,0.008191,"May 01, 2018",0.008995,0.007231,-,0.008289,"8,467"
32,0.008281,"Apr 30, 2018",0.009536,0.007534,-,0.007703,"19,945"
33,0.007540,"Apr 29, 2018",0.011050,0.007427,-,0.008805,"107,094"
34,0.008506,"Apr 28, 2018",0.009121,0.006372,-,0.006503,"56,768"
35,0.006515,"Apr 27, 2018",0.007097,0.005656,-,0.006293,"10,837"
36,0.006294,"Apr 26, 2018",0.007256,0.006220,-,0.006707,"56,204"
37,0.006700,"Apr 25, 2018",0.008152,0.006176,-,0.008152,"88,997"
38,0.008150,"Apr 24, 2018",0.009818,0.007013,-,0.007182,"174,990"
39,0.007180,"Apr 23, 2018",0.010300,0.007037,-,0.007796,"130,042"
40,0.007831,"Apr 22, 2018",0.010563,0.005228,-,0.005357,"102,212"
41,0.005357,"Apr 21, 2018",0.006165,0.005278,-,0.005398,"3,335"
42,0.005398,"Apr 20, 2018",0.005927,0.004565,-,0.005801,"9,691"
43,0.005802,"Apr 19, 2018",0.005802,0.004463,-,0.005788,"4,608"
44,0.005786,"Apr 18, 2018",0.006371,0.005263,-,0.005597,"1,920"
45,0.005595,"Apr 17, 2018",0.006422,0.005570,-,0.006238,"2,602"
46,0.006238,"Apr 16, 2018",0.007399,0.005732,-,0.007297,"1,483"
47,0.007300,"Apr 15, 2018",0.007300,0.005175,-,0.005702,"7,653"
48,0.005699,"Apr 14, 2018",0.005751,0.004895,-,0.005619,"3,593"
49,0.005619,"Apr 13, 2018",0.006355,0.004981,-,0.006210,"6,096"
50,0.006214,"Apr 12, 2018",0.006912,0.004823,-,0.005595,"3,070"
51,0.005611,"Apr 11, 2018",0.006777,0.004509,-,0.006653,"13,280"
52,0.006646,"Apr 10, 2018",0.007281,0.006159,-,0.006321,"3,066"
53,0.006313,"Apr 09, 2018",0.007601,0.006008,-,0.006867,"7,397"
54,0.006855,"Apr 08, 2018",0.007828,0.006673,-,0.007017,"1,876"
55,0.007015,"Apr 07, 2018",0.007733,0.006523,-,0.006994,"2,627"
56,0.006992,"Apr 06, 2018",0.007424,0.006548,-,0.007183,"3,061"
57,0.007208,"Apr 05, 2018",0.007733,0.006084,-,0.006084,"5,085"
58,0.006087,"Apr 04, 2018",0.008121,0.006087,-,0.008075,"2,573"
59,0.008073,"Apr 03, 2018",0.008184,0.007239,-,0.007774,"2,994"
60,0.007847,"Apr 02, 2018",0.008324,0.007072,-,0.007432,"2,533"
61,0.007403,"Apr 01, 2018",0.008346,0.007135,-,0.008217,"5,471"
62,0.008216,"Mar 31, 2018",0.009143,0.007615,-,0.008881,"22,221"
63,0.008881,"Mar 30, 2018",0.009561,0.006752,-,0.007232,"42,372"
64,0.007247,"Mar 29, 2018",0.009129,0.007206,-,0.008840,"10,547"
65,0.008866,"Mar 28, 2018",0.011118,0.008109,-,0.010807,"34,771"
66,0.010808,"Mar 27, 2018",0.014717,0.010181,-,0.014524,"29,620"
67,0.014541,"Mar 26, 2018",0.015379,0.012987,-,0.014415,"19,756"
68,0.014429,"Mar 25, 2018",0.018729,0.013578,-,0.014016,"78,488"
69,0.014125,"Mar 24, 2018",0.018184,0.014125,-,0.017589,"18,189"
70,0.017956,"Mar 23, 2018",0.017956,0.016003,-,0.017514,"14,334"
71,0.017514,"Mar 22, 2018",0.020184,0.017211,-,0.018492,"23,805"
72,0.018502,"Mar 21, 2018",0.023579,0.016253,-,0.016253,"119,725"
73,0.016762,"Mar 20, 2018",0.018076,0.016180,-,0.017242,"22,206"
74,0.017098,"Mar 19, 2018",0.019238,0.015778,-,0.017198,"29,218"
75,0.017249,"Mar 18, 2018",0.019802,0.014618,-,0.019802,"37,285"
76,0.019837,"Mar 17, 2018",0.022304,0.018328,-,0.021748,"30,298"
77,0.021723,"Mar 16, 2018",0.027341,0.017130,-,0.019217,"192,900"
78,0.019994,"Mar 15, 2018",0.032731,0.013402,-,0.015632,"458,609"
79,0.015635,"Mar 14, 2018",0.019720,0.015117,-,0.019216,"27,297"
80,0.019210,"Mar 13, 2018",0.021236,0.017300,-,0.019246,"84,776"
81,0.018639,"Mar 12, 2018",0.023893,0.016021,-,0.023177,"72,056"
82,0.023114,"Mar 11, 2018",0.027310,0.021177,-,0.026929,"108,056"
83,0.026997,"Mar 10, 2018",0.030414,0.024279,-,0.025534,"109,008"
84,0.025340,"Mar 09, 2018",0.026352,0.018679,-,0.019795,"137,923"
85,0.019874,"Mar 08, 2018",0.029744,0.016844,-,0.018060,"114,289"
86,0.018079,"Mar 07, 2018",0.026305,0.015275,-,0.025324,"146,779"
87,0.025330,"Mar 06, 2018",0.039540,0.024106,-,0.039540,"298,664"
88,0.039101,"Mar 05, 2018",0.046092,0.039101,-,0.041912,"116,397"
89,0.042893,"Mar 04, 2018",0.048431,0.040265,-,0.046367,"139,621"
90,0.046996,"Mar 03, 2018",0.058650,0.039118,-,0.043443,"286,179"
91,0.043470,"Mar 02, 2018",0.068565,0.031557,-,0.041647,"569,156"
92,0.041705,"Mar 01, 2018",0.049100,0.038620,-,0.043989,"303,168"
93,0.043952,"Feb 28, 2018",0.091117,0.040039,-,0.081842,"825,851"
94,0.080043,"Feb 27, 2018",0.125896,0.076148,-,0.076818,"1,596,510"
95,0.076126,"Feb 26, 2018",0.327308,0.073495,-,0.319409,"2,539,350"
