,close,date,high,low,market_cap,open,volume
0,1.53,"Jun 08, 2018",1.56,1.51,"37,085,100",1.52,"203,907"
1,1.52,"Jun 07, 2018",1.53,1.49,"36,205,700",1.49,"186,914"
2,1.49,"Jun 06, 2018",1.49,1.42,"34,818,300",1.43,"192,618"
3,1.43,"Jun 05, 2018",1.43,1.31,"33,070,600",1.36,"164,728"
4,1.36,"Jun 04, 2018",1.45,1.35,"34,978,300",1.44,"155,586"
5,1.44,"Jun 03, 2018",1.51,1.39,"35,987,200",1.48,"172,793"
6,1.48,"Jun 02, 2018",1.49,1.43,"34,727,700",1.43,"160,635"
7,1.46,"Jun 01, 2018",1.47,1.33,"32,423,200",1.33,"192,599"
8,1.33,"May 31, 2018",1.39,1.33,"32,398,300",1.33,"174,418"
9,1.33,"May 30, 2018",1.35,1.31,"32,685,900",1.34,"146,040"
10,1.34,"May 29, 2018",1.34,1.11,"26,895,800",1.11,"125,801"
11,1.15,"May 28, 2018",1.23,1.14,"29,546,600",1.21,"170,190"
12,1.21,"May 27, 2018",1.26,1.15,"30,677,800",1.26,"132,614"
13,1.26,"May 26, 2018",1.31,1.26,"31,078,100",1.28,"119,153"
14,1.28,"May 25, 2018",1.31,1.26,"31,254,500",1.29,"144,512"
15,1.28,"May 24, 2018",1.29,1.21,"30,462,900",1.25,"126,200"
16,1.26,"May 23, 2018",1.33,1.23,"32,232,900",1.33,"196,112"
17,1.33,"May 22, 2018",1.39,1.32,"32,917,700",1.35,"223,930"
18,1.36,"May 21, 2018",1.40,1.34,"34,131,000",1.40,"164,847"
19,1.40,"May 20, 2018",1.41,1.35,"32,892,000",1.35,"208,265"
20,1.35,"May 19, 2018",1.38,1.33,"32,470,700",1.34,"174,941"
21,1.34,"May 18, 2018",1.34,1.28,"31,399,400",1.29,"191,181"
22,1.29,"May 17, 2018",1.44,1.29,"34,493,800",1.42,"185,156"
23,1.42,"May 16, 2018",1.51,1.38,"36,715,200",1.51,"231,582"
24,1.51,"May 15, 2018",1.64,1.50,"39,306,800",1.62,"217,119"
25,1.62,"May 14, 2018",1.69,1.60,"40,626,000",1.67,"242,802"
26,1.67,"May 13, 2018",1.69,1.51,"37,131,300",1.53,"202,582"
27,1.53,"May 12, 2018",1.54,1.45,"36,548,500",1.50,"167,092"
28,1.53,"May 11, 2018",1.67,1.52,"40,443,600",1.67,"164,509"
29,1.67,"May 10, 2018",1.78,1.67,"42,150,200",1.74,"170,949"
30,1.74,"May 09, 2018",1.89,1.69,"45,790,700",1.89,"362,794"
31,1.89,"May 08, 2018",1.91,1.61,"39,918,900",1.65,"372,527"
32,1.65,"May 07, 2018",1.85,1.62,"44,760,700",1.85,"272,270"
33,1.84,"May 06, 2018",2.01,1.84,"47,866,400",1.98,"195,116"
34,1.98,"May 05, 2018",1.98,1.91,"46,454,300",1.92,"238,879"
35,1.92,"May 04, 2018",1.99,1.91,"47,580,100",1.99,"261,856"
36,1.99,"May 03, 2018",2.05,1.94,"47,717,200",1.99,"302,842"
37,1.99,"May 02, 2018",2.59,1.99,"59,317,100",2.48,"457,432"
38,2.48,"May 01, 2018",2.55,2.23,"56,530,900",2.36,"428,357"
39,2.36,"Apr 30, 2018",2.47,1.88,"45,212,900",1.89,"602,406"
40,1.89,"Apr 29, 2018",1.90,1.84,"44,527,200",1.86,"222,662"
41,1.86,"Apr 28, 2018",1.90,1.71,"41,086,000",1.72,"239,399"
42,1.72,"Apr 27, 2018",1.74,1.68,"41,209,400",1.72,"252,282"
43,1.72,"Apr 26, 2018",1.72,1.57,"38,292,200",1.60,"237,117"
44,1.59,"Apr 25, 2018",1.81,1.57,"43,260,900",1.81,"207,059"
45,1.81,"Apr 24, 2018",1.81,1.40,"33,461,200",1.40,"341,113"
46,1.40,"Apr 23, 2018",1.40,1.27,"30,340,100",1.27,"218,297"
47,1.27,"Apr 22, 2018",1.33,1.25,"30,910,200",1.29,"207,134"
48,1.28,"Apr 21, 2018",1.35,1.27,"32,104,300",1.34,"206,728"
49,1.34,"Apr 20, 2018",1.38,1.16,"32,640,600",1.36,"270,245"
50,1.36,"Apr 19, 2018",1.36,1.17,"28,163,300",1.18,"203,201"
51,1.18,"Apr 18, 2018",1.26,1.13,"27,016,700",1.13,"211,463"
52,1.13,"Apr 17, 2018",1.17,1.12,"27,034,200",1.13,"170,243"
53,1.13,"Apr 16, 2018",1.20,1.12,"28,480,800",1.19,"157,594"
54,1.19,"Apr 15, 2018",1.19,1.13,"27,618,100",1.16,"185,598"
55,1.15,"Apr 14, 2018",1.19,1.14,"27,220,400",1.14,"164,031"
56,1.14,"Apr 13, 2018",1.20,1.09,"27,592,000",1.11,"169,783"
57,1.11,"Apr 12, 2018",1.11,0.946485,"24,251,800",0.973769,"150,943"
58,0.975938,"Apr 11, 2018",0.975938,0.891505,"22,276,700",0.894521,"163,303"
59,0.893270,"Apr 10, 2018",0.896243,0.821148,"20,991,600",0.842927,"146,178"
60,0.841788,"Apr 09, 2018",0.890795,0.828829,"21,142,300",0.848979,"123,696"
61,0.847792,"Apr 08, 2018",0.869632,0.840781,"20,977,900",0.842375,"146,559"
62,0.841676,"Apr 07, 2018",0.849097,0.794768,"19,806,100",0.795323,"136,743"
63,0.795102,"Apr 06, 2018",0.817773,0.780009,"20,220,900",0.811979,"163,772"
64,0.814483,"Apr 05, 2018",0.842386,0.766135,"19,546,900",0.785004,"150,474"
65,0.785420,"Apr 04, 2018",0.805624,0.756205,"19,966,500",0.801898,"137,472"
66,0.802756,"Apr 03, 2018",0.804786,0.758993,"18,970,000",0.761906,"169,955"
67,0.761369,"Apr 02, 2018",0.794734,0.743002,"19,454,600",0.781416,"167,523"
68,0.779366,"Apr 01, 2018",0.806331,0.754709,"19,852,300",0.797398,"127,109"
69,0.797272,"Mar 31, 2018",0.802408,0.771185,"19,199,000",0.771185,"140,031"
70,0.771497,"Mar 30, 2018",0.775025,0.708770,"18,479,800",0.742317,"155,768"
