,close,date,high,low,market_cap,open,volume
0,0.155736,"Jun 08, 2018",0.170964,0.153090,"171,967",0.168324,"1,999"
1,0.168196,"Jun 07, 2018",0.182760,0.165109,"177,883",0.174115,"2,381"
2,0.173955,"Jun 06, 2018",0.180110,0.170178,"176,341",0.172605,"1,528"
3,0.176846,"Jun 05, 2018",0.193248,0.163126,"174,831",0.171128,"3,639"
4,0.171045,"Jun 04, 2018",0.200213,0.168106,"197,681",0.193493,"3,223"
5,0.193403,"Jun 03, 2018",0.209437,0.191260,"203,037",0.198735,"2,226"
6,0.198681,"Jun 02, 2018",0.217463,0.186997,"200,814",0.196560,"2,759"
7,0.196645,"Jun 01, 2018",0.219701,0.185335,"220,046",0.215384,"3,881"
8,0.215228,"May 31, 2018",0.242083,0.210614,"216,016",0.211440,"3,779"
9,0.211184,"May 30, 2018",0.231585,0.205483,"226,848",0.224237,"9,553"
10,0.224086,"May 29, 2018",0.240127,0.213693,"216,834",0.214338,"2,880"
11,0.214408,"May 28, 2018",0.243239,0.213829,"225,975",0.223374,"2,472"
12,0.223321,"May 27, 2018",0.262246,0.219945,"257,491",0.254527,"7,774"
13,0.254415,"May 26, 2018",0.293236,0.226714,"241,984",0.239198,"4,108"
14,0.239512,"May 25, 2018",0.259907,0.225195,"236,334",0.233614,"2,128"
15,0.233175,"May 24, 2018",0.323635,0.219403,"226,920",0.224308,"12,971"
16,0.224875,"May 23, 2018",0.257736,0.216672,"246,866",0.244025,"6,414"
17,0.244278,"May 22, 2018",0.244278,0.215891,"238,156",0.235415,"3,048"
18,0.235457,"May 21, 2018",0.257836,0.234627,"247,328",0.244481,"4,126"
19,0.244176,"May 20, 2018",0.273147,0.235431,"238,732",0.235984,"4,239"
20,0.235808,"May 19, 2018",0.255841,0.232615,"258,465",0.255490,"2,384"
21,0.246382,"May 18, 2018",0.266575,0.211453,"269,680",0.266575,"4,792"
22,0.266342,"May 17, 2018",0.273333,0.214113,"219,500",0.216973,"7,006"
23,0.216841,"May 16, 2018",0.243177,0.213610,"220,205",0.217670,"3,053"
24,0.217796,"May 15, 2018",0.261856,0.203255,"256,682",0.253728,"4,938"
25,0.254164,"May 14, 2018",0.278856,0.249577,"261,722",0.258710,"4,052"
26,0.258757,"May 13, 2018",0.306282,0.256257,"307,788",0.304245,"3,163"
27,0.304351,"May 12, 2018",0.307176,0.268155,"296,734",0.293319,"3,040"
28,0.294184,"May 11, 2018",0.355639,0.284032,"305,781",0.304488,"9,872"
29,0.304125,"May 10, 2018",0.356399,0.303422,"355,428",0.353926,"12,222"
30,0.354026,"May 09, 2018",0.354603,0.319863,"328,319",0.326931,"6,947"
31,0.327155,"May 08, 2018",0.341247,0.310184,"319,825",0.318474,"4,177"
32,0.317799,"May 07, 2018",0.351197,0.280347,"310,681",0.309368,"10,130"
33,0.309147,"May 06, 2018",0.336382,0.285810,"303,317",0.302035,"13,407"
34,0.301831,"May 05, 2018",0.393745,0.296228,"371,051",0.369483,"6,434"
35,0.356373,"May 04, 2018",0.419344,0.351221,"421,124",0.419344,"7,814"
36,0.419508,"May 03, 2018",0.444202,0.404763,"409,681",0.407949,"6,766"
37,0.407935,"May 02, 2018",0.490889,0.384097,"398,716",0.397031,"31,429"
38,0.397630,"May 01, 2018",0.517743,0.376934,"421,407",0.419626,"61,006"
