,close,date,high,low,market_cap,open,volume
0,0.786805,"Jun 08, 2018",0.829840,0.780335,"5,337,740",0.821603,"30,413"
1,0.820980,"Jun 07, 2018",0.841911,0.785411,"5,444,620",0.838269,"73,266"
2,0.837499,"Jun 06, 2018",0.854520,0.775968,"5,099,600",0.785312,"115,601"
3,0.785523,"Jun 05, 2018",0.833390,0.765082,"5,384,430",0.829345,"106,993"
4,0.828943,"Jun 04, 2018",0.889352,0.818569,"5,772,820",0.889352,"44,512"
5,0.891060,"Jun 03, 2018",0.906618,0.874788,"5,702,110",0.878642,"16,831"
6,0.878405,"Jun 02, 2018",0.906625,0.861053,"5,637,590",0.868881,"27,659"
7,0.874028,"Jun 01, 2018",0.886909,0.816576,"5,673,020",0.874525,"54,890"
8,0.882129,"May 31, 2018",0.903766,0.815662,"5,400,500",0.832690,"80,921"
9,0.825363,"May 30, 2018",0.897756,0.813869,"5,545,340",0.855201,"79,044"
10,0.854413,"May 29, 2018",0.889659,0.779430,"5,080,910",0.783741,"73,432"
11,0.783996,"May 28, 2018",0.831528,0.782916,"5,335,360",0.823163,"73,642"
12,0.822971,"May 27, 2018",0.859953,0.809368,"5,572,650",0.859953,"52,340"
13,0.859573,"May 26, 2018",0.904170,0.845879,"5,700,800",0.879913,"54,703"
14,0.881069,"May 25, 2018",0.968055,0.846887,"6,031,300",0.931123,"183,373"
15,0.929571,"May 24, 2018",0.970957,0.844039,"5,558,560",0.858320,"528,740"
16,0.837795,"May 23, 2018",1.01,0.795363,"6,475,320",1.00,"192,708"
17,0.986941,"May 22, 2018",1.06,0.962796,"6,885,880",1.06,"94,490"
18,1.06,"May 21, 2018",1.11,1.04,"7,043,180",1.09,"241,083"
19,1.09,"May 20, 2018",1.26,1.02,"6,928,140",1.07,"1,108,780"
20,1.07,"May 19, 2018",1.09,1.00,"6,658,810",1.03,"72,798"
21,1.01,"May 18, 2018",1.06,0.989510,"6,737,700",1.04,"135,103"
22,1.04,"May 17, 2018",1.21,1.03,"7,087,680",1.10,"149,113"
23,1.10,"May 16, 2018",1.27,1.01,"7,418,490",1.15,"1,123,670"
24,1.09,"May 15, 2018",1.21,1.07,"7,416,410",1.15,"184,490"
25,1.15,"May 14, 2018",1.20,1.08,"7,644,000",1.18,"188,395"
26,1.17,"May 13, 2018",1.24,1.02,"6,736,800",1.04,"602,656"
27,1.04,"May 12, 2018",1.11,1.01,"6,772,760",1.05,"112,822"
28,1.05,"May 11, 2018",1.21,0.996505,"7,617,130",1.18,"300,921"
29,1.18,"May 10, 2018",1.30,1.18,"8,194,190",1.27,"239,622"
30,1.27,"May 09, 2018",1.31,1.20,"8,462,640",1.31,"193,995"
31,1.29,"May 08, 2018",1.44,1.24,"8,432,340",1.31,"596,265"
32,1.29,"May 07, 2018",1.39,1.24,"8,947,170",1.39,"283,020"
33,1.40,"May 06, 2018",1.50,1.36,"9,624,650",1.49,"323,364"
34,1.48,"May 05, 2018",1.58,1.43,"9,333,430",1.45,"766,459"
35,1.43,"May 04, 2018",1.54,1.40,"9,948,940",1.54,"569,692"
36,1.54,"May 03, 2018",1.57,1.44,"9,808,580",1.52,"376,036"
37,1.52,"May 02, 2018",1.54,1.47,"9,668,060",1.50,"279,899"
38,1.50,"May 01, 2018",1.57,1.43,"10,054,100",1.56,"313,278"
39,1.57,"Apr 30, 2018",1.59,1.49,"10,210,800",1.58,"268,059"
40,1.59,"Apr 29, 2018",1.66,1.52,"10,554,100",1.64,"369,512"
41,1.64,"Apr 28, 2018",1.69,1.53,"10,163,500",1.58,"330,489"
42,1.58,"Apr 27, 2018",1.74,1.50,"10,656,600",1.65,"1,393,590"
43,1.63,"Apr 26, 2018",1.65,1.37,"9,363,040",1.45,"528,889"
44,1.44,"Apr 25, 2018",1.80,1.39,"11,495,900",1.79,"721,350"
45,1.80,"Apr 24, 2018",1.83,1.76,"11,334,300",1.76,"1,030,670"
46,1.78,"Apr 23, 2018",1.90,1.68,"11,148,100",1.73,"1,797,180"
47,1.72,"Apr 22, 2018",1.81,1.69,"11,354,600",1.77,"597,533"
48,1.76,"Apr 21, 2018",1.82,1.64,"11,683,200",1.82,"512,538"
49,1.82,"Apr 20, 2018",1.83,1.67,"11,203,600",1.74,"739,335"
50,1.77,"Apr 19, 2018",1.77,1.67,"11,172,600",1.74,"1,043,900"
51,1.75,"Apr 18, 2018",1.75,1.61,"10,487,600",1.63,"1,221,760"
52,1.63,"Apr 17, 2018",1.69,1.55,"10,394,200",1.62,"880,555"
53,1.62,"Apr 16, 2018",1.71,1.41,"10,714,000",1.67,"945,251"
54,1.66,"Apr 15, 2018",1.67,1.58,"10,280,800",1.60,"403,491"
55,1.61,"Apr 14, 2018",1.65,1.53,"9,855,990",1.54,"763,533"
56,1.52,"Apr 13, 2018",1.63,1.40,"10,106,100",1.57,"938,870"
57,1.57,"Apr 12, 2018",1.64,1.41,"9,265,110",1.44,"4,972,580"
58,1.44,"Apr 11, 2018",1.47,1.20,"9,161,020",1.43,"946,150"
59,1.46,"Apr 10, 2018",1.47,1.28,"8,636,770",1.35,"2,142,270"
60,1.37,"Apr 09, 2018",2.07,1.33,"9,017,540",1.41,"9,036,080"
61,1.40,"Apr 08, 2018",1.43,1.29,"8,485,380",1.32,"935,975"
62,1.32,"Apr 07, 2018",1.60,1.21,"7,784,350",1.21,"2,170,730"
63,1.21,"Apr 06, 2018",1.31,1.19,"8,025,420",1.25,"232,287"
64,1.26,"Apr 05, 2018",1.53,1.22,"8,380,430",1.31,"166,229"
65,1.31,"Apr 04, 2018",1.45,1.28,"9,189,880",1.43,"217,170"
66,1.43,"Apr 03, 2018",1.45,1.35,"8,868,990",1.39,"266,558"
67,1.38,"Apr 02, 2018",1.38,1.31,"8,563,270",1.34,"264,719"
68,1.33,"Apr 01, 2018",1.49,1.23,"8,726,930",1.36,"856,254"
69,1.36,"Mar 31, 2018",1.43,1.29,"8,253,110",1.29,"229,437"
70,1.29,"Mar 30, 2018",1.39,1.26,"8,832,060",1.38,"68,267"
71,1.38,"Mar 29, 2018",1.53,1.32,"9,790,940",1.53,"139,892"
72,1.53,"Mar 28, 2018",1.58,1.51,"9,842,090",1.54,"123,683"
73,1.54,"Mar 27, 2018",1.65,1.49,"10,091,900",1.58,"215,697"
74,1.59,"Mar 26, 2018",1.72,1.52,"10,463,400",1.64,"460,859"
75,1.64,"Mar 25, 2018",1.73,1.62,"10,538,600",1.65,"391,113"
76,1.67,"Mar 24, 2018",1.76,1.67,"11,117,200",1.74,"139,281"
77,1.70,"Mar 23, 2018",1.89,1.60,"10,824,600",1.69,"574,260"
78,1.70,"Mar 22, 2018",1.78,1.65,"11,331,500",1.77,"211,053"
79,1.78,"Mar 21, 2018",1.94,1.72,"11,242,600",1.76,"677,330"
80,1.76,"Mar 20, 2018",1.81,1.59,"10,433,400",1.63,"372,682"
81,1.61,"Mar 19, 2018",1.72,1.47,"9,538,720",1.49,"427,690"
82,1.50,"Mar 18, 2018",1.57,1.34,"9,728,520",1.52,"337,700"
83,1.53,"Mar 17, 2018",1.63,1.51,"10,390,600",1.63,"80,757"
84,1.63,"Mar 16, 2018",1.71,1.53,"10,258,600",1.61,"208,446"
85,1.63,"Mar 15, 2018",1.70,1.42,"10,048,400",1.58,"968,353"
86,1.58,"Mar 14, 2018",1.86,1.52,"11,599,400",1.82,"510,591"
87,1.82,"Mar 13, 2018",1.92,1.69,"11,644,800",1.83,"1,817,530"
88,1.74,"Mar 12, 2018",1.94,1.68,"11,951,500",1.88,"497,998"
89,1.91,"Mar 11, 2018",1.96,1.68,"11,381,100",1.79,"628,385"
90,1.82,"Mar 10, 2018",2.15,1.47,"11,879,100",1.87,"3,293,960"
91,1.84,"Mar 09, 2018",2.11,1.52,"11,502,900",1.81,"4,424,790"
92,1.80,"Mar 08, 2018",2.20,1.75,"13,986,900",2.20,"3,162,860"
93,2.08,"Mar 07, 2018",2.63,1.72,"11,204,300",1.76,"12,423,200"
94,1.76,"Mar 06, 2018",2.08,1.74,"12,237,200",1.92,"1,880,970"
95,2.07,"Mar 05, 2018",2.20,1.89,"13,993,200",2.20,"2,927,190"
96,2.27,"Mar 04, 2018",2.54,2.05,"15,953,200",2.51,"7,738,520"
97,2.78,"Mar 03, 2018",3.58,2.36,"18,260,700",2.87,"65,355,100"
98,2.21,"Mar 02, 2018",2.31,1.18,"7,860,930",1.24,"24,490,100"
99,1.23,"Mar 01, 2018",1.32,1.03,"6,568,910",1.03,"2,104,750"
100,1.03,"Feb 28, 2018",1.17,1.03,"6,739,600",1.06,"238,392"
101,1.06,"Feb 27, 2018",1.12,0.999803,"6,699,340",1.05,"140,297"
102,1.05,"Feb 26, 2018",1.06,0.911578,"5,848,620",0.921198,"136,319"
103,0.918879,"Feb 25, 2018",0.963529,0.898295,"5,930,330",0.934273,"34,813"
104,0.931358,"Feb 24, 2018",1.03,0.902958,"6,177,930",0.973493,"97,358"
105,0.966408,"Feb 23, 2018",1.00,0.913886,"6,003,810",0.946264,"48,722"
106,0.945708,"Feb 22, 2018",1.05,0.926238,"6,503,760",1.03,"87,623"
107,1.03,"Feb 21, 2018",1.10,0.989412,"6,784,780",1.07,"91,582"
108,1.08,"Feb 20, 2018",1.27,1.07,"7,396,830",1.17,"289,316"
109,1.17,"Feb 19, 2018",1.18,1.09,"6,919,670",1.09,"129,503"
