,close,date,high,low,market_cap,open,volume
0,0.209491,"Jun 08, 2018",0.248634,0.166471,"6,424,440",0.235459,"45,316"
1,0.235627,"Jun 07, 2018",0.264359,0.232968,"7,074,130",0.259270,"15,904"
2,0.259318,"Jun 06, 2018",0.276891,0.233724,"7,163,910",0.266774,"28,530"
3,0.266769,"Jun 05, 2018",0.295371,0.257855,"7,676,400",0.285859,"24,857"
4,0.285859,"Jun 04, 2018",0.308668,0.250012,"7,983,170",0.297282,"51,363"
5,0.297319,"Jun 03, 2018",0.323118,0.282727,"8,676,950",0.323118,"39,470"
6,0.323539,"Jun 02, 2018",0.337163,0.290216,"8,687,870",0.323524,"48,084"
7,0.323928,"Jun 01, 2018",0.328074,0.293336,"8,344,750",0.310747,"73,393"
8,0.310747,"May 31, 2018",0.318268,0.282876,"7,824,700",0.291381,"59,436"
9,0.291736,"May 30, 2018",0.295054,0.253973,"7,746,200",0.288458,"32,611"
10,0.287298,"May 29, 2018",0.305506,0.227760,-,0.244964,"83,527"
11,0.245766,"May 28, 2018",0.249934,0.222290,-,0.225725,"46,446"
