,close,date,high,low,market_cap,open,volume
0,0.003161,"Jun 08, 2018",0.003693,0.002673,"6,747,060",0.003658,"2,712"
1,0.003547,"Jun 07, 2018",0.003569,0.003208,"6,097,380",0.003305,767
2,0.003560,"Jun 06, 2018",0.003598,0.003257,"6,627,140",0.003593,"1,767"
3,0.003665,"Jun 05, 2018",0.004664,0.003348,"8,599,110",0.004662,"6,577"
4,0.004661,"Jun 04, 2018",0.005020,0.004168,"8,107,450",0.004395,"31,271"
5,0.004396,"Jun 03, 2018",0.005019,0.004349,"8,757,970",0.004748,"3,309"
6,0.004747,"Jun 02, 2018",0.007138,0.004383,"12,951,300",0.007021,"2,195"
7,0.007028,"Jun 01, 2018",0.007422,0.004013,"7,463,440",0.004046,"45,783"
8,0.004038,"May 31, 2018",0.004648,0.004009,"8,540,520",0.004630,"6,461"
9,0.004636,"May 30, 2018",0.004657,0.004124,"7,616,840",0.004129,"4,936"
10,0.004127,"May 29, 2018",0.004570,0.003891,"8,304,440",0.004502,"2,310"
11,0.004504,"May 28, 2018",0.005865,0.004085,"9,521,740",0.005162,"9,749"
12,0.005161,"May 27, 2018",0.006698,0.004880,"12,356,000",0.006698,"17,158"
13,0.006698,"May 26, 2018",0.007402,0.005006,"13,574,300",0.007359,"54,115"
14,0.007359,"May 25, 2018",0.008089,0.005282,"14,095,600",0.007641,"145,658"
15,0.007641,"May 24, 2018",0.008044,0.006049,"14,495,200",0.007858,"29,304"
16,0.007861,"May 23, 2018",0.008190,0.005678,"11,759,500",0.006375,"125,737"
17,0.006378,"May 22, 2018",0.008014,0.006358,"14,238,500",0.007719,"27,264"
18,0.007719,"May 21, 2018",0.007934,0.005497,"14,631,200",0.007932,"31,705"
19,0.007928,"May 20, 2018",0.008368,0.007635,"15,416,400",0.008357,"30,387"
20,0.008314,"May 19, 2018",0.008442,0.007354,"13,589,900",0.007367,"62,362"
21,0.007365,"May 18, 2018",0.008639,0.006273,"15,920,400",0.008630,"34,276"
22,0.008626,"May 17, 2018",0.008858,0.007442,"13,917,200",0.007544,"70,001"
23,0.007543,"May 16, 2018",0.009654,0.005284,"10,033,700",0.005439,"121,005"
24,0.005442,"May 15, 2018",0.006633,0.005413,"11,951,900",0.006479,"4,804"
25,0.006481,"May 14, 2018",0.006797,0.005714,"11,047,000",0.005989,"25,544"
26,0.005906,"May 13, 2018",0.006907,0.005745,"12,331,500",0.006685,"5,974"
27,0.006686,"May 12, 2018",0.007811,0.006011,"13,699,400",0.007426,"49,033"
28,0.007433,"May 11, 2018",0.012202,0.006909,"22,509,600",0.012202,"58,407"
29,0.012190,"May 10, 2018",0.014419,0.008360,"17,540,400",0.009509,"258,764"
30,0.009600,"May 09, 2018",0.011227,0.006250,"19,272,800",0.010448,"109,764"
31,0.010443,"May 08, 2018",0.013624,0.006870,"18,135,000",0.009831,"184,613"
32,0.009247,"May 07, 2018",0.018418,0.006761,"12,781,900",0.006929,"259,320"
