,close,date,high,low,market_cap,open,volume
0,0.016329,"Jun 08, 2018",0.016894,0.016103,"976,004",0.016594,828
1,0.016582,"Jun 07, 2018",0.018056,0.016350,"1,058,300",0.017993,"1,207"
2,0.017977,"Jun 06, 2018",0.017987,0.017062,"1,026,850",0.017459,"5,070"
3,0.017463,"Jun 05, 2018",0.018544,0.017083,"1,019,300",0.017330,600
4,0.017322,"Jun 04, 2018",0.017933,0.017108,"1,051,900",0.017885,632
5,0.017799,"Jun 03, 2018",0.019127,0.017103,"1,019,340",0.017331,"2,785"
6,0.017326,"Jun 02, 2018",0.019266,0.016898,"999,138",0.016988,954
7,0.016995,"Jun 01, 2018",0.017577,0.016276,"978,192",0.016631,842
8,0.016619,"May 31, 2018",0.017768,0.016195,"955,280",0.016242,296
9,0.016245,"May 30, 2018",0.019790,0.015901,"983,442",0.016721,"1,549"
10,0.016709,"May 29, 2018",0.017474,0.015866,"983,900",0.016729,690
11,0.016734,"May 28, 2018",0.017065,0.015973,"997,980",0.016968,"1,473"
12,0.016964,"May 27, 2018",0.018437,0.016789,"1,039,720",0.017678,"1,427"
13,0.017596,"May 26, 2018",0.019899,0.016744,"988,276",0.016803,553
14,0.016825,"May 25, 2018",0.019591,0.016092,"947,446",0.016109,875
15,0.016078,"May 24, 2018",0.019962,0.015782,"950,876",0.016167,"1,023"
16,0.016359,"May 23, 2018",0.020258,0.015752,"1,082,680",0.018408,"1,014"
17,0.018427,"May 22, 2018",0.022204,0.018410,"1,305,490",0.022196,"1,844"
18,0.022200,"May 21, 2018",0.025124,0.015728,"1,404,330",0.023877,"9,264"
19,0.023847,"May 20, 2018",0.027385,0.023290,"1,585,820",0.026963,"7,558"
20,0.026942,"May 19, 2018",0.031586,0.025124,"1,497,350",0.025458,"2,020"
21,0.025462,"May 18, 2018",0.027575,0.025109,"1,544,130",0.026254,"3,562"
22,0.026231,"May 17, 2018",0.027853,0.025404,"1,576,160",0.026798,659
23,0.027866,"May 16, 2018",0.029932,0.024973,"1,537,290",0.026137,"1,137"
24,0.026152,"May 15, 2018",0.027860,0.026002,"1,571,400",0.026717,"1,318"
25,0.026763,"May 14, 2018",0.027613,0.025147,"1,543,600",0.026245,"1,171"
26,0.026249,"May 13, 2018",0.027675,0.025120,"1,494,110",0.025403,"2,694"
27,0.025412,"May 12, 2018",0.025902,0.024625,"1,481,260",0.025185,754
28,0.025259,"May 11, 2018",0.027421,0.025009,"1,600,040",0.027204,"1,996"
29,0.027172,"May 10, 2018",0.031559,0.027145,"1,846,090",0.031388,"7,238"
30,0.031397,"May 09, 2018",0.035362,0.028094,"1,736,750",0.029529,"3,544"
31,0.029574,"May 08, 2018",0.030367,0.029213,"1,768,460",0.030068,"1,811"
32,0.029910,"May 07, 2018",0.030864,0.027044,"1,651,080",0.028072,"2,859"
33,0.028148,"May 06, 2018",0.030113,0.027672,"1,682,220",0.028601,"3,184"
34,0.028582,"May 05, 2018",0.030947,0.028304,"1,710,240",0.029078,"1,232"
35,0.029092,"May 04, 2018",0.029736,0.027717,"1,662,620",0.028268,"1,259"
36,0.028279,"May 03, 2018",0.030436,0.023655,"1,756,840",0.029870,"7,660"
37,0.029869,"May 02, 2018",0.033134,0.027726,"1,768,340",0.030066,"8,509"
