,close,date,high,low,market_cap,open,volume
0,146.20,"Jun 08, 2018",147.62,144.29,"29,198,600",146.91,"8,564"
1,146.81,"Jun 07, 2018",147.28,145.34,"28,941,800",145.62,"7,711"
2,145.49,"Jun 06, 2018",148.33,142.98,"28,930,700",145.57,"7,030"
3,145.60,"Jun 05, 2018",146.32,142.35,"28,681,400",144.31,"4,370"
4,144.25,"Jun 04, 2018",162.36,141.17,"28,056,300",141.17,"26,651"
5,141.12,"Jun 03, 2018",146.05,135.88,"27,268,600",137.21,"23,681"
6,137.18,"Jun 02, 2018",138.49,134.35,"27,039,600",136.06,"6,115"
7,136.11,"Jun 01, 2018",137.82,132.03,"26,935,300",135.54,"6,774"
8,135.46,"May 31, 2018",137.47,133.58,"26,910,000",135.42,"5,762"
9,135.49,"May 30, 2018",139.59,134.80,"27,554,000",138.66,"5,233"
10,138.58,"May 29, 2018",156.45,122.88,"24,435,100",122.97,"144,899"
11,123.01,"May 28, 2018",129.57,122.87,"25,708,900",129.38,"12,101"
12,129.36,"May 27, 2018",130.41,126.89,"25,413,000",127.90,"9,444"
13,128.44,"May 26, 2018",134.82,127.18,"26,757,300",134.67,"18,556"
14,134.83,"May 25, 2018",164.04,126.11,"25,530,300",128.49,"168,514"
15,128.28,"May 24, 2018",130.53,123.59,"24,763,600",124.64,"18,679"
16,124.87,"May 23, 2018",132.63,121.37,"25,268,900",127.19,"43,565"
17,127.31,"May 22, 2018",131.95,126.68,"26,173,700",131.74,"14,992"
18,131.76,"May 21, 2018",145.92,125.25,"25,061,300",126.15,"48,789"
19,126.03,"May 20, 2018",127.01,121.17,"24,260,600",122.12,"5,966"
20,122.04,"May 19, 2018",126.60,118.73,"24,647,600",124.07,"11,412"
21,124.07,"May 18, 2018",124.35,120.77,"24,153,500",121.58,"9,192"
22,121.50,"May 17, 2018",131.05,120.92,"24,495,900",123.31,"15,481"
23,123.27,"May 16, 2018",125.26,121.27,"24,869,400",125.19,"3,280"
24,125.24,"May 15, 2018",131.19,124.46,"25,704,000",129.40,"6,392"
25,129.53,"May 14, 2018",137.22,127.54,"26,115,800",131.48,"11,318"
26,131.50,"May 13, 2018",136.06,118.85,"26,191,200",131.86,"12,377"
27,131.89,"May 12, 2018",136.53,125.71,"25,898,500",130.39,"18,129"
28,130.71,"May 11, 2018",135.66,129.60,"26,373,300",132.78,"18,392"
29,132.38,"May 10, 2018",137.94,130.66,"26,813,000",135.00,"10,837"
30,134.99,"May 09, 2018",135.99,131.88,"26,520,400",133.53,545
31,133.68,"May 08, 2018",138.96,133.04,"27,272,400",137.32,"5,115"
32,135.64,"May 07, 2018",141.29,135.03,"27,580,500",138.87,"13,848"
33,138.81,"May 06, 2018",145.52,138.65,"28,667,500",144.35,"5,825"
34,144.28,"May 05, 2018",146.95,142.64,"28,763,900",144.84,"9,570"
35,144.86,"May 04, 2018",145.69,138.86,"28,244,600",142.23,"8,632"
36,142.33,"May 03, 2018",144.11,136.04,"27,184,800",136.90,"13,335"
37,136.89,"May 02, 2018",138.83,133.32,"26,734,900",134.63,"2,470"
38,134.81,"May 01, 2018",138.56,132.91,"27,319,500",137.58,"13,244"
39,137.48,"Apr 30, 2018",141.03,136.75,"27,894,900",140.48,"6,411"
40,140.52,"Apr 29, 2018",143.30,137.83,"27,906,300",140.54,"8,009"
41,140.58,"Apr 28, 2018",141.31,134.74,"26,811,300",135.03,"4,604"
42,135.42,"Apr 27, 2018",145.58,135.42,"28,905,500",145.58,"13,685"
43,145.43,"Apr 26, 2018",145.67,135.01,"27,914,200",140.59,"7,303"
44,139.58,"Apr 25, 2018",151.11,137.66,"29,964,400",150.92,"33,160"
45,151.56,"Apr 24, 2018",151.56,138.44,"27,494,400",138.48,"38,085"
46,138.39,"Apr 23, 2018",141.28,137.92,"27,524,600",138.64,"2,976"
47,138.87,"Apr 22, 2018",142.85,137.92,"28,028,400",141.18,"10,323"
48,140.57,"Apr 21, 2018",142.04,135.85,"27,626,700",139.16,"7,550"
49,139.12,"Apr 20, 2018",142.41,132.65,"26,666,700",134.33,"14,583"
50,134.28,"Apr 19, 2018",136.25,130.44,"26,160,900",131.78,"6,276"
51,131.69,"Apr 18, 2018",134.37,128.58,"25,548,400",128.70,"4,722"
52,128.60,"Apr 17, 2018",134.18,128.57,"26,156,400",131.77,"4,357"
53,131.73,"Apr 16, 2018",136.84,130.21,"27,036,000",136.20,"4,672"
54,136.26,"Apr 15, 2018",136.56,129.73,"25,750,800",129.73,"6,440"
55,129.59,"Apr 14, 2018",133.94,129.22,"25,842,300",130.19,"3,224"
56,130.19,"Apr 13, 2018",136.53,129.10,"26,094,200",131.47,"7,081"
57,131.32,"Apr 12, 2018",134.02,116.50,"23,850,500",120.17,"21,566"
58,121.03,"Apr 11, 2018",122.31,117.38,"23,535,200",118.58,"13,672"
59,118.50,"Apr 10, 2018",120.37,117.10,"23,449,100",118.15,"6,132"
60,118.10,"Apr 09, 2018",129.65,115.98,"25,290,800",127.43,"73,202"
61,127.24,"Apr 08, 2018",131.40,126.45,"25,857,800",130.29,"13,896"
62,130.19,"Apr 07, 2018",132.13,125.66,"24,961,500",125.78,"32,918"
63,125.68,"Apr 06, 2018",129.74,125.32,"25,559,800",128.79,"22,263"
64,129.27,"Apr 05, 2018",132.50,126.97,"25,883,900",130.43,"11,524"
65,130.41,"Apr 04, 2018",140.20,129.38,"27,821,400",140.20,"7,483"
66,140.30,"Apr 03, 2018",141.27,130.00,"25,817,500",130.10,"18,948"
67,129.30,"Apr 02, 2018",135.16,127.65,"25,834,200",130.19,"4,219"
68,129.72,"Apr 01, 2018",141.43,127.52,"27,783,500",140.02,"28,866"
69,140.01,"Mar 31, 2018",143.80,136.66,"27,115,700",136.66,"17,153"
70,136.65,"Mar 30, 2018",144.82,132.50,"27,939,000",140.81,"32,754"
71,140.72,"Mar 29, 2018",156.19,136.75,"30,486,700",153.65,"36,247"
72,153.49,"Mar 28, 2018",154.14,146.47,"29,178,000",147.06,"41,890"
73,147.07,"Mar 27, 2018",153.42,141.46,"29,324,900",147.80,"34,081"
74,147.96,"Mar 26, 2018",158.49,141.52,"30,871,600",155.60,"25,296"
75,155.69,"Mar 25, 2018",165.35,153.51,"30,520,700",153.84,"27,200"
76,159.97,"Mar 24, 2018",185.16,144.92,"29,148,200",146.92,"146,498"
77,146.06,"Mar 23, 2018",147.94,142.22,"29,349,900",147.94,"7,965"
78,147.94,"Mar 22, 2018",155.70,144.24,"30,453,400",153.51,"13,348"
79,153.76,"Mar 21, 2018",157.58,145.16,"30,813,400",155.33,"22,582"
80,155.11,"Mar 20, 2018",156.32,147.22,"31,009,600",156.32,"30,574"
81,155.22,"Mar 19, 2018",157.05,147.48,"29,378,300",148.10,"17,893"
82,148.40,"Mar 18, 2018",150.17,136.86,"29,137,300",146.89,"35,458"
83,147.15,"Mar 17, 2018",155.17,134.56,"30,779,700",155.17,"50,234"
84,155.38,"Mar 16, 2018",170.55,155.38,"31,954,600",161.10,"53,734"
85,161.18,"Mar 15, 2018",170.28,138.02,"28,238,200",142.37,"168,167"
86,142.43,"Mar 14, 2018",160.53,140.92,"31,154,900",157.07,"30,784"
87,157.06,"Mar 13, 2018",166.33,154.70,"30,955,900",156.08,"11,049"
88,156.62,"Mar 12, 2018",163.95,155.75,"31,452,900",158.59,"49,109"
89,158.85,"Mar 11, 2018",163.81,144.21,"29,344,200",147.96,"56,188"
90,148.37,"Mar 10, 2018",166.91,148.14,"32,700,500",164.88,"49,276"
91,164.82,"Mar 09, 2018",166.77,152.53,"32,471,000",163.73,"37,414"
92,164.49,"Mar 08, 2018",176.42,153.72,"32,980,000",166.30,"53,380"
93,166.47,"Mar 07, 2018",173.99,158.00,"33,898,400",170.94,"39,603"
94,171.08,"Mar 06, 2018",175.69,165.97,"34,148,600",172.20,"45,091"
95,171.00,"Mar 05, 2018",181.46,169.73,"34,007,400",171.49,"40,689"
