,close,date,high,low,market_cap,open,volume
0,0.165996,"Jun 08, 2018",0.179535,0.165996,"2,926,680",0.174280,"4,804"
1,0.174058,"Jun 07, 2018",0.196136,0.173689,"3,225,500",0.192074,"6,027"
2,0.192608,"Jun 06, 2018",0.204885,0.178705,"3,395,550",0.202200,"13,963"
3,0.205591,"Jun 05, 2018",0.207715,0.187721,"3,242,740",0.193101,"11,071"
4,0.193082,"Jun 04, 2018",0.211857,0.191414,"3,278,850",0.195251,"19,333"
5,0.195356,"Jun 03, 2018",0.228401,0.189900,"3,244,520",0.193207,"14,505"
6,0.193327,"Jun 02, 2018",0.196893,0.184296,"3,149,950",0.187575,"1,758"
7,0.187647,"Jun 01, 2018",0.205452,0.174478,"3,005,930",0.178999,"17,071"
8,0.178775,"May 31, 2018",0.187257,0.158779,"2,676,750",0.159397,"4,904"
9,0.159458,"May 30, 2018",0.183496,0.155119,"2,608,080",0.155308,"4,199"
10,0.155203,"May 29, 2018",0.171200,0.137639,"2,673,310",0.159192,"5,747"
11,0.159244,"May 28, 2018",0.171381,0.149639,"2,852,440",0.169859,"3,480"
12,0.169821,"May 27, 2018",0.175926,0.160405,"2,881,130",0.171567,"6,646"
13,0.171491,"May 26, 2018",0.175333,0.163726,"2,944,380",0.175333,"1,386"
14,0.175554,"May 25, 2018",0.185610,0.164385,"2,950,690",0.183580,"1,226"
15,0.183237,"May 24, 2018",0.200283,0.154369,"3,014,220",0.187533,"10,548"
16,0.188033,"May 23, 2018",0.230799,0.151518,"3,464,040",0.215519,"15,488"
17,0.215760,"May 22, 2018",0.348232,0.188993,"3,229,890",0.200951,"18,631"
18,0.201038,"May 21, 2018",0.213761,0.171348,"3,048,640",0.189675,"7,447"
19,0.189438,"May 20, 2018",0.200675,0.181209,"3,155,120",0.196299,"3,183"
20,0.196145,"May 19, 2018",0.202610,0.184107,"2,983,980",0.185651,"4,663"
21,0.185680,"May 18, 2018",0.193673,0.177517,"3,112,900",0.193673,"1,362"
22,0.193569,"May 17, 2018",0.194217,0.155713,"2,970,960",0.184842,"3,572"
23,0.184729,"May 16, 2018",0.202217,0.181093,"3,127,800",0.194599,"1,842"
24,0.194712,"May 15, 2018",0.217876,0.180723,"2,974,120",0.185039,"5,469"
25,0.185356,"May 14, 2018",0.263040,0.170809,"4,174,790",0.259739,"10,152"
26,0.259789,"May 13, 2018",0.260157,0.164223,"2,962,830",0.184336,"6,052"
27,0.184400,"May 12, 2018",0.189395,0.165026,"3,018,500",0.187799,"7,041"
28,0.188338,"May 11, 2018",0.208211,0.180470,"3,201,040",0.199156,"4,300"
29,0.198920,"May 10, 2018",0.279477,0.182693,"3,739,130",0.232634,"25,143"
30,0.232680,"May 09, 2018",0.281049,0.211502,"3,472,090",0.216020,"9,786"
31,0.216331,"May 08, 2018",0.259297,0.179296,"3,726,180",0.231828,"45,640"
32,0.231338,"May 07, 2018",0.268535,0.230195,"4,317,160",0.268397,"4,309"
33,0.268204,"May 06, 2018",0.277146,0.238986,"4,272,530",0.265622,"4,252"
34,0.265442,"May 05, 2018",0.284127,0.217956,"3,505,820",0.217956,"4,605"
35,0.230295,"May 04, 2018",0.270561,0.181018,"4,182,190",0.260006,"19,721"
36,0.260107,"May 03, 2018",0.261353,0.234024,"4,072,550",0.253190,"2,414"
