,close,date,high,low,market_cap,open,volume
0,0.041054,"Jun 06, 2018",0.041215,0.040206,"49,336",0.040864,2
1,0.040875,"Jun 05, 2018",0.040875,0.030543,"37,408",0.030985,2
2,0.030970,"Jun 04, 2018",0.032630,0.030075,"39,395",0.032630,213
3,0.033835,"Jun 03, 2018",0.033917,0.033368,"40,465",0.033517,38
4,0.033508,"Jun 02, 2018",0.033535,0.033481,"40,482",0.033531,38
5,0.032195,"May 30, 2018",0.033145,0.032070,"39,563",0.032770,1
6,0.032747,"May 29, 2018",0.033367,0.032634,"39,658",0.032848,3
7,0.032166,"May 27, 2018",0.032478,0.031974,"39,142",0.032421,23
8,0.032407,"May 26, 2018",0.034842,0.032232,"42,040",0.034821,23
9,0.044445,"May 25, 2018",0.045682,0.043944,"54,510",0.045150,2
10,0.045065,"May 24, 2018",0.045377,0.034665,"41,852",0.034665,14
11,0.034753,"May 23, 2018",0.048321,0.034443,"58,169",0.048181,8
12,0.048231,"May 22, 2018",0.050653,0.047959,"61,107",0.050614,23
13,0.050623,"May 21, 2018",0.051231,0.050186,"61,851",0.051231,1
14,0.049948,"May 16, 2018",0.051129,0.048970,"61,678",0.051087,57
15,0.051116,"May 15, 2018",0.053004,0.050822,"62,941",0.052133,144
16,0.052223,"May 14, 2018",0.053231,0.050128,"63,161",0.052316,2
17,0.052325,"May 13, 2018",0.052712,0.037225,"45,084",0.037343,4
18,0.037356,"May 12, 2018",0.038076,0.036589,"45,736",0.037883,6
19,0.056324,"May 10, 2018",0.056637,0.056229,"68,030",0.056349,2
20,0.056365,"May 09, 2018",0.056556,0.054276,"65,665",0.054390,5
21,0.055541,"May 08, 2018",0.057193,0.054888,"68,418",0.056670,2
22,0.056550,"May 07, 2018",0.058193,0.055712,"70,221",0.058163,29
23,0.058121,"May 06, 2018",0.059425,0.057341,"71,079",0.058874,11
24,0.058834,"May 05, 2018",0.058991,0.058373,"70,533",0.058422,33
25,0.052451,"May 02, 2018",0.052619,0.051494,"62,837",0.052047,1
26,0.052126,"May 01, 2018",0.053782,0.050801,"64,931",0.053782,2
27,0.053735,"Apr 30, 2018",0.054419,0.042728,"58,455",0.048418,39
28,0.048434,"Apr 29, 2018",0.048470,0.044292,"53,949",0.044685,7
29,0.047760,"Apr 28, 2018",0.048079,0.045353,"54,896",0.045470,96
30,0.045626,"Apr 27, 2018",0.047793,0.045626,"57,694",0.047787,92
31,0.047721,"Apr 26, 2018",0.047828,0.044270,"54,786",0.045379,9
32,0.045005,"Apr 25, 2018",0.049894,0.044942,"59,948",0.049654,35
33,0.049994,"Apr 24, 2018",0.049994,0.045943,"55,492",0.045963,46
34,0.045924,"Apr 23, 2018",0.053026,0.045497,"62,867",0.052072,9
35,0.052178,"Apr 22, 2018",0.053261,0.051904,"64,029",0.053034,2
36,0.053034,"Apr 21, 2018",0.053034,0.045106,"54,976",0.045536,2
37,0.045520,"Apr 20, 2018",0.045943,0.042329,"51,313",0.042502,1
38,0.042474,"Apr 19, 2018",0.049029,0.041941,"58,550",0.048496,24
39,0.048460,"Apr 18, 2018",0.048765,0.040965,"56,626",0.046903,9
40,0.041653,"Apr 17, 2018",0.047926,0.041517,"57,629",0.047733,14
41,0.047709,"Apr 16, 2018",0.048118,0.043009,"54,306",0.044981,6
42,0.045000,"Apr 15, 2018",0.045000,0.044625,"54,007",0.044734,26
43,0.047744,"Apr 14, 2018",0.047920,0.046648,"56,512",0.046808,1
44,0.046809,"Apr 13, 2018",0.048898,0.046251,"56,881",0.047114,1
45,0.047054,"Apr 12, 2018",0.047299,0.040236,"50,067",0.041470,2
46,0.041570,"Apr 11, 2018",0.041570,0.040596,"49,153",0.040713,9
47,0.040673,"Apr 10, 2018",0.040919,0.035330,"43,340",0.035898,10
48,0.035868,"Apr 09, 2018",0.039363,0.035142,"46,564",0.038568,2
49,0.038506,"Apr 08, 2018",0.042577,0.038246,"46,679",0.038664,47
50,0.038629,"Apr 07, 2018",0.039426,0.037024,"44,766",0.037080,4
51,0.037035,"Apr 06, 2018",0.041014,0.036711,"49,005",0.040590,50
52,0.040798,"Apr 05, 2018",0.041007,0.039453,"49,199",0.040751,23
53,0.040734,"Apr 04, 2018",0.044647,0.040363,"53,902",0.044647,2
54,0.044677,"Apr 03, 2018",0.044743,0.039770,"48,170",0.039898,1
55,0.039870,"Apr 02, 2018",0.041156,0.038312,"49,688",0.041156,2
56,0.040954,"Apr 01, 2018",0.041926,0.036175,"46,936",0.038876,9
57,0.038877,"Mar 31, 2018",0.043614,0.038438,"50,188",0.041570,18
58,0.041564,"Mar 30, 2018",0.043631,0.040017,"51,827",0.042928,4
59,0.043035,"Mar 29, 2018",0.045896,0.041714,"55,320",0.045821,4
60,0.045767,"Mar 28, 2018",0.048122,0.044871,"57,817",0.047889,18
61,0.047900,"Mar 27, 2018",0.050401,0.047716,"60,655",0.050240,1
62,0.050316,"Mar 26, 2018",0.052190,0.048291,"62,666",0.051905,44
63,0.051945,"Mar 25, 2018",0.053540,0.050590,"61,595",0.051018,11
64,0.051730,"Mar 24, 2018",0.053960,0.051607,"64,556",0.053471,12
65,0.052704,"Mar 23, 2018",0.052704,0.049892,"63,031",0.052208,80
66,0.052209,"Mar 22, 2018",0.056042,0.051132,"67,660",0.056042,5
