,close,date,high,low,market_cap,open,volume
0,0.103977,"Jun 08, 2018",0.104087,0.084931,-,0.101649,"2,131"
1,0.101742,"Jun 07, 2018",0.104962,0.098969,-,0.102968,"1,664"
2,0.102696,"Jun 06, 2018",0.103723,0.084639,-,0.101596,"1,978"
3,0.101520,"Jun 05, 2018",0.106157,0.100193,-,0.101567,"1,658"
4,0.101701,"Jun 04, 2018",0.142255,0.082354,-,0.106831,"5,484"
5,0.104616,"Jun 03, 2018",0.106815,0.100076,-,0.101679,"1,423"
6,0.101930,"Jun 02, 2018",0.107605,0.101528,-,0.103398,"2,234"
7,0.103679,"Jun 01, 2018",0.107545,0.098940,-,0.105643,"2,550"
8,0.101585,"May 31, 2018",0.134524,0.100205,-,0.106668,"3,345"
9,0.106695,"May 30, 2018",0.110244,0.083220,-,0.103930,"2,737"
10,0.103554,"May 29, 2018",0.140847,0.084190,-,0.099461,"1,109"
11,0.099606,"May 28, 2018",0.112044,0.082196,-,0.109477,509
12,0.109250,"May 27, 2018",0.109705,0.099339,-,0.102813,193
13,0.102588,"May 26, 2018",0.108222,0.084915,-,0.104619,436
14,0.104365,"May 25, 2018",0.106301,0.082935,-,0.104640,"2,998"
15,0.104695,"May 24, 2018",0.112175,0.078553,-,0.101408,"1,088"
16,0.101211,"May 23, 2018",0.106006,0.088351,-,0.096563,841
17,0.097412,"May 22, 2018",0.107908,0.084546,-,0.106255,300
18,0.106273,"May 21, 2018",0.129001,0.071779,-,0.092398,"8,952"
19,0.091130,"May 20, 2018",0.105576,0.081843,-,0.091818,"76,594"
20,0.091785,"May 19, 2018",0.097709,0.076002,-,0.089851,"52,341"
21,0.089792,"May 18, 2018",0.097510,0.080821,-,0.087137,"10,877"
22,0.086648,"May 17, 2018",0.096602,0.085702,-,0.092642,"4,170"
23,0.091948,"May 16, 2018",0.097572,0.081027,-,0.089230,"16,796"
24,0.089475,"May 15, 2018",0.098260,0.087457,-,0.090359,"10,678"
25,0.091066,"May 14, 2018",0.095579,0.084645,-,0.092110,"28,792"
26,0.092007,"May 13, 2018",0.097092,0.086831,-,0.089032,"14,643"
27,0.089196,"May 12, 2018",0.682175,0.086757,-,0.089857,"16,071"
28,0.090174,"May 11, 2018",0.090638,0.089259,-,0.089479,"21,504"
