,close,date,high,low,market_cap,open,volume
0,0.103367,"Jun 08, 2018",0.108675,0.101880,"33,157,000",0.108213,"193,691"
1,0.107789,"Jun 07, 2018",0.110938,0.104879,"33,428,500",0.109099,"216,274"
2,0.109282,"Jun 06, 2018",0.113041,0.107715,"34,375,700",0.112190,"308,686"
3,0.112356,"Jun 05, 2018",0.114118,0.107960,"33,836,200",0.110845,"342,060"
4,0.111045,"Jun 04, 2018",0.121286,0.110145,"34,283,400",0.112322,"920,060"
5,0.112868,"Jun 03, 2018",0.119421,0.110902,"36,450,300",0.119421,"902,704"
6,0.119276,"Jun 02, 2018",0.122153,0.115950,"36,049,900",0.118109,"799,510"
7,0.118569,"Jun 01, 2018",0.120612,0.113318,"36,214,600",0.118711,"937,212"
8,0.118917,"May 31, 2018",0.133018,0.110780,"33,980,600",0.111388,"1,537,020"
9,0.111116,"May 30, 2018",0.114600,0.106874,"33,796,700",0.110785,"664,353"
10,0.110134,"May 29, 2018",0.112859,0.097746,"29,934,000",0.098123,"748,987"
11,0.098329,"May 28, 2018",0.112104,0.097720,"33,016,400",0.108232,"718,114"
12,0.108084,"May 27, 2018",0.110992,0.105022,"33,850,800",0.110967,"622,859"
13,0.110243,"May 26, 2018",0.115695,0.110135,"34,425,000",0.112850,"441,643"
14,0.112546,"May 25, 2018",0.121240,0.111358,"36,595,200",0.119964,"269,935"
15,0.119890,"May 24, 2018",0.119890,0.108888,"33,561,100",0.110027,"398,702"
16,0.110905,"May 23, 2018",0.124032,0.104866,"36,391,900",0.123380,"480,379"
17,0.123647,"May 22, 2018",0.135026,0.123647,"39,320,200",0.133308,"450,077"
18,0.133345,"May 21, 2018",0.146157,0.132465,"42,651,100",0.144601,"406,013"
19,0.144232,"May 20, 2018",0.147526,0.137854,"41,278,500",0.139948,"473,604"
20,0.139844,"May 19, 2018",0.144421,0.136735,"41,877,900",0.141980,"427,501"
21,0.142143,"May 18, 2018",0.144931,0.135117,"41,904,300",0.142072,"411,964"
22,0.141352,"May 17, 2018",0.158424,0.140328,"44,530,700",0.150977,"448,108"
23,0.151337,"May 16, 2018",0.164124,0.147921,"48,163,300",0.164124,"400,250"
24,0.164004,"May 15, 2018",0.182342,0.162294,"49,309,600",0.168030,"585,253"
25,0.167463,"May 14, 2018",0.174482,0.158884,"51,028,500",0.173911,"580,418"
26,0.171882,"May 13, 2018",0.178447,0.154665,"47,663,000",0.162441,"638,468"
27,0.161445,"May 12, 2018",0.164173,0.144239,"46,295,600",0.157781,"714,577"
28,0.157075,"May 11, 2018",0.190246,0.153631,"55,821,300",0.190246,"867,357"
29,0.190384,"May 10, 2018",0.213947,0.189317,"58,484,000",0.199361,"1,152,680"
30,0.197604,"May 09, 2018",0.203207,0.187875,"58,270,700",0.198634,"881,855"
31,0.199440,"May 08, 2018",0.217082,0.190394,"61,354,300",0.209595,"1,386,850"
32,0.209528,"May 07, 2018",0.241245,0.206133,"64,877,300",0.221778,"4,441,590"
33,0.224459,"May 06, 2018",0.234981,0.185214,"57,664,400",0.197121,"2,426,340"
34,0.196519,"May 05, 2018",0.214967,0.195815,"60,259,900",0.205994,"1,299,390"
35,0.205733,"May 04, 2018",0.218893,0.205314,"62,929,300",0.215119,"882,292"
36,0.215915,"May 03, 2018",0.222534,0.201940,"60,069,000",0.205341,"1,346,150"
37,0.204882,"May 02, 2018",0.227529,0.204783,"66,557,400",0.227529,"1,572,010"
38,0.228668,"May 01, 2018",0.237213,0.185702,"56,935,500",0.198224,"2,214,820"
39,0.198707,"Apr 30, 2018",0.209314,0.186541,"54,299,400",0.189046,"1,288,940"
40,0.189365,"Apr 29, 2018",0.202548,0.185115,"55,623,800",0.193658,"837,525"
41,0.193205,"Apr 28, 2018",0.196511,0.183459,"52,762,600",0.183696,"566,486"
42,0.185276,"Apr 27, 2018",0.196131,0.182879,"56,115,500",0.195370,"528,831"
43,0.195210,"Apr 26, 2018",0.196465,0.176128,"51,515,400",0.179354,"567,179"
44,0.178006,"Apr 25, 2018",0.213134,0.174328,"59,627,100",0.207595,"1,592,260"
45,0.209293,"Apr 24, 2018",0.209293,0.188652,"54,893,900",0.191287,"2,949,330"
46,0.190998,"Apr 23, 2018",0.200698,0.189010,"55,960,200",0.195007,"2,327,250"
