,close,date,high,low,market_cap,open,volume
0,4.02,"Jun 08, 2018",4.17,3.71,"2,167,770,000",4.12,"108,121,000"
1,4.13,"Jun 07, 2018",4.27,4.05,"2,219,540,000",4.22,"126,478,000"
2,4.14,"Jun 06, 2018",4.88,3.99,"2,154,240,000",4.10,"120,559,000"
3,4.09,"Jun 05, 2018",4.15,3.80,"2,047,090,000",3.89,"83,761,900"
4,3.89,"Jun 04, 2018",4.17,3.83,"2,135,810,000",4.06,"92,839,700"
5,4.09,"Jun 03, 2018",4.09,3.62,"1,944,660,000",3.70,"93,253,300"
6,3.71,"Jun 02, 2018",3.79,3.41,"1,811,970,000",3.44,"71,906,000"
7,3.45,"Jun 01, 2018",3.47,3.35,"1,818,470,000",3.46,"65,178,200"
8,3.46,"May 31, 2018",3.53,3.32,"1,779,050,000",3.38,"67,932,800"
9,3.38,"May 30, 2018",3.57,3.25,"1,837,910,000",3.49,"64,795,600"
10,3.49,"May 29, 2018",3.52,3.04,"1,645,200,000",3.13,"58,926,800"
11,3.10,"May 28, 2018",3.55,3.09,"1,829,970,000",3.48,"59,873,300"
12,3.48,"May 27, 2018",3.55,3.43,"1,865,260,000",3.55,"59,583,000"
13,3.54,"May 26, 2018",3.69,3.49,"1,886,380,000",3.59,"59,082,100"
14,3.60,"May 25, 2018",3.81,3.51,"1,993,410,000",3.79,"65,838,800"
15,3.77,"May 24, 2018",3.79,3.40,"1,847,660,000",3.51,"66,549,500"
16,3.53,"May 23, 2018",4.05,3.44,"2,083,480,000",3.96,"74,198,700"
17,3.97,"May 22, 2018",4.46,3.95,"2,316,940,000",4.40,"72,272,500"
18,4.45,"May 21, 2018",4.59,4.32,"2,369,990,000",4.51,"83,557,500"
19,4.49,"May 20, 2018",4.56,4.26,"2,266,350,000",4.31,"79,209,700"
20,4.31,"May 19, 2018",4.47,4.27,"2,317,960,000",4.41,"74,143,300"
21,4.41,"May 18, 2018",4.57,4.02,"2,160,980,000",4.11,"90,050,400"
22,4.10,"May 17, 2018",4.73,4.08,"2,420,440,000",4.60,"87,684,600"
23,4.58,"May 16, 2018",4.78,4.42,"2,483,440,000",4.72,"95,043,600"
24,4.77,"May 15, 2018",5.22,4.71,"2,695,790,000",5.12,"113,053,000"
25,5.09,"May 14, 2018",5.20,4.49,"2,531,440,000",4.81,"74,510,000"
26,4.83,"May 13, 2018",4.88,4.47,"2,392,750,000",4.55,"17,677,500"
27,4.55,"May 12, 2018",4.75,4.12,"2,359,820,000",4.49,"74,892,400"
28,4.49,"May 11, 2018",5.14,4.39,"2,605,550,000",4.95,"105,908,000"
29,4.97,"May 10, 2018",5.46,4.96,"2,618,840,000",4.98,"134,028,000"
30,4.98,"May 09, 2018",5.16,4.71,"2,600,240,000",4.94,"97,860,800"
31,4.96,"May 08, 2018",5.33,4.72,"2,634,980,000",5.01,"106,443,000"
32,5.00,"May 07, 2018",5.09,4.61,"2,646,480,000",5.03,"107,502,000"
33,5.04,"May 06, 2018",5.21,4.86,"2,738,950,000",5.21,"108,668,000"
34,5.22,"May 05, 2018",5.57,5.19,"2,871,310,000",5.46,"123,852,000"
35,5.40,"May 04, 2018",5.63,5.00,"2,741,300,000",5.21,"146,054,000"
36,5.17,"May 03, 2018",5.42,4.83,"2,548,440,000",4.85,"139,458,000"
37,4.83,"May 02, 2018",4.99,4.53,"2,411,040,000",4.59,"133,091,000"
38,4.62,"May 01, 2018",4.65,4.22,"2,385,080,000",4.54,"93,554,800"
39,4.49,"Apr 30, 2018",4.83,4.37,"2,539,730,000",4.83,"109,782,000"
40,4.85,"Apr 29, 2018",4.91,4.24,"2,272,690,000",4.32,"157,172,000"
41,4.32,"Apr 28, 2018",4.41,3.77,"1,989,630,000",3.78,"106,661,000"
42,3.77,"Apr 27, 2018",4.03,3.65,"2,089,990,000",3.98,"76,432,500"
43,3.98,"Apr 26, 2018",3.98,3.50,"1,908,670,000",3.63,"84,318,100"
44,3.62,"Apr 25, 2018",4.18,3.56,"2,177,050,000",4.14,"82,778,500"
45,4.17,"Apr 24, 2018",4.19,3.89,"2,047,260,000",3.89,"107,471,000"
46,3.88,"Apr 23, 2018",3.95,3.81,"2,013,340,000",3.83,"83,179,700"
47,3.83,"Apr 22, 2018",3.98,3.77,"2,027,700,000",3.86,"85,951,500"
48,3.84,"Apr 21, 2018",3.96,3.59,"2,076,050,000",3.95,"80,985,400"
49,3.93,"Apr 20, 2018",3.96,3.63,"1,963,740,000",3.73,"89,724,600"
50,3.71,"Apr 19, 2018",3.73,3.52,"1,876,030,000",3.57,"83,805,600"
51,3.58,"Apr 18, 2018",3.61,3.28,"1,740,900,000",3.31,"83,240,100"
52,3.30,"Apr 17, 2018",3.45,3.29,"1,757,430,000",3.34,"68,839,900"
53,3.35,"Apr 16, 2018",3.59,3.25,"1,868,500,000",3.55,"78,060,300"
54,3.56,"Apr 15, 2018",3.56,3.29,"1,731,210,000",3.29,"80,133,900"
55,3.29,"Apr 14, 2018",3.37,3.06,"1,725,080,000",3.29,"69,780,200"
56,3.27,"Apr 13, 2018",3.50,3.16,"1,744,180,000",3.32,"74,513,600"
57,3.34,"Apr 12, 2018",3.34,2.75,"1,450,930,000",2.76,"93,227,000"
58,2.78,"Apr 11, 2018",2.83,2.70,"1,417,660,000",2.70,"71,380,800"
59,2.69,"Apr 10, 2018",2.72,2.53,"1,343,500,000",2.56,"65,408,600"
60,2.55,"Apr 09, 2018",2.68,2.42,"1,327,190,000",2.53,"65,203,800"
61,2.52,"Apr 08, 2018",2.62,2.47,"1,316,370,000",2.51,"49,740,300"
62,2.50,"Apr 07, 2018",2.67,2.34,"1,234,670,000",2.35,"54,970,100"
63,2.34,"Apr 06, 2018",2.46,2.29,"1,270,430,000",2.42,"46,839,600"
64,2.43,"Apr 05, 2018",2.48,2.30,"1,271,540,000",2.42,"46,373,900"
65,2.42,"Apr 04, 2018",2.91,2.40,"1,525,660,000",2.91,"65,268,200"
66,2.90,"Apr 03, 2018",3.11,2.68,"1,427,910,000",2.73,"89,353,000"
67,2.72,"Apr 02, 2018",2.98,2.20,"1,173,380,000",2.24,"107,438,000"
68,2.23,"Apr 01, 2018",2.47,2.00,"1,243,010,000",2.38,"42,424,100"
69,2.38,"Mar 31, 2018",2.52,2.29,"1,225,650,000",2.34,"44,233,500"
70,2.34,"Mar 30, 2018",2.57,2.20,"1,262,580,000",2.41,"50,087,200"
71,2.42,"Mar 29, 2018",2.98,2.38,"1,522,140,000",2.92,"51,073,900"
72,2.92,"Mar 28, 2018",3.05,2.87,"1,535,320,000",2.95,"53,936,700"
73,2.95,"Mar 27, 2018",3.20,2.93,"1,657,100,000",3.19,"52,477,200"
74,3.20,"Mar 26, 2018",3.46,3.00,"1,740,010,000",3.35,"59,767,500"
75,3.35,"Mar 25, 2018",3.52,3.21,"1,708,630,000",3.29,"61,590,900"
76,3.35,"Mar 24, 2018",3.60,3.33,"1,769,900,000",3.42,"64,780,900"
77,3.37,"Mar 23, 2018",3.53,3.20,"1,819,370,000",3.53,"55,475,600"
78,3.52,"Mar 22, 2018",3.80,3.31,"1,891,070,000",3.67,"64,977,500"
79,3.67,"Mar 21, 2018",3.89,3.58,"1,935,360,000",3.73,"73,672,800"
80,3.70,"Mar 20, 2018",3.89,3.47,"1,943,940,000",3.80,"85,168,900"
81,3.76,"Mar 19, 2018",3.89,3.55,"1,863,440,000",3.68,"79,043,900"
82,3.71,"Mar 18, 2018",3.76,2.95,"1,857,460,000",3.71,"84,708,700"
83,3.69,"Mar 17, 2018",4.07,3.56,"1,943,650,000",3.91,"74,617,800"
84,3.90,"Mar 16, 2018",4.06,3.61,"1,867,640,000",3.78,"76,375,000"
85,3.78,"Mar 15, 2018",3.97,3.42,"1,873,350,000",3.82,"82,232,600"
86,3.85,"Mar 14, 2018",4.59,3.79,"2,102,300,000",4.31,"96,115,800"
87,4.27,"Mar 13, 2018",4.38,3.96,"1,953,490,000",4.00,"112,069,000"
88,4.02,"Mar 12, 2018",4.26,3.75,"1,878,560,000",3.87,"118,397,000"
89,3.88,"Mar 11, 2018",3.93,3.32,"1,672,220,000",3.47,"68,766,600"
90,3.50,"Mar 10, 2018",3.89,3.45,"1,786,280,000",3.71,"65,018,300"
91,3.71,"Mar 09, 2018",3.74,3.11,"1,770,700,000",3.70,"83,895,100"
92,3.72,"Mar 08, 2018",4.23,3.56,"1,952,560,000",4.09,"74,630,900"
93,4.10,"Mar 07, 2018",4.91,3.74,"2,264,240,000",4.76,"91,903,400"
94,4.78,"Mar 06, 2018",5.11,4.24,"2,239,750,000",4.71,"108,928,000"
95,4.69,"Mar 05, 2018",4.81,4.56,"2,167,770,000",4.56,"43,447,100"
96,4.56,"Mar 04, 2018",4.86,4.39,"2,100,760,000",4.42,"59,067,800"
97,4.44,"Mar 03, 2018",4.71,4.36,"2,141,270,000",4.50,"57,747,400"
98,4.51,"Mar 02, 2018",5.03,4.50,"2,347,490,000",4.95,"61,330,700"
99,4.95,"Mar 01, 2018",5.32,4.51,"2,157,860,000",4.54,"79,097,200"
100,4.54,"Feb 28, 2018",5.55,4.54,"2,485,090,000",5.23,"73,839,500"
101,5.23,"Feb 27, 2018",5.69,5.16,"2,653,660,000",5.58,"80,397,100"
102,5.60,"Feb 26, 2018",5.85,5.28,"2,786,080,000",5.85,"144,727,000"
103,5.87,"Feb 25, 2018",5.94,5.42,"2,656,900,000",5.57,"67,857,100"
104,5.56,"Feb 24, 2018",6.20,5.39,"2,843,850,000",5.96,"62,538,800"
105,5.99,"Feb 23, 2018",6.20,5.25,"2,613,700,000",5.46,"74,050,200"
106,5.47,"Feb 22, 2018",6.33,5.32,"2,835,810,000",5.93,"75,031,300"
